Index,contrast_family,base_semantic_id,source_semantic_id,task_family,identifiability_score,delta_O,delta_O_star,delta_A,delta_H,delta_E,upstream_distance,predicted_E_delta,effect_bin,_14,cause_route,effect_match_group,route_effect_mismatch,contrast_id,pair_split,H_match_tolerance,E_match_tolerance,candidate_variables_frozen,semantic_contrast_id,pair_id,base_condition_id,source_condition_id,response_mapping,predicted_O_effect,predicted_O_star_effect,predicted_H_effect,predicted_E_effect,behavioral_base_logit,behavioral_source_logit,computational_targets_frozen_before_neural,artifact_id,layer,rank,primary,intervention_type,neural_counterfactual_effect,intervention_norm,original_predicted_effect,shuffled_target_contrast_id,magnitude_stratum,true_prediction
0,same_raw_different_context,abs-candidate-0016302,abs-candidate-0016134,debugging,3.0291654656582145,0.0,-4.161,-2.38,0.01557261572894264,0.01557261572894264,4.793570798475808,0.01557261572894264,near_zero,,,,,abs-same_raw_different_context-000000,abstraction_test,0.06386915314994339,0.21210848059700527,True,abs-same_raw_different_context-000000,abs-same_raw_different_context-000000:m0,abs-candidate-0016302-m0,abs-candidate-0016134-m0,continue_x,0.0,-0.8026760830878423,0.01557261572894264,-0.004167253350170874,-3.1144345816446104,-3.0988619659156678,True,das_001_outcome_history_dual_history_L28_r2,28,2,True,frozen_DAS,0.375,0.6847953200340271,0.01557261572894264,abs-same_history_contribution-000580,0,0.01557261572894264
1,same_raw_different_context,abs-candidate-0016302,abs-candidate-0016134,debugging,3.0291654656582145,0.0,-4.161,-2.38,0.01557261572894264,0.01557261572894264,4.793570798475808,0.01557261572894264,near_zero,,,,,abs-same_raw_different_context-000000,abstraction_test,0.06386915314994339,0.21210848059700527,True,abs-same_raw_different_context-000000,abs-same_raw_different_context-000000:m1,abs-candidate-0016302-m1,abs-candidate-0016134-m1,continue_y,0.0,-0.8026760830878423,0.015572615728943084,-0.004167253350170874,-3.1744484340178967,-3.1588758182889536,True,das_001_outcome_history_dual_history_L28_r2,28,2,True,frozen_DAS,0.5,0.6906678676605225,0.015572615728943084,abs-same_history_contribution-000580,0,0.015572615728943084
10,same_raw_different_context,abs-candidate-0016050,abs-candidate-0015882,debugging,3.029165465658214,0.0,-4.161,-2.38,0.015572615728943084,0.015572615728943084,4.793570798475808,0.015572615728943084,near_zero,,,,,abs-same_raw_different_context-000005,abstraction_test,0.06386915314994339,0.21210848059700527,True,abs-same_raw_different_context-000005,abs-same_raw_different_context-000005:m0,abs-candidate-0016050-m0,abs-candidate-0015882-m0,continue_x,0.0,-0.8026760830878423,0.015572615728943084,-0.004167253350170985,-2.9172262495925283,-2.901653633863585,True,das_001_outcome_history_dual_history_L28_r2,28,2,True,frozen_DAS,0.375,0.8060140609741211,0.015572615728943084,abs-same_history_contribution-000585,0,0.015572615728943084
11,same_raw_different_context,abs-candidate-0016050,abs-candidate-0015882,debugging,3.029165465658214,0.0,-4.161,-2.38,0.015572615728943084,0.015572615728943084,4.793570798475808,0.015572615728943084,near_zero,,,,,abs-same_raw_different_context-000005,abstraction_test,0.06386915314994339,0.21210848059700527,True,abs-same_raw_different_context-000005,abs-same_raw_different_context-000005:m1,abs-candidate-0016050-m1,abs-candidate-0015882-m1,continue_y,0.0,-0.8026760830878428,0.015572615728943529,-0.004167253350170985,-2.977240101965815,-2.9616674862368715,True,das_001_outcome_history_dual_history_L28_r2,28,2,True,frozen_DAS,0.25,0.6270036101341248,0.015572615728943529,abs-same_history_contribution-000585,0,0.015572615728943529
20,same_raw_different_context,abs-candidate-0015882,abs-candidate-0016050,debugging,3.029165465658214,0.0,4.161,2.38,-0.015572615728943084,-0.015572615728943084,4.793570798475808,-0.015572615728943084,near_zero,,,,,abs-same_raw_different_context-000010,abstraction_test,0.06386915314994339,0.21210848059700527,True,abs-same_raw_different_context-000010,abs-same_raw_different_context-000010:m0,abs-candidate-0015882-m0,abs-candidate-0016050-m0,continue_x,0.0,0.8026760830878423,-0.015572615728943084,0.03868020807262823,-2.901653633863585,-2.9172262495925283,True,das_001_outcome_history_dual_history_L28_r2,28,2,True,frozen_DAS,-0.5,0.80522620677948,-0.015572615728943084,abs-same_total_evidence-000950,1,-0.015572615728943084
21,same_raw_different_context,abs-candidate-0015882,abs-candidate-0016050,debugging,3.029165465658214,0.0,4.161,2.38,-0.015572615728943084,-0.015572615728943084,4.793570798475808,-0.015572615728943084,near_zero,,,,,abs-same_raw_different_context-000010,abstraction_test,0.06386915314994339,0.21210848059700527,True,abs-same_raw_different_context-000010,abs-same_raw_different_context-000010:m1,abs-candidate-0015882-m1,abs-candidate-0016050-m1,continue_y,0.0,0.8026760830878428,-0.015572615728943529,0.03868020807262823,-2.9616674862368715,-2.977240101965815,True,das_001_outcome_history_dual_history_L28_r2,28,2,True,frozen_DAS,-0.25,0.6278069615364075,-0.015572615728943529,abs-same_total_evidence-000950,1,-0.015572615728943529
30,same_raw_different_context,abs-candidate-0034194,abs-candidate-0034026,debugging,3.0291654656582137,0.0,-4.161,-2.38,0.015572615728943529,0.015572615728943529,4.793570798475808,0.015572615728943529,near_zero,,,,,abs-same_raw_different_context-000015,abstraction_test,0.06386915314994339,0.21210848059700527,True,abs-same_raw_different_context-000015,abs-same_raw_different_context-000015:m0,abs-candidate-0034194-m0,abs-candidate-0034026-m0,continue_x,0.0,-0.8026760830878421,0.015572615728943529,-0.015572615728943306,-1.3210788071421828,-1.3055061914132393,True,das_001_outcome_history_dual_history_L28_r2,28,2,True,frozen_DAS,0.375,1.0027414560317993,0.015572615728943529,abs-same_raw_different_context-000010,1,0.015572615728943529
31,same_raw_different_context,abs-candidate-0034194,abs-candidate-0034026,debugging,3.0291654656582137,0.0,-4.161,-2.38,0.015572615728943529,0.015572615728943529,4.793570798475808,0.015572615728943529,near_zero,,,,,abs-same_raw_different_context-000015,abstraction_test,0.06386915314994339,0.21210848059700527,True,abs-same_raw_different_context-000015,abs-same_raw_different_context-000015:m1,abs-candidate-0034194-m1,abs-candidate-0034026-m1,continue_y,0.0,-0.8026760830878421,0.01557261572894375,-0.015572615728943306,-1.3810926595154691,-1.3655200437865254,True,das_001_outcome_history_dual_history_L28_r2,28,2,True,frozen_DAS,0.125,0.48681533336639404,0.01557261572894375,abs-same_raw_different_context-000010,1,0.01557261572894375
40,same_raw_different_context,abs-candidate-0046626,abs-candidate-0046794,debugging,3.0291654656582137,0.0,4.161,2.38,-0.01557261572894375,-0.01557261572894375,4.793570798475808,-0.01557261572894375,near_zero,,,,,abs-same_raw_different_context-000020,abstraction_test,0.06386915314994339,0.21210848059700527,True,abs-same_raw_different_context-000020,abs-same_raw_different_context-000020:m0,abs-candidate-0046626-m0,abs-candidate-0046794-m0,continue_x,0.0,0.9143597120123879,-0.01557261572894375,0.01557261572894364,-1.3961199238628381,-1.4116925395917819,True,das_001_outcome_history_dual_history_L28_r2,28,2,True,frozen_DAS,-0.25,0.669646680355072,-0.01557261572894375,abs-same_raw_different_context-000015,1,-0.01557261572894375
41,same_raw_different_context,abs-candidate-0046626,abs-candidate-0046794,debugging,3.0291654656582137,0.0,4.161,2.38,-0.01557261572894375,-0.01557261572894375,4.793570798475808,-0.01557261572894375,near_zero,,,,,abs-same_raw_different_context-000020,abstraction_test,0.06386915314994339,0.21210848059700527,True,abs-same_raw_different_context-000020,abs-same_raw_different_context-000020:m1,abs-candidate-0046626-m1,abs-candidate-0046794-m1,continue_y,0.0,0.9143597120123883,-0.01557261572894375,0.01557261572894364,-1.4561337762361242,-1.471706391965068,True,das_001_outcome_history_dual_history_L28_r2,28,2,True,frozen_DAS,-0.125,0.4620223045349121,-0.01557261572894375,abs-same_raw_different_context-000015,1,-0.01557261572894375
50,same_raw_different_context,abs-candidate-0034026,abs-candidate-0034194,debugging,3.0291654656582137,0.0,4.161,2.38,-0.015572615728943529,-0.015572615728943529,4.793570798475808,-0.015572615728943529,near_zero,,,,,abs-same_raw_different_context-000025,abstraction_test,0.06386915314994339,0.21210848059700527,True,abs-same_raw_different_context-000025,abs-same_raw_different_context-000025:m0,abs-candidate-0034026-m0,abs-candidate-0034194-m0,continue_x,0.0,0.8026760830878421,-0.015572615728943529,-0.01557261572894375,-1.3055061914132393,-1.3210788071421828,True,das_001_outcome_history_dual_history_L28_r2,28,2,True,frozen_DAS,-0.5,1.0039557218551636,-0.015572615728943529,abs-same_raw_different_context-000020,1,-0.015572615728943529
51,same_raw_different_context,abs-candidate-0034026,abs-candidate-0034194,debugging,3.0291654656582137,0.0,4.161,2.38,-0.015572615728943529,-0.015572615728943529,4.793570798475808,-0.015572615728943529,near_zero,,,,,abs-same_raw_different_context-000025,abstraction_test,0.06386915314994339,0.21210848059700527,True,abs-same_raw_different_context-000025,abs-same_raw_different_context-000025:m1,abs-candidate-0034026-m1,abs-candidate-0034194-m1,continue_y,0.0,0.8026760830878421,-0.01557261572894375,-0.01557261572894375,-1.3655200437865254,-1.3810926595154691,True,das_001_outcome_history_dual_history_L28_r2,28,2,True,frozen_DAS,-0.25,0.4874618351459503,-0.01557261572894375,abs-same_raw_different_context-000020,1,-0.01557261572894375
