task_family,abstraction,global_cfr,correlation,slope,intercept,rmse,sign_accuracy,examples,thresholded_cfr_retained,thresholded_cfr_fraction_retained,thresholded_cfr_median
bandit,O,-1.7652869167664393,-0.13783814592348864,-0.16479657512119994,0.05680126080927304,1.3272991449138878,0.15671641791044777,134,54,0.40298507462686567,5.903684652253105e-09
bandit,O_star,-1.5807382969767247,-0.19514084165022452,-0.20978908074737104,0.0559645726446079,1.4260122111944222,0.1044776119402985,134,86,0.6417910447761194,-0.4730638368546414
bandit,H,-1.451717536650706,-0.12136858617438731,-0.13193918053541173,0.056001941582468406,1.3746312283810882,0.3582089552238806,134,84,0.6268656716417911,4.5567281059533116e-09
bandit,E,0.5852402690015368,0.8422745228549418,0.4136713113559614,-0.023949080387479747,1.2577588752017725,0.4701492537313433,134,90,0.6716417910447762,4.725667746008355e-09
debugging,O,-1.3934938595718895,-0.07013440682703144,-0.07854730086945902,-0.032733828801530064,0.9926969651664159,0.0625,80,56,0.7,1.2626712120322736e-08
debugging,O_star,-2.67382047319923,-0.31788576394029455,-0.43232335672621236,-0.05287187348150342,1.014502857121504,0.0375,80,32,0.4,-0.8849834622720139
debugging,H,-1.083022061906859,-0.0671002551400238,-0.06596049298627972,-0.03261730728570761,1.0552534122727446,0.3125,80,42,0.525,9.483343332838956e-09
debugging,E,0.5867751721638179,0.8357601274874528,0.41926146365494715,0.0069058934280862615,0.9185669663315092,0.375,80,42,0.525,9.534306011360627e-09
effort,O,-17.503449991705423,-0.06239926746408718,-0.2608570024466536,0.20540406271532147,2.4857802024977738,0.2222222222222222,18,8,0.4444444444444444,-2.327478212642194
effort,O_star,-15.62881906595667,-0.05397718713182467,-0.2128786931570871,0.19982355535950586,2.4911844746276315,0.2222222222222222,18,8,0.4444444444444444,-2.1798871988462434
effort,H,-16.403190291728595,-0.10215284704565054,-0.408509470536534,0.2186938842562861,2.5159785998889994,0.3888888888888889,18,6,0.3333333333333333,-1.2332768650418644
effort,E,0.894473527106173,0.9525581442788107,0.8204135582157547,-0.15581509219666792,0.9085198628600861,0.7777777777777778,18,10,0.5555555555555556,0.9659405141265996
foraging,O,-1.7179683835893704,-0.09378979477272723,-0.11362746822447276,-0.06577421645876655,0.9043370312769183,0.078125,64,26,0.40625,1.3188799941055152e-08
foraging,O_star,-1.7678848061891528,-0.36395683582588134,-0.36703837040780274,-0.05572954641685075,1.0968991419998455,0.046875,64,42,0.65625,-0.8136019779636745
foraging,H,-1.3750712884608158,-0.06067198720452693,-0.06702549798723825,-0.0664546235895541,0.9273280098258168,0.546875,64,26,0.40625,1.0540295303229641e-08
foraging,E,0.5149314411366739,0.8136525157342863,0.34810073920109014,-0.01614969655268646,1.085965691150334,0.609375,64,22,0.34375,1.0540295303229641e-08
information_sampling,O,-310.8386353110247,0.48916302058821604,8.914434837502808,-0.005959745654878208,0.23289919751263516,0.8300970873786407,206,0,0.0,
information_sampling,O_star,-1.1328525912455683,0.321138184339186,0.4576074266461879,-0.02198809132977176,0.24407466309027395,0.7524271844660194,206,72,0.34951456310679613,0.06561807028526101
information_sampling,H,-0.18027065216993288,0.5325561150043386,0.6516898601140192,-0.008124829355104324,0.21265924864798147,0.41262135922330095,206,88,0.42718446601941745,0.9441633860463848
information_sampling,E,-0.029492526681057285,0.4816318879830891,0.4863299901812042,-0.006072512920911464,0.24154946834793314,0.41262135922330095,206,162,0.7864077669902912,1.883033446947735e-07
solvability,O,-6.434827708301356,0.19996048380302348,0.549840981032225,-0.24452791320310624,2.502880409195138,0.4166666666666667,48,26,0.5416666666666666,0.6928227586716043
solvability,O_star,-6.093615619310148,0.19580825546968567,0.5258120078970707,-0.25753658300980153,2.514203394875137,0.4166666666666667,48,26,0.5416666666666666,0.6616303201439122
solvability,H,-4.910924528773923,0.14743880060923026,0.35132402682865715,-0.24201924152009407,2.591469571605725,0.5625,48,22,0.4583333333333333,0.6395309963423892
solvability,E,0.8203063450782294,0.9477221771816077,0.6328912583482628,-0.046631227518814274,1.5902294156792576,0.875,48,28,0.5833333333333334,0.8311119510209266
waiting,O,-27.498834235137494,0.10227180420024587,0.5250791286265744,0.6149017389135851,2.205411842102704,0.4,10,4,0.4,0.6256738699691888
waiting,O_star,-30.547151281393372,0.08759364913594705,0.472652111822362,0.6024422466227936,2.2027569787301093,0.4,10,4,0.4,0.6440315365355764
waiting,H,-27.324403836198826,0.12143815476056995,0.6250178642644744,0.6309555344518495,2.2038880692978737,0.8,10,4,0.4,0.6401776385266652
waiting,E,0.9083665112352252,0.974503903938547,0.7429156872702151,0.04096841858084789,0.8705413223092238,1.0,10,6,0.6,0.9271912000017757
