record_type,left,right,value
delta_correlation,O,O,1.0
delta_correlation,O,O_star,0.5893946813970105
delta_correlation,O,H,0.8489523789080325
delta_correlation,O,E,0.185689590865869
delta_correlation,O_star,O,0.5893946813970105
delta_correlation,O_star,O_star,1.0
delta_correlation,O_star,H,0.35873592061753595
delta_correlation,O_star,E,0.017542201280369794
delta_correlation,H,O,0.8489523789080325
delta_correlation,H,O_star,0.35873592061753595
delta_correlation,H,H,1.0
delta_correlation,H,E,0.20360014511859084
delta_correlation,E,O,0.185689590865869
delta_correlation,E,O_star,0.017542201280369794
delta_correlation,E,H,0.20360014511859084
delta_correlation,E,E,1.0
family_count,same_context_different_raw,contrasts,200.0
effect_sd,same_context_different_raw,O,4.3907716792949385
effect_sd,same_context_different_raw,O_star,0.21953858396474715
effect_sd,same_context_different_raw,H,1.2167533082642015
effect_sd,same_context_different_raw,E,1.2167533082642015
family_count,same_effect_different_cause,contrasts,400.0
effect_sd,same_effect_different_cause,O,1.5505031926364874
effect_sd,same_effect_different_cause,O_star,1.5505031926364874
effect_sd,same_effect_different_cause,H,0.21475176594047285
effect_sd,same_effect_different_cause,E,0.2696993978771398
family_count,same_history_contribution,contrasts,200.0
effect_sd,same_history_contribution,O,2.855533990667822
effect_sd,same_history_contribution,O_star,3.5098563722421523
effect_sd,same_history_contribution,H,0.01533819675119365
effect_sd,same_history_contribution,E,0.035805191960306314
family_count,same_history_different_evidence,contrasts,200.0
effect_sd,same_history_different_evidence,O,0.2842208736618858
effect_sd,same_history_different_evidence,O_star,0.8968579390932395
effect_sd,same_history_different_evidence,H,0.007971947626291533
effect_sd,same_history_different_evidence,E,4.4603557237101406
family_count,same_raw_different_context,contrasts,200.0
effect_sd,same_raw_different_context,O,0.0
effect_sd,same_raw_different_context,O_star,4.171441672628385
effect_sd,same_raw_different_context,H,0.1044005101377858
effect_sd,same_raw_different_context,E,0.1044005101377858
family_count,same_total_evidence,contrasts,200.0
effect_sd,same_total_evidence,O,4.1883572774319395
effect_sd,same_total_evidence,O_star,4.122311497864655
effect_sd,same_total_evidence,H,1.1577908921991207
effect_sd,same_total_evidence,E,0.057937472291473904
