abstraction,metric,estimate,ci_lower,ci_upper,bootstrap_valid,bootstrap_samples
O,global_cfr,-3.5164129861950615,-5.056503443501904,-2.3753372496435476,2000,2000
O,correlation,0.0051676607607726585,-0.05003979982406846,0.06289041890014269,2000,2000
O,slope,0.009717284523111129,-0.09500069760405402,0.11671091885200914,2000,2000
O,intercept,-0.004737341154701858,-0.13687261395287423,0.1223673128997824,2000,2000
O,rmse,1.223997639040435,1.1196053591462787,1.3268575431948142,2000,2000
O,sign_accuracy,0.4107142857142857,0.3732142857142857,0.45,2000,2000
O_star,global_cfr,-3.2697289962638303,-4.604343143714193,-2.302343885019963,2000,2000
O_star,correlation,-0.051256962091059545,-0.1086264000407349,0.01074427107303647,2000,2000
O_star,slope,-0.09010200572768619,-0.19484747872086566,0.01758974612920176,2000,2000
O_star,intercept,-0.0038163813120039606,-0.13749255379704262,0.12202654513488435,2000,2000
O_star,rmse,1.2731790601265975,1.16870220040349,1.3749486975851988,2000,2000
O_star,sign_accuracy,0.3625,0.32142857142857145,0.4017857142857143,2000,2000
H,global_cfr,-2.7160650035245313,-3.9305671149599446,-1.8196970582593255,2000,2000
H,correlation,0.006542219180251499,-0.0430818528942317,0.060052370819806154,2000,2000
H,slope,0.01082466496192834,-0.07359496254428435,0.09488895069645954,2000,2000
H,intercept,-0.004691908043697018,-0.1373105948180609,0.12176957513706782,2000,2000
H,rmse,1.2617398482509414,1.1592243738122432,1.3609790146683938,2000,2000
H,sign_accuracy,0.41964285714285715,0.36607142857142855,0.475,2000,2000
E,global_cfr,0.706559489426196,0.6627331893595698,0.7435220258651303,2000,2000
E,correlation,0.8823403738289819,0.8507920834314265,0.9072724174253424,2000,2000
E,slope,0.5419995042802453,0.501931000824625,0.5808964400159661,2000,2000
E,intercept,-0.012952455163213557,-0.06725402905009882,0.04172358145388749,2000,2000
E,rmse,0.9550607546448927,0.8547145819408728,1.0500601240579686,2000,2000
E,sign_accuracy,0.5053571428571428,0.45357142857142857,0.5607142857142857,2000,2000
