source_condition_id,target_condition_id,task_family,layer,direction,baseline_persistence_logit,patched_persistence_logit,persistence_logit_change
mech-action_history-000633-plus-m0,mech-action_history-000213-minus-m0,bandit,8,action_raw,-0.5,-0.625,-0.125
mech-action_history-000633-plus-m0,mech-action_history-000213-minus-m0,bandit,8,action_residualized,-0.5,-0.625,-0.125
mech-action_history-000633-plus-m0,mech-action_history-000213-minus-m0,bandit,8,persistence,-0.5,-0.625,-0.125
mech-action_history-000633-plus-m0,mech-action_history-000213-minus-m0,bandit,8,random,-0.5,-0.625,-0.125
mech-action_history-000633-plus-m0,mech-action_history-000213-minus-m0,bandit,30,action_raw,-0.5,-0.625,-0.125
mech-action_history-000633-plus-m0,mech-action_history-000213-minus-m0,bandit,30,action_residualized,-0.5,-0.625,-0.125
mech-action_history-000633-plus-m0,mech-action_history-000213-minus-m0,bandit,30,persistence,-0.5,-0.625,-0.125
mech-action_history-000633-plus-m0,mech-action_history-000213-minus-m0,bandit,30,random,-0.5,-0.5,0.0
mech-current_value_control-000459-minus-m0,mech-action_history-001088-minus-m0,bandit,8,action_raw,-2.0,-2.0,0.0
mech-current_value_control-000459-minus-m0,mech-action_history-001088-minus-m0,bandit,8,action_residualized,-2.0,-2.0,0.0
mech-current_value_control-000459-minus-m0,mech-action_history-001088-minus-m0,bandit,8,persistence,-2.0,-2.125,-0.125
mech-current_value_control-000459-minus-m0,mech-action_history-001088-minus-m0,bandit,8,random,-2.0,-2.125,-0.125
mech-current_value_control-000459-minus-m0,mech-action_history-001088-minus-m0,bandit,30,action_raw,-2.0,-2.125,-0.125
mech-current_value_control-000459-minus-m0,mech-action_history-001088-minus-m0,bandit,30,action_residualized,-2.0,-2.125,-0.125
mech-current_value_control-000459-minus-m0,mech-action_history-001088-minus-m0,bandit,30,persistence,-2.0,-2.125,-0.125
mech-current_value_control-000459-minus-m0,mech-action_history-001088-minus-m0,bandit,30,random,-2.0,-2.0,0.0
mech-action_history-000983-plus-m0,mech-current_value_control-001019-minus-m0,bandit,8,action_raw,0.0,0.0,0.0
mech-action_history-000983-plus-m0,mech-current_value_control-001019-minus-m0,bandit,8,action_residualized,0.0,0.0,0.0
mech-action_history-000983-plus-m0,mech-current_value_control-001019-minus-m0,bandit,8,persistence,0.0,0.0,0.0
mech-action_history-000983-plus-m0,mech-current_value_control-001019-minus-m0,bandit,8,random,0.0,0.125,0.125
mech-action_history-000983-plus-m0,mech-current_value_control-001019-minus-m0,bandit,30,action_raw,0.0,0.125,0.125
mech-action_history-000983-plus-m0,mech-current_value_control-001019-minus-m0,bandit,30,action_residualized,0.0,0.0,0.0
mech-action_history-000983-plus-m0,mech-current_value_control-001019-minus-m0,bandit,30,persistence,0.0,0.0,0.0
mech-action_history-000983-plus-m0,mech-current_value_control-001019-minus-m0,bandit,30,random,0.0,0.0,0.0
mech-action_history-000893-plus-m0,mech-action_history-000893-minus-m0,debugging,8,action_raw,-1.875,-1.75,0.125
mech-action_history-000893-plus-m0,mech-action_history-000893-minus-m0,debugging,8,action_residualized,-1.875,-1.75,0.125
mech-action_history-000893-plus-m0,mech-action_history-000893-minus-m0,debugging,8,persistence,-1.875,-1.875,0.0
mech-action_history-000893-plus-m0,mech-action_history-000893-minus-m0,debugging,8,random,-1.875,-1.75,0.125
mech-action_history-000893-plus-m0,mech-action_history-000893-minus-m0,debugging,30,action_raw,-1.875,-1.75,0.125
mech-action_history-000893-plus-m0,mech-action_history-000893-minus-m0,debugging,30,action_residualized,-1.875,-1.75,0.125
mech-action_history-000893-plus-m0,mech-action_history-000893-minus-m0,debugging,30,persistence,-1.875,-1.875,0.0
mech-action_history-000893-plus-m0,mech-action_history-000893-minus-m0,debugging,30,random,-1.875,-1.875,0.0
mech-action_history-000543-plus-m0,mech-action_history-000543-minus-m0,debugging,8,action_raw,-2.25,-2.25,0.0
mech-action_history-000543-plus-m0,mech-action_history-000543-minus-m0,debugging,8,action_residualized,-2.25,-2.25,0.0
mech-action_history-000543-plus-m0,mech-action_history-000543-minus-m0,debugging,8,persistence,-2.25,-2.375,-0.125
mech-action_history-000543-plus-m0,mech-action_history-000543-minus-m0,debugging,8,random,-2.25,-2.25,0.0
mech-action_history-000543-plus-m0,mech-action_history-000543-minus-m0,debugging,30,action_raw,-2.25,-2.375,-0.125
mech-action_history-000543-plus-m0,mech-action_history-000543-minus-m0,debugging,30,action_residualized,-2.25,-2.375,-0.125
mech-action_history-000543-plus-m0,mech-action_history-000543-minus-m0,debugging,30,persistence,-2.25,-2.25,0.0
mech-action_history-000543-plus-m0,mech-action_history-000543-minus-m0,debugging,30,random,-2.25,-2.25,0.0
mech-action_history-000228-plus-m0,mech-current_value_control-000999-plus-m0,debugging,8,action_raw,-0.625,-0.625,0.0
mech-action_history-000228-plus-m0,mech-current_value_control-000999-plus-m0,debugging,8,action_residualized,-0.625,-0.625,0.0
mech-action_history-000228-plus-m0,mech-current_value_control-000999-plus-m0,debugging,8,persistence,-0.625,-0.625,0.0
mech-action_history-000228-plus-m0,mech-current_value_control-000999-plus-m0,debugging,8,random,-0.625,-0.625,0.0
mech-action_history-000228-plus-m0,mech-current_value_control-000999-plus-m0,debugging,30,action_raw,-0.625,-0.625,0.0
mech-action_history-000228-plus-m0,mech-current_value_control-000999-plus-m0,debugging,30,action_residualized,-0.625,-0.625,0.0
mech-action_history-000228-plus-m0,mech-current_value_control-000999-plus-m0,debugging,30,persistence,-0.625,-0.625,0.0
mech-action_history-000228-plus-m0,mech-current_value_control-000999-plus-m0,debugging,30,random,-0.625,-0.625,0.0
mech-current_value_control-000064-plus-m1,mech-action_history-000308-minus-m1,effort,8,action_raw,0.125,0.125,0.0
mech-current_value_control-000064-plus-m1,mech-action_history-000308-minus-m1,effort,8,action_residualized,0.125,0.125,0.0
mech-current_value_control-000064-plus-m1,mech-action_history-000308-minus-m1,effort,8,persistence,0.125,0.125,0.0
mech-current_value_control-000064-plus-m1,mech-action_history-000308-minus-m1,effort,8,random,0.125,0.125,0.0
mech-current_value_control-000064-plus-m1,mech-action_history-000308-minus-m1,effort,30,action_raw,0.125,0.0,-0.125
mech-current_value_control-000064-plus-m1,mech-action_history-000308-minus-m1,effort,30,action_residualized,0.125,0.125,0.0
mech-current_value_control-000064-plus-m1,mech-action_history-000308-minus-m1,effort,30,persistence,0.125,0.125,0.0
mech-current_value_control-000064-plus-m1,mech-action_history-000308-minus-m1,effort,30,random,0.125,0.0,-0.125
mech-action_history-000798-plus-m1,mech-current_value_control-000309-plus-m1,effort,8,action_raw,0.375,0.25,-0.125
mech-action_history-000798-plus-m1,mech-current_value_control-000309-plus-m1,effort,8,action_residualized,0.375,0.25,-0.125
mech-action_history-000798-plus-m1,mech-current_value_control-000309-plus-m1,effort,8,persistence,0.375,0.375,0.0
mech-action_history-000798-plus-m1,mech-current_value_control-000309-plus-m1,effort,8,random,0.375,0.375,0.0
mech-action_history-000798-plus-m1,mech-current_value_control-000309-plus-m1,effort,30,action_raw,0.375,0.375,0.0
mech-action_history-000798-plus-m1,mech-current_value_control-000309-plus-m1,effort,30,action_residualized,0.375,0.25,-0.125
mech-action_history-000798-plus-m1,mech-current_value_control-000309-plus-m1,effort,30,persistence,0.375,0.375,0.0
mech-action_history-000798-plus-m1,mech-current_value_control-000309-plus-m1,effort,30,random,0.375,0.25,-0.125
mech-current_value_control-000099-plus-m0,mech-action_history-000658-minus-m0,effort,8,action_raw,0.125,0.125,0.0
mech-current_value_control-000099-plus-m0,mech-action_history-000658-minus-m0,effort,8,action_residualized,0.125,0.125,0.0
mech-current_value_control-000099-plus-m0,mech-action_history-000658-minus-m0,effort,8,persistence,0.125,0.125,0.0
mech-current_value_control-000099-plus-m0,mech-action_history-000658-minus-m0,effort,8,random,0.125,0.125,0.0
mech-current_value_control-000099-plus-m0,mech-action_history-000658-minus-m0,effort,30,action_raw,0.125,0.125,0.0
mech-current_value_control-000099-plus-m0,mech-action_history-000658-minus-m0,effort,30,action_residualized,0.125,0.125,0.0
mech-current_value_control-000099-plus-m0,mech-action_history-000658-minus-m0,effort,30,persistence,0.125,0.125,0.0
mech-current_value_control-000099-plus-m0,mech-action_history-000658-minus-m0,effort,30,random,0.125,0.125,0.0
mech-action_history-000813-plus-m0,mech-action_history-000813-minus-m0,foraging,8,action_raw,0.375,0.375,0.0
mech-action_history-000813-plus-m0,mech-action_history-000813-minus-m0,foraging,8,action_residualized,0.375,0.375,0.0
mech-action_history-000813-plus-m0,mech-action_history-000813-minus-m0,foraging,8,persistence,0.375,0.375,0.0
mech-action_history-000813-plus-m0,mech-action_history-000813-minus-m0,foraging,8,random,0.375,0.375,0.0
mech-action_history-000813-plus-m0,mech-action_history-000813-minus-m0,foraging,30,action_raw,0.375,0.375,0.0
mech-action_history-000813-plus-m0,mech-action_history-000813-minus-m0,foraging,30,action_residualized,0.375,0.375,0.0
mech-action_history-000813-plus-m0,mech-action_history-000813-minus-m0,foraging,30,persistence,0.375,0.375,0.0
mech-action_history-000813-plus-m0,mech-action_history-000813-minus-m0,foraging,30,random,0.375,0.375,0.0
mech-action_history-000078-plus-m0,mech-action_history-000078-minus-m0,foraging,8,action_raw,-2.5,-2.625,-0.125
mech-action_history-000078-plus-m0,mech-action_history-000078-minus-m0,foraging,8,action_residualized,-2.5,-2.625,-0.125
mech-action_history-000078-plus-m0,mech-action_history-000078-minus-m0,foraging,8,persistence,-2.5,-2.5,0.0
mech-action_history-000078-plus-m0,mech-action_history-000078-minus-m0,foraging,8,random,-2.5,-2.625,-0.125
mech-action_history-000078-plus-m0,mech-action_history-000078-minus-m0,foraging,30,action_raw,-2.5,-2.625,-0.125
mech-action_history-000078-plus-m0,mech-action_history-000078-minus-m0,foraging,30,action_residualized,-2.5,-2.625,-0.125
mech-action_history-000078-plus-m0,mech-action_history-000078-minus-m0,foraging,30,persistence,-2.5,-2.5,0.0
mech-action_history-000078-plus-m0,mech-action_history-000078-minus-m0,foraging,30,random,-2.5,-2.5,0.0
mech-action_history-000253-plus-m0,mech-action_history-000253-minus-m0,foraging,8,action_raw,1.5,1.5,0.0
mech-action_history-000253-plus-m0,mech-action_history-000253-minus-m0,foraging,8,action_residualized,1.5,1.5,0.0
mech-action_history-000253-plus-m0,mech-action_history-000253-minus-m0,foraging,8,persistence,1.5,1.5,0.0
mech-action_history-000253-plus-m0,mech-action_history-000253-minus-m0,foraging,8,random,1.5,1.5,0.0
mech-action_history-000253-plus-m0,mech-action_history-000253-minus-m0,foraging,30,action_raw,1.5,1.5,0.0
mech-action_history-000253-plus-m0,mech-action_history-000253-minus-m0,foraging,30,action_residualized,1.5,1.5,0.0
mech-action_history-000253-plus-m0,mech-action_history-000253-minus-m0,foraging,30,persistence,1.5,1.5,0.0
mech-action_history-000253-plus-m0,mech-action_history-000253-minus-m0,foraging,30,random,1.5,1.5,0.0
mech-action_history-000173-plus-m0,mech-action_history-000173-minus-m0,information_sampling,8,action_raw,-0.875,-0.875,0.0
mech-action_history-000173-plus-m0,mech-action_history-000173-minus-m0,information_sampling,8,action_residualized,-0.875,-0.75,0.125
mech-action_history-000173-plus-m0,mech-action_history-000173-minus-m0,information_sampling,8,persistence,-0.875,-0.875,0.0
mech-action_history-000173-plus-m0,mech-action_history-000173-minus-m0,information_sampling,8,random,-0.875,-0.875,0.0
mech-action_history-000173-plus-m0,mech-action_history-000173-minus-m0,information_sampling,30,action_raw,-0.875,-0.75,0.125
mech-action_history-000173-plus-m0,mech-action_history-000173-minus-m0,information_sampling,30,action_residualized,-0.875,-0.75,0.125
mech-action_history-000173-plus-m0,mech-action_history-000173-minus-m0,information_sampling,30,persistence,-0.875,-0.75,0.125
mech-action_history-000173-plus-m0,mech-action_history-000173-minus-m0,information_sampling,30,random,-0.875,-0.875,0.0
mech-action_history-000208-plus-m0,mech-action_history-000208-minus-m0,information_sampling,8,action_raw,-1.375,-1.375,0.0
mech-action_history-000208-plus-m0,mech-action_history-000208-minus-m0,information_sampling,8,action_residualized,-1.375,-1.375,0.0
mech-action_history-000208-plus-m0,mech-action_history-000208-minus-m0,information_sampling,8,persistence,-1.375,-1.375,0.0
mech-action_history-000208-plus-m0,mech-action_history-000208-minus-m0,information_sampling,8,random,-1.375,-1.375,0.0
mech-action_history-000208-plus-m0,mech-action_history-000208-minus-m0,information_sampling,30,action_raw,-1.375,-1.5,-0.125
mech-action_history-000208-plus-m0,mech-action_history-000208-minus-m0,information_sampling,30,action_residualized,-1.375,-1.375,0.0
mech-action_history-000208-plus-m0,mech-action_history-000208-minus-m0,information_sampling,30,persistence,-1.375,-1.375,0.0
mech-action_history-000208-plus-m0,mech-action_history-000208-minus-m0,information_sampling,30,random,-1.375,-1.375,0.0
mech-action_history-000243-plus-m0,mech-action_history-000243-minus-m0,information_sampling,8,action_raw,-0.75,-0.75,0.0
mech-action_history-000243-plus-m0,mech-action_history-000243-minus-m0,information_sampling,8,action_residualized,-0.75,-0.875,-0.125
mech-action_history-000243-plus-m0,mech-action_history-000243-minus-m0,information_sampling,8,persistence,-0.75,-0.75,0.0
mech-action_history-000243-plus-m0,mech-action_history-000243-minus-m0,information_sampling,8,random,-0.75,-0.875,-0.125
mech-action_history-000243-plus-m0,mech-action_history-000243-minus-m0,information_sampling,30,action_raw,-0.75,-0.75,0.0
mech-action_history-000243-plus-m0,mech-action_history-000243-minus-m0,information_sampling,30,action_residualized,-0.75,-0.875,-0.125
mech-action_history-000243-plus-m0,mech-action_history-000243-minus-m0,information_sampling,30,persistence,-0.75,-0.75,0.0
