layer,direction,task_family,behavioral_beta_action,expected_slope_per_standardized_dose,observed_slope_per_standardized_dose,slope_error,task_slope_beta_correlation,predicted_observed_correlation
8,action_orthogonal,bandit,-0.0663305549562136,-0.06915603896973493,-0.01041666666666667,0.05873937230306826,,
8,action_orthogonal,debugging,-0.0068218330930218,-0.007112422857572508,-0.017857142857142856,-0.010744719999570348,,
8,action_orthogonal,effort,-0.0810053890804208,-0.08445597730491092,0.009672619047619046,0.09412859635252996,,
8,action_orthogonal,foraging,-0.0279268956942435,-0.029116498244432493,-1.0706945744044232e-18,0.029116498244432493,,
8,action_orthogonal,information_sampling,0.0608647345257897,0.06345739087403467,-0.0014880952380952363,-0.0649454861121299,,
8,action_orthogonal,solvability,-0.1664033951514311,-0.17349168399669124,-0.005208333333333335,0.1682833506633579,,
8,action_orthogonal,waiting,-0.0035162010376193,-0.0036659807255275166,-0.0066964285714285745,-0.003030447845901058,,
8,action_raw,bandit,-0.0663305549562136,-0.06915603896973493,0.002976190476190475,0.07213222944592541,,
8,action_raw,debugging,-0.0068218330930218,-0.007112422857572508,-0.009672619047619051,-0.0025601961900465434,,
8,action_raw,effort,-0.0810053890804208,-0.08445597730491092,0.0007440476190476187,0.08520002492395853,,
8,action_raw,foraging,-0.0279268956942435,-0.029116498244432493,-0.0037202380952380976,0.025396260149194397,,
8,action_raw,information_sampling,0.0608647345257897,0.06345739087403467,0.005208333333333335,-0.05824905754070133,,
8,action_raw,solvability,-0.1664033951514311,-0.17349168399669124,-0.006696428571428572,0.16679525542526266,,
8,action_raw,waiting,-0.0035162010376193,-0.0036659807255275166,-0.002976190476190477,0.0006897902493370398,,
8,action_residualized,bandit,-0.0663305549562136,-0.06915603896973493,0.003720238095238094,0.07287627706497303,,
8,action_residualized,debugging,-0.0068218330930218,-0.007112422857572508,-0.011904761904761902,-0.004792339047189394,,
8,action_residualized,effort,-0.0810053890804208,-0.08445597730491092,0.0066964285714285745,0.09115240587633949,,
8,action_residualized,foraging,-0.0279268956942435,-0.029116498244432493,0.004464285714285715,0.033580783958718205,,
8,action_residualized,information_sampling,0.0608647345257897,0.06345739087403467,0.007440476190476191,-0.056016914683558475,,
8,action_residualized,solvability,-0.1664033951514311,-0.17349168399669124,0.001488095238095238,0.17497977923478647,,
8,action_residualized,waiting,-0.0035162010376193,-0.0036659807255275166,1.0706945744044232e-18,0.0036659807255275175,,
30,action_orthogonal,bandit,-0.0663305549562136,-0.06915603896973493,0.005208333333333333,0.07436437230306826,,
30,action_orthogonal,debugging,-0.0068218330930218,-0.007112422857572508,0.022321428571428572,0.02943385142900108,,
30,action_orthogonal,effort,-0.0810053890804208,-0.08445597730491092,0.01785714285714286,0.10231312016205378,,
30,action_orthogonal,foraging,-0.0279268956942435,-0.029116498244432493,-0.005208333333333335,0.023908164911099157,,
30,action_orthogonal,information_sampling,0.0608647345257897,0.06345739087403467,2.1413891488088465e-18,-0.06345739087403467,,
30,action_orthogonal,solvability,-0.1664033951514311,-0.17349168399669124,0.0007440476190476197,0.17423573161573885,,
30,action_orthogonal,waiting,-0.0035162010376193,-0.0036659807255275166,0.006696428571428572,0.010362409296956088,,
30,action_raw,bandit,-0.0663305549562136,-0.06915603896973493,0.005208333333333331,0.07436437230306826,,
30,action_raw,debugging,-0.0068218330930218,-0.007112422857572508,0.026041666666666664,0.03315408952423917,,
30,action_raw,effort,-0.0810053890804208,-0.08445597730491092,0.034970238095238096,0.11942621540014901,,
30,action_raw,foraging,-0.0279268956942435,-0.029116498244432493,-0.0014880952380952389,0.027628403006337253,,
30,action_raw,information_sampling,0.0608647345257897,0.06345739087403467,0.0037202380952380976,-0.05973715277879657,,
30,action_raw,solvability,-0.1664033951514311,-0.17349168399669124,0.011160714285714288,0.18465239828240554,,
30,action_raw,waiting,-0.0035162010376193,-0.0036659807255275166,0.004464285714285714,0.008130266439813232,,
30,action_residualized,bandit,-0.0663305549562136,-0.06915603896973493,-0.0007440476190476189,0.06841199135068732,,
30,action_residualized,debugging,-0.0068218330930218,-0.007112422857572508,-0.014880952380952385,-0.007768529523379877,,
30,action_residualized,effort,-0.0810053890804208,-0.08445597730491092,0.006696428571428576,0.09115240587633949,,
30,action_residualized,foraging,-0.0279268956942435,-0.029116498244432493,0.004464285714285714,0.033580783958718205,,
30,action_residualized,information_sampling,0.0608647345257897,0.06345739087403467,-0.002976190476190477,-0.06643358135022515,,
30,action_residualized,solvability,-0.1664033951514311,-0.17349168399669124,0.0037202380952380963,0.17721192209192935,,
30,action_residualized,waiting,-0.0035162010376193,-0.0036659807255275166,-0.0014880952380952378,0.0021778854874322786,,
8,action_orthogonal,ALL,,,,,-0.13432792649764444,0.02704869603768718
8,action_raw,ALL,,,,,0.3341100147763131,0.042822004894619244
8,action_residualized,ALL,,,,,-0.04674644727991101,-0.021308573454614132
30,action_orthogonal,ALL,,,,,0.0080053471607872,-0.04154084648185623
30,action_raw,ALL,,,,,-0.2527763697941434,-0.10259644516403015
30,action_residualized,ALL,,,,,-0.4939217716949562,-0.049051302047215695
