predictor,training_residual_correlation
persistence_logit,4.471254072855616e-16
persistence_logit__missing,0.0
outcome_history,-4.386110097460823e-16
outcome_history__missing,0.0
contextual_outcome_history,4.3295523425632174e-17
contextual_outcome_history__missing,0.0
success_evidence,1.6851192172846711e-16
success_evidence__missing,0.0
progress_evidence,1.2898536677573588e-16
progress_evidence__missing,2.0368733309521044e-16
continuation_cost,-1.2555907449502815e-17
continuation_cost__missing,0.0
disengagement_value,-1.0068862515392612e-16
disengagement_value__missing,0.0
continuation_value,7.601422603837689e-17
continuation_value__missing,0.0
task_family=bandit,2.0368733309521044e-16
task_family=debugging,-1.706763425898748e-16
task_family=foraging,2.0406204491487196e-16
task_family=solvability,-3.880397934250143e-16
response_mapping=continue_x,-6.196340320988088e-17
response_mapping=continue_y,6.196340320988088e-17
