architecture,variant,task_family,parameter,mu,ontology_effect,random_effect,estimate
dual_history,M4,bandit,intercept,-0.3043494653730926,0.2360404566297494,0.020800361544116,-0.0475086471992272
dual_history,M4,bandit,factor_continuation_value,0.2489474241601726,0.0695356903594772,0.0189224233316669,0.3374055378513168
dual_history,M4,bandit,factor_continuation_value__available,0.0,0.0,0.0,0.0
dual_history,M4,bandit,factor_disengagement_value,-0.3973288792744673,-0.0274547891069407,-0.0466785015698437,-0.4714621699512519
dual_history,M4,bandit,factor_disengagement_value__available,0.0,0.0,0.0,0.0
dual_history,M4,bandit,factor_continuation_cost,-0.124996552358197,0.0081810283854493,0.0047890639056335,-0.112026460067114
dual_history,M4,bandit,factor_continuation_cost__available,0.0,0.0,0.0,0.0
dual_history,M4,bandit,factor_progress_evidence,0.2666982533502767,0.0082763587267109,-0.0011182230510836,0.273856389025904
dual_history,M4,bandit,factor_progress_evidence__available,-0.2591465798154586,-0.1062274058322085,-0.033219901130768,-0.3985938867784353
dual_history,M4,bandit,factor_success_evidence,0.4780964294796959,0.2059323146917269,0.0955876476940372,0.7796163918654602
dual_history,M4,bandit,factor_success_evidence__available,0.0,0.0,0.0,0.0
dual_history,M4,bandit,factor_uncertainty,0.0057410384588745,-0.0153077532906505,-0.0074804002744549,-0.0170471151062309
dual_history,M4,bandit,factor_uncertainty__available,0.0,0.0,0.0,0.0
dual_history,M4,bandit,factor_prior_investment,-0.100370704251802,-0.007412340967867,-0.0093496034799942,-0.1171326486996632
dual_history,M4,bandit,factor_prior_investment__available,0.0,0.0,0.0,0.0
dual_history,M4,bandit,factor_controllability,0.0723807924025385,-0.0199956359226475,-0.0016559506652781,0.0507292058146129
dual_history,M4,bandit,factor_controllability__available,0.3654894165825401,0.027101557007499,-0.024156820437423,0.3684341531526161
dual_history,M4,bandit,factor_environmental_stability,0.0949518861717367,0.0313088294946745,0.00729834762579,0.1335590632922013
dual_history,M4,bandit,factor_environmental_stability__available,0.0,0.0,0.0,0.0
dual_history,M4,bandit,factor_goal_continuity,0.0448784042807782,0.0428731475367559,0.007784516095652,0.0955360679131862
dual_history,M4,bandit,factor_goal_continuity__available,0.0,0.0,0.0,0.0
dual_history,M4,bandit,history_action_1,0.0660189607356277,0.0454044247375283,0.0109908411553578,0.1224142266285139
dual_history,M4,bandit,history_action_1__available,-0.0315997712201594,-0.0047478577763804,0.000456193060306,-0.0358914359362338
dual_history,M4,bandit,history_action_kernel,-0.0401571771706426,-0.0229830134856211,-0.0031903642999499,-0.0663305549562136
dual_history,M4,bandit,history_action_kernel__available,-0.0315997712201635,-0.0047478577763807,0.0004561930603061,-0.0358914359362381
dual_history,M4,bandit,history_outcome_1,0.076414598969417,0.0890507987087709,0.0241056838050396,0.1895710814832276
dual_history,M4,bandit,history_outcome_1__available,-0.0315997712201633,-0.0047478577763806,0.0004561930603061,-0.0358914359362379
dual_history,M4,bandit,history_outcome_kernel,0.2130528811458357,0.0301697028585292,0.0166505614612747,0.2598731454656397
