job_index,layer,scope,target_variable,task_family,theory,validation_correlation,validation_mean_cfr,rank,artifact,training_examples,validation_examples,final_training_loss,validation_slope,validation_intercept,validation_rmse,validation_sign_accuracy,validation_median_cfr,validation_fraction_behavioral_effect_recovered
0,30,shared,outcome_history,,dual_history,0.7097823075824583,0.88040646942719,1,artifacts/causal_mech_v1/representations/alignments/outcome_history__dual_history__L30__rank1__shared__all_tasks.safetensors,24,22,0.1435737084493666,1.3933328196281474,-0.4420737285013638,0.3797879964989033,1.0,0.8641779250376831,0.98731448650603
0,30,shared,outcome_history,,dual_history,0.7835965028255595,0.9324502367375878,2,artifacts/causal_mech_v1/representations/alignments/outcome_history__dual_history__L30__rank2__shared__all_tasks.safetensors,24,22,0.0794684287514731,1.3319624347915142,-0.3283470298754581,0.2952657752081949,1.0,0.9597858370038213,0.933048796107125
0,30,shared,outcome_history,,dual_history,0.7606411043276909,0.9120902426953236,4,artifacts/causal_mech_v1/representations/alignments/outcome_history__dual_history__L30__rank4__shared__all_tasks.safetensors,24,22,0.0931365623640279,1.2882759566075783,-0.1945202585784685,0.3256826662528155,1.0,0.9770490089220828,1.0879032088960066
0,30,shared,outcome_history,,dual_history,0.7711722746989522,0.881875033487632,8,artifacts/causal_mech_v1/representations/alignments/outcome_history__dual_history__L30__rank8__shared__all_tasks.safetensors,24,22,0.1251138012100151,1.4792792479125985,-0.3331403143885583,0.4001272003017798,1.0,0.9770490089220828,1.087903208896007
1,29,shared,outcome_history,,dual_history,0.6692771536815175,0.880271501581814,1,artifacts/causal_mech_v1/representations/alignments/outcome_history__dual_history__L29__rank1__shared__all_tasks.safetensors,24,22,0.1234542548336321,1.1846709559623956,-0.3292637469532612,0.3720292018296716,1.0,0.916228008899093,0.824686176404144
1,29,shared,outcome_history,,dual_history,0.7290590948981094,0.9353010591168536,2,artifacts/causal_mech_v1/representations/alignments/outcome_history__dual_history__L29__rank2__shared__all_tasks.safetensors,24,22,0.097489642477285,1.0869197936367996,-0.1182466742647961,0.2713780943314286,1.0,0.9759327762781768,0.9460801776858228
1,29,shared,outcome_history,,dual_history,0.7290076086265235,0.9492200076772424,4,artifacts/causal_mech_v1/representations/alignments/outcome_history__dual_history__L29__rank4__shared__all_tasks.safetensors,24,22,0.0820799618328844,0.9883815042765428,-0.0824903171681409,0.2630774705731296,1.0,0.977285145527574,0.985005561327087
1,29,shared,outcome_history,,dual_history,0.6542784193519295,0.9345906890182956,8,artifacts/causal_mech_v1/representations/alignments/outcome_history__dual_history__L29__rank8__shared__all_tasks.safetensors,24,22,0.0470103363889696,0.953355531760994,-0.0435252924754819,0.3065682418170077,1.0,0.9759327762781768,0.907949622384388
2,28,shared,outcome_history,,dual_history,0.1788821220705217,0.522571409258272,1,artifacts/causal_mech_v1/representations/alignments/outcome_history__dual_history__L28__rank1__shared__all_tasks.safetensors,24,22,0.7198288271786927,0.2939646111355551,0.1218395022991208,0.8108947625723488,0.7727272727272727,0.5057405111457558,0.3065349635821343
2,28,shared,outcome_history,,dual_history,0.8032670348889253,0.9550630033751804,2,artifacts/causal_mech_v1/representations/alignments/outcome_history__dual_history__L28__rank2__shared__all_tasks.safetensors,24,22,0.0639787821176772,1.070120071420736,-0.0995576402718601,0.2115195405920991,1.0,0.9801644014555142,0.9698144971523356
2,28,shared,outcome_history,,dual_history,0.7658044846081277,0.9533108677270836,4,artifacts/causal_mech_v1/representations/alignments/outcome_history__dual_history__L28__rank4__shared__all_tasks.safetensors,24,22,0.077572857095826,1.029214926293636,-0.0881431750515575,0.2351080966336501,1.0,0.9757545460428596,0.8842153029178754
2,28,shared,outcome_history,,dual_history,0.8319074620275967,0.956181279767743,8,artifacts/causal_mech_v1/representations/alignments/outcome_history__dual_history__L28__rank8__shared__all_tasks.safetensors,24,22,0.080877088991959,1.0569605324061764,-0.1587818041006879,0.20979601887623,1.0,0.97250980471642,0.8527831464643478
3,30,shared,outcome_history,,outcome_history,0.7887267699595251,0.9236706685130124,1,artifacts/causal_mech_v1/representations/alignments/outcome_history__outcome_history__L30__rank1__shared__all_tasks.safetensors,24,22,0.1141027821837876,1.2995451496299435,-0.424618650821463,0.2898251890049828,1.0,0.9306038840563762,0.8613187583743857
3,30,shared,outcome_history,,outcome_history,0.8129804922611475,0.9543658453860754,2,artifacts/causal_mech_v1/representations/alignments/outcome_history__outcome_history__L30__rank2__shared__all_tasks.safetensors,24,22,0.0791354258853971,1.143238450005465,-0.1773545301875053,0.2169991639267168,1.0,0.977352065687874,0.9124208399155116
3,30,shared,outcome_history,,outcome_history,0.8285841166780025,0.9579653454966276,4,artifacts/causal_mech_v1/representations/alignments/outcome_history__outcome_history__L30__rank4__shared__all_tasks.safetensors,24,22,0.0836083617803827,1.2334726773862676,-0.2888204575161485,0.2270893808637888,1.0,0.974790451653617,0.9888843927081948
3,30,shared,outcome_history,,outcome_history,0.7670829429919636,0.9488221078561292,8,artifacts/causal_mech_v1/representations/alignments/outcome_history__outcome_history__L30__rank8__shared__all_tasks.safetensors,24,22,0.0925171456286382,1.1364964043521812,-0.2153297162539972,0.2578089563482241,1.0,0.9580705538550304,0.9888843927081948
4,29,shared,outcome_history,,outcome_history,0.6938448375263885,0.8775082280081304,1,artifacts/causal_mech_v1/representations/alignments/outcome_history__outcome_history__L29__rank1__shared__all_tasks.safetensors,24,22,0.1462879999386738,1.260937644030425,-0.4158799167588214,0.3693934517201525,1.0,0.9175462654342976,0.8880316215991184
4,29,shared,outcome_history,,outcome_history,0.7964663334471842,0.9462560336603372,2,artifacts/causal_mech_v1/representations/alignments/outcome_history__outcome_history__L29__rank2__shared__all_tasks.safetensors,24,22,0.0862042561517834,1.2425084055062328,-0.2647534286267987,0.2533721247533548,1.0,0.9807675134748314,0.8880316215991186
4,29,shared,outcome_history,,outcome_history,0.8355834376956591,0.9551549158042448,4,artifacts/causal_mech_v1/representations/alignments/outcome_history__outcome_history__L29__rank4__shared__all_tasks.safetensors,24,22,0.0806248163421514,1.25190191591046,-0.2524469456481708,0.2255066445437807,1.0,0.9807675134748314,0.9718343131722256
4,29,shared,outcome_history,,outcome_history,0.8356151245470187,0.947287349461459,8,artifacts/causal_mech_v1/representations/alignments/outcome_history__outcome_history__L29__rank8__shared__all_tasks.safetensors,24,22,0.0903554694417228,1.2964048748119354,-0.3359076811349896,0.2347959167775425,1.0,0.9807675134748314,0.9718343131722256
5,28,shared,outcome_history,,outcome_history,0.6716024925950299,0.8605343132709169,1,artifacts/causal_mech_v1/representations/alignments/outcome_history__outcome_history__L28__rank1__shared__all_tasks.safetensors,24,22,0.1733590085932519,1.146215788134452,-0.3283847443411095,0.3704530944996588,1.0,0.9724947763882008,0.8613187583743857
5,28,shared,outcome_history,,outcome_history,0.7473902251020628,0.949201046346483,2,artifacts/causal_mech_v1/representations/alignments/outcome_history__outcome_history__L28__rank2__shared__all_tasks.safetensors,24,22,0.080042709657088,1.0756949527041737,-0.1194698942794284,0.2520057279101711,1.0,0.974790451653617,0.9238121637029886
5,28,shared,outcome_history,,outcome_history,0.6871583607782031,0.9320000372687284,4,artifacts/causal_mech_v1/representations/alignments/outcome_history__outcome_history__L28__rank4__shared__all_tasks.safetensors,24,22,0.0949900797313603,1.0516129763577895,-0.1211633909709868,0.296468745501976,1.0,0.97527710215547,0.9832256369597028
5,28,shared,outcome_history,,outcome_history,0.6846052385577434,0.9168089998105012,8,artifacts/causal_mech_v1/representations/alignments/outcome_history__outcome_history__L28__rank8__shared__all_tasks.safetensors,24,22,0.0664180303056127,1.2996249284206869,-0.3394798815363499,0.3683196235829294,1.0,0.9767341150247812,0.9474450948558324
6,31,shared,contextual_outcome_history,,latent_context,0.0161227759723343,0.8616476995700526,1,artifacts/causal_mech_v1/representations/alignments/contextual_outcome_history__latent_context__L31__rank1__shared__all_tasks.safetensors,18,18,0.23966233002203,0.0242582583691638,0.9948210771655436,0.4134493518566792,1.0,0.9209753889501676,1.087626705918758
6,31,shared,contextual_outcome_history,,latent_context,0.2876362502339719,0.8715093514682738,2,artifacts/causal_mech_v1/representations/alignments/contextual_outcome_history__latent_context__L31__rank2__shared__all_tasks.safetensors,18,18,0.0869121316613422,0.4230677144971114,0.6157867416388233,0.348273753441793,1.0,0.9275220211509246,1.0336687726374785
6,31,shared,contextual_outcome_history,,latent_context,0.3617036491000677,0.8780635820152491,4,artifacts/causal_mech_v1/representations/alignments/contextual_outcome_history__latent_context__L31__rank4__shared__all_tasks.safetensors,18,18,0.1187229100259072,0.5145010645924604,0.5732978420333803,0.3273553514996744,1.0,0.9643522742043504,0.9713497084308464
6,31,shared,contextual_outcome_history,,latent_context,0.1331932728155115,0.6433336219879774,8,artifacts/causal_mech_v1/representations/alignments/contextual_outcome_history__latent_context__L31__rank8__shared__all_tasks.safetensors,18,18,0.1915496729456612,0.3207217227049999,0.746366212379409,0.5679542480658899,1.0,0.7565672198852851,0.8961323799367045
7,30,shared,contextual_outcome_history,,latent_context,0.2690937122832593,0.8139947985233531,1,artifacts/causal_mech_v1/representations/alignments/contextual_outcome_history__latent_context__L30__rank1__shared__all_tasks.safetensors,18,18,0.26874237793446,0.2440880394552163,0.3979853525270109,0.48997876159001,1.0,0.7946376262834419,0.5468307422464669
7,30,shared,contextual_outcome_history,,latent_context,0.3929034581229094,0.9038684316027,2,artifacts/causal_mech_v1/representations/alignments/contextual_outcome_history__latent_context__L30__rank2__shared__all_tasks.safetensors,18,18,0.156328147639417,0.4326443290474975,0.3832954660033732,0.3481059438776486,1.0,0.9421050036987592,0.8157200294390686
7,30,shared,contextual_outcome_history,,latent_context,0.3754449765955144,0.905514989141292,4,artifacts/causal_mech_v1/representations/alignments/contextual_outcome_history__latent_context__L30__rank4__shared__all_tasks.safetensors,18,18,0.1632037555100396,0.4116885356939467,0.4127109162643251,0.3460679556684704,1.0,0.9437731369104724,0.8581892466532024
