pair_id,contrast_id,base_condition_id,source_condition_id,target_variable,counterfactual_subtype,task_family,response_mapping,pair_split,base_persistence_logit,intervened_persistence_logit,neural_counterfactual_effect,intervention_norm,intervention_type,layer,rank,theory,predicted_counterfactual_effect,artifact_id,control
cf:contextual_outcome_history:mech-contextual_history-000151:continue_x,mech-contextual_history-000151,mech-contextual_history-000151-minus-m0,mech-contextual_history-000151-plus-m0,contextual_outcome_history,context_isolated,bandit,continue_x,mech_pair_test,-0.125,0.0,0.125,1.2121081352233887,generic_value,30,1,latent_context,1.3948831980474694,das_000_contextual_outcome_history_latent_context_L30_r8,generic_value
cf:contextual_outcome_history:mech-contextual_history-000151:continue_y,mech-contextual_history-000151,mech-contextual_history-000151-minus-m1,mech-contextual_history-000151-plus-m1,contextual_outcome_history,context_isolated,bandit,continue_y,mech_pair_test,0.375,0.375,0.0,1.0559250116348267,generic_value,30,1,latent_context,1.3948831980474696,das_000_contextual_outcome_history_latent_context_L30_r8,generic_value
cf:contextual_outcome_history:mech-contextual_history-000196:continue_x,mech-contextual_history-000196,mech-contextual_history-000196-minus-m0,mech-contextual_history-000196-plus-m0,contextual_outcome_history,context_isolated,bandit,continue_x,mech_pair_test,0.5,0.5,0.0,1.1600627899169922,generic_value,30,1,latent_context,1.3948831980474692,das_000_contextual_outcome_history_latent_context_L30_r8,generic_value
cf:contextual_outcome_history:mech-contextual_history-000206:continue_x,mech-contextual_history-000206,mech-contextual_history-000206-minus-m0,mech-contextual_history-000206-plus-m0,contextual_outcome_history,context_isolated,debugging,continue_x,mech_pair_test,-0.625,-0.5,0.125,1.4378182888031006,generic_value,30,1,latent_context,0.8636882835472357,das_000_contextual_outcome_history_latent_context_L30_r8,generic_value
cf:contextual_outcome_history:mech-contextual_history-000206:continue_y,mech-contextual_history-000206,mech-contextual_history-000206-minus-m1,mech-contextual_history-000206-plus-m1,contextual_outcome_history,context_isolated,debugging,continue_y,mech_pair_test,0.125,0.125,0.0,1.241283893585205,generic_value,30,1,latent_context,0.8636882835472354,das_000_contextual_outcome_history_latent_context_L30_r8,generic_value
cf:contextual_outcome_history:mech-contextual_history-000221:continue_x,mech-contextual_history-000221,mech-contextual_history-000221-minus-m0,mech-contextual_history-000221-plus-m0,contextual_outcome_history,context_isolated,debugging,continue_x,mech_pair_test,-1.75,-1.625,0.125,0.9825204610824585,generic_value,30,1,latent_context,0.9143597120123887,das_000_contextual_outcome_history_latent_context_L30_r8,generic_value
cf:contextual_outcome_history:mech-contextual_history-000221:continue_y,mech-contextual_history-000221,mech-contextual_history-000221-minus-m1,mech-contextual_history-000221-plus-m1,contextual_outcome_history,context_isolated,debugging,continue_y,mech_pair_test,-0.875,-0.75,0.125,0.9960435628890991,generic_value,30,1,latent_context,0.9143597120123892,das_000_contextual_outcome_history_latent_context_L30_r8,generic_value
cf:contextual_outcome_history:mech-contextual_history-000326:continue_y,mech-contextual_history-000326,mech-contextual_history-000326-minus-m1,mech-contextual_history-000326-plus-m1,contextual_outcome_history,context_isolated,debugging,continue_y,mech_pair_test,-1.125,-1.125,0.0,0.9119649529457092,generic_value,30,1,latent_context,0.8636882835472357,das_000_contextual_outcome_history_latent_context_L30_r8,generic_value
cf:contextual_outcome_history:mech-contextual_history-000336:continue_x,mech-contextual_history-000336,mech-contextual_history-000336-minus-m0,mech-contextual_history-000336-plus-m0,contextual_outcome_history,context_isolated,foraging,continue_x,mech_pair_test,-0.125,-0.125,0.0,2.1497182846069336,generic_value,30,1,latent_context,0.9245631136089386,das_000_contextual_outcome_history_latent_context_L30_r8,generic_value
cf:contextual_outcome_history:mech-contextual_history-000336:continue_y,mech-contextual_history-000336,mech-contextual_history-000336-minus-m1,mech-contextual_history-000336-plus-m1,contextual_outcome_history,context_isolated,foraging,continue_y,mech_pair_test,0.625,0.5,-0.125,1.5213899612426758,generic_value,30,1,latent_context,0.9245631136089387,das_000_contextual_outcome_history_latent_context_L30_r8,generic_value
cf:contextual_outcome_history:mech-contextual_history-000486:continue_x,mech-contextual_history-000486,mech-contextual_history-000486-minus-m0,mech-contextual_history-000486-plus-m0,contextual_outcome_history,context_isolated,foraging,continue_x,mech_pair_test,0.625,0.625,0.0,1.9202568531036377,generic_value,30,1,latent_context,0.9245631136089392,das_000_contextual_outcome_history_latent_context_L30_r8,generic_value
cf:contextual_outcome_history:mech-contextual_history-000486:continue_y,mech-contextual_history-000486,mech-contextual_history-000486-minus-m1,mech-contextual_history-000486-plus-m1,contextual_outcome_history,context_isolated,foraging,continue_y,mech_pair_test,0.875,0.875,0.0,1.7172764539718628,generic_value,30,1,latent_context,0.9245631136089397,das_000_contextual_outcome_history_latent_context_L30_r8,generic_value
cf:contextual_outcome_history:mech-contextual_history-000731:continue_x,mech-contextual_history-000731,mech-contextual_history-000731-minus-m0,mech-contextual_history-000731-plus-m0,contextual_outcome_history,context_isolated,debugging,continue_x,mech_pair_test,-1.625,-1.625,0.0,0.8722244501113892,generic_value,30,1,latent_context,0.8636882835472357,das_000_contextual_outcome_history_latent_context_L30_r8,generic_value
cf:contextual_outcome_history:mech-contextual_history-000991:continue_x,mech-contextual_history-000991,mech-contextual_history-000991-minus-m0,mech-contextual_history-000991-plus-m0,contextual_outcome_history,context_isolated,bandit,continue_x,mech_pair_test,0.0,0.0,0.0,1.4624403715133667,generic_value,30,1,latent_context,1.39488319804747,das_000_contextual_outcome_history_latent_context_L30_r8,generic_value
cf:contextual_outcome_history:mech-contextual_history-000991:continue_y,mech-contextual_history-000991,mech-contextual_history-000991-minus-m1,mech-contextual_history-000991-plus-m1,contextual_outcome_history,context_isolated,bandit,continue_y,mech_pair_test,0.625,0.625,0.0,1.1291332244873047,generic_value,30,1,latent_context,1.3948831980474696,das_000_contextual_outcome_history_latent_context_L30_r8,generic_value
cf:contextual_outcome_history:mech-contextual_history-001056:continue_x,mech-contextual_history-001056,mech-contextual_history-001056-minus-m0,mech-contextual_history-001056-plus-m0,contextual_outcome_history,context_isolated,foraging,continue_x,mech_pair_test,-1.0,-0.875,0.125,1.4309006929397583,generic_value,30,1,latent_context,0.9073550577971601,das_000_contextual_outcome_history_latent_context_L30_r8,generic_value
cf:contextual_outcome_history:mech-contextual_history-001056:continue_y,mech-contextual_history-001056,mech-contextual_history-001056-minus-m1,mech-contextual_history-001056-plus-m1,contextual_outcome_history,context_isolated,foraging,continue_y,mech_pair_test,0.0,-0.125,-0.125,1.171393871307373,generic_value,30,1,latent_context,0.9073550577971602,das_000_contextual_outcome_history_latent_context_L30_r8,generic_value
cf:contextual_outcome_history:mech-contextual_history-001156:continue_y,mech-contextual_history-001156,mech-contextual_history-001156-minus-m1,mech-contextual_history-001156-plus-m1,contextual_outcome_history,context_isolated,bandit,continue_y,mech_pair_test,0.625,0.625,0.0,1.3725602626800537,generic_value,30,1,latent_context,1.3948831980474692,das_000_contextual_outcome_history_latent_context_L30_r8,generic_value
cf:outcome_history:mech-outcome_history-000000:continue_x,mech-outcome_history-000000,mech-outcome_history-000000-minus-m0,mech-outcome_history-000000-plus-m0,outcome_history,history_isolated,bandit,continue_x,mech_pair_test,-1.625,-1.5,0.125,3.299480676651001,generic_value,28,1,dual_history,1.3094168410480993,das_001_outcome_history_dual_history_L28_r2,generic_value
cf:outcome_history:mech-outcome_history-000000:continue_y,mech-outcome_history-000000,mech-outcome_history-000000-minus-m1,mech-outcome_history-000000-plus-m1,outcome_history,history_isolated,bandit,continue_y,mech_pair_test,-1.125,-1.125,0.0,2.8160629272460938,generic_value,28,1,dual_history,1.3094168410480995,das_001_outcome_history_dual_history_L28_r2,generic_value
cf:outcome_history:mech-outcome_history-000070:continue_x,mech-outcome_history-000070,mech-outcome_history-000070-minus-m0,mech-outcome_history-000070-plus-m0,outcome_history,history_isolated,bandit,continue_x,mech_pair_test,-0.375,-0.125,0.25,4.939211368560791,generic_value,28,1,dual_history,1.3094168410480997,das_001_outcome_history_dual_history_L28_r2,generic_value
cf:outcome_history:mech-outcome_history-000070:continue_y,mech-outcome_history-000070,mech-outcome_history-000070-minus-m1,mech-outcome_history-000070-plus-m1,outcome_history,history_isolated,bandit,continue_y,mech_pair_test,-0.5,-0.375,0.125,4.1846137046813965,generic_value,28,1,dual_history,1.3094168410480997,das_001_outcome_history_dual_history_L28_r2,generic_value
cf:outcome_history:mech-outcome_history-000085:continue_x,mech-outcome_history-000085,mech-outcome_history-000085-minus-m0,mech-outcome_history-000085-plus-m0,outcome_history,history_isolated,debugging,continue_x,mech_pair_test,-1.0,-1.0,0.0,3.3323943614959717,generic_value,28,1,dual_history,0.8883198576271205,das_001_outcome_history_dual_history_L28_r2,generic_value
cf:outcome_history:mech-outcome_history-000110:continue_x,mech-outcome_history-000110,mech-outcome_history-000110-minus-m0,mech-outcome_history-000110-plus-m0,outcome_history,history_isolated,foraging,continue_x,mech_pair_test,-1.375,-1.25,0.125,2.109039783477783,generic_value,28,1,dual_history,0.8708011878799057,das_001_outcome_history_dual_history_L28_r2,generic_value
cf:outcome_history:mech-outcome_history-000295:continue_x,mech-outcome_history-000295,mech-outcome_history-000295-minus-m0,mech-outcome_history-000295-plus-m0,outcome_history,history_isolated,debugging,continue_x,mech_pair_test,-1.25,-1.25,0.0,2.848708391189575,generic_value,28,1,dual_history,0.8883198576271203,das_001_outcome_history_dual_history_L28_r2,generic_value
cf:outcome_history:mech-outcome_history-000295:continue_y,mech-outcome_history-000295,mech-outcome_history-000295-minus-m1,mech-outcome_history-000295-plus-m1,outcome_history,history_isolated,debugging,continue_y,mech_pair_test,-1.125,-1.25,-0.125,1.7741183042526245,generic_value,28,1,dual_history,0.8883198576271201,das_001_outcome_history_dual_history_L28_r2,generic_value
cf:outcome_history:mech-outcome_history-000460:continue_y,mech-outcome_history-000460,mech-outcome_history-000460-minus-m1,mech-outcome_history-000460-plus-m1,outcome_history,history_isolated,foraging,continue_y,mech_pair_test,-1.5,-1.5,0.0,1.4244240522384644,generic_value,28,1,dual_history,0.8708011878799056,das_001_outcome_history_dual_history_L28_r2,generic_value
cf:outcome_history:mech-outcome_history-000465:continue_x,mech-outcome_history-000465,mech-outcome_history-000465-minus-m0,mech-outcome_history-000465-plus-m0,outcome_history,history_isolated,solvability,continue_x,mech_pair_test,-1.375,-1.375,0.0,4.630091190338135,generic_value,28,1,dual_history,1.515728086349574,das_001_outcome_history_dual_history_L28_r2,generic_value
cf:outcome_history:mech-outcome_history-000465:continue_y,mech-outcome_history-000465,mech-outcome_history-000465-minus-m1,mech-outcome_history-000465-plus-m1,outcome_history,history_isolated,solvability,continue_y,mech_pair_test,-1.375,-1.25,0.125,3.3133444786071777,generic_value,28,1,dual_history,1.515728086349574,das_001_outcome_history_dual_history_L28_r2,generic_value
cf:outcome_history:mech-outcome_history-000595:continue_x,mech-outcome_history-000595,mech-outcome_history-000595-minus-m0,mech-outcome_history-000595-plus-m0,outcome_history,history_isolated,bandit,continue_x,mech_pair_test,-1.75,-1.625,0.125,1.7137031555175781,generic_value,28,1,dual_history,1.3094168410480997,das_001_outcome_history_dual_history_L28_r2,generic_value
cf:outcome_history:mech-outcome_history-000595:continue_y,mech-outcome_history-000595,mech-outcome_history-000595-minus-m1,mech-outcome_history-000595-plus-m1,outcome_history,history_isolated,bandit,continue_y,mech_pair_test,-1.75,-1.75,0.0,1.463342547416687,generic_value,28,1,dual_history,1.3094168410480997,das_001_outcome_history_dual_history_L28_r2,generic_value
cf:outcome_history:mech-outcome_history-000600:continue_x,mech-outcome_history-000600,mech-outcome_history-000600-minus-m0,mech-outcome_history-000600-plus-m0,outcome_history,history_isolated,foraging,continue_x,mech_pair_test,-1.875,-1.75,0.125,1.308264970779419,generic_value,28,1,dual_history,0.8708011878799056,das_001_outcome_history_dual_history_L28_r2,generic_value
cf:outcome_history:mech-outcome_history-000600:continue_y,mech-outcome_history-000600,mech-outcome_history-000600-minus-m1,mech-outcome_history-000600-plus-m1,outcome_history,history_isolated,foraging,continue_y,mech_pair_test,-1.25,-1.25,0.0,1.0287885665893555,generic_value,28,1,dual_history,0.8708011878799058,das_001_outcome_history_dual_history_L28_r2,generic_value
cf:outcome_history:mech-outcome_history-000645:continue_y,mech-outcome_history-000645,mech-outcome_history-000645-minus-m1,mech-outcome_history-000645-plus-m1,outcome_history,history_isolated,debugging,continue_y,mech_pair_test,-3.25,-3.25,0.0,0.65204256772995,generic_value,28,1,dual_history,0.8883198576271205,das_001_outcome_history_dual_history_L28_r2,generic_value
cf:outcome_history:mech-outcome_history-000675:continue_x,mech-outcome_history-000675,mech-outcome_history-000675-minus-m0,mech-outcome_history-000675-plus-m0,outcome_history,history_isolated,solvability,continue_x,mech_pair_test,-0.75,-0.625,0.125,3.5312447547912598,generic_value,28,1,dual_history,1.5157280863495735,das_001_outcome_history_dual_history_L28_r2,generic_value
cf:outcome_history:mech-outcome_history-000675:continue_y,mech-outcome_history-000675,mech-outcome_history-000675-minus-m1,mech-outcome_history-000675-plus-m1,outcome_history,history_isolated,solvability,continue_y,mech_pair_test,-0.5,-0.625,-0.125,2.514143466949463,generic_value,28,1,dual_history,1.515728086349574,das_001_outcome_history_dual_history_L28_r2,generic_value
cf:outcome_history:mech-outcome_history-000710:continue_x,mech-outcome_history-000710,mech-outcome_history-000710-minus-m0,mech-outcome_history-000710-plus-m0,outcome_history,history_isolated,solvability,continue_x,mech_pair_test,-1.625,-1.375,0.25,5.2814812660217285,generic_value,28,1,dual_history,1.515728086349574,das_001_outcome_history_dual_history_L28_r2,generic_value
cf:outcome_history:mech-outcome_history-000710:continue_y,mech-outcome_history-000710,mech-outcome_history-000710-minus-m1,mech-outcome_history-000710-plus-m1,outcome_history,history_isolated,solvability,continue_y,mech_pair_test,-1.375,-1.375,0.0,3.57861590385437,generic_value,28,1,dual_history,1.5157280863495737,das_001_outcome_history_dual_history_L28_r2,generic_value
cf:outcome_history:mech-outcome_history-000810:continue_x,mech-outcome_history-000810,mech-outcome_history-000810-minus-m0,mech-outcome_history-000810-plus-m0,outcome_history,history_isolated,foraging,continue_x,mech_pair_test,0.125,0.25,0.125,3.7797164916992188,generic_value,28,1,dual_history,0.8708011878799052,das_001_outcome_history_dual_history_L28_r2,generic_value
cf:outcome_history:mech-outcome_history-000810:continue_y,mech-outcome_history-000810,mech-outcome_history-000810-minus-m1,mech-outcome_history-000810-plus-m1,outcome_history,history_isolated,foraging,continue_y,mech_pair_test,0.375,0.25,-0.125,3.2376646995544434,generic_value,28,1,dual_history,0.870801187879905,das_001_outcome_history_dual_history_L28_r2,generic_value
cf:outcome_history:mech-outcome_history-000925:continue_x,mech-outcome_history-000925,mech-outcome_history-000925-minus-m0,mech-outcome_history-000925-plus-m0,outcome_history,history_isolated,debugging,continue_x,mech_pair_test,-0.75,-0.5,0.25,3.2062594890594482,generic_value,28,1,dual_history,0.8883198576271205,das_001_outcome_history_dual_history_L28_r2,generic_value
cf:outcome_history:mech-outcome_history-000925:continue_y,mech-outcome_history-000925,mech-outcome_history-000925-minus-m1,mech-outcome_history-000925-plus-m1,outcome_history,history_isolated,debugging,continue_y,mech_pair_test,-0.625,-0.625,0.0,2.157773733139038,generic_value,28,1,dual_history,0.8883198576271203,das_001_outcome_history_dual_history_L28_r2,generic_value
cf:outcome_history:mech-outcome_history-000000:continue_x,mech-outcome_history-000000,mech-outcome_history-000000-minus-m0,mech-outcome_history-000000-plus-m0,outcome_history,history_isolated,bandit,continue_x,mech_pair_test,-1.625,-1.375,0.25,4.433757305145264,generic_value,30,1,outcome_history,1.3014827676557235,das_002_outcome_history_outcome_history_L30_r2,generic_value
cf:outcome_history:mech-outcome_history-000000:continue_y,mech-outcome_history-000000,mech-outcome_history-000000-minus-m1,mech-outcome_history-000000-plus-m1,outcome_history,history_isolated,bandit,continue_y,mech_pair_test,-1.125,-1.0,0.125,3.79814076423645,generic_value,30,1,outcome_history,1.3014827676557235,das_002_outcome_history_outcome_history_L30_r2,generic_value
cf:outcome_history:mech-outcome_history-000070:continue_x,mech-outcome_history-000070,mech-outcome_history-000070-minus-m0,mech-outcome_history-000070-plus-m0,outcome_history,history_isolated,bandit,continue_x,mech_pair_test,-0.375,-0.125,0.25,5.849724292755127,generic_value,30,1,outcome_history,1.3014827676557232,das_002_outcome_history_outcome_history_L30_r2,generic_value
cf:outcome_history:mech-outcome_history-000070:continue_y,mech-outcome_history-000070,mech-outcome_history-000070-minus-m1,mech-outcome_history-000070-plus-m1,outcome_history,history_isolated,bandit,continue_y,mech_pair_test,-0.5,-0.5,0.0,5.088024616241455,generic_value,30,1,outcome_history,1.3014827676557235,das_002_outcome_history_outcome_history_L30_r2,generic_value
cf:outcome_history:mech-outcome_history-000085:continue_x,mech-outcome_history-000085,mech-outcome_history-000085-minus-m0,mech-outcome_history-000085-plus-m0,outcome_history,history_isolated,debugging,continue_x,mech_pair_test,-1.0,-0.875,0.125,3.9363367557525635,generic_value,30,1,outcome_history,0.8899279749312125,das_002_outcome_history_outcome_history_L30_r2,generic_value
cf:outcome_history:mech-outcome_history-000110:continue_x,mech-outcome_history-000110,mech-outcome_history-000110-minus-m0,mech-outcome_history-000110-plus-m0,outcome_history,history_isolated,foraging,continue_x,mech_pair_test,-1.375,-1.25,0.125,2.6754519939422607,generic_value,30,1,outcome_history,0.8707577684892369,das_002_outcome_history_outcome_history_L30_r2,generic_value
cf:outcome_history:mech-outcome_history-000295:continue_x,mech-outcome_history-000295,mech-outcome_history-000295-minus-m0,mech-outcome_history-000295-plus-m0,outcome_history,history_isolated,debugging,continue_x,mech_pair_test,-1.25,-1.125,0.125,3.500809669494629,generic_value,30,1,outcome_history,0.8899279749312128,das_002_outcome_history_outcome_history_L30_r2,generic_value
cf:outcome_history:mech-outcome_history-000295:continue_y,mech-outcome_history-000295,mech-outcome_history-000295-minus-m1,mech-outcome_history-000295-plus-m1,outcome_history,history_isolated,debugging,continue_y,mech_pair_test,-1.125,-1.125,0.0,2.290381908416748,generic_value,30,1,outcome_history,0.8899279749312123,das_002_outcome_history_outcome_history_L30_r2,generic_value
cf:outcome_history:mech-outcome_history-000460:continue_y,mech-outcome_history-000460,mech-outcome_history-000460-minus-m1,mech-outcome_history-000460-plus-m1,outcome_history,history_isolated,foraging,continue_y,mech_pair_test,-1.5,-1.375,0.125,2.0262343883514404,generic_value,30,1,outcome_history,0.870757768489237,das_002_outcome_history_outcome_history_L30_r2,generic_value
cf:outcome_history:mech-outcome_history-000465:continue_x,mech-outcome_history-000465,mech-outcome_history-000465-minus-m0,mech-outcome_history-000465-plus-m0,outcome_history,history_isolated,solvability,continue_x,mech_pair_test,-1.375,-1.25,0.125,5.757435321807861,generic_value,30,1,outcome_history,1.5082301882303164,das_002_outcome_history_outcome_history_L30_r2,generic_value
