pair_id,contrast_id,base_condition_id,source_condition_id,target_variable,counterfactual_subtype,task_family,response_mapping,pair_split,base_persistence_logit,intervened_persistence_logit,neural_counterfactual_effect,intervention_norm,intervention_type,layer,rank,theory,predicted_counterfactual_effect,artifact_id,control
cf:contextual_outcome_history:mech-contextual_history-000151:continue_x,mech-contextual_history-000151,mech-contextual_history-000151-minus-m0,mech-contextual_history-000151-plus-m0,contextual_outcome_history,context_isolated,bandit,continue_x,mech_pair_test,-0.125,-0.125,0.0,0.053388986736536026,response_mapping,30,1,latent_context,1.3948831980474694,das_000_contextual_outcome_history_latent_context_L30_r8,response_mapping
cf:contextual_outcome_history:mech-contextual_history-000151:continue_y,mech-contextual_history-000151,mech-contextual_history-000151-minus-m1,mech-contextual_history-000151-plus-m1,contextual_outcome_history,context_isolated,bandit,continue_y,mech_pair_test,0.375,0.375,0.0,0.7205830216407776,response_mapping,30,1,latent_context,1.3948831980474696,das_000_contextual_outcome_history_latent_context_L30_r8,response_mapping
cf:contextual_outcome_history:mech-contextual_history-000196:continue_x,mech-contextual_history-000196,mech-contextual_history-000196-minus-m0,mech-contextual_history-000196-plus-m0,contextual_outcome_history,context_isolated,bandit,continue_x,mech_pair_test,0.5,0.375,-0.125,0.10526004433631897,response_mapping,30,1,latent_context,1.3948831980474692,das_000_contextual_outcome_history_latent_context_L30_r8,response_mapping
cf:contextual_outcome_history:mech-contextual_history-000206:continue_x,mech-contextual_history-000206,mech-contextual_history-000206-minus-m0,mech-contextual_history-000206-plus-m0,contextual_outcome_history,context_isolated,debugging,continue_x,mech_pair_test,-0.625,-0.5,0.125,0.17025764286518097,response_mapping,30,1,latent_context,0.8636882835472357,das_000_contextual_outcome_history_latent_context_L30_r8,response_mapping
cf:contextual_outcome_history:mech-contextual_history-000206:continue_y,mech-contextual_history-000206,mech-contextual_history-000206-minus-m1,mech-contextual_history-000206-plus-m1,contextual_outcome_history,context_isolated,debugging,continue_y,mech_pair_test,0.125,0.125,0.0,0.7590380311012268,response_mapping,30,1,latent_context,0.8636882835472354,das_000_contextual_outcome_history_latent_context_L30_r8,response_mapping
cf:contextual_outcome_history:mech-contextual_history-000221:continue_x,mech-contextual_history-000221,mech-contextual_history-000221-minus-m0,mech-contextual_history-000221-plus-m0,contextual_outcome_history,context_isolated,debugging,continue_x,mech_pair_test,-1.75,-1.75,0.0,0.11629166454076767,response_mapping,30,1,latent_context,0.9143597120123887,das_000_contextual_outcome_history_latent_context_L30_r8,response_mapping
cf:contextual_outcome_history:mech-contextual_history-000221:continue_y,mech-contextual_history-000221,mech-contextual_history-000221-minus-m1,mech-contextual_history-000221-plus-m1,contextual_outcome_history,context_isolated,debugging,continue_y,mech_pair_test,-0.875,-0.75,0.125,0.7400018572807312,response_mapping,30,1,latent_context,0.9143597120123892,das_000_contextual_outcome_history_latent_context_L30_r8,response_mapping
cf:contextual_outcome_history:mech-contextual_history-000326:continue_y,mech-contextual_history-000326,mech-contextual_history-000326-minus-m1,mech-contextual_history-000326-plus-m1,contextual_outcome_history,context_isolated,debugging,continue_y,mech_pair_test,-1.125,-1.125,0.0,0.6580472588539124,response_mapping,30,1,latent_context,0.8636882835472357,das_000_contextual_outcome_history_latent_context_L30_r8,response_mapping
cf:contextual_outcome_history:mech-contextual_history-000336:continue_x,mech-contextual_history-000336,mech-contextual_history-000336-minus-m0,mech-contextual_history-000336-plus-m0,contextual_outcome_history,context_isolated,foraging,continue_x,mech_pair_test,-0.125,-0.25,-0.125,0.16070348024368286,response_mapping,30,1,latent_context,0.9245631136089386,das_000_contextual_outcome_history_latent_context_L30_r8,response_mapping
cf:contextual_outcome_history:mech-contextual_history-000336:continue_y,mech-contextual_history-000336,mech-contextual_history-000336-minus-m1,mech-contextual_history-000336-plus-m1,contextual_outcome_history,context_isolated,foraging,continue_y,mech_pair_test,0.625,0.625,0.0,0.22641092538833618,response_mapping,30,1,latent_context,0.9245631136089387,das_000_contextual_outcome_history_latent_context_L30_r8,response_mapping
