pair_id,contrast_id,base_condition_id,source_condition_id,target_variable,counterfactual_subtype,task_family,response_mapping,pair_split,base_persistence_logit,intervened_persistence_logit,neural_counterfactual_effect,intervention_norm,intervention_type,layer,rank,theory,predicted_counterfactual_effect,artifact_id,original_source_condition_id,shuffled_source_pair_id,current_state_bin,current_state_score
cf:contextual_outcome_history:mech-contextual_history-000151:continue_x,mech-contextual_history-000151,mech-contextual_history-000151-minus-m0,mech-contextual_history-000196-plus-m0,contextual_outcome_history,context_isolated,bandit,continue_x,mech_pair_test,-0.125,0.75,0.875,1.978932499885559,shuffled_source,30,8,latent_context,1.3948831980474694,das_000_contextual_outcome_history_latent_context_L30_r8,mech-contextual_history-000151-plus-m0,cf:contextual_outcome_history:mech-contextual_history-000196:continue_x,0,
cf:contextual_outcome_history:mech-contextual_history-000151:continue_y,mech-contextual_history-000151,mech-contextual_history-000151-minus-m1,mech-contextual_history-001156-plus-m1,contextual_outcome_history,context_isolated,bandit,continue_y,mech_pair_test,0.375,1.5,1.125,2.0177078247070312,shuffled_source,30,8,latent_context,1.3948831980474696,das_000_contextual_outcome_history_latent_context_L30_r8,mech-contextual_history-000151-plus-m1,cf:contextual_outcome_history:mech-contextual_history-001156:continue_y,0,
cf:contextual_outcome_history:mech-contextual_history-000196:continue_x,mech-contextual_history-000196,mech-contextual_history-000196-minus-m0,mech-contextual_history-000991-plus-m0,contextual_outcome_history,context_isolated,bandit,continue_x,mech_pair_test,0.5,1.0,0.5,2.2836716175079346,shuffled_source,30,8,latent_context,1.3948831980474692,das_000_contextual_outcome_history_latent_context_L30_r8,mech-contextual_history-000196-plus-m0,cf:contextual_outcome_history:mech-contextual_history-000991:continue_x,0,
cf:contextual_outcome_history:mech-contextual_history-000206:continue_x,mech-contextual_history-000206,mech-contextual_history-000206-minus-m0,mech-contextual_history-000731-plus-m0,contextual_outcome_history,context_isolated,debugging,continue_x,mech_pair_test,-0.625,-1.625,-1.0,2.075798273086548,shuffled_source,30,8,latent_context,0.8636882835472357,das_000_contextual_outcome_history_latent_context_L30_r8,mech-contextual_history-000206-plus-m0,cf:contextual_outcome_history:mech-contextual_history-000731:continue_x,0,0.0
cf:contextual_outcome_history:mech-contextual_history-000206:continue_y,mech-contextual_history-000206,mech-contextual_history-000206-minus-m1,mech-contextual_history-000326-plus-m1,contextual_outcome_history,context_isolated,debugging,continue_y,mech_pair_test,0.125,-0.75,-0.875,1.9889404773712158,shuffled_source,30,8,latent_context,0.8636882835472354,das_000_contextual_outcome_history_latent_context_L30_r8,mech-contextual_history-000206-plus-m1,cf:contextual_outcome_history:mech-contextual_history-000326:continue_y,0,0.0
cf:contextual_outcome_history:mech-contextual_history-000221:continue_x,mech-contextual_history-000221,mech-contextual_history-000221-minus-m0,mech-contextual_history-000206-plus-m0,contextual_outcome_history,context_isolated,debugging,continue_x,mech_pair_test,-1.75,-0.875,0.875,1.38306725025177,shuffled_source,30,8,latent_context,0.9143597120123887,das_000_contextual_outcome_history_latent_context_L30_r8,mech-contextual_history-000221-plus-m0,cf:contextual_outcome_history:mech-contextual_history-000206:continue_x,0,-4.0
cf:contextual_outcome_history:mech-contextual_history-000221:continue_y,mech-contextual_history-000221,mech-contextual_history-000221-minus-m1,mech-contextual_history-000206-plus-m1,contextual_outcome_history,context_isolated,debugging,continue_y,mech_pair_test,-0.875,0.125,1.0,1.9125168323516846,shuffled_source,30,8,latent_context,0.9143597120123892,das_000_contextual_outcome_history_latent_context_L30_r8,mech-contextual_history-000221-plus-m1,cf:contextual_outcome_history:mech-contextual_history-000206:continue_y,0,-4.0
cf:contextual_outcome_history:mech-contextual_history-000326:continue_y,mech-contextual_history-000326,mech-contextual_history-000326-minus-m1,mech-contextual_history-000221-plus-m1,contextual_outcome_history,context_isolated,debugging,continue_y,mech_pair_test,-1.125,-0.25,0.875,1.872514009475708,shuffled_source,30,8,latent_context,0.8636882835472357,das_000_contextual_outcome_history_latent_context_L30_r8,mech-contextual_history-000326-plus-m1,cf:contextual_outcome_history:mech-contextual_history-000221:continue_y,0,-4.0
cf:contextual_outcome_history:mech-contextual_history-000336:continue_x,mech-contextual_history-000336,mech-contextual_history-000336-minus-m0,mech-contextual_history-001056-plus-m0,contextual_outcome_history,context_isolated,foraging,continue_x,mech_pair_test,-0.125,-1.0,-0.875,2.7378594875335693,shuffled_source,30,8,latent_context,0.9245631136089386,das_000_contextual_outcome_history_latent_context_L30_r8,mech-contextual_history-000336-plus-m0,cf:contextual_outcome_history:mech-contextual_history-001056:continue_x,0,1.0
cf:contextual_outcome_history:mech-contextual_history-000336:continue_y,mech-contextual_history-000336,mech-contextual_history-000336-minus-m1,mech-contextual_history-001056-plus-m1,contextual_outcome_history,context_isolated,foraging,continue_y,mech_pair_test,0.625,0.25,-0.375,2.193842649459839,shuffled_source,30,8,latent_context,0.9245631136089387,das_000_contextual_outcome_history_latent_context_L30_r8,mech-contextual_history-000336-plus-m1,cf:contextual_outcome_history:mech-contextual_history-001056:continue_y,0,1.0
