pair_id,contrast_id,base_condition_id,source_condition_id,target_variable,counterfactual_subtype,task_family,response_mapping,pair_split,base_persistence_logit,intervened_persistence_logit,neural_counterfactual_effect,intervention_norm,intervention_type,layer,rank,artifact_id,subspace_target,subspace_theory,theory,predicted_counterfactual_effect,original_predicted_counterfactual_effect,shuffled_target_contrast_id
cf:contextual_outcome_history:mech-contextual_history-000151:continue_x,mech-contextual_history-000151,mech-contextual_history-000151-minus-m0,mech-contextual_history-000151-plus-m0,contextual_outcome_history,context_isolated,bandit,continue_x,mech_pair_test,-0.125,0.75,0.875,1.9786527156829834,shuffled_target,30,8,das_000_contextual_outcome_history_latent_context_L30_r8,contextual_outcome_history,latent_context,latent_context,1.3948831980474692,1.3948831980474694,mech-contextual_history-001156
cf:contextual_outcome_history:mech-contextual_history-000151:continue_y,mech-contextual_history-000151,mech-contextual_history-000151-minus-m1,mech-contextual_history-000151-plus-m1,contextual_outcome_history,context_isolated,bandit,continue_y,mech_pair_test,0.375,1.375,1.0,2.01415753364563,shuffled_target,30,8,das_000_contextual_outcome_history_latent_context_L30_r8,contextual_outcome_history,latent_context,latent_context,1.3948831980474692,1.3948831980474696,mech-contextual_history-001156
cf:contextual_outcome_history:mech-contextual_history-000196:continue_x,mech-contextual_history-000196,mech-contextual_history-000196-minus-m0,mech-contextual_history-000196-plus-m0,contextual_outcome_history,context_isolated,bandit,continue_x,mech_pair_test,0.5,1.625,1.125,2.280637264251709,shuffled_target,30,8,das_000_contextual_outcome_history_latent_context_L30_r8,contextual_outcome_history,latent_context,latent_context,1.3948831980474696,1.3948831980474692,mech-contextual_history-000151
cf:contextual_outcome_history:mech-contextual_history-000206:continue_x,mech-contextual_history-000206,mech-contextual_history-000206-minus-m0,mech-contextual_history-000206-plus-m0,contextual_outcome_history,context_isolated,debugging,continue_x,mech_pair_test,-0.625,0.5,1.125,2.0741117000579834,shuffled_target,30,8,das_000_contextual_outcome_history_latent_context_L30_r8,contextual_outcome_history,latent_context,latent_context,0.8636882835472357,0.8636882835472357,mech-contextual_history-000731
cf:contextual_outcome_history:mech-contextual_history-000206:continue_y,mech-contextual_history-000206,mech-contextual_history-000206-minus-m1,mech-contextual_history-000206-plus-m1,contextual_outcome_history,context_isolated,debugging,continue_y,mech_pair_test,0.125,1.0,0.875,1.988722562789917,shuffled_target,30,8,das_000_contextual_outcome_history_latent_context_L30_r8,contextual_outcome_history,latent_context,latent_context,0.8636882835472357,0.8636882835472354,mech-contextual_history-000731
cf:contextual_outcome_history:mech-contextual_history-000221:continue_x,mech-contextual_history-000221,mech-contextual_history-000221-minus-m0,mech-contextual_history-000221-plus-m0,contextual_outcome_history,context_isolated,debugging,continue_x,mech_pair_test,-1.75,-1.125,0.625,1.381350040435791,shuffled_target,30,8,das_000_contextual_outcome_history_latent_context_L30_r8,contextual_outcome_history,latent_context,latent_context,0.8636882835472355,0.9143597120123887,mech-contextual_history-000206
cf:contextual_outcome_history:mech-contextual_history-000221:continue_y,mech-contextual_history-000221,mech-contextual_history-000221-minus-m1,mech-contextual_history-000221-plus-m1,contextual_outcome_history,context_isolated,debugging,continue_y,mech_pair_test,-0.875,0.125,1.0,1.911003589630127,shuffled_target,30,8,das_000_contextual_outcome_history_latent_context_L30_r8,contextual_outcome_history,latent_context,latent_context,0.8636882835472355,0.9143597120123892,mech-contextual_history-000206
cf:contextual_outcome_history:mech-contextual_history-000326:continue_y,mech-contextual_history-000326,mech-contextual_history-000326-minus-m1,mech-contextual_history-000326-plus-m1,contextual_outcome_history,context_isolated,debugging,continue_y,mech_pair_test,-1.125,-0.25,0.875,1.8694244623184204,shuffled_target,30,8,das_000_contextual_outcome_history_latent_context_L30_r8,contextual_outcome_history,latent_context,latent_context,0.914359712012389,0.8636882835472357,mech-contextual_history-000221
cf:contextual_outcome_history:mech-contextual_history-000336:continue_x,mech-contextual_history-000336,mech-contextual_history-000336-minus-m0,mech-contextual_history-000336-plus-m0,contextual_outcome_history,context_isolated,foraging,continue_x,mech_pair_test,-0.125,1.0,1.125,2.728029489517212,shuffled_target,30,8,das_000_contextual_outcome_history_latent_context_L30_r8,contextual_outcome_history,latent_context,latent_context,0.9073550577971601,0.9245631136089386,mech-contextual_history-001056
cf:contextual_outcome_history:mech-contextual_history-000336:continue_y,mech-contextual_history-000336,mech-contextual_history-000336-minus-m1,mech-contextual_history-000336-plus-m1,contextual_outcome_history,context_isolated,foraging,continue_y,mech_pair_test,0.625,1.375,0.75,2.190013885498047,shuffled_target,30,8,das_000_contextual_outcome_history_latent_context_L30_r8,contextual_outcome_history,latent_context,latent_context,0.9073550577971601,0.9245631136089387,mech-contextual_history-001056
