artifact_id,target_variable,theory,comparison,global_cfr,correlation,slope,intercept,rmse,sign_accuracy,examples,thresholded_cfr_threshold,thresholded_cfr_retained,thresholded_cfr_fraction_retained,thresholded_cfr_median,thresholded_cfr_q25,thresholded_cfr_q75
das_000_contextual_outcome_history_latent_context_L30_r8,contextual_outcome_history,latent_context,candidate,0.9301290076517662,0.30208446578576115,0.25891791816049325,0.6618137761526273,0.2881896354464604,1.0,18,0.1,18,1.0,0.9364297157509038,0.904488418564695,0.9780929986349491
das_000_contextual_outcome_history_latent_context_L30_r8,contextual_outcome_history,latent_context,generic_value,0.03184274572983259,-0.012447865550887125,-0.0039889519432797565,0.02508062184146114,1.0727606972879526,0.2777777777777778,18,0.1,18,1.0,1.1698410906646473e-08,5.13954068193101e-09,0.12839696421887467
das_000_contextual_outcome_history_latent_context_L30_r8,contextual_outcome_history,latent_context,persistence_output,0.40076566832211113,0.07241294009558465,0.027220751035113754,0.22796079543136885,0.8439724023702408,0.9444444444444444,18,0.1,18,1.0,0.4676809013185179,0.32633082574219097,0.490130117963514
das_000_contextual_outcome_history_latent_context_L30_r8,contextual_outcome_history,latent_context,persistence_state,-0.009247041815868107,-0.27219749805114685,-0.06842603286935522,0.07285750923933978,1.0952887943026728,0.1111111111111111,18,0.1,18,1.0,1.1698410906646473e-08,5.13954068193101e-09,1.3090777878366211e-08
das_000_contextual_outcome_history_latent_context_L30_r8,contextual_outcome_history,latent_context,response_mapping,-0.03211252408082088,-0.10198434244170705,-0.030812089747233748,0.018918684768473183,1.1076267250171916,0.1111111111111111,18,0.1,18,1.0,8.418975794288741e-09,5.13954068193101e-09,1.3090777878366211e-08
das_000_contextual_outcome_history_latent_context_L30_r8,contextual_outcome_history,latent_context,task_id,-0.0230665486665671,0.21146388133086752,0.035439058277477814,-0.0516230875207841,1.1027621318617862,0.0,18,0.1,18,1.0,1.1698410906646473e-08,5.13954068193101e-09,1.2146340933050226e-08
das_000_contextual_outcome_history_latent_context_L30_r8,contextual_outcome_history,latent_context,shuffled_source,0.3289727266641147,0.4738988805029154,1.454715005475239,-1.1044822945114385,0.8930997914828569,0.7222222222222222,18,0.1,18,1.0,0.9074392324851785,-0.06940320360811905,0.9680849748547542
das_000_contextual_outcome_history_latent_context_L30_r8,contextual_outcome_history,latent_context,shuffled_target,0.9294852376052601,0.2979555260869622,0.2531281325091858,0.6686911015749364,0.28890403714974594,1.0,18,0.1,18,1.0,0.9330445750841766,0.9113105722744022,0.9737996497521235
das_000_contextual_outcome_history_latent_context_L30_r8,contextual_outcome_history,latent_context,unrelated_DAS:das_001_outcome_history_dual_history_L28_r2,0.5679641918001135,0.08290476862598428,0.04482007849595012,0.34811057130559236,0.7166214011827676,1.0,18,0.1,18,1.0,0.620231291596196,0.4654046388962053,0.7618119262075587
das_000_contextual_outcome_history_latent_context_L30_r8,contextual_outcome_history,latent_context,unrelated_DAS:das_002_outcome_history_outcome_history_L30_r2,0.6036906472482026,0.16279254064493734,0.08255422329597385,0.33571042720011046,0.6863522516367174,1.0,18,0.1,18,1.0,0.6175512163098098,0.5034575272995555,0.7932611335843722
