left_artifact_id,right_artifact_id,left_target,right_target,left_layer,right_layer,cross_layer_geometry_is_secondary,canonical_correlations,principal_angles_degrees,mean_canonical_correlation,minimum_principal_angle_degrees,projection_overlap
das_000_contextual_outcome_history_latent_context_L30_r8,das_000_contextual_outcome_history_latent_context_L30_r8__persistence_state,contextual_outcome_history,persistence_state,30,30,False,[0.16168336075015452],[80.69538198333385],0.16168336075015452,80.69538198333385,0.02614150914346461
das_000_contextual_outcome_history_latent_context_L30_r8,das_001_outcome_history_dual_history_L28_r2,contextual_outcome_history,outcome_history,30,28,True,"[0.733773246813728, 0.5602364870292741]","[42.79634153972785, 55.927846026688265]",0.647004866921501,42.79634153972785,0.42614404956923113
das_000_contextual_outcome_history_latent_context_L30_r8,das_001_outcome_history_dual_history_L28_r2__persistence_state,contextual_outcome_history,persistence_state,30,28,True,[0.45860947128601937],[62.70258443261556],0.45860947128601937,62.70258443261556,0.21032264715324228
das_000_contextual_outcome_history_latent_context_L30_r8,das_002_outcome_history_outcome_history_L30_r2,contextual_outcome_history,outcome_history,30,30,False,"[0.7597729284848621, 0.5323684723485304]","[40.555816146296166, 57.834376921850016]",0.6460707004166962,40.555816146296166,0.43033554660458573
das_000_contextual_outcome_history_latent_context_L30_r8,das_002_outcome_history_outcome_history_L30_r2__persistence_state,contextual_outcome_history,persistence_state,30,30,False,[0.5538633654620024],[56.36753814515616],0.5538633654620024,56.36753814515616,0.3067646276008957
das_000_contextual_outcome_history_latent_context_L30_r8__persistence_state,das_001_outcome_history_dual_history_L28_r2,persistence_state,outcome_history,30,28,True,[0.11129470923114955],[83.61004474272418],0.11129470923114955,83.61004474272418,0.012386512302846125
das_000_contextual_outcome_history_latent_context_L30_r8__persistence_state,das_001_outcome_history_dual_history_L28_r2__persistence_state,persistence_state,persistence_state,30,28,True,[0.1824547023713053],[79.48722796136745],0.1824547023713053,79.48722796136745,0.033289718417401595
das_000_contextual_outcome_history_latent_context_L30_r8__persistence_state,das_002_outcome_history_outcome_history_L30_r2,persistence_state,outcome_history,30,30,False,[0.1721025026655452],[80.08991444169152],0.1721025026655452,80.08991444169152,0.02961927142374399
das_000_contextual_outcome_history_latent_context_L30_r8__persistence_state,das_002_outcome_history_outcome_history_L30_r2__persistence_state,persistence_state,persistence_state,30,30,False,[0.18516581440590107],[79.32920011051831],0.18516581440590107,79.32920011051831,0.0342863788246006
das_001_outcome_history_dual_history_L28_r2,das_001_outcome_history_dual_history_L28_r2__persistence_state,outcome_history,persistence_state,28,28,False,[0.5958564396563891],[53.42629015117],0.5958564396563891,53.42629015117,0.3550448966799881
das_001_outcome_history_dual_history_L28_r2,das_002_outcome_history_outcome_history_L30_r2,outcome_history,outcome_history,28,30,True,"[0.7198570647937141, 0.5744424532299082]","[43.95731929623005, 54.939403800473876]",0.6471497590118112,43.95731929623005,0.42408916290310844
das_001_outcome_history_dual_history_L28_r2,das_002_outcome_history_outcome_history_L30_r2__persistence_state,outcome_history,persistence_state,28,30,True,[0.5330025651044811],[57.79144856162099],0.5330025651044811,57.79144856162099,0.2840917344079566
das_001_outcome_history_dual_history_L28_r2__persistence_state,das_002_outcome_history_outcome_history_L30_r2,persistence_state,outcome_history,28,30,True,[0.4048586933423984],[66.1177275570835],0.4048586933423984,66.1177275570835,0.16391056157491418
das_001_outcome_history_dual_history_L28_r2__persistence_state,das_002_outcome_history_outcome_history_L30_r2__persistence_state,persistence_state,persistence_state,28,30,True,[0.8258881203278476],[34.321363347658355],0.8258881203278476,34.321363347658355,0.6820911872986654
das_002_outcome_history_outcome_history_L30_r2,das_002_outcome_history_outcome_history_L30_r2__persistence_state,outcome_history,persistence_state,30,30,False,[0.5010906654353535],[59.92781588407693],0.5010906654353535,59.92781588407693,0.2510918549864454
