heldout_task,model,sharing,source_tasks,source_rows,target_rows,r2,mse,correlation
bandit,choice_perseveration,fully_shared,6,9410,1484,0.15251183565733883,1.0001844262058603,0.8459338277350456
debugging,choice_perseveration,fully_shared,6,9316,1578,-0.16265173384626785,1.109992164528091,0.8240055618117801
effort,choice_perseveration,fully_shared,6,9380,1514,0.7206007809006734,0.34146205557629594,0.8545302305315224
foraging,choice_perseveration,fully_shared,6,9252,1642,0.6583728887274474,0.5647069047795552,0.826703136639684
information_sampling,choice_perseveration,fully_shared,6,9314,1580,-12.074482358379393,2.5851427640481393,0.33342772748847616
solvability,choice_perseveration,fully_shared,6,9318,1576,0.3967028451116449,1.373332891659433,0.8075889109999783
waiting,choice_perseveration,fully_shared,6,9374,1520,-0.05829364686662575,1.0313248570280282,0.7841634200851312
bandit,dual_history,fully_shared,6,9410,1484,0.24921446271216707,0.8860583939816202,0.9078378764884528
debugging,dual_history,fully_shared,6,9316,1578,-0.09058122776540412,1.0411859221130164,0.8554580541332489
effort,dual_history,fully_shared,6,9380,1514,0.7855176651949556,0.26212520981061793,0.8897993318833413
foraging,dual_history,fully_shared,6,9252,1642,0.6977310204517364,0.4996482252703715,0.8466510230059043
information_sampling,dual_history,fully_shared,6,9314,1580,-11.753964990261679,2.521768694449871,0.3408968352765495
solvability,dual_history,fully_shared,6,9318,1576,0.45057776128749294,1.2506931712162312,0.8644363828993851
waiting,dual_history,fully_shared,6,9374,1520,-0.03894427402777412,1.0124685696113036,0.7890391878080091
bandit,dynamic_reevaluation,fully_shared,6,9410,1484,0.04309703476299953,1.1293130494189227,0.7710185325408947
debugging,dynamic_reevaluation,fully_shared,6,9316,1578,0.2519780067954833,0.7141421004937708,0.7312098988370533
effort,dynamic_reevaluation,fully_shared,6,9380,1514,0.5481495301968549,0.5522198334321285,0.8363407791231183
foraging,dynamic_reevaluation,fully_shared,6,9252,1642,0.48752866108681314,0.8471110577492132,0.7840343758516791
information_sampling,dynamic_reevaluation,fully_shared,6,9314,1580,-11.20847442636744,2.4139119590584346,0.35209377447126955
solvability,dynamic_reevaluation,fully_shared,6,9318,1576,0.12002799997123414,2.0031496611358643,0.7511301891992301
waiting,dynamic_reevaluation,fully_shared,6,9374,1520,-0.21712971220833333,1.186113258965847,0.660627519017367
bandit,generic_sequential_choice,fully_shared,6,9410,1484,-0.34395063669918224,1.5860970724689418,0.36490005164629047
debugging,generic_sequential_choice,fully_shared,6,9316,1578,-0.25431405352673764,1.1975028555337293,0.3219021760852894
effort,generic_sequential_choice,fully_shared,6,9380,1514,-0.0013674868210442614,1.223800845039682,0.34615247244511
foraging,generic_sequential_choice,fully_shared,6,9252,1642,0.001268514904742113,1.6508952218492865,0.2347612696228947
information_sampling,generic_sequential_choice,fully_shared,6,9314,1580,-9.537181779906017,2.08345680426314,-0.0074863554568300504
solvability,generic_sequential_choice,fully_shared,6,9318,1576,-0.2314095417593507,2.8031546528913176,0.28972456197196533
waiting,generic_sequential_choice,fully_shared,6,9374,1520,-0.14397887654351793,1.1148265462875042,0.11088260596405965
bandit,immediate_state,fully_shared,6,9410,1484,0.12928662994398654,1.0275942356017709,0.8267852885593777
debugging,immediate_state,fully_shared,6,9316,1578,-0.21271266103997655,1.1577857000438392,0.7963370068315617
effort,immediate_state,fully_shared,6,9380,1514,0.7080601480096413,0.35678833422161027,0.847893095161477
foraging,immediate_state,fully_shared,6,9252,1642,0.6598053188880113,0.5623391090877211,0.8292452052987407
information_sampling,immediate_state,fully_shared,6,9314,1580,-12.091294938313403,2.5884670195077466,0.30144179195093723
solvability,immediate_state,fully_shared,6,9318,1576,0.3900532135481757,1.3884699723990548,0.8060254053520396
waiting,immediate_state,fully_shared,6,9374,1520,-0.0224966566605751,0.9964400914286166,0.8064926922952256
bandit,intercept,fully_shared,6,9410,1484,-0.4483817351701056,1.7093440541931095,-0.02077962391060568
debugging,intercept,fully_shared,6,9316,1578,-0.35519240704378197,1.2938121618502325,-0.04531893415793262
effort,intercept,fully_shared,6,9380,1514,-0.13052019607696375,1.3816421938019923,-0.037565873495553355
foraging,intercept,fully_shared,6,9252,1642,-0.0668302736679145,1.7634619791269952,-0.05109898472205307
information_sampling,intercept,fully_shared,6,9314,1580,-9.581144174485209,2.0921492375940693,-0.3581514276604103
solvability,intercept,fully_shared,6,9318,1576,-0.3111374341968305,2.984645542049147,-0.04888937397573831
waiting,intercept,fully_shared,6,9374,1520,-0.10942619766405737,1.0811543828848396,-0.168942815495701
bandit,latent_context,fully_shared,6,9410,1484,0.2460565556102734,0.8897852773005971,0.9023778106746867
debugging,latent_context,fully_shared,6,9316,1578,-0.11254202558683102,1.0621520573699845,0.8478131074246554
effort,latent_context,fully_shared,6,9380,1514,0.7812951437334463,0.26728567827080135,0.8876838851229956
foraging,latent_context,fully_shared,6,9252,1642,0.6939812852702858,0.5058465077783736,0.8447824114065612
information_sampling,latent_context,fully_shared,6,9314,1580,-11.700830241102928,2.511262663806201,0.3339641929162974
solvability,latent_context,fully_shared,6,9318,1576,0.45166876521426347,1.248209632937585,0.8690367700997258
waiting,latent_context,fully_shared,6,9374,1520,-0.036207924014989956,1.009801950763058,0.7857100966785634
bandit,latent_motivation,fully_shared,6,9410,1484,-0.6997238174749429,2.005971720452537,-0.035494053343399085
debugging,latent_motivation,fully_shared,6,9316,1578,-0.06847575866999223,1.020081668126354,0.4714042551792601
effort,latent_motivation,fully_shared,6,9380,1514,0.03396365203904472,1.1806216144752306,0.4571975424432875
foraging,latent_motivation,fully_shared,6,9252,1642,0.2647951479914178,1.2152877879339254,0.6552433954811124
information_sampling,latent_motivation,fully_shared,6,9314,1580,-10.173377150602628,2.20924808333609,0.15213861788618266
solvability,latent_motivation,fully_shared,6,9318,1576,-0.21596028990113592,2.767986302507926,0.4298005742175997
waiting,latent_motivation,fully_shared,6,9374,1520,-0.8474365286726075,1.8003577924169047,0.018210156924256263
bandit,meta_control,fully_shared,6,9410,1484,-0.7743542260776994,2.0940486701333074,0.7063116407609883
debugging,meta_control,fully_shared,6,9316,1578,-0.578481919866759,1.5069883025977862,0.5104639525026115
effort,meta_control,fully_shared,6,9380,1514,0.4723807765186986,0.644819069975448,0.7062336658625592
foraging,meta_control,fully_shared,6,9252,1642,0.22147643111365833,1.2868932832821713,0.4817310238197028
information_sampling,meta_control,fully_shared,6,9314,1580,-8.14714628158736,1.8086130198783992,0.35934481994603057
solvability,meta_control,fully_shared,6,9318,1576,0.13595742937836885,1.9668882447294942,0.6105748061803834
waiting,meta_control,fully_shared,6,9374,1520,0.1733512840706819,0.8055829979631836,0.4655841503339182
bandit,option_termination,fully_shared,6,9410,1484,-0.4323855271445374,1.6904657278415762,0.5053401732711121
debugging,option_termination,fully_shared,6,9316,1578,-0.004475388757398946,0.9589800440872578,0.5463830764671714
effort,option_termination,fully_shared,6,9380,1514,0.1371160237529484,1.054556047804917,0.5468419403640878
foraging,option_termination,fully_shared,6,9252,1642,0.35295503893391666,1.069560187585125,0.7471583449619618
information_sampling,option_termination,fully_shared,6,9314,1580,-10.617576917194917,2.297077167572222,0.3430933879549668
solvability,option_termination,fully_shared,6,9318,1576,-0.1821660818600821,2.691057881622285,0.4804461225359082
waiting,option_termination,fully_shared,6,9374,1520,-0.7278374592519665,1.6838064991760102,0.336655252345082
bandit,outcome_history,fully_shared,6,9410,1484,0.24877014495873073,0.8865827667291954,0.9028365298603178
