model,sharing,r2,mse,correlation,macro_r2,macro_mse,macro_correlation,macro_decision_log_loss,macro_decision_brier,parameters,split,explainable_variance_fraction
dual_history,task_specific,0.8521845941676762,0.21391199313774042,0.923422965628716,0.7886703899912456,0.21342287580058045,0.8890627105213528,0.5817527079772589,0.19841716695813744,210.0,interpolation_test,1.1603369397098038
latent_context,task_specific,0.8485937788940683,0.2191084640187137,0.9215385564450904,0.7857442515389704,0.21860648554772188,0.8877617067849242,0.582052564039209,0.19842040489669976,196.0,interpolation_test,1.15394052897633
outcome_history,task_specific,0.8477287927166863,0.2203602341992203,0.9210544821701689,0.7840315108428045,0.21973069041121412,0.8865752637632199,0.5816386049507608,0.19832387233135473,182.0,interpolation_test,1.152553295676325
choice_perseveration,task_specific,0.7988189881750083,0.2911403650967791,0.8940249730426338,0.7304318285976998,0.2898931371753418,0.8560258181379711,0.5875529054135048,0.20110145869496004,182.0,interpolation_test,1.0659750520467088
task_set_reinstatement,task_specific,0.7971451256102144,0.293562705822751,0.8931568104460352,0.7290659904115898,0.2922507581624997,0.8550283477771544,0.5881085845507672,0.20137122381270448,196.0,interpolation_test,1.063065822200454
immediate_state,task_specific,0.7847240083260762,0.3115380037308843,0.8863614181533069,0.7027746244289704,0.3100151119323432,0.8394639552937831,0.5880554509058821,0.20114161564827265,154.0,interpolation_test,1.0411451706334032
dynamic_reevaluation,task_specific,0.6794964477376513,0.4638187290838707,0.8244642958516063,0.5738710413135568,0.4627391306692948,0.7646483554666169,0.6069557031918554,0.2095852277095971,70.0,interpolation_test,0.8526885544216917
meta_control,task_specific,0.49617638407382836,0.7291115108453952,0.7074113393421337,0.3510763276772703,0.7302862010777339,0.6061721009824269,0.6272586138359448,0.21867222552414942,112.0,interpolation_test,0.522543918473007
option_termination,task_specific,0.4423649329267243,0.8069850904205087,0.6693673322582578,0.33254326625514985,0.7950331949168463,0.5927716385713708,0.641671678170436,0.22522658639276738,70.0,interpolation_test,0.4426481727369278
latent_motivation,task_specific,0.3364718809661309,0.9602288857933955,0.5866068173623954,0.18244322880584837,0.9449769781764515,0.4284467408010116,0.6540927124092132,0.2312320807206009,70.0,interpolation_test,0.2576222793065156
generic_sequential_choice,task_specific,0.25821600203581885,1.073477372596712,0.5169212071846808,0.08794581695601016,1.0615042418938232,0.3253404605802886,0.6596119947728324,0.23367925960275102,84.0,interpolation_test,0.11383131572265655
intercept,task_specific,0.19392450299336894,1.1665172193200242,0.44743450343676083,0.006315722295533122,1.1544959657868024,0.10969403807120048,0.6642214078686676,0.23622854028825965,14.0,interpolation_test,-0.0009175349525547048
dual_history,task_specific,0.8247869449927265,0.20685733552842528,0.9196508749059944,0.7179898172155056,0.2086397133185505,0.8713048202505368,0.58851722070634,0.20136901208183575,210.0,structural_test,1.1044871242735432
outcome_history,task_specific,0.819549518813923,0.21304066487183032,0.9164475825731967,0.7065805146752241,0.21504721595519874,0.8644102363990271,0.5885937602093316,0.20141635364207414,182.0,structural_test,1.0954102109064678
latent_context,task_specific,0.8171774177093942,0.2158411783042711,0.9155393670002476,0.7061828186213812,0.21774560249217342,0.8646703534289103,0.5885448126692269,0.20132791759863058,196.0,structural_test,1.091587657531786
choice_perseveration,task_specific,0.7449610390109849,0.30110016587482963,0.874634323875032,0.6355924376697742,0.3025871814553031,0.8227247546263926,0.599466464703558,0.20578526778110748,182.0,structural_test,0.9714004791809626
task_set_reinstatement,task_specific,0.7435526472749112,0.3027629196113725,0.8739128607999898,0.634002827094841,0.30402860403670445,0.8216721490541936,0.5977140334414562,0.20510994777055885,196.0,structural_test,0.9693585497993199
immediate_state,task_specific,0.7182975207818967,0.3325792376623388,0.8590860514039567,0.5765838778549125,0.33524469855941136,0.7854940432788028,0.6036307721876106,0.20756085048889586,154.0,structural_test,0.925137610424215
dynamic_reevaluation,task_specific,0.650851591731264,0.41220621052160406,0.8115344509626047,0.4787444170265081,0.4145540320116846,0.7205843120146275,0.6098178177329762,0.21032270814065618,70.0,structural_test,0.8127874500310937
option_termination,task_specific,0.39445721668910083,0.7149065844377825,0.6376655581331688,0.2220221347974816,0.7136794689068039,0.5233000848194915,0.6338513597970973,0.2221120008692817,70.0,structural_test,0.3890442492002228
generic_sequential_choice,task_specific,0.31735507068320734,0.8059337312770445,0.5929591235041584,0.09274928922553385,0.8057258081810446,0.4419761615903605,0.634594444876923,0.22236920934741194,84.0,structural_test,0.25865075664510184
meta_control,task_specific,0.3396399844742518,0.779624059950871,0.6579222390932838,0.08011531298259507,0.7857259566773044,0.5438959357491135,0.6389273939057686,0.22331174807767468,112.0,structural_test,0.2869826871566098
latent_motivation,task_specific,0.28211893394434173,0.8475336757550084,0.5608145784677147,0.07646759011062312,0.8436682908215923,0.34051460597599004,0.6447268370283198,0.2267665888259862,70.0,structural_test,0.20490116848415663
intercept,task_specific,0.16515808941485943,0.9856181846948173,0.464638750719073,-0.09495081009403097,0.9893958144647185,0.11040087448894087,0.6551744431590452,0.2318105002254751,14.0,structural_test,-0.00153746795767198
latent_context,fully_shared,0.6680300502209533,0.4804123982829314,0.818078747613737,0.25572108379441494,0.4823395676408758,0.8155806075960663,0.6090593725476355,0.2095959627121349,28.0,interpolation_test,0.8285022341658237
outcome_history,fully_shared,0.6677823521476813,0.48077085610572495,0.8178521284363133,0.25190528012116015,0.4826899199464282,0.815845812056779,0.6089597697113646,0.20957628248016075,26.0,interpolation_test,0.8280699104846345
immediate_state,fully_shared,0.6111597893317061,0.5627125535920604,0.7821852741806768,0.23862185503321692,0.562536937222826,0.7768369901600322,0.610296563557767,0.21035628798531622,22.0,interpolation_test,0.7295412126743324
dual_history,fully_shared,0.6674524511742755,0.4812482743718518,0.817521421880576,0.23821310523615927,0.48348796160358365,0.8173395023681519,0.6100624402361335,0.20996707980389923,30.0,interpolation_test,0.8270851522812601
choice_perseveration,fully_shared,0.6173519305608088,0.5537515575128675,0.7859573455686506,0.2366568871743131,0.5537307358813299,0.7860772542325876,0.613217214166953,0.21153701688550905,26.0,interpolation_test,0.7404077870365211
task_set_reinstatement,fully_shared,0.615647145010271,0.5562186486319194,0.7848461757730163,0.23408856655542618,0.5562042369039142,0.7851295439509048,0.6131169118605045,0.21153293924237218,28.0,interpolation_test,0.7373555648859548
meta_control,fully_shared,0.28215507787849237,1.0388337886039125,0.5392724945742644,-0.4096962445427056,1.0376575856489554,0.547150985602204,0.6532623186419333,0.2298890683753922,16.0,interpolation_test,0.14325733646934824
