interaction,coefficient,absolute_coefficient
factor_disengagement_value*factor_success_evidence,-0.09418211933599795,0.09418211933599795
factor_continuation_value*factor_disengagement_value,0.09017460502504125,0.09017460502504125
factor_success_evidence*factor_uncertainty,-0.04533912597320346,0.04533912597320346
factor_progress_evidence*factor_uncertainty,-0.040058456777382664,0.040058456777382664
factor_progress_evidence*factor_success_evidence,0.037113335123254376,0.037113335123254376
factor_controllability*factor_disengagement_value,-0.036552809111535196,0.036552809111535196
factor_prior_investment*factor_success_evidence,0.03507181963657622,0.03507181963657622
factor_disengagement_value*factor_progress_evidence,-0.0323871537444104,0.0323871537444104
factor_environmental_stability*factor_prior_investment,0.0289674274196127,0.0289674274196127
factor_controllability*factor_success_evidence,0.02576949702185521,0.02576949702185521
factor_environmental_stability*factor_goal_continuity,-0.022156110010053253,0.022156110010053253
factor_continuation_value*factor_progress_evidence,0.021741264536599365,0.021741264536599365
factor_continuation_value*factor_controllability,0.01978518449147278,0.01978518449147278
factor_continuation_value*factor_success_evidence,0.018885069366214136,0.018885069366214136
factor_controllability*factor_progress_evidence,0.01736181298302708,0.01736181298302708
factor_goal_continuity*factor_success_evidence,-0.01652994584141938,0.01652994584141938
factor_goal_continuity*factor_uncertainty,0.01590425934222966,0.01590425934222966
factor_continuation_cost*factor_prior_investment,-0.015142201836646356,0.015142201836646356
factor_controllability*factor_uncertainty,0.014534767667202754,0.014534767667202754
factor_continuation_cost*factor_disengagement_value,0.013854340175395576,0.013854340175395576
factor_disengagement_value*factor_prior_investment,0.013300573618778877,0.013300573618778877
factor_environmental_stability*factor_uncertainty,0.012382000680840633,0.012382000680840633
factor_continuation_value*factor_goal_continuity,-0.010646592626197788,0.010646592626197788
factor_continuation_cost*factor_controllability,0.010450304467325942,0.010450304467325942
factor_prior_investment*factor_progress_evidence,0.010034806251627896,0.010034806251627896
factor_continuation_cost*factor_uncertainty,0.009283474750963612,0.009283474750963612
factor_continuation_value*factor_uncertainty,-0.009097267842174066,0.009097267842174066
factor_continuation_cost*factor_environmental_stability,0.007631950789125126,0.007631950789125126
factor_controllability*factor_goal_continuity,-0.006206264691092593,0.006206264691092593
factor_environmental_stability*factor_progress_evidence,0.00568106461948415,0.00568106461948415
factor_continuation_cost*factor_success_evidence,-0.0056209660219554355,0.0056209660219554355
factor_continuation_cost*factor_progress_evidence,0.004765718976366077,0.004765718976366077
factor_continuation_cost*factor_goal_continuity,0.004755392460705164,0.004755392460705164
factor_environmental_stability*factor_success_evidence,0.0046584301173904176,0.0046584301173904176
factor_goal_continuity*factor_prior_investment,0.0042031776320372045,0.0042031776320372045
factor_continuation_cost*factor_continuation_value,0.0039222666916280124,0.0039222666916280124
factor_disengagement_value*factor_environmental_stability,-0.003829924692243042,0.003829924692243042
factor_prior_investment*factor_uncertainty,-0.0023453376436996945,0.0023453376436996945
factor_continuation_value*factor_environmental_stability,-0.001687074353106484,0.001687074353106484
factor_continuation_value*factor_prior_investment,-0.0015432243996131658,0.0015432243996131658
factor_goal_continuity*factor_progress_evidence,0.0015247306663924705,0.0015247306663924705
factor_disengagement_value*factor_uncertainty,0.001427001632162578,0.001427001632162578
factor_disengagement_value*factor_goal_continuity,0.0012576850146930572,0.0012576850146930572
factor_controllability*factor_environmental_stability,0.0007855192842098305,0.0007855192842098305
factor_controllability*factor_prior_investment,0.0005744550295950688,0.0005744550295950688
