factor,level,task_macro_effect,task_macro_absolute_effect,tasks,observations
success_evidence,low,-0.73317770994153,0.73317770994153,7,6056
success_evidence,high,0.559289246291276,0.559289246291276,7,6208
disengagement_value,high,-0.5376088857602416,0.5376088857602416,7,6196
progress_evidence,positive,0.5097798193348233,0.5235357554603594,5,4226
disengagement_value,low,0.4632588975331192,0.4632588975331192,7,6168
progress_evidence,negative,-0.43503675496525174,0.4606409263344903,5,4336
continuation_value,high,0.2607481235799343,0.2607481235799343,7,5844
continuation_value,low,-0.22991138514446144,0.22991138514446144,7,6232
environmental_stability,changing,-0.1596344087031891,0.1798294206211481,7,9080
environmental_stability,stable,0.15311627160564406,0.17482269365122097,7,9160
continuation_cost,high,-0.16932212924844534,0.16932212924844534,7,5904
success_evidence,medium,0.13995323011672414,0.14295982103147833,7,5976
prior_investment,low,0.13213602903932237,0.13213602903932237,7,9086
controllability,high,0.12003834110965794,0.13189731546863231,4,5054
controllability,low,-0.11938970736232363,0.12955454252715878,4,5358
prior_investment,high,-0.12876133689722732,0.12876133689722732,7,9154
disengagement_value,medium,0.0839331239648121,0.12099653015589339,7,5876
progress_evidence,neutral,-0.06807968865802105,0.11509826926877724,5,4456
continuation_cost,low,0.09274612147998632,0.1133236245118504,7,6248
continuation_cost,medium,0.06746682949035747,0.08939209007300399,7,6088
continuation_value,medium,-0.012913229274909493,0.06559184140821131,7,6164
goal_continuity,new,-0.04477366821756633,0.05842522767092184,7,9154
goal_continuity,same,0.04478494775472519,0.05836358942225819,7,9086
uncertainty,low,0.009251822325239646,0.05609290136679869,7,9018
uncertainty,high,-0.00833762022455996,0.054408229425732445,7,9222
