teacher_architecture,teacher_variant,candidate_variant,evaluation,r2,mse,correlation,candidate_architecture,best_candidate_architecture,best_candidate,teacher_recovered
dual_history,M1,M1,known_task_interpolation,0.9996744572296845,0.0009048540879903045,0.9998374530097823,dual_history,dual_history,M1,True
dual_history,M1,M2,known_task_interpolation,0.9996280008172562,0.0010339808219625751,0.9998149010745336,dual_history,dual_history,M1,True
dual_history,M1,M3,known_task_interpolation,0.9996282989591254,0.0010331521293491844,0.9998151639166672,dual_history,dual_history,M1,True
dual_history,M1,M4,known_task_interpolation,0.9996265327557263,0.0010380613348716075,0.9998144869763959,dual_history,dual_history,M1,True
dual_history,M1,M1,strict_zero_shot_loto,0.9996609395241008,,,dual_history,dual_history,M1,True
dual_history,M1,M3,strict_zero_shot_loto,0.9979635347176862,,,dual_history,dual_history,M1,True
dual_history,M1,M4,strict_zero_shot_loto,0.9980283490522541,,,dual_history,dual_history,M1,True
dual_history,M2,M1,known_task_interpolation,0.8048392346881142,0.7486564070516268,0.8972681914547238,dual_history,dual_history,M3,False
dual_history,M2,M2,known_task_interpolation,0.9997524578092387,0.0009495968456203248,0.9998764729640841,dual_history,dual_history,M3,False
dual_history,M2,M3,known_task_interpolation,0.9997535970164447,0.0009452267317175954,0.9998770561102905,dual_history,dual_history,M3,False
dual_history,M2,M4,known_task_interpolation,0.9997492316035639,0.0009619728964373242,0.9998751469685704,dual_history,dual_history,M3,False
dual_history,M2,M1,strict_zero_shot_loto,0.6065461810644903,,,dual_history,dual_history,M3,False
dual_history,M2,M3,strict_zero_shot_loto,0.6313856273732694,,,dual_history,dual_history,M3,False
dual_history,M2,M4,strict_zero_shot_loto,0.13838122145044243,,,dual_history,dual_history,M3,False
dual_history,M3,M1,known_task_interpolation,0.8927381717852936,0.3203302657328869,0.9451789483944948,dual_history,dual_history,M3,True
dual_history,M3,M2,known_task_interpolation,0.999638045322404,0.001080953401479406,0.9998221166406052,dual_history,dual_history,M3,True
dual_history,M3,M3,known_task_interpolation,0.9996387476744827,0.001078855874038963,0.9998224134996905,dual_history,dual_history,M3,True
dual_history,M3,M4,known_task_interpolation,0.9996380024235617,0.0010810815159986533,0.9998219618617182,dual_history,dual_history,M3,True
dual_history,M3,M1,strict_zero_shot_loto,0.8014618369437848,,,dual_history,dual_history,M4,False
dual_history,M3,M3,strict_zero_shot_loto,0.8104396248899893,,,dual_history,dual_history,M4,False
dual_history,M3,M4,strict_zero_shot_loto,0.8366040498004782,,,dual_history,dual_history,M4,False
dual_history,M4,M1,known_task_interpolation,0.9173550740222985,0.4839593883408867,0.9580370166985908,dual_history,dual_history,M3,False
dual_history,M4,M2,known_task_interpolation,0.9998330313342786,0.0009777497212164817,0.9999169319497658,dual_history,dual_history,M3,False
dual_history,M4,M3,known_task_interpolation,0.9998334306125438,0.0009754115926165329,0.9999171960214762,dual_history,dual_history,M3,False
dual_history,M4,M4,known_task_interpolation,0.9998329762470294,0.000978072305949519,0.9999170011973427,dual_history,dual_history,M3,False
dual_history,M4,M1,strict_zero_shot_loto,0.867599628109112,,,dual_history,dual_history,M4,True
dual_history,M4,M3,strict_zero_shot_loto,0.8751128229296006,,,dual_history,dual_history,M4,True
dual_history,M4,M4,strict_zero_shot_loto,0.9482905097257983,,,dual_history,dual_history,M4,True
latent_context,M1,M1,architecture_recovery,0.600782750286363,1.2516562495043413,0.7772686032064406,immediate_state,latent_context,M1,True
latent_context,M1,M1,architecture_recovery,0.5999120342090756,1.2543861846974282,0.7768964123391088,choice_perseveration,latent_context,M1,True
latent_context,M1,M1,architecture_recovery,0.5878666503723712,1.2921517871800472,0.7701556556326182,outcome_history,latent_context,M1,True
latent_context,M1,M1,architecture_recovery,0.587080698209381,1.2946159641095853,0.7698465008861264,dual_history,latent_context,M1,True
latent_context,M1,M1,architecture_recovery,0.6037357709011335,1.2423977149343948,0.7791743341387259,dynamic_reevaluation,latent_context,M1,True
latent_context,M1,M1,architecture_recovery,0.9996949996137731,0.0009562603815242309,0.9998515113140112,latent_context,latent_context,M1,True
latent_context,M1,M1,architecture_recovery,0.4198794906688066,1.8188378921273507,0.6498640722413058,latent_motivation,latent_context,M1,True
latent_motivation,M1,M1,architecture_recovery,0.9048043046120025,0.7347776436025467,0.9514333732525614,immediate_state,outcome_history,M1,False
latent_motivation,M1,M1,architecture_recovery,0.9040122740134455,0.7408910122217561,0.9510458968272548,choice_perseveration,outcome_history,M1,False
latent_motivation,M1,M1,architecture_recovery,0.9998868443933548,0.0008734030427772114,0.9999437792384954,outcome_history,outcome_history,M1,False
latent_motivation,M1,M1,architecture_recovery,0.9998858209151612,0.0008813028631664964,0.9999432448742689,dual_history,outcome_history,M1,False
latent_motivation,M1,M1,architecture_recovery,0.6925579707032757,2.3730225291207274,0.8322174213902609,dynamic_reevaluation,outcome_history,M1,False
latent_motivation,M1,M1,architecture_recovery,0.9998867830595316,0.0008738764541209339,0.9999437601413517,latent_context,outcome_history,M1,False
latent_motivation,M1,M1,architecture_recovery,0.9998861322615432,0.0008788997044939465,0.9999434470183806,latent_motivation,outcome_history,M1,False
