section,task_family,item,value,status,sd,minimum,maximum
semantics,information_sampling,target,continue means gather more evidence; disengage means stop sampling and decide,documented,,,
semantics,information_sampling,success_evidence,evidence that the current information-gathering pursuit will resolve uncertainty usefully,documented,,,
semantics,information_sampling,warning,"continuation is epistemic sampling, not direct reward pursuit",documented,,,
feature_availability,bandit,factor_continuation_cost,1.0,consistent,,,
feature_availability,bandit,factor_continuation_value,1.0,consistent,,,
feature_availability,bandit,factor_controllability,0.0,consistent,,,
feature_availability,bandit,factor_disengagement_value,1.0,consistent,,,
feature_availability,bandit,factor_environmental_stability,1.0,consistent,,,
feature_availability,bandit,factor_goal_continuity,1.0,consistent,,,
feature_availability,bandit,factor_prior_investment,1.0,consistent,,,
feature_availability,bandit,factor_progress_evidence,0.0,consistent,,,
feature_availability,bandit,factor_success_evidence,1.0,consistent,,,
feature_availability,bandit,factor_uncertainty,1.0,consistent,,,
feature_availability,debugging,factor_continuation_cost,1.0,consistent,,,
feature_availability,debugging,factor_continuation_value,1.0,consistent,,,
feature_availability,debugging,factor_controllability,1.0,consistent,,,
feature_availability,debugging,factor_disengagement_value,1.0,consistent,,,
feature_availability,debugging,factor_environmental_stability,1.0,consistent,,,
feature_availability,debugging,factor_goal_continuity,1.0,consistent,,,
feature_availability,debugging,factor_prior_investment,1.0,consistent,,,
feature_availability,debugging,factor_progress_evidence,1.0,consistent,,,
feature_availability,debugging,factor_success_evidence,1.0,consistent,,,
feature_availability,debugging,factor_uncertainty,1.0,consistent,,,
feature_availability,effort,factor_continuation_cost,1.0,consistent,,,
feature_availability,effort,factor_continuation_value,1.0,consistent,,,
feature_availability,effort,factor_controllability,1.0,consistent,,,
feature_availability,effort,factor_disengagement_value,1.0,consistent,,,
feature_availability,effort,factor_environmental_stability,1.0,consistent,,,
feature_availability,effort,factor_goal_continuity,1.0,consistent,,,
feature_availability,effort,factor_prior_investment,1.0,consistent,,,
feature_availability,effort,factor_progress_evidence,1.0,consistent,,,
feature_availability,effort,factor_success_evidence,1.0,consistent,,,
feature_availability,effort,factor_uncertainty,1.0,consistent,,,
feature_availability,foraging,factor_continuation_cost,1.0,consistent,,,
feature_availability,foraging,factor_continuation_value,1.0,consistent,,,
feature_availability,foraging,factor_controllability,1.0,consistent,,,
feature_availability,foraging,factor_disengagement_value,1.0,consistent,,,
feature_availability,foraging,factor_environmental_stability,1.0,consistent,,,
feature_availability,foraging,factor_goal_continuity,1.0,consistent,,,
feature_availability,foraging,factor_prior_investment,1.0,consistent,,,
feature_availability,foraging,factor_progress_evidence,1.0,consistent,,,
feature_availability,foraging,factor_success_evidence,1.0,consistent,,,
feature_availability,foraging,factor_uncertainty,1.0,consistent,,,
feature_availability,information_sampling,factor_continuation_cost,1.0,consistent,,,
feature_availability,information_sampling,factor_continuation_value,1.0,consistent,,,
feature_availability,information_sampling,factor_controllability,0.0,consistent,,,
feature_availability,information_sampling,factor_disengagement_value,1.0,consistent,,,
feature_availability,information_sampling,factor_environmental_stability,1.0,consistent,,,
feature_availability,information_sampling,factor_goal_continuity,1.0,consistent,,,
feature_availability,information_sampling,factor_prior_investment,1.0,consistent,,,
feature_availability,information_sampling,factor_progress_evidence,1.0,consistent,,,
feature_availability,information_sampling,factor_success_evidence,1.0,consistent,,,
feature_availability,information_sampling,factor_uncertainty,1.0,consistent,,,
feature_availability,solvability,factor_continuation_cost,1.0,consistent,,,
feature_availability,solvability,factor_continuation_value,1.0,consistent,,,
feature_availability,solvability,factor_controllability,1.0,consistent,,,
feature_availability,solvability,factor_disengagement_value,1.0,consistent,,,
feature_availability,solvability,factor_environmental_stability,1.0,consistent,,,
feature_availability,solvability,factor_goal_continuity,1.0,consistent,,,
feature_availability,solvability,factor_prior_investment,1.0,consistent,,,
feature_availability,solvability,factor_progress_evidence,1.0,consistent,,,
feature_availability,solvability,factor_success_evidence,1.0,consistent,,,
feature_availability,solvability,factor_uncertainty,1.0,consistent,,,
feature_availability,waiting,factor_continuation_cost,1.0,consistent,,,
feature_availability,waiting,factor_continuation_value,1.0,consistent,,,
feature_availability,waiting,factor_controllability,0.0,consistent,,,
feature_availability,waiting,factor_disengagement_value,1.0,consistent,,,
feature_availability,waiting,factor_environmental_stability,1.0,consistent,,,
feature_availability,waiting,factor_goal_continuity,1.0,consistent,,,
feature_availability,waiting,factor_prior_investment,1.0,consistent,,,
feature_availability,waiting,factor_progress_evidence,0.0,consistent,,,
feature_availability,waiting,factor_success_evidence,1.0,consistent,,,
feature_availability,waiting,factor_uncertainty,1.0,consistent,,,
normalization,all,feature_matrix_sha256,3f683d01705736d714760db976964ed67a9ac79645aa2aad24de55e0a21196fe,reproducible,,,
standardized_distribution,bandit,factor_continuation_cost,0.0249858459273581,audited,1.0017413079992021,-1.202363088613675,1.2485871501339145
standardized_distribution,bandit,factor_continuation_cost__available,0.0,audited,0.0,0.0,0.0
standardized_distribution,bandit,factor_continuation_value,0.033671450996670266,audited,0.9980142962973072,-1.2032652429293467,1.2555694009235867
