model,sharing,teacher,r2,mse,correlation,delta_r2_from_teacher,threshold,passed,real_round1_design
linear_interactions,fully_shared,fitted_dual_history,0.8143156806160371,0.2269352837250115,0.9040343695268271,0.1856843193839629,0.98,False,True
linear_interactions,task_specific,fitted_dual_history,0.9999999999997977,2.472596401161891e-13,0.9999999999999319,2.0228263508670352e-13,0.98,True,True
linear_interactions,hierarchical,fitted_dual_history,0.9999999999999535,5.687909122763548e-14,0.9999999999999823,4.651834473179406e-14,0.98,True,True
linear_interactions,task_embedding,fitted_dual_history,0.9999999999999942,7.05610336750226e-15,0.9999999999999978,5.773159728050814e-15,0.98,True,True
mlp,fully_shared,fitted_dual_history,0.8077238078976501,0.23499158331233963,0.9001909245333481,0.19227619210234992,0.98,False,True
mlp,task_specific,fitted_dual_history,0.9993317409047462,0.0008167171459946855,0.9996748203718615,0.0006682590952538092,0.98,True,True
mlp,hierarchical,fitted_dual_history,0.9993317409047462,0.0008167171459946855,0.9996748203718615,0.0006682590952538092,0.98,True,True
mlp,task_embedding,fitted_dual_history,0.9986337432476782,0.0016697794663438435,0.9993244030045687,0.001366256752321826,0.98,True,True
gru,fully_shared,fitted_dual_history,0.8028964631769802,0.2408913536723686,0.898132841708991,0.19710353682301984,0.98,False,True
gru,task_specific,fitted_dual_history,0.9986089985960569,0.0017000213012762092,0.9993044571166874,0.001391001403943104,0.98,True,True
gru,hierarchical,fitted_dual_history,0.9986089985960569,0.0017000213012762092,0.9993044571166874,0.001391001403943104,0.98,True,True
gru,task_embedding,fitted_dual_history,0.9984949749340494,0.0018393760522583834,0.9992477895433393,0.001505025065950627,0.98,True,True
linear_interactions,fully_shared,fitted_latent_context,0.8110859023952587,0.22722873530526425,0.902389289257773,0.18891409760474132,0.98,False,True
linear_interactions,task_specific,fitted_latent_context,0.9999999999997681,2.790131751852212e-13,0.9999999999999191,2.319255898441952e-13,0.98,True,True
linear_interactions,hierarchical,fitted_latent_context,0.9999999999999385,7.395125287579526e-14,0.9999999999999751,6.150635556423367e-14,0.98,True,True
linear_interactions,task_embedding,fitted_latent_context,0.9999999999999932,8.165817684853055e-15,0.9999999999999978,6.772360450213455e-15,0.98,True,True
mlp,fully_shared,fitted_latent_context,0.8049015538579596,0.23466736330939345,0.8987082533564031,0.19509844614204042,0.98,False,True
mlp,task_specific,fitted_latent_context,0.998390891633641,0.0019354598925797127,0.9992078093435254,0.001609108366358969,0.98,True,True
mlp,hierarchical,fitted_latent_context,0.998390891633641,0.0019354598925797127,0.9992078093435254,0.001609108366358969,0.98,True,True
mlp,task_embedding,fitted_latent_context,0.9980033400287737,0.002401612827464337,0.9990062747379589,0.0019966599712263333,0.98,True,True
gru,fully_shared,fitted_latent_context,0.799295786856258,0.24141006468723203,0.8964193892818147,0.20070421314374198,0.98,False,True
gru,task_specific,fitted_latent_context,0.9979405108446133,0.002477184720923018,0.99897163804548,0.0020594891553866734,0.98,True,True
gru,hierarchical,fitted_latent_context,0.9979405108446133,0.002477184720923018,0.99897163804548,0.0020594891553866734,0.98,True,True
gru,task_embedding,fitted_latent_context,0.9983532087091761,0.0019807854843557054,0.9991767533138652,0.0016467912908239013,0.98,True,True
linear_interactions,fully_shared,nonlinear_interaction,0.9999999999999801,3.8962798069268936e-14,0.9999999999999943,1.9872992140790302e-14,0.98,True,True
linear_interactions,task_specific,nonlinear_interaction,0.9999999999974768,4.940647137874783e-12,0.9999999999991166,2.5232038680655933e-12,0.98,True,True
linear_interactions,hierarchical,nonlinear_interaction,0.9999999999999526,9.278670777866064e-14,0.9999999999999849,4.7406523151494184e-14,0.98,True,True
linear_interactions,task_embedding,nonlinear_interaction,0.9999999999999569,8.425555411590716e-14,0.9999999999999851,4.3076653355456074e-14,0.98,True,True
mlp,fully_shared,nonlinear_interaction,0.991882057600812,0.015895372962140268,0.9959814677351926,0.00811794239918795,0.98,True,True
mlp,task_specific,nonlinear_interaction,0.9919883468350691,0.015687252857648503,0.9963606312508303,0.00801165316493091,0.98,True,True
mlp,hierarchical,nonlinear_interaction,0.9919883468350691,0.015687252857648503,0.9963606312508303,0.00801165316493091,0.98,True,True
mlp,task_embedding,nonlinear_interaction,0.988761168281213,0.02200624407568107,0.994910382041028,0.011238831718787035,0.98,True,True
gru,fully_shared,nonlinear_interaction,0.9959740868058397,0.007882957107552475,0.9980221659450131,0.0040259131941603465,0.98,True,True
gru,task_specific,nonlinear_interaction,0.9940725266222747,0.011606315421937956,0.9972578976529707,0.005927473377725256,0.98,True,True
gru,hierarchical,nonlinear_interaction,0.9940725266222747,0.011606315421937956,0.9972578976529707,0.005927473377725256,0.98,True,True
gru,task_embedding,nonlinear_interaction,0.9925503059911753,0.014586906250521526,0.996551547846905,0.00744969400882467,0.98,True,True
