architecture,variant,heldout_task,requested_semantic_conditions,adaptation_semantic_conditions,adaptation_rows,evaluation_rows,population_outcome_tasks,r2,mse,correlation
dual_history,M4,bandit,0,0,0,3466,debugging;effort;foraging;information_sampling;solvability;waiting,-0.4299755865493893,1.9469702659607022,0.8325657047483904
dual_history,M4,bandit,1,1,2,3464,debugging;effort;foraging;information_sampling;solvability;waiting,-0.10531190270249025,1.5045096302421017,0.8400979261644194
dual_history,M4,bandit,4,4,8,3458,debugging;effort;foraging;information_sampling;solvability;waiting,0.44354786143632574,0.7579961483871768,0.7990244915214637
dual_history,M4,bandit,8,8,16,3450,debugging;effort;foraging;information_sampling;solvability;waiting,0.5915683446598494,0.5554743967699538,0.8332203149260222
dual_history,M4,bandit,16,16,32,3434,debugging;effort;foraging;information_sampling;solvability;waiting,0.7105058652492104,0.39406269271836886,0.8462700630185184
dual_history,M4,bandit,32,32,64,3402,debugging;effort;foraging;information_sampling;solvability;waiting,0.7225763529234757,0.3796822476614515,0.8544498527624732
dual_history,M4,bandit,64,64,128,3338,debugging;effort;foraging;information_sampling;solvability;waiting,0.7984715340803393,0.27406415886451657,0.8991594366287967
dual_history,M4,debugging,0,0,0,3564,bandit;effort;foraging;information_sampling;solvability;waiting,-0.29750536077988876,1.1914914263486482,0.8124357364240142
dual_history,M4,debugging,1,1,2,3562,bandit;effort;foraging;information_sampling;solvability;waiting,-0.03410669585561066,0.9495662433336086,0.8273146849212442
dual_history,M4,debugging,4,4,8,3556,bandit;effort;foraging;information_sampling;solvability;waiting,0.18934165504654155,0.7449159454381398,0.8158180642785292
dual_history,M4,debugging,8,8,16,3548,bandit;effort;foraging;information_sampling;solvability;waiting,0.2830476871767087,0.6593146400757834,0.8144080880835981
dual_history,M4,debugging,16,16,32,3532,bandit;effort;foraging;information_sampling;solvability;waiting,0.49859639586642934,0.4614728845255326,0.7681742361136475
dual_history,M4,debugging,32,32,64,3500,bandit;effort;foraging;information_sampling;solvability;waiting,0.7093135437636375,0.2671280986714027,0.8484223862677959
dual_history,M4,debugging,64,64,128,3436,bandit;effort;foraging;information_sampling;solvability;waiting,0.7319493009547917,0.24690679802030185,0.8601396207803832
dual_history,M4,effort,0,0,0,3418,bandit;debugging;foraging;information_sampling;solvability;waiting,0.5956187971786524,0.48018302863902645,0.8435290005905012
dual_history,M4,effort,1,1,2,3416,bandit;debugging;foraging;information_sampling;solvability;waiting,0.6453877419906388,0.42030688299218594,0.8449907226185973
dual_history,M4,effort,4,4,8,3410,bandit;debugging;foraging;information_sampling;solvability;waiting,0.638210494366858,0.42900561135991244,0.8490720121275211
dual_history,M4,effort,8,8,16,3402,bandit;debugging;foraging;information_sampling;solvability;waiting,0.6637395754125126,0.3987541832494182,0.8440171950354054
dual_history,M4,effort,16,16,32,3386,bandit;debugging;foraging;information_sampling;solvability;waiting,0.6985370262730959,0.3575504934440348,0.8487733006592328
dual_history,M4,effort,32,32,64,3354,bandit;debugging;foraging;information_sampling;solvability;waiting,0.7294688386231274,0.32192744118500827,0.8655105442788275
dual_history,M4,effort,64,64,128,3290,bandit;debugging;foraging;information_sampling;solvability;waiting,0.759139752123482,0.28566605993327954,0.8734677708011918
dual_history,M4,foraging,0,0,0,3514,bandit;debugging;effort;information_sampling;solvability;waiting,0.5324316277509876,0.6117248748126702,0.7684150911383373
dual_history,M4,foraging,1,1,2,3512,bandit;debugging;effort;information_sampling;solvability;waiting,0.5412914626755368,0.6003909190505716,0.7547256991493514
dual_history,M4,foraging,4,4,8,3506,bandit;debugging;effort;information_sampling;solvability;waiting,0.5612805781448184,0.5727433334333503,0.7611831278390166
dual_history,M4,foraging,8,8,16,3498,bandit;debugging;effort;information_sampling;solvability;waiting,0.5806684333973077,0.546441130407545,0.770648877734576
dual_history,M4,foraging,16,16,32,3482,bandit;debugging;effort;information_sampling;solvability;waiting,0.4751854215227924,0.6750896766095563,0.7993262029566081
dual_history,M4,foraging,32,32,64,3450,bandit;debugging;effort;information_sampling;solvability;waiting,0.6064223364474182,0.5057086942352341,0.8363976753037886
dual_history,M4,foraging,64,64,128,3386,bandit;debugging;effort;information_sampling;solvability;waiting,0.7115863371145177,0.3714378604951008,0.8611553583079645
dual_history,M4,information_sampling,0,0,0,3494,bandit;debugging;effort;foraging;solvability;waiting,-15.333208775957196,4.556285449583787,0.020458962013948787
dual_history,M4,information_sampling,1,1,2,3492,bandit;debugging;effort;foraging;solvability;waiting,-6.861727546447606,2.193874942036171,0.2259189012137832
dual_history,M4,information_sampling,4,4,8,3486,bandit;debugging;effort;foraging;solvability;waiting,-4.479108558281241,1.5294650881442888,0.12613290786925388
dual_history,M4,information_sampling,8,8,16,3478,bandit;debugging;effort;foraging;solvability;waiting,-2.3536408156460547,0.9379023843601569,0.0978883012117058
dual_history,M4,information_sampling,16,16,32,3462,bandit;debugging;effort;foraging;solvability;waiting,-0.43053398220227823,0.40097052169942626,0.31283583333572557
dual_history,M4,information_sampling,32,32,64,3430,bandit;debugging;effort;foraging;solvability;waiting,0.18361658453733143,0.22930602726547383,0.6025988501353716
dual_history,M4,information_sampling,64,64,128,3366,bandit;debugging;effort;foraging;solvability;waiting,0.4526854723547893,0.15422604111220833,0.69211403117391
dual_history,M4,solvability,0,0,0,3426,bandit;debugging;effort;foraging;information_sampling;waiting,0.45912856924570355,1.0132746682223754,0.8479031132899603
dual_history,M4,solvability,1,1,2,3424,bandit;debugging;effort;foraging;information_sampling;waiting,0.5129786608874736,0.9121747945104222,0.8128936322232635
dual_history,M4,solvability,4,4,8,3418,bandit;debugging;effort;foraging;information_sampling;waiting,0.590225184738838,0.7657345036826405,0.7731024801299449
dual_history,M4,solvability,8,8,16,3410,bandit;debugging;effort;foraging;information_sampling;waiting,0.6637353650422848,0.628886022602724,0.8214779748036829
dual_history,M4,solvability,16,16,32,3394,bandit;debugging;effort;foraging;information_sampling;waiting,0.5857562226823054,0.7752967014788114,0.7735382376019498
dual_history,M4,solvability,32,32,64,3362,bandit;debugging;effort;foraging;information_sampling;waiting,0.6148713391008858,0.7208039217045089,0.7851843491898474
dual_history,M4,solvability,64,64,128,3298,bandit;debugging;effort;foraging;information_sampling;waiting,0.7201199406308391,0.526742235656606,0.8523780774157943
dual_history,M4,waiting,0,0,0,3362,bandit;debugging;effort;foraging;information_sampling;solvability,0.09596951172877721,0.8256566880423293,0.5211082514525227
dual_history,M4,waiting,1,1,2,3360,bandit;debugging;effort;foraging;information_sampling;solvability,0.06844995133391907,0.8512795841916654,0.5346639530658269
dual_history,M4,waiting,4,4,8,3354,bandit;debugging;effort;foraging;information_sampling;solvability,0.16056995913117766,0.7636188328089973,0.6338678739655266
dual_history,M4,waiting,8,8,16,3346,bandit;debugging;effort;foraging;information_sampling;solvability,0.437581940951139,0.5126966408358219,0.6849135928604465
dual_history,M4,waiting,16,16,32,3330,bandit;debugging;effort;foraging;information_sampling;solvability,0.6981271529897995,0.27370800858723676,0.8413423799844945
dual_history,M4,waiting,32,32,64,3298,bandit;debugging;effort;foraging;information_sampling;solvability,0.757172755508988,0.21920603172182643,0.8722097243453047
dual_history,M4,waiting,64,64,128,3234,bandit;debugging;effort;foraging;information_sampling;solvability,0.7592020577395352,0.2149717604491231,0.8744075729160986
latent_context,M4,bandit,0,0,0,3466,debugging;effort;foraging;information_sampling;solvability;waiting,-0.4208006664061501,1.9344782368103615,0.8235815736435826
latent_context,M4,bandit,1,1,2,3464,debugging;effort;foraging;information_sampling;solvability;waiting,-0.05400754994016932,1.434676045155824,0.8374039524301895
latent_context,M4,bandit,4,4,8,3458,debugging;effort;foraging;information_sampling;solvability;waiting,0.47369128729412135,0.7169349337454632,0.8017978835494368
latent_context,M4,bandit,8,8,16,3450,debugging;effort;foraging;information_sampling;solvability;waiting,0.6236367151972464,0.5118608361001259,0.8122737862615101
latent_context,M4,bandit,16,16,32,3434,debugging;effort;foraging;information_sampling;solvability;waiting,0.6413386205659596,0.48821392901631855,0.8013544723442894
latent_context,M4,bandit,32,32,64,3402,debugging;effort;foraging;information_sampling;solvability;waiting,0.7107504634224451,0.3958671704453003,0.846273616923767
latent_context,M4,bandit,64,64,128,3338,debugging;effort;foraging;information_sampling;solvability;waiting,0.7879875035264908,0.28832168324023344,0.8895960432860813
latent_context,M4,debugging,0,0,0,3564,bandit;effort;foraging;information_sampling;solvability;waiting,-0.3105403860776732,1.2034614122570013,0.8106651456885341
latent_context,M4,debugging,1,1,2,3562,bandit;effort;foraging;information_sampling;solvability;waiting,0.010276229452544472,0.9088117178848096,0.8294280192033902
latent_context,M4,debugging,4,4,8,3556,bandit;effort;foraging;information_sampling;solvability;waiting,0.25178303924356427,0.6875384040445929,0.8194757318940156
latent_context,M4,debugging,8,8,16,3548,bandit;effort;foraging;information_sampling;solvability;waiting,0.3263281324993552,0.6195136230208967,0.8162483980778078
latent_context,M4,debugging,16,16,32,3532,bandit;effort;foraging;information_sampling;solvability;waiting,0.5101373201761734,0.45085105495071043,0.7718071866224526
latent_context,M4,debugging,32,32,64,3500,bandit;effort;foraging;information_sampling;solvability;waiting,0.6943915526459461,0.2808407537681345,0.8392781101170357
