architecture,variant,sharing,heldout_task,sensitivity,source_tasks,source_rows,target_rows,heldout_outcomes_used_for_population,r2,mse,correlation
immediate_state,M1,fully_shared,bandit,with_information_sampling,6,20778,3466,False,-0.16550701960011738,1.5868854918045348,0.8033004390196379
immediate_state,M3,random_effects,bandit,with_information_sampling,6,20778,3466,False,-0.1456383299105568,1.5598334579005713,0.8070106774227747
immediate_state,M4,ontology_conditioned,bandit,with_information_sampling,6,20778,3466,False,-0.6262794413815524,2.214245995733091,0.7634194542433899
choice_perseveration,M1,fully_shared,bandit,with_information_sampling,6,20778,3466,False,-0.16173089110790895,1.5817441383689022,0.8053167229375504
choice_perseveration,M3,random_effects,bandit,with_information_sampling,6,20778,3466,False,-0.1326286056952115,1.5421201861119613,0.8094785830092391
choice_perseveration,M4,ontology_conditioned,bandit,with_information_sampling,6,20778,3466,False,-0.6121897409887873,2.1950622921936453,0.754467443469289
outcome_history,M1,fully_shared,bandit,with_information_sampling,6,20778,3466,False,0.0226750585172093,1.3306678933172513,0.8784134360847806
outcome_history,M3,random_effects,bandit,with_information_sampling,6,20778,3466,False,0.055954610572389374,1.285356421621235,0.8848187024156178
outcome_history,M4,ontology_conditioned,bandit,with_information_sampling,6,20778,3466,False,-0.42303667529070066,1.9375226543889503,0.8294821571260144
dual_history,M1,fully_shared,bandit,with_information_sampling,6,20778,3466,False,0.02684747873811255,1.3249869724794388,0.8813414552459662
dual_history,M3,random_effects,bandit,with_information_sampling,6,20778,3466,False,0.05948217338944706,1.2805535005219364,0.887556092363314
dual_history,M4,ontology_conditioned,bandit,with_information_sampling,6,20778,3466,False,-0.4299755865493893,1.9469702659607022,0.8325657047483904
dynamic_reevaluation,M1,fully_shared,bandit,with_information_sampling,6,20778,3466,False,-0.2417140162867646,1.6906444356653174,0.7679312322753402
dynamic_reevaluation,M3,random_effects,bandit,with_information_sampling,6,20778,3466,False,-0.0018655219306715765,1.3640808976306578,0.7793978327915996
dynamic_reevaluation,M4,ontology_conditioned,bandit,with_information_sampling,6,20778,3466,False,0.21092735674938679,1.074354687270669,0.7252756728168184
latent_context,M1,fully_shared,bandit,with_information_sampling,6,20778,3466,False,0.021135813460337216,1.3327636384376198,0.8726021679967566
