architecture,variant,sharing,split,r2,mse,correlation,macro_r2,macro_mse,macro_correlation,source_tasks
dual_history,M4,ontology_conditioned,interpolation_test,0.831211388354595,0.24426349968539687,0.9151450888146763,0.7375325250009402,0.24463967200552444,0.8806277875999912,7
dual_history,M2,task_specific,interpolation_test,0.8301080821614242,0.24586015617389634,0.9144575092124353,0.7372667730831981,0.2462436428036471,0.8789313162442722,7
dual_history,M3,random_effects,interpolation_test,0.8313841136560861,0.2440135391802706,0.9150531881485054,0.7356022041509421,0.2443399124640211,0.8799546689125474,7
latent_context,M4,ontology_conditioned,interpolation_test,0.8300285775755573,0.24597521173478754,0.9148566749660104,0.7355152892738376,0.2464241958729644,0.8787070660791573,7
outcome_history,M4,ontology_conditioned,interpolation_test,0.8283318811889948,0.2484305965693756,0.9140480338333461,0.7349457062106418,0.24869051093886266,0.877771414408877,7
latent_context,M2,task_specific,interpolation_test,0.8285142957091789,0.24816661425054945,0.9139158938981177,0.7348061045127495,0.24861765339753625,0.8769013153041861,7
outcome_history,M2,task_specific,interpolation_test,0.8273478431782986,0.24985465335835536,0.9133862365847065,0.7340989648439905,0.2501498394379654,0.8756882665332094,7
latent_context,M3,random_effects,interpolation_test,0.8302079134935774,0.245715684634423,0.9147026263184107,0.733677818078163,0.24612343306647597,0.8778741484738319,7
outcome_history,M3,random_effects,interpolation_test,0.8284215284683498,0.24830086294588607,0.9138951322510254,0.7326757031511553,0.24851614123054183,0.8767671512184625,7
choice_perseveration,M4,ontology_conditioned,interpolation_test,0.7774882259583743,0.32200931164003294,0.8844637816125931,0.6783009998254712,0.32158548990458197,0.8456703332289692,7
choice_perseveration,M2,task_specific,interpolation_test,0.7763566886571027,0.32364682295397057,0.8837402675582061,0.6776383746205304,0.3232196228046297,0.8439150939734787,7
choice_perseveration,M3,random_effects,interpolation_test,0.7776721229715424,0.3217431839221719,0.884407908726511,0.6762131969203481,0.32131110374839006,0.8447003202092204,7
immediate_state,M4,ontology_conditioned,interpolation_test,0.7635581827435239,0.34216826118798255,0.8782473280009848,0.6468562873357246,0.3417019640715989,0.8281706203421653,7
immediate_state,M2,task_specific,interpolation_test,0.7623047674715466,0.34398214897287344,0.8775024024478177,0.6453143729088486,0.343497352816394,0.8258057896136034,7
immediate_state,M3,random_effects,interpolation_test,0.7639464717830812,0.34160634626512637,0.878264439642312,0.6444169834082256,0.3411408157241574,0.8268672548258771,7
dynamic_reevaluation,M2,task_specific,interpolation_test,0.672174044055896,0.47441539157181334,0.8216648649256809,0.5305818507327571,0.47329193743312103,0.7590821925717609,7
dynamic_reevaluation,M3,random_effects,interpolation_test,0.6724202364245468,0.4740591127389213,0.8221975765751826,0.5246618131494926,0.4730479655944896,0.7600578642494203,7
dynamic_reevaluation,M4,ontology_conditioned,interpolation_test,0.6720170293117607,0.47464261644516714,0.821976480456966,0.5220824113902441,0.4736570904792809,0.7597502329945248,7
dual_history,M1,fully_shared,interpolation_test,0.6403418573362752,0.5204815405553028,0.806907146920911,0.27058772310060375,0.5213962769172501,0.813599147988152,7
outcome_history,M1,fully_shared,interpolation_test,0.6385698557516978,0.5230459037802713,0.8061635100474968,0.26716227432367773,0.5241131794475545,0.812960693746307,7
latent_context,M1,fully_shared,interpolation_test,0.6391165128123469,0.522254805580812,0.8062632133925633,0.2661453074294541,0.5234776330355344,0.814370667895538,7
choice_perseveration,M1,fully_shared,interpolation_test,0.5983829896525126,0.5812025795126216,0.7792745278183072,0.2600354804520578,0.5813766346488779,0.7852711707486577,7
immediate_state,M1,fully_shared,interpolation_test,0.5879478848211159,0.5963038070234903,0.774621809165541,0.24903754297835953,0.5965391014942129,0.7772000199079863,7
latent_motivation,M2,task_specific,interpolation_test,0.31916792023158136,0.9852704212751813,0.5790517502624464,0.13575539556172483,0.9700637940119515,0.43039855735055227,7
latent_motivation,M3,random_effects,interpolation_test,0.3178855838762431,0.9871261623875424,0.5796722397232151,0.12949357067941916,0.9719886641995401,0.43084542967824124,7
latent_motivation,M4,ontology_conditioned,interpolation_test,0.317598764497678,0.9875412348530539,0.5797471683235219,0.12812849100218296,0.9724163978575103,0.4309393032228508,7
dynamic_reevaluation,M1,fully_shared,interpolation_test,0.40239797122476906,0.8648235301229517,0.6433759067485411,-0.48376346147459187,0.8774059559599383,0.7220635615554334,7
latent_motivation,M1,fully_shared,interpolation_test,0.1004093173512366,1.301848307691463,0.33271058184688357,-0.7768305821636855,1.3017864507677188,0.35678820355483626,7
dual_history,M2,task_specific,structural_test,0.8225545373710135,0.20949292619500975,0.9119776615008466,0.6859016342059869,0.210173674455324,0.8594795131494576,7
latent_context,M2,task_specific,structural_test,0.819853508424441,0.21268177334484067,0.9087561694012635,0.6843785729466632,0.21332346221809154,0.8519793590660132,7
outcome_history,M2,task_specific,structural_test,0.8196074221124827,0.21297230397225084,0.9098222591546002,0.683693977218603,0.21372943087468346,0.8550149714240394,7
dual_history,M4,ontology_conditioned,structural_test,0.8210435363183382,0.21127682096086542,0.9117582693262719,0.680682414891008,0.2119636694834404,0.8599895715223459,7
outcome_history,M4,ontology_conditioned,structural_test,0.8185793847084083,0.21418600964173742,0.9097426725529013,0.6794607158932529,0.21495650387533186,0.8556373808060309,7
latent_context,M4,ontology_conditioned,structural_test,0.8185293202380309,0.21424511598484908,0.9088793915822769,0.679355663066535,0.21493318093475342,0.852443604664173,7
latent_context,M3,random_effects,structural_test,0.8175793413689931,0.21536666539022478,0.909058088469049,0.6769375394032894,0.21602338783856942,0.8522527224794061,7
dual_history,M3,random_effects,structural_test,0.8198018449360345,0.21274276749596402,0.9119603504593896,0.6764819795801974,0.2133877044718373,0.8597517367181335,7
outcome_history,M3,random_effects,structural_test,0.8175122050767932,0.21544592680439947,0.9098980779263403,0.6761064028599036,0.21618382227034982,0.8553533379603151,7
choice_perseveration,M2,task_specific,structural_test,0.7426298623423447,0.30385236373075364,0.8675982472283421,0.600577275508733,0.3044955332897998,0.8131578503394901,7
choice_perseveration,M4,ontology_conditioned,structural_test,0.7420611255876671,0.30452381694915,0.8680151108111929,0.5971218252995202,0.30523038253297674,0.8137591564572436,7
choice_perseveration,M3,random_effects,structural_test,0.7401751574493282,0.3067503995743551,0.8680222859684715,0.5920892532140891,0.30744863178415416,0.8134673694771825,7
immediate_state,M2,task_specific,structural_test,0.7207827308879383,0.32964518722447195,0.854825954170509,0.5507512178774135,0.33146814309038375,0.7771555966602542,7
immediate_state,M4,ontology_conditioned,structural_test,0.719148329005741,0.3315747695750561,0.8550264578045516,0.5447874024580246,0.33342565331979007,0.7780865935045919,7
immediate_state,M3,random_effects,structural_test,0.7173703317347753,0.3336738812995421,0.854972789109925,0.540437061285291,0.3355421274652469,0.7775193439451735,7
dynamic_reevaluation,M2,task_specific,structural_test,0.6416141982451069,0.4231119195950219,0.8062272804481326,0.45689278283998647,0.42593938268255,0.7158295194355927,7
dynamic_reevaluation,M3,random_effects,structural_test,0.6394319918586823,0.42568824245321396,0.8061000557250164,0.4470772038352044,0.42860825112929,0.7160874837728396,7
dynamic_reevaluation,M4,ontology_conditioned,structural_test,0.6388147574032907,0.4264169522792788,0.8058264613478261,0.44519576762091984,0.4293348386406399,0.7159162916752988,7
latent_motivation,M2,task_specific,structural_test,0.28498371537629263,0.8441515016706624,0.5666311484767225,0.04905579910280281,0.8388666181994104,0.36995079724239227,7
latent_motivation,M3,random_effects,structural_test,0.2825722008100402,0.8469985468165978,0.5670806186643808,0.040049843532092254,0.8415423078008414,0.3702554610720539,7
latent_motivation,M4,ontology_conditioned,structural_test,0.28185997056274925,0.8478394091098284,0.5672342881562655,0.037177530962888054,0.8423468788676887,0.37056196275107744,7
latent_context,M1,fully_shared,structural_test,0.6008121272983229,0.47128303150071377,0.7811096072659958,-0.10332724669819823,0.4731193463980562,0.7642650883341532,7
dual_history,M1,fully_shared,structural_test,0.6006174171249583,0.47151290722350625,0.7813112918998676,-0.10947397153570147,0.4734982332884696,0.7645295281175828,7
outcome_history,M1,fully_shared,structural_test,0.6001068497592711,0.47211568539474147,0.7812780732765937,-0.1111201757214115,0.47390585613659464,0.7640272247802805,7
choice_perseveration,M1,fully_shared,structural_test,0.5429265424466823,0.5396230181953006,0.7451917338504013,-0.18246434474079878,0.5417588710078648,0.7228393978653783,7
immediate_state,M1,fully_shared,structural_test,0.5305716394761875,0.5542092732496552,0.7372615170040447,-0.21567206291439064,0.5566916661090627,0.7038176558362591,7
dynamic_reevaluation,M1,fully_shared,structural_test,0.38687971463106785,0.7238526180859077,0.6279704564742935,-0.5399834464320293,0.7236813014722304,0.6618627160750575,7
latent_motivation,M1,fully_shared,structural_test,0.07104631309728204,1.0967269790143563,0.31844081354500897,-0.8330197135164594,1.0924737458481266,0.27782586408960414,7
