architecture,parameter,descriptor,coefficient
dual_history,intercept,outcome_dependence,0.08312341635133988
dual_history,intercept,evidence_accumulation,-0.038700677180089696
dual_history,intercept,explicit_progress,0.0164515956066484
dual_history,intercept,reward_stationarity,0.07197128572481418
dual_history,intercept,absorbing_disengagement,-0.04434721554745341
dual_history,intercept,effort_accumulation,-0.07480009255709692
dual_history,factor_continuation_value,outcome_dependence,0.06128731203329476
dual_history,factor_continuation_value,evidence_accumulation,-0.02315157476660512
dual_history,factor_continuation_value,explicit_progress,0.00615550877453461
dual_history,factor_continuation_value,reward_stationarity,-0.0013553464757785102
dual_history,factor_continuation_value,absorbing_disengagement,-0.014046946989386284
dual_history,factor_continuation_value,effort_accumulation,-0.02229320819158312
dual_history,factor_continuation_value__available,outcome_dependence,0.0
dual_history,factor_continuation_value__available,evidence_accumulation,0.0
dual_history,factor_continuation_value__available,explicit_progress,0.0
dual_history,factor_continuation_value__available,reward_stationarity,0.0
dual_history,factor_continuation_value__available,absorbing_disengagement,0.0
dual_history,factor_continuation_value__available,effort_accumulation,0.0
dual_history,factor_disengagement_value,outcome_dependence,-0.019104524945062065
dual_history,factor_disengagement_value,evidence_accumulation,0.03869068712897147
dual_history,factor_disengagement_value,explicit_progress,-0.05693403582499841
dual_history,factor_disengagement_value,reward_stationarity,0.06828012488900062
dual_history,factor_disengagement_value,absorbing_disengagement,0.045492932967662
dual_history,factor_disengagement_value,effort_accumulation,0.07052993152841577
dual_history,factor_disengagement_value__available,outcome_dependence,0.0
dual_history,factor_disengagement_value__available,evidence_accumulation,0.0
dual_history,factor_disengagement_value__available,explicit_progress,0.0
dual_history,factor_disengagement_value__available,reward_stationarity,0.0
dual_history,factor_disengagement_value__available,absorbing_disengagement,0.0
dual_history,factor_disengagement_value__available,effort_accumulation,0.0
dual_history,factor_continuation_cost,outcome_dependence,-0.0017380398115586341
dual_history,factor_continuation_cost,evidence_accumulation,-0.005399182887034718
dual_history,factor_continuation_cost,explicit_progress,0.011329310647255375
dual_history,factor_continuation_cost,reward_stationarity,-0.02600179664369793
dual_history,factor_continuation_cost,absorbing_disengagement,-0.012957215662457028
dual_history,factor_continuation_cost,effort_accumulation,-0.024264281623824664
dual_history,factor_continuation_cost__available,outcome_dependence,0.0
dual_history,factor_continuation_cost__available,evidence_accumulation,0.0
dual_history,factor_continuation_cost__available,explicit_progress,0.0
dual_history,factor_continuation_cost__available,reward_stationarity,0.0
dual_history,factor_continuation_cost__available,absorbing_disengagement,0.0
dual_history,factor_continuation_cost__available,effort_accumulation,0.0
dual_history,factor_progress_evidence,outcome_dependence,0.1305226242105791
dual_history,factor_progress_evidence,evidence_accumulation,-0.004538117825691941
dual_history,factor_progress_evidence,explicit_progress,0.019253893886392533
dual_history,factor_progress_evidence,reward_stationarity,-0.048669106829134584
dual_history,factor_progress_evidence,absorbing_disengagement,0.014903528870946557
dual_history,factor_progress_evidence,effort_accumulation,-0.045009468685656896
dual_history,factor_progress_evidence__available,outcome_dependence,0.01517145815990741
dual_history,factor_progress_evidence__available,evidence_accumulation,-0.027661853814433097
dual_history,factor_progress_evidence__available,explicit_progress,0.04881406316516116
dual_history,factor_progress_evidence__available,reward_stationarity,0.00897637970670941
dual_history,factor_progress_evidence__available,absorbing_disengagement,0.033557521558622544
dual_history,factor_progress_evidence__available,effort_accumulation,-0.04152210192586636
dual_history,factor_success_evidence,outcome_dependence,0.08267412899627737
dual_history,factor_success_evidence,evidence_accumulation,0.0017105221423303
dual_history,factor_success_evidence,explicit_progress,0.12922193449390143
dual_history,factor_success_evidence,reward_stationarity,0.00642762601563534
dual_history,factor_success_evidence,absorbing_disengagement,-0.10994078247223207
dual_history,factor_success_evidence,effort_accumulation,-0.04315499867549074
dual_history,factor_success_evidence__available,outcome_dependence,0.0
dual_history,factor_success_evidence__available,evidence_accumulation,0.0
dual_history,factor_success_evidence__available,explicit_progress,0.0
dual_history,factor_success_evidence__available,reward_stationarity,0.0
dual_history,factor_success_evidence__available,absorbing_disengagement,0.0
dual_history,factor_success_evidence__available,effort_accumulation,0.0
dual_history,factor_uncertainty,outcome_dependence,-0.01171966130805207
dual_history,factor_uncertainty,evidence_accumulation,0.01549135680349327
dual_history,factor_uncertainty,explicit_progress,0.0033110482621043383
dual_history,factor_uncertainty,reward_stationarity,0.016084403830242795
dual_history,factor_uncertainty,absorbing_disengagement,0.010761853659638299
dual_history,factor_uncertainty,effort_accumulation,-0.003217472761134674
dual_history,factor_uncertainty__available,outcome_dependence,0.0
dual_history,factor_uncertainty__available,evidence_accumulation,0.0
dual_history,factor_uncertainty__available,explicit_progress,0.0
dual_history,factor_uncertainty__available,reward_stationarity,0.0
dual_history,factor_uncertainty__available,absorbing_disengagement,0.0
dual_history,factor_uncertainty__available,effort_accumulation,0.0
dual_history,factor_prior_investment,outcome_dependence,0.0025459832231897583
dual_history,factor_prior_investment,evidence_accumulation,-0.01546037510577071
dual_history,factor_prior_investment,explicit_progress,-0.02041279658202568
dual_history,factor_prior_investment,reward_stationarity,-0.0017982993821924476
dual_history,factor_prior_investment,absorbing_disengagement,0.008072590923800527
dual_history,factor_prior_investment,effort_accumulation,0.007827358246085343
dual_history,factor_prior_investment__available,outcome_dependence,0.0
dual_history,factor_prior_investment__available,evidence_accumulation,0.0
dual_history,factor_prior_investment__available,explicit_progress,0.0
dual_history,factor_prior_investment__available,reward_stationarity,0.0
dual_history,factor_prior_investment__available,absorbing_disengagement,0.0
dual_history,factor_prior_investment__available,effort_accumulation,0.0
dual_history,factor_controllability,outcome_dependence,-0.0028870504396559813
dual_history,factor_controllability,evidence_accumulation,-0.011372620278530607
dual_history,factor_controllability,explicit_progress,0.00319636241953461
dual_history,factor_controllability,reward_stationarity,0.00867958442472737
dual_history,factor_controllability,absorbing_disengagement,0.005938607374884413
dual_history,factor_controllability,effort_accumulation,0.004436981447876001
dual_history,factor_controllability__available,outcome_dependence,-0.09560474488643926
dual_history,factor_controllability__available,evidence_accumulation,-0.001939333233163713
dual_history,factor_controllability__available,explicit_progress,-0.04839200134921545
dual_history,factor_controllability__available,reward_stationarity,0.10233709740290255
dual_history,factor_controllability__available,absorbing_disengagement,0.052104871231927766
dual_history,factor_controllability__available,effort_accumulation,-0.11302705751785427
dual_history,factor_environmental_stability,outcome_dependence,0.08117834193547396
dual_history,factor_environmental_stability,evidence_accumulation,0.015384768804158695
