architecture,parameter,tasks,positive_fraction,negative_fraction,sign_consistent
dual_history,intercept,7,0.0,1.0,True
dual_history,factor_continuation_value,7,1.0,0.0,True
dual_history,factor_continuation_value__available,7,0.0,0.0,False
dual_history,factor_disengagement_value,7,0.0,1.0,True
dual_history,factor_disengagement_value__available,7,0.0,0.0,False
dual_history,factor_continuation_cost,7,0.0,1.0,True
dual_history,factor_continuation_cost__available,7,0.0,0.0,False
dual_history,factor_progress_evidence,7,0.8571428571428571,0.14285714285714285,False
dual_history,factor_progress_evidence__available,7,0.0,1.0,True
dual_history,factor_success_evidence,7,1.0,0.0,True
dual_history,factor_success_evidence__available,7,0.0,0.0,False
dual_history,factor_uncertainty,7,0.42857142857142855,0.5714285714285714,False
dual_history,factor_uncertainty__available,7,0.0,0.0,False
dual_history,factor_prior_investment,7,0.0,1.0,True
dual_history,factor_prior_investment__available,7,0.0,0.0,False
dual_history,factor_controllability,7,1.0,0.0,True
dual_history,factor_controllability__available,7,0.8571428571428571,0.14285714285714285,False
dual_history,factor_environmental_stability,7,0.8571428571428571,0.14285714285714285,False
dual_history,factor_environmental_stability__available,7,0.0,0.0,False
dual_history,factor_goal_continuity,7,1.0,0.0,True
dual_history,factor_goal_continuity__available,7,0.0,0.0,False
dual_history,history_action_1,7,1.0,0.0,True
dual_history,history_action_1__available,7,0.14285714285714285,0.8571428571428571,False
dual_history,history_action_kernel,7,0.14285714285714285,0.8571428571428571,False
dual_history,history_action_kernel__available,7,0.14285714285714285,0.8571428571428571,False
dual_history,history_outcome_1,7,0.8571428571428571,0.14285714285714285,False
dual_history,history_outcome_1__available,7,0.14285714285714285,0.8571428571428571,False
dual_history,history_outcome_kernel,7,1.0,0.0,True
dual_history,history_outcome_kernel__available,7,0.14285714285714285,0.8571428571428571,False
dual_history,response_mapping,7,0.42857142857142855,0.5714285714285714,False
dual_history,response_mapping__available,7,0.0,0.0,False
