condition_id,prompt_hash,response_mapping
mech-outcome_history-000000-plus-m0,a6cdef0fdce6d8453413e21b180803d4dce617ad22faa5e6510834ef4bb4e566,continue_x
mech-outcome_history-000000-plus-m1,9d6b28a0358d732dfb4025c7e2a3bb1f2ff21829226365bcb91d18f68fae7c0b,continue_y
mech-outcome_history-000000-minus-m0,33f66e5ec00bae0f62328470fc862856fc2a060ec3080c9cdb754a9fc3b31965,continue_x
mech-outcome_history-000000-minus-m1,93cca80e7958e5d24b266be96ba916e0307a1fc0aabf30f1483f0244e07965ef,continue_y
mech-contextual_history-000001-plus-m0,7ad10c44a441672bf9848dc53bc80d60ae0abd3067378c3e6ab39784d590a235,continue_x
mech-contextual_history-000001-plus-m1,e156952590822f2aa8abc600c4c62c034d300c0d348fed37038848764ff02a35,continue_y
mech-contextual_history-000001-minus-m0,4e9c8e9659737db9b4b4c215c2ba9101fdeb96eb1efd07818e06818fad18d8ad,continue_x
mech-contextual_history-000001-minus-m1,984093aa31dbd23fad1a0aa5bb3f25181c166b7fdd18444dc32295a6114d3be8,continue_y
mech-raw_history_control-000002-plus-m0,01f5077ad8560a3391503ebc4eb8c9e85421f72bee88428a29d70a85de1e841c,continue_x
mech-raw_history_control-000002-plus-m1,1f2f21bce7c1ce71328b1bf545e87d6b497f448f6d9a410965c0c8f65891c221,continue_y
mech-raw_history_control-000002-minus-m0,c257ff00572a065a572a3accfaeae17ce315e9fc153b3114f4ae315bdef54b89,continue_x
mech-raw_history_control-000002-minus-m1,340195e3c2d62a036211bd2848632159d4c1701e6a5e4683478ecfd22faf118c,continue_y
mech-action_history-000003-plus-m0,458b3c5c3f27e657c4a6d52aded916feb1ef92043a1082c5bb14f867c5ee0459,continue_x
mech-action_history-000003-plus-m1,fbbffafb730d26a84c24f160c9d186bd33a7af88f332e630b9de7a56a91443d2,continue_y
mech-action_history-000003-minus-m0,316c40e774eea66026b7d9ab5945f81f6ac74ba63f8ab70684ce8f1f2b8cb040,continue_x
mech-action_history-000003-minus-m1,6868706ebd8624f48978f231514dc8a0c93968587a24d9b0c7fdc22dc605c87e,continue_y
mech-current_value_control-000004-plus-m0,82b54fc8fbe4b2821060d9b205cdbe90dfdb6267a4287a4edc505808f0e585a1,continue_x
mech-current_value_control-000004-plus-m1,f359a6379e647bd9dc0c22c6d2424ac56c478349649c5997bafd74b6e2434aaf,continue_y
mech-current_value_control-000004-minus-m0,65dd3ed64fafa86725a7ff26e4a02cd14bb87d0682eb19a6217c667c6d51bfae,continue_x
mech-current_value_control-000004-minus-m1,12bf210b83d553135f48a77384d91aeef88eaf9d08164450e64bf75dabf8de08,continue_y
mech-outcome_history-000005-plus-m0,144e759dc5d498d0acf6e565842574814ace29c7d8734bb0393f974d335bdefc,continue_x
mech-outcome_history-000005-plus-m1,4a069fa5c63dfd8a252c5568218be8b33dd1dbad774e84edc780e5af5f4a0ad9,continue_y
mech-outcome_history-000005-minus-m0,ce7309ce1cb637d7657b563213d76ae875fd4661b40c0b256ead0912c2f63256,continue_x
mech-outcome_history-000005-minus-m1,7d5d49c28c8c6067bc1ff094da3a2e00f194ba779d22a8dcfd14d27058e20802,continue_y
mech-contextual_history-000006-plus-m0,8dda968ccfa35cee5e5bd83013387b80cb143265aaccf90ddd4448ad7669fe15,continue_x
mech-contextual_history-000006-plus-m1,b677bd4a09f1fad09c2c06dc6ebe120a8f543e313b5c59b14cea4f2e474a070c,continue_y
mech-contextual_history-000006-minus-m0,fcd86808157af7ac9f0149551d4ea2fa0deebfb8b60a01be8539a8d856a30973,continue_x
mech-contextual_history-000006-minus-m1,ceb787e0bfa8bb783efa60dc5f75b3ea27a84cef02ee84a77a3307cecde27497,continue_y
mech-raw_history_control-000007-plus-m0,2a0b5ff2e24d2ad0e1ccdeb17e67e7937e0907c64d8215e7f6b902e8a89696a9,continue_x
mech-raw_history_control-000007-plus-m1,0d5d731fbba874bd259583275fd88fd9364fcbd97189498ff3ec4ece31571a89,continue_y
mech-raw_history_control-000007-minus-m0,75c81d771d41ba0c217449001b1bd9fb97dd9c732f0280cbcc4b91bcbf160b07,continue_x
mech-raw_history_control-000007-minus-m1,6447a37f7c8c589d371e5357bd4cf6333bae19f031926be77055ba8e995e602e,continue_y
mech-action_history-000008-plus-m0,b5e191f1c56eb77d5f7aa11f76151456727f2c9cb9283a1b11ce132d57578d33,continue_x
mech-action_history-000008-plus-m1,b2bdb7b51cb15c4d628020dae3942719bedb21853e27e73aecfaff9c5f8bc535,continue_y
mech-action_history-000008-minus-m0,8f6babf11e1c587b52e23871c62d5b4d4dfbf90d3ce1715dae6ae171cd74f5bf,continue_x
mech-action_history-000008-minus-m1,758f26a8284697f2b59c0571a11b67bf9b3769ec1ad4c560c04b7980c4c728e1,continue_y
mech-current_value_control-000009-plus-m0,7eb7e6675ff29f819c6f39a535ea413f0c2677cf7084ebc12362095076f82b9e,continue_x
mech-current_value_control-000009-plus-m1,4fc3a8f7f855cfc676dd9fabfcb5fed1661f7c6917150720c0a6b6caa32c1ec7,continue_y
mech-current_value_control-000009-minus-m0,7c9ebf62379cabb855126c6bb3bc6f8d8025980375e0cce49b201bc70f6011e4,continue_x
mech-current_value_control-000009-minus-m1,27793f6d8d4fa613e4a88124130034e56db0de0bcde7afffb78d2c5c56310482,continue_y
mech-outcome_history-000010-plus-m0,c0748c3ae06f92c4eea6666a5e71e543e7bbc1bde3cdb50b32d764c57ad72066,continue_x
mech-outcome_history-000010-plus-m1,b86e3279872b3017c8b04f7944af28135e24f3008ef66d6f2f612c60dea9ba23,continue_y
mech-outcome_history-000010-minus-m0,85ba0712af70a0fc0a430600bf51399de756abcedec7dea939785c0fe27e54ce,continue_x
mech-outcome_history-000010-minus-m1,9170258cbeb4c892d242c18fc4ed2dab17e2505e802e74599ad63fcaf71b5bdc,continue_y
mech-contextual_history-000011-plus-m0,9f2d30c977391475d142e1c4259cc27aa07047c765a6e9ad70a2c9bb96023cc9,continue_x
mech-contextual_history-000011-plus-m1,a66c32c878e479e8c6463316763ce3d025c56d859fa2aefbdedb01864b200a54,continue_y
mech-contextual_history-000011-minus-m0,0af041da52b747e621c9c826b333b14ef5b70a4eedbc24abd2ca1e4daf1d5f58,continue_x
mech-contextual_history-000011-minus-m1,00395df62dd516ff6afee659b0263e6e7618eb37d0936d691a5a4f7d3b9a4bef,continue_y
mech-raw_history_control-000012-plus-m0,f87d835b47546a495b5111b5236a0ebddacb0accfffe91b178b883209b6248b7,continue_x
mech-raw_history_control-000012-plus-m1,aea31694bea5528a561c5cfa26af338ce295a51422f8612dad7545b7c5ea4dc1,continue_y
mech-raw_history_control-000012-minus-m0,45f563f12456afbc9249a57517bc0a2a13edab1816bbff5c0b5f303e07512d51,continue_x
mech-raw_history_control-000012-minus-m1,75eb393563b81041012ea64d5d823bcdb17c3763abb8f46e223c3a8b63a5e871,continue_y
mech-action_history-000013-plus-m0,c8bae0088cb74444459125cb47c3b2ca2329a2a4fd07fba95ee5856cfc1f21c4,continue_x
mech-action_history-000013-plus-m1,31dd470f6c6247f5f2cccc1277febc1ade8fd4e1c31025c1b8d583f91124c1ae,continue_y
mech-action_history-000013-minus-m0,b2f35a67496bd8887bf389c67d52eb6626ed9dfd9b596700fd3487958c8d65ae,continue_x
mech-action_history-000013-minus-m1,49a63c66109249eed116dc5bd69f6437cb60c67c325befb606ca16b4613c47c8,continue_y
mech-current_value_control-000014-plus-m0,29a7931f4e18d763fc1745c6aa924216af946f747ea97aed7682976902556151,continue_x
mech-current_value_control-000014-plus-m1,ab283cfeadf734408f74e16bd9443e8202792b2e4672773321c705143237be2e,continue_y
mech-current_value_control-000014-minus-m0,10d103f6c2f39d5bf9837c6cd562fd6c8bd6f18ec80ca3c9ab0feaafc140e039,continue_x
mech-current_value_control-000014-minus-m1,50e2137aa733c568ba338fca22130bc661915a15579e962313d5f541da553ccd,continue_y
