target,layer,control,shared_variance
action_history,0,persistence_logit,0.1352175141937008
action_history,0,success_evidence,0.0004493266428470147
action_history,0,continuation_value,8.162972755906576e-05
action_history,0,disengagement_value,7.35644548651766e-05
action_history,0,continuation_cost,0.001014505306777741
action_history,0,response_mapping_sign,1.2402633293201878e-05
action_history,0,task_identity,0.35408209101171056
action_history,1,persistence_logit,0.058726218881129576
action_history,1,success_evidence,0.0006769623277805149
action_history,1,continuation_value,2.090981725028142e-05
action_history,1,disengagement_value,0.0005057094276748954
action_history,1,continuation_cost,1.0569085143061599e-05
action_history,1,response_mapping_sign,0.00020594369505200878
action_history,1,task_identity,0.45504797043750644
action_history,2,persistence_logit,0.04997051551254803
action_history,2,success_evidence,0.0008156822884727627
action_history,2,continuation_value,2.0689076204722466e-06
action_history,2,disengagement_value,0.00019904231333236344
action_history,2,continuation_cost,0.000294905466416109
action_history,2,response_mapping_sign,9.801476299054646e-05
action_history,2,task_identity,0.6172795203748969
action_history,3,persistence_logit,0.024606174706707538
action_history,3,success_evidence,0.00039048306122828786
action_history,3,continuation_value,3.835680487301822e-05
action_history,3,disengagement_value,0.00044515847673384475
action_history,3,continuation_cost,3.3259255555739474e-05
action_history,3,response_mapping_sign,0.00032302796379671294
action_history,3,task_identity,0.6322883625682313
action_history,4,persistence_logit,0.1951499550120347
action_history,4,success_evidence,5.533904332016832e-06
action_history,4,continuation_value,0.0020056753868450505
action_history,4,disengagement_value,0.0009901630396235387
action_history,4,continuation_cost,0.0010320457930853236
action_history,4,response_mapping_sign,0.0003670058465309311
action_history,4,task_identity,0.5959301248412388
action_history,5,persistence_logit,0.2184136201686992
action_history,5,success_evidence,8.312852205961207e-05
action_history,5,continuation_value,0.002043740150953187
action_history,5,disengagement_value,0.0024277094636743685
action_history,5,continuation_cost,0.00031245253370628973
action_history,5,response_mapping_sign,9.381683157899761e-05
action_history,5,task_identity,0.5932566755852843
action_history,6,persistence_logit,0.21958375557680346
action_history,6,success_evidence,8.148505723254715e-05
action_history,6,continuation_value,0.0011142084059643776
