control_role,prompt_family,regime,alpha,repeated_4gram_fraction,repeated_8gram_fraction,repeated_sentence_fraction,lexical_diversity,punctuation_fraction,severe_degeneration
direct_eos,open_ended,eos_control,-2.0,0.001251931629690586,0.0,0.0,0.6759854062340234,0.03292137938499826,0.0
direct_eos,open_ended,eos_control,-1.0,0.0012199748941940276,0.0,0.0,0.6687873362452149,0.032796054349650466,0.0
direct_eos,open_ended,eos_control,0.0,0.0011445867992178121,0.0,0.0,0.6488361914250708,0.033538236873816074,0.0
direct_eos,open_ended,eos_control,1.0,0.0011050647341407619,0.0,0.0,0.6261968822287036,0.03420919009768924,0.0
direct_eos,open_ended,eos_control,2.0,0.0010882670455027196,0.0,0.0,0.62589024009865,0.03513289029711497,0.0
frozen_E,fixed_topic,continuous,-2.0,0.013693516772879171,0.0,0.0,0.5628469005145754,0.03997542445524839,0.0
frozen_E,fixed_topic,continuous,-1.0,0.012182955187596439,0.0,0.0,0.5652266714250556,0.03921708888412971,0.0
frozen_E,fixed_topic,continuous,0.0,0.013575522356978315,0.00015432098765432166,0.0,0.5587049971082196,0.038744866406626145,0.0
frozen_E,fixed_topic,continuous,1.0,0.012684487459082915,0.0,0.0013888888888888896,0.5484902804839498,0.039964655888405566,0.0
frozen_E,fixed_topic,continuous,2.0,0.014133631025148918,0.0,0.0,0.5507535984819151,0.04003988785665866,0.0
frozen_E,open_ended,continuous,-2.0,0.0035563285265780365,0.000272581366590365,0.00023456790123456804,0.6538928092224294,0.03529340376394606,0.0
frozen_E,open_ended,continuous,-1.0,0.0037950337222680567,0.000330614475963313,0.00042207792207792213,0.6466805781471353,0.03603839029666197,0.0
frozen_E,open_ended,continuous,0.0,0.002837216968453747,3.259900164821139e-05,0.0,0.6491592613415139,0.035744407230600565,0.0
frozen_E,open_ended,continuous,1.0,0.0038173008163402797,0.0008521498248600971,0.0009305873379099927,0.6504403286257298,0.03556084661487106,0.0
frozen_E,open_ended,continuous,2.0,0.0032325224135269564,0.0003658572509248159,0.00041353383458646623,0.6537356256344994,0.03561632359397002,0.0
frozen_E,open_ended,pulse,-2.0,0.0016780427080669736,0.0,0.0,0.651134977460499,0.034701276081786615,0.0
frozen_E,open_ended,pulse,-1.0,0.002505892413846763,0.0,0.0,0.6479371573288588,0.03379079905989644,0.0
frozen_E,open_ended,pulse,0.0,0.0014729019841055087,0.0,0.0,0.665517451664495,0.03394798876682768,0.0
frozen_E,open_ended,pulse,1.0,0.001939893044834599,0.0,0.0,0.6433802993779196,0.03406022186686448,0.0
frozen_E,open_ended,pulse,2.0,0.002832957988050729,0.0,0.0017543859649122825,0.6473110473202431,0.03439300702252606,0.0
random_subspace,open_ended,continuous,-2.0,0.002984057482527052,7.454953633928625e-05,0.0,0.6345383557688661,0.03463179873265812,0.0
random_subspace,open_ended,continuous,0.0,0.0011445867992178121,0.0,0.0,0.6488361914250708,0.033538236873816074,0.0
random_subspace,open_ended,continuous,2.0,0.008946060260773043,0.0026967715701985127,0.0026720969089390144,0.6313996250829986,0.03377850881959042,0.005555555555555556
