job_index,prompt_id,direction_id,control_role,alpha,p_eos,eos_logit,baseline_p_eos,baseline_eos_logit,delta_eos_logit
56,open_ended_01,random_000,random_subspace,-2.0,3.1560816182718554e-09,-19.57393456983823,2.886769046028803e-09,-19.66312793449059,0.08919336465235972
56,open_ended_01,random_000,random_subspace,-1.0,2.9429982895123885e-09,-19.643836945957688,2.886769046028803e-09,-19.66312793449059,0.019290988532901565
56,open_ended_01,random_000,random_subspace,0.0,2.886769046028803e-09,-19.66312793449059,2.886769046028803e-09,-19.66312793449059,0.0
56,open_ended_01,random_000,random_subspace,1.0,2.8326461176675366e-09,-19.682054535410387,2.886769046028803e-09,-19.66312793449059,-0.01892660091979792
56,open_ended_01,random_000,random_subspace,2.0,2.8798672335739184e-09,-19.6655216404348,2.886769046028803e-09,-19.66312793449059,-0.0023937059442111774
56,open_ended_02,random_000,random_subspace,-2.0,1.4319472718682391e-08,-18.06164548309342,1.3520476294104355e-08,-18.119060524577765,0.05741504148434373
56,open_ended_02,random_000,random_subspace,-1.0,1.3480511817931529e-08,-18.12202075001325,1.3520476294104355e-08,-18.119060524577765,-0.0029602254354834656
56,open_ended_02,random_000,random_subspace,0.0,1.3520476294104355e-08,-18.119060524577765,1.3520476294104355e-08,-18.119060524577765,0.0
56,open_ended_02,random_000,random_subspace,1.0,1.2741445232222759e-08,-18.178405739975,1.3520476294104355e-08,-18.119060524577765,-0.05934521539723292
56,open_ended_02,random_000,random_subspace,2.0,1.2507187285848431e-08,-18.196962362502408,1.3520476294104355e-08,-18.119060524577765,-0.07790183792464234
56,open_ended_03,random_000,random_subspace,-2.0,7.851674310721535e-10,-20.96512413211362,8.049070854276863e-10,-20.94029426619565,-0.024829865917968874
56,open_ended_03,random_000,random_subspace,-1.0,8.018332664505579e-10,-20.944120426067634,8.049070854276863e-10,-20.94029426619565,-0.0038261598719842027
56,open_ended_03,random_000,random_subspace,0.0,8.049070854276863e-10,-20.94029426619565,8.049070854276863e-10,-20.94029426619565,0.0
56,open_ended_03,random_000,random_subspace,1.0,7.883427244337327e-10,-20.961088190352307,8.049070854276863e-10,-20.94029426619565,-0.020793924156656374
56,open_ended_03,random_000,random_subspace,2.0,7.981741934059983e-10,-20.94869425402562,8.049070854276863e-10,-20.94029426619565,-0.008399987829971423
56,open_ended_04,random_000,random_subspace,-2.0,8.367599662051362e-07,-13.993727749552939,8.114208753795538e-07,-14.024478147477753,0.030750397924814266
56,open_ended_04,random_000,random_subspace,-1.0,8.121347150336078e-07,-14.023598793196633,8.114208753795538e-07,-14.024478147477753,0.0008793542811194044
56,open_ended_04,random_000,random_subspace,0.0,8.114208753795538e-07,-14.024478147477753,8.114208753795538e-07,-14.024478147477753,0.0
56,open_ended_04,random_000,random_subspace,1.0,8.148406891450577e-07,-14.020272401413598,8.114208753795538e-07,-14.024478147477753,0.004205746064155136
56,open_ended_04,random_000,random_subspace,2.0,8.116561502902186e-07,-14.02418823504658,8.114208753795538e-07,-14.024478147477753,0.00028991243117282295
56,open_ended_05,random_000,random_subspace,-2.0,2.802289511549816e-09,-19.692829068386974,2.6912574391246835e-09,-19.73325730037315,0.0404282319861764
56,open_ended_05,random_000,random_subspace,-1.0,2.72204125906228e-09,-19.721883772482386,2.6912574391246835e-09,-19.73325730037315,0.011373527890764734
56,open_ended_05,random_000,random_subspace,0.0,2.6912574391246835e-09,-19.73325730037315,2.6912574391246835e-09,-19.73325730037315,0.0
56,open_ended_05,random_000,random_subspace,1.0,2.685319966388988e-09,-19.735465945285142,2.6912574391246835e-09,-19.73325730037315,-0.0022086449119917972
56,open_ended_05,random_000,random_subspace,2.0,2.70087885390069e-09,-19.72968861275465,2.6912574391246835e-09,-19.73325730037315,0.003568687618500377
56,open_ended_06,random_000,random_subspace,-2.0,4.936965836144225e-10,-21.42909999015666,4.5706607942896937e-10,-21.506193141093497,0.077093150936836
56,open_ended_06,random_000,random_subspace,-1.0,4.695143163147009e-10,-21.479322324592538,4.5706607942896937e-10,-21.506193141093497,0.026870816500959904
56,open_ended_06,random_000,random_subspace,0.0,4.5706607942896937e-10,-21.506193141093497,4.5706607942896937e-10,-21.506193141093497,0.0
56,open_ended_06,random_000,random_subspace,1.0,4.568899980572638e-10,-21.506578458021306,4.5706607942896937e-10,-21.506193141093497,-0.000385316927808077
56,open_ended_06,random_000,random_subspace,2.0,4.3444592368047097e-10,-21.556949634965594,4.5706607942896937e-10,-21.506193141093497,-0.0507564938720968
56,open_ended_01,random_001,random_subspace,-2.0,3.2218552270535383e-09,-19.553308482613183,2.886769046028803e-09,-19.66312793449059,0.1098194518774065
56,open_ended_01,random_001,random_subspace,-1.0,3.054880348685174e-09,-19.60652540776814,2.886769046028803e-09,-19.66312793449059,0.056602526722450364
56,open_ended_01,random_001,random_subspace,0.0,2.886769046028803e-09,-19.66312793449059,2.886769046028803e-09,-19.66312793449059,0.0
56,open_ended_01,random_001,random_subspace,1.0,2.7150257597696736e-09,-19.724464392945865,2.886769046028803e-09,-19.66312793449059,-0.061336458455276244
56,open_ended_01,random_001,random_subspace,2.0,2.5544741877325805e-09,-19.78541942928039,2.886769046028803e-09,-19.66312793449059,-0.12229149478980261
56,open_ended_02,random_001,random_subspace,-2.0,1.5773487405112974e-08,-17.96493530291425,1.3520476294104355e-08,-18.119060524577765,0.1541252216635165
56,open_ended_02,random_001,random_subspace,-1.0,1.4593767971859961e-08,-18.04267123600774,1.3520476294104355e-08,-18.119060524577765,0.0763892885700237
56,open_ended_02,random_001,random_subspace,0.0,1.3520476294104355e-08,-18.119060524577765,1.3520476294104355e-08,-18.119060524577765,0.0
56,open_ended_02,random_001,random_subspace,1.0,1.2638264657027776e-08,-18.186536734806648,1.3520476294104355e-08,-18.119060524577765,-0.0674762102288824
56,open_ended_02,random_001,random_subspace,2.0,1.1936877264417944e-08,-18.243633286894877,1.3520476294104355e-08,-18.119060524577765,-0.12457276231711134
56,open_ended_03,random_001,random_subspace,-2.0,7.734797802250171e-10,-20.98012158611062,8.049070854276863e-10,-20.94029426619565,-0.039827319914969905
56,open_ended_03,random_001,random_subspace,-1.0,7.795239453933789e-10,-20.972337708209118,8.049070854276863e-10,-20.94029426619565,-0.03204344201346743
56,open_ended_03,random_001,random_subspace,0.0,8.049070854276863e-10,-20.94029426619565,8.049070854276863e-10,-20.94029426619565,0.0
56,open_ended_03,random_001,random_subspace,1.0,7.375008936882921e-10,-21.027753815197073,8.049070854276863e-10,-20.94029426619565,-0.08745954900142294
56,open_ended_03,random_001,random_subspace,2.0,7.913844579654494e-10,-20.95723722503745,8.049070854276863e-10,-20.94029426619565,-0.016942958841799083
56,open_ended_04,random_001,random_subspace,-2.0,8.488312346344173e-07,-13.979404602912432,8.114208753795538e-07,-14.024478147477753,0.0450735445653212
56,open_ended_04,random_001,random_subspace,-1.0,8.403057449868356e-07,-13.989499188901194,8.114208753795538e-07,-14.024478147477753,0.034978958576559194
56,open_ended_04,random_001,random_subspace,0.0,8.114208753795538e-07,-14.024478147477753,8.114208753795538e-07,-14.024478147477753,0.0
56,open_ended_04,random_001,random_subspace,1.0,8.073999993030156e-07,-14.029445821990493,8.114208753795538e-07,-14.024478147477753,-0.004967674512739606
56,open_ended_04,random_001,random_subspace,2.0,7.60024363444245e-07,-14.089914586991721,8.114208753795538e-07,-14.024478147477753,-0.06543643951396838
56,open_ended_05,random_001,random_subspace,-2.0,2.884210204001647e-09,-19.664014731025933,2.6912574391246835e-09,-19.73325730037315,0.0692425693472174
56,open_ended_05,random_001,random_subspace,-1.0,2.7815694192412366e-09,-19.700250526459246,2.6912574391246835e-09,-19.73325730037315,0.03300677391390394
56,open_ended_05,random_001,random_subspace,0.0,2.6912574391246835e-09,-19.73325730037315,2.6912574391246835e-09,-19.73325730037315,0.0
56,open_ended_05,random_001,random_subspace,1.0,2.682340793924709e-09,-19.7365759903909,2.6912574391246835e-09,-19.73325730037315,-0.003318690017749759
56,open_ended_05,random_001,random_subspace,2.0,2.5084465615776708e-09,-19.803602172661645,2.6912574391246835e-09,-19.73325730037315,-0.07034487228849429
56,open_ended_06,random_001,random_subspace,-2.0,5.058835572668841e-10,-21.404714596596275,4.5706607942896937e-10,-21.506193141093497,0.1014785444972226
56,open_ended_06,random_001,random_subspace,-1.0,4.947117715481397e-10,-21.427045802156535,4.5706607942896937e-10,-21.506193141093497,0.0791473389369628
56,open_ended_06,random_001,random_subspace,0.0,4.5706607942896937e-10,-21.506193141093497,4.5706607942896937e-10,-21.506193141093497,0.0
56,open_ended_06,random_001,random_subspace,1.0,4.0407088786054146e-10,-21.62943078795417,4.5706607942896937e-10,-21.506193141093497,-0.12323764686067307
56,open_ended_06,random_001,random_subspace,2.0,3.840097406726528e-10,-21.6803531969435,4.5706607942896937e-10,-21.506193141093497,-0.1741600558500025
56,open_ended_01,random_002,random_subspace,-2.0,2.757123862551225e-09,-19.70907777658762,2.886769046028803e-09,-19.66312793449059,-0.04594984209703057
56,open_ended_01,random_002,random_subspace,-1.0,2.8167794763334086e-09,-19.687671631461413,2.886769046028803e-09,-19.66312793449059,-0.024543696970823703
56,open_ended_01,random_002,random_subspace,0.0,2.886769046028803e-09,-19.66312793449059,2.886769046028803e-09,-19.66312793449059,0.0
56,open_ended_01,random_002,random_subspace,1.0,3.0257643057751693e-09,-19.616102111285606,2.886769046028803e-09,-19.66312793449059,0.04702582320498294
56,open_ended_01,random_002,random_subspace,2.0,3.1418589951925924e-09,-19.578451172383428,2.886769046028803e-09,-19.66312793449059,0.08467676210716135
56,open_ended_02,random_002,random_subspace,-2.0,1.1994917059610088e-08,-18.238782843263976,1.3520476294104355e-08,-18.119060524577765,-0.11972231868621108
56,open_ended_02,random_002,random_subspace,-1.0,1.272459027035211e-08,-18.179729461097175,1.3520476294104355e-08,-18.119060524577765,-0.0606689365194093
56,open_ended_02,random_002,random_subspace,0.0,1.3520476294104355e-08,-18.119060524577765,1.3520476294104355e-08,-18.119060524577765,0.0
56,open_ended_02,random_002,random_subspace,1.0,1.3589558811588631e-08,-18.11396405991587,1.3520476294104355e-08,-18.119060524577765,0.005096464661896505
56,open_ended_02,random_002,random_subspace,2.0,1.5302308753462057e-08,-17.995262105710722,1.3520476294104355e-08,-18.119060524577765,0.12379841886704313
56,open_ended_03,random_002,random_subspace,-2.0,6.920110040553595e-10,-21.091419257931197,8.049070854276863e-10,-20.94029426619565,-0.1511249917355464
56,open_ended_03,random_002,random_subspace,-1.0,7.406670277099181e-10,-21.0234699461994,8.049070854276863e-10,-20.94029426619565,-0.0831756800037482
56,open_ended_03,random_002,random_subspace,0.0,8.049070854276863e-10,-20.94029426619565,8.049070854276863e-10,-20.94029426619565,0.0
56,open_ended_03,random_002,random_subspace,1.0,8.144727670078566e-10,-20.92848012285764,8.049070854276863e-10,-20.94029426619565,0.011814143338011007
56,open_ended_03,random_002,random_subspace,2.0,9.234925046897047e-10,-20.80285843159826,8.049070854276863e-10,-20.94029426619565,0.13743583459739028
56,open_ended_04,random_002,random_subspace,-2.0,8.138077305375191e-07,-14.021540888307056,8.114208753795538e-07,-14.024478147477753,0.002937259170696649
56,open_ended_04,random_002,random_subspace,-1.0,8.108407314466604e-07,-14.025193376668602,8.114208753795538e-07,-14.024478147477753,-0.0007152291908489872
56,open_ended_04,random_002,random_subspace,0.0,8.114208753795538e-07,-14.024478147477753,8.114208753795538e-07,-14.024478147477753,0.0
56,open_ended_04,random_002,random_subspace,1.0,8.11290931324038e-07,-14.024638304272925,8.114208753795538e-07,-14.024478147477753,-0.00016015679517167314
56,open_ended_04,random_002,random_subspace,2.0,8.365620374206628e-07,-13.993964319622018,8.114208753795538e-07,-14.024478147477753,0.030513827855735087
56,open_ended_05,random_002,random_subspace,-2.0,2.4046731272875377e-09,-19.84585185403089,2.6912574391246835e-09,-19.73325730037315,-0.11259455365773974
56,open_ended_05,random_002,random_subspace,-1.0,2.46674614068354e-09,-19.820365904260647,2.6912574391246835e-09,-19.73325730037315,-0.08710860388749708
56,open_ended_05,random_002,random_subspace,0.0,2.6912574391246835e-09,-19.73325730037315,2.6912574391246835e-09,-19.73325730037315,0.0
56,open_ended_05,random_002,random_subspace,1.0,2.8834508114528035e-09,-19.66427805876083,2.6912574391246835e-09,-19.73325730037315,0.06897924161232183
56,open_ended_05,random_002,random_subspace,2.0,3.09238812334911e-09,-19.59432218599057,2.6912574391246835e-09,-19.73325730037315,0.13893511438257988
56,open_ended_06,random_002,random_subspace,-2.0,4.6053844071636263e-10,-21.498624787216702,4.5706607942896937e-10,-21.506193141093497,0.007568353876795442
56,open_ended_06,random_002,random_subspace,-1.0,4.63047794552196e-10,-21.493190838732403,4.5706607942896937e-10,-21.506193141093497,0.013002302361094564
56,open_ended_06,random_002,random_subspace,0.0,4.5706607942896937e-10,-21.506193141093497,4.5706607942896937e-10,-21.506193141093497,0.0
56,open_ended_06,random_002,random_subspace,1.0,4.668808117891388e-10,-21.48494711137546,4.5706607942896937e-10,-21.506193141093497,0.021246029718035686
56,open_ended_06,random_002,random_subspace,2.0,4.692349842017052e-10,-21.479917440074846,4.5706607942896937e-10,-21.506193141093497,0.026275701018651176
56,open_ended_01,random_003,random_subspace,-2.0,2.8136972751724443e-09,-19.688766459346702,2.886769046028803e-09,-19.66312793449059,-0.025638524856113065
56,open_ended_01,random_003,random_subspace,-1.0,2.749551031300257e-09,-19.711828197192325,2.886769046028803e-09,-19.66312793449059,-0.04870026270173611
56,open_ended_01,random_003,random_subspace,0.0,2.886769046028803e-09,-19.66312793449059,2.886769046028803e-09,-19.66312793449059,0.0
56,open_ended_01,random_003,random_subspace,1.0,3.0515843185696667e-09,-19.60760492943092,2.886769046028803e-09,-19.66312793449059,0.05552300505966912
56,open_ended_01,random_003,random_subspace,2.0,3.1514497678131193e-09,-19.575403243086893,2.886769046028803e-09,-19.66312793449059,0.08772469140369665
56,open_ended_02,random_003,random_subspace,-2.0,1.2662320969525354e-08,-18.184635093444946,1.3520476294104355e-08,-18.119060524577765,-0.06557456886718072
56,open_ended_02,random_003,random_subspace,-1.0,1.3119951347562164e-08,-18.149131748582473,1.3520476294104355e-08,-18.119060524577765,-0.03007122400470763
56,open_ended_02,random_003,random_subspace,0.0,1.3520476294104355e-08,-18.119060524577765,1.3520476294104355e-08,-18.119060524577765,0.0
56,open_ended_02,random_003,random_subspace,1.0,1.3674217314019188e-08,-18.107753711408765,1.3520476294104355e-08,-18.119060524577765,0.011306813168999952
56,open_ended_02,random_003,random_subspace,2.0,1.410432837190001e-08,-18.076784095835176,1.3520476294104355e-08,-18.119060524577765,0.04227642874258919
56,open_ended_03,random_003,random_subspace,-2.0,7.410330127299858e-10,-21.0229759392914,8.049070854276863e-10,-20.94029426619565,-0.08268167309574892
56,open_ended_03,random_003,random_subspace,-1.0,7.851240213518906e-10,-20.96517942085666,8.049070854276863e-10,-20.94029426619565,-0.02488515466101049
56,open_ended_03,random_003,random_subspace,0.0,8.049070854276863e-10,-20.94029426619565,8.049070854276863e-10,-20.94029426619565,0.0
56,open_ended_03,random_003,random_subspace,1.0,7.894306319755628e-10,-20.959709148539133,8.049070854276863e-10,-20.94029426619565,-0.019414882343482986
56,open_ended_03,random_003,random_subspace,2.0,8.080758839845714e-10,-20.936365145186702,8.049070854276863e-10,-20.94029426619565,0.003929121008948044
56,open_ended_04,random_003,random_subspace,-2.0,7.785585012243246e-07,-14.065820923855537,8.114208753795538e-07,-14.024478147477753,-0.04134277637778361
56,open_ended_04,random_003,random_subspace,-1.0,8.087694709502102e-07,-14.027751107287836,8.114208753795538e-07,-14.024478147477753,-0.0032729598100829094
56,open_ended_04,random_003,random_subspace,0.0,8.114208753795538e-07,-14.024478147477753,8.114208753795538e-07,-14.024478147477753,0.0
56,open_ended_04,random_003,random_subspace,1.0,8.44330202198762e-07,-13.98472133969963,8.114208753795538e-07,-14.024478147477753,0.039756807778122294
56,open_ended_04,random_003,random_subspace,2.0,8.459744549327297e-07,-13.982775826936233,8.114208753795538e-07,-14.024478147477753,0.041702320541519455
56,open_ended_05,random_003,random_subspace,-2.0,2.4849933222270693e-09,-19.812995862149005,2.6912574391246835e-09,-19.73325730037315,-0.07973856177585503
56,open_ended_05,random_003,random_subspace,-1.0,2.697439827059611e-09,-19.730962723276402,2.6912574391246835e-09,-19.73325730037315,0.002294577096748185
56,open_ended_05,random_003,random_subspace,0.0,2.6912574391246835e-09,-19.73325730037315,2.6912574391246835e-09,-19.73325730037315,0.0
56,open_ended_05,random_003,random_subspace,1.0,2.7499287291732344e-09,-19.711690839518123,2.6912574391246835e-09,-19.73325730037315,0.021566460855027003
56,open_ended_05,random_003,random_subspace,2.0,2.981827007531024e-09,-19.630729631534514,2.6912574391246835e-09,-19.73325730037315,0.10252766883863629
56,open_ended_06,random_003,random_subspace,-2.0,3.947904225753973e-10,-21.652666067196247,4.5706607942896937e-10,-21.506193141093497,-0.1464729261027493
56,open_ended_06,random_003,random_subspace,-1.0,4.349234861145135e-10,-21.55585099386573,4.5706607942896937e-10,-21.506193141093497,-0.04965785277223134
56,open_ended_06,random_003,random_subspace,0.0,4.5706607942896937e-10,-21.506193141093497,4.5706607942896937e-10,-21.506193141093497,0.0
