heldout_task,model,sharing,source_tasks,source_rows,target_rows,r2,mse,correlation
bandit,choice_perseveration,fully_shared,6,222,44,0.10110862607311977,0.7765375965027039,0.36624856284105783
debugging,choice_perseveration,fully_shared,6,222,44,-0.09467277402583218,0.8568715242733311,-0.08243241262097278
effort,choice_perseveration,fully_shared,6,230,36,-0.3877572420843238,0.8159286245027747,0.13184479717099523
foraging,choice_perseveration,fully_shared,6,228,38,-0.04213363793959424,0.8154946062634991,0.1053747592152725
information_sampling,choice_perseveration,fully_shared,6,230,36,-0.015575145828766956,0.9813251333329254,0.17114395774051547
solvability,choice_perseveration,fully_shared,6,236,30,-0.49177436891736903,1.1928682862964508,-0.07417046222407116
waiting,choice_perseveration,fully_shared,6,228,38,-0.2896878107422136,0.8417679200781416,0.05378365758136367
bandit,dual_history,fully_shared,6,222,44,0.09249219275711595,0.7839811927054412,0.33832757403102276
debugging,dual_history,fully_shared,6,222,44,-0.19493121893125154,0.9353503250125127,-0.18523807004310572
effort,dual_history,fully_shared,6,230,36,-0.6909313438389448,0.9941791285015723,0.08333510205510909
foraging,dual_history,fully_shared,6,228,38,-0.05796188832305038,0.8278805924214903,0.06834005285194764
information_sampling,dual_history,fully_shared,6,230,36,-0.02323833336033365,0.9887298818215593,0.15091023937278028
solvability,dual_history,fully_shared,6,236,30,-0.5413413530246931,1.2325035586412205,-0.11171262679170199
waiting,dual_history,fully_shared,6,228,38,-0.306090651605297,0.8524739104129223,0.031013239734471478
bandit,dynamic_reevaluation,fully_shared,6,222,44,-0.0007588013796897553,0.8645392055631475,0.041507541953653616
debugging,dynamic_reevaluation,fully_shared,6,222,44,0.03119573001717013,0.7583460658199485,0.25030461004654525
effort,dynamic_reevaluation,fully_shared,6,230,36,-0.0497310502047017,0.6171869156344361,-0.01495325698702536
foraging,dynamic_reevaluation,fully_shared,6,228,38,-0.03590231017836554,0.8106184425987422,-0.016827565558064285
information_sampling,dynamic_reevaluation,fully_shared,6,230,36,-0.055231890593700594,1.0196444645058445,-0.038921288293354145
solvability,dynamic_reevaluation,fully_shared,6,236,30,-0.11320074698063509,0.890149271245639,-0.14808427359375573
waiting,dynamic_reevaluation,fully_shared,6,228,38,-0.2748903349647307,0.8321097374514096,-0.06692685759649701
bandit,generic_sequential_choice,fully_shared,6,222,44,0.026665357631432296,0.8408479218971668,0.2456995767878783
debugging,generic_sequential_choice,fully_shared,6,222,44,-0.17841835052195165,0.9224246297182332,-0.3332201603936247
effort,generic_sequential_choice,fully_shared,6,230,36,-0.008114320838907174,0.5927184569458425,0.05723954465298358
foraging,generic_sequential_choice,fully_shared,6,228,38,-0.17051433920236314,0.915955589017212,-0.08746012097013675
information_sampling,generic_sequential_choice,fully_shared,6,230,36,-0.0007022395798277348,0.9669538120498724,0.13814384568424015
solvability,generic_sequential_choice,fully_shared,6,236,30,-0.16210910557618208,0.9292578865423226,-0.20909363101161219
waiting,generic_sequential_choice,fully_shared,6,228,38,0.06596401527748486,0.6096370932478067,0.33639827551368134
bandit,immediate_state,fully_shared,6,222,44,0.08132172662826775,0.7936311761974579,0.2991987340779032
debugging,immediate_state,fully_shared,6,222,44,0.07200069015199984,0.7264053715611005,0.3785775957168942
effort,immediate_state,fully_shared,6,230,36,-0.011310650087910323,0.5945977312515418,0.38394556425908594
foraging,immediate_state,fully_shared,6,228,38,-0.06130725559696537,0.8304984226771587,-0.07661585455091241
information_sampling,immediate_state,fully_shared,6,230,36,-0.034281945100993694,0.9994010505759269,0.1335098315586584
solvability,immediate_state,fully_shared,6,236,30,-0.3895605435598215,1.1111349938961064,0.030519473539086593
waiting,immediate_state,fully_shared,6,228,38,-0.47166135037389423,0.9605404530036583,-0.055920690934812445
bandit,intercept,fully_shared,6,222,44,-0.05585169636156184,0.9121330589413408,
debugging,intercept,fully_shared,6,222,44,-0.037938772469743975,0.8124621340473314,-1.1407798665113238e-16
effort,intercept,fully_shared,6,230,36,-0.00014063861823454538,0.5880303491347356,-8.043932011549103e-18
foraging,intercept,fully_shared,6,228,38,-0.06571277078321769,0.8339458441415534,
information_sampling,intercept,fully_shared,6,230,36,-0.0003104497544106355,0.9665752352362856,8.784465293377975e-17
solvability,intercept,fully_shared,6,236,30,-9.598294201218494e-06,0.7996381762899701,1.6554051068586687e-17
waiting,intercept,fully_shared,6,228,38,-0.05908800594654817,0.6912574504618072,-9.04092266008404e-18
bandit,latent_context,fully_shared,6,222,44,0.035027896268590486,0.8336236611663168,0.3748068654090989
debugging,latent_context,fully_shared,6,222,44,-0.18848809112933296,0.9303068701356607,0.030559523152306877
effort,latent_context,fully_shared,6,230,36,-0.5141185560882664,0.8902224635107755,0.15907969530912652
foraging,latent_context,fully_shared,6,228,38,-0.13789513873288572,0.8904302810575927,-0.04212054095971687
information_sampling,latent_context,fully_shared,6,230,36,-0.046973166577992886,1.0116642638489444,0.11995453337658586
solvability,latent_context,fully_shared,6,236,30,-0.330303903900949,1.0637515774261852,0.08365557202820252
waiting,latent_context,fully_shared,6,228,38,-0.5352800794041814,1.0020638393362162,-0.040281617984666604
bandit,latent_motivation,fully_shared,6,222,44,0.03518378072568973,0.8334889951263935,0.3012585637475355
debugging,latent_motivation,fully_shared,6,222,44,-0.1309446486859931,0.8852638779207141,-0.22942490631128468
effort,latent_motivation,fully_shared,6,230,36,0.02498383344580568,0.5732584745511223,0.2438680654916667
foraging,latent_motivation,fully_shared,6,228,38,0.019026334369049658,0.7676354587212192,0.25196875490712867
information_sampling,latent_motivation,fully_shared,6,230,36,-0.03870080974995993,1.003670890142834,-0.030259657224228326
solvability,latent_motivation,fully_shared,6,236,30,-0.04084102221597696,0.8322882282652969,-0.14612077186682296
waiting,latent_motivation,fully_shared,6,228,38,-0.25106844016456775,0.8165613956967386,-0.15157009556606446
bandit,meta_control,fully_shared,6,222,44,0.03658945306027972,0.8322746577238614,0.25206564075582116
debugging,meta_control,fully_shared,6,222,44,-0.037073087036753494,0.8117845057970373,-0.06835700688024728
effort,meta_control,fully_shared,6,230,36,-0.1712390606404126,0.68862726616143,-0.16161215371888843
foraging,meta_control,fully_shared,6,228,38,0.014845358845655188,0.7709071725054407,0.24680217931556114
