model,sharing,r2,mse,correlation,macro_r2,macro_mse,macro_correlation,macro_decision_log_loss,macro_decision_brier,parameters,split,explainable_variance_fraction
intercept,task_specific,0.03196833225237283,0.7041836952566626,0.19114526390327488,-0.01620608978176565,0.7231162775205062,-1.497336322115951e-17,0.6980680723718067,0.25245184933652376,14.0,interpolation_test,0.0
generic_sequential_choice,task_specific,-0.07026963922727036,0.7785555520365071,0.2394951160517763,-0.20181901846960285,0.8220029482308434,0.13330788748223568,0.6996606177167403,0.25271126726548754,84.0,interpolation_test,-136.70426624383947
meta_control,task_specific,-0.21316167412430476,0.8825007477455079,0.07333822706098173,-0.24466803093354847,0.9050688121779142,-0.1630081400536816,0.721059628588525,0.26324653554047434,112.0,interpolation_test,-251.53731602926283
latent_motivation,task_specific,-0.16440049231002862,0.8470299771714912,0.21338864160573723,-0.28711017822805246,0.8861241644102561,0.18429900049934383,0.7002757889720111,0.25209531480611286,70.0,interpolation_test,-225.3475964874665
option_termination,task_specific,-0.22922325334549742,0.8941845620095118,0.05252591110482706,-0.37785740243125243,0.9593260657439779,-0.22454802289934267,0.6781825206585685,0.24285946220250326,70.0,interpolation_test,-326.54437192339276
immediate_state,task_specific,-0.34357879956562254,0.9773712115720711,0.08543517200155994,-0.4110303707903534,0.991759185453596,-0.2319083541480815,0.6921100793782605,0.24921221728135765,154.0,interpolation_test,-371.3810096628657
dynamic_reevaluation,task_specific,-0.3852073116432948,1.0076534021651729,-0.055936384745727284,-0.4316105533536012,1.0657561247127474,-0.39835628123859185,0.73658606427188,0.2700831663781727,70.0,interpolation_test,-473.67687232107534
latent_context,task_specific,-0.29425969487594017,0.941494586308418,0.19848472083217433,-0.5246493069057003,1.0627572592547272,-0.018499288711253694,0.6799590304679386,0.2433223640156592,196.0,interpolation_test,-469.5311396448938
task_set_reinstatement,task_specific,-0.3967664221869709,1.016061946480118,0.22310218854749272,-0.69474491015021,1.1196531838477968,-0.046673764648599694,0.706283134672122,0.25436262352806494,196.0,interpolation_test,-548.1859832945884
dual_history,task_specific,-0.5241349509683451,1.108714743124014,0.23471954678837598,-0.8918066632966217,1.213138232251284,0.13028874034744037,0.709756610005042,0.25453618329908057,210.0,interpolation_test,-677.4228648173131
choice_perseveration,task_specific,-0.6742475741912415,1.2179124741979617,0.149907689172935,-0.9158918379552491,1.2546179624724392,-0.018609259875976777,0.6521133293787849,0.2303559497313774,182.0,interpolation_test,-734.7658418145421
outcome_history,task_specific,-0.7009286007546989,1.2373212854018478,0.17355280788837768,-1.1492885049788415,1.3499340185375985,0.020198787478996585,0.7136994532261758,0.2559464446959802,182.0,interpolation_test,-866.5339700369251
intercept,task_specific,-0.09976120102762231,0.7687030462251719,-0.14146097318285747,-0.19288487571500817,0.7865254231841543,-7.822292066146318e-17,0.6988846991725884,0.2528637078478769,14.0,structural_test,-2.130728720993774
option_termination,task_specific,-0.27400798315655517,0.89049678844147,0.017995286174493048,-0.38394075199525984,0.8631720870144542,-0.1980351261458278,0.7326378538893575,0.2687423933464806,70.0,structural_test,-5.281932124854715
generic_sequential_choice,task_specific,-0.46210937061832946,1.0219745214310842,-0.17633945644942287,-0.7126295351307034,1.0419613660158746,-0.21059899497483328,0.7061889766571436,0.25624088344938106,84.0,structural_test,-12.63256366454602
