interaction,coefficient,absolute_coefficient
factor_continuation_cost*factor_goal_continuity,-0.24748603764431243,0.24748603764431243
factor_continuation_value*factor_disengagement_value,-0.2048103284364677,0.2048103284364677
factor_disengagement_value*factor_progress_evidence,-0.1840106823035332,0.1840106823035332
factor_environmental_stability*factor_progress_evidence,-0.1548646493158161,0.1548646493158161
factor_disengagement_value*factor_uncertainty,-0.1335546427509704,0.1335546427509704
factor_controllability*factor_progress_evidence,-0.1334911407082741,0.1334911407082741
factor_environmental_stability*factor_goal_continuity,0.12764558143950433,0.12764558143950433
factor_controllability*factor_prior_investment,0.12697270275061087,0.12697270275061087
factor_success_evidence*factor_uncertainty,0.12656466707372888,0.12656466707372888
factor_goal_continuity*factor_progress_evidence,0.10950909729903684,0.10950909729903684
factor_continuation_cost*factor_progress_evidence,0.10349291573354256,0.10349291573354256
factor_environmental_stability*factor_uncertainty,-0.10275950491337704,0.10275950491337704
factor_goal_continuity*factor_uncertainty,-0.10026853899165752,0.10026853899165752
factor_prior_investment*factor_uncertainty,-0.09771408418725569,0.09771408418725569
factor_environmental_stability*factor_prior_investment,0.09371918557519987,0.09371918557519987
factor_continuation_value*factor_success_evidence,-0.09178825433612849,0.09178825433612849
factor_controllability*factor_uncertainty,-0.08864613651299247,0.08864613651299247
factor_continuation_cost*factor_prior_investment,0.08683114427705713,0.08683114427705713
factor_continuation_value*factor_goal_continuity,-0.08677298961292434,0.08677298961292434
factor_goal_continuity*factor_prior_investment,0.07865461638880408,0.07865461638880408
factor_disengagement_value*factor_prior_investment,0.07850398367770339,0.07850398367770339
factor_continuation_cost*factor_success_evidence,0.06044341036491361,0.06044341036491361
factor_goal_continuity*factor_success_evidence,-0.05907247110885273,0.05907247110885273
factor_continuation_cost*factor_disengagement_value,0.05834720393343975,0.05834720393343975
factor_disengagement_value*factor_success_evidence,0.05632195804435342,0.05632195804435342
factor_continuation_value*factor_controllability,-0.055729544495375205,0.055729544495375205
factor_disengagement_value*factor_environmental_stability,0.05213237618772159,0.05213237618772159
factor_controllability*factor_success_evidence,0.049198119060215297,0.049198119060215297
factor_progress_evidence*factor_uncertainty,0.04756884945582698,0.04756884945582698
factor_controllability*factor_goal_continuity,0.043882483107188765,0.043882483107188765
factor_prior_investment*factor_progress_evidence,0.03813452610329271,0.03813452610329271
factor_continuation_value*factor_uncertainty,-0.03792076041496725,0.03792076041496725
factor_continuation_cost*factor_environmental_stability,-0.032917550404546934,0.032917550404546934
factor_continuation_value*factor_progress_evidence,0.03244008362786686,0.03244008362786686
factor_controllability*factor_environmental_stability,0.025182452949466413,0.025182452949466413
factor_disengagement_value*factor_goal_continuity,0.022093746188722393,0.022093746188722393
factor_continuation_value*factor_environmental_stability,0.020598909919137688,0.020598909919137688
factor_continuation_cost*factor_continuation_value,-0.015689458417793213,0.015689458417793213
factor_continuation_value*factor_prior_investment,-0.013663885394845579,0.013663885394845579
factor_continuation_cost*factor_controllability,0.01286139156208299,0.01286139156208299
factor_controllability*factor_disengagement_value,-0.012523983844183663,0.012523983844183663
factor_prior_investment*factor_success_evidence,0.009591946225981914,0.009591946225981914
factor_environmental_stability*factor_success_evidence,-0.005640987035391307,0.005640987035391307
factor_continuation_cost*factor_uncertainty,0.004989861492710274,0.004989861492710274
factor_progress_evidence*factor_success_evidence,-0.0026955504569329937,0.0026955504569329937
