factor,level,task_macro_effect,task_macro_absolute_effect,tasks,observations
success_evidence,medium,-0.006283465940438755,0.28599560848753885,7,130
continuation_cost,high,0.06149307157225821,0.27542138724559756,7,138
progress_evidence,positive,0.19663169642656597,0.26274363450278565,5,88
disengagement_value,high,-0.09960457101759419,0.24402974603603558,7,164
success_evidence,high,-0.17661572375380802,0.2245566294102613,7,124
disengagement_value,low,0.1097268963756413,0.2043503051400636,7,124
continuation_value,high,0.05301107383247532,0.1935861704950971,7,148
progress_evidence,neutral,-0.07276790454503837,0.18829509056806323,5,118
success_evidence,low,0.08567518797200731,0.1879369115521464,7,186
continuation_cost,low,-0.015554171601889873,0.1872741528920871,7,144
continuation_cost,medium,0.032625339882162645,0.1803327658250953,7,158
continuation_value,low,-0.02343423411212254,0.17101635426232245,7,128
disengagement_value,medium,0.006430367110052381,0.17051191180247377,7,152
prior_investment,high,-0.12984562029829813,0.1556749369741542,7,206
goal_continuity,new,-0.12215602920364664,0.14317301926579848,7,204
uncertainty,high,0.06531746886134045,0.1276604352364706,7,210
environmental_stability,stable,0.0903208098514083,0.12231480738413943,7,230
continuation_value,medium,-0.0038163632890294047,0.12107682816480658,7,164
environmental_stability,changing,-0.08476981985907354,0.12102968372950211,7,210
prior_investment,low,0.09665144938339092,0.11944202292091097,7,234
uncertainty,low,-0.06005086940785138,0.11823763802463953,7,230
goal_continuity,same,0.09121591011799099,0.10533751753659626,7,236
progress_evidence,negative,-0.017284063678267347,0.09181809214015403,5,106
controllability,high,-0.051742533577126625,0.06835650464741125,4,118
controllability,low,0.041171842005387725,0.06000100921837701,4,130
