architecture,variant,sharing,split,r2,mse,correlation,macro_r2,macro_mse,macro_correlation,source_tasks,sensitivity
dual_history,M4,ontology_conditioned,interpolation_test,0.831211388354595,0.24426349968539687,0.9151450888146763,0.7375325250009402,0.24463967200552444,0.8806277875999912,7,with_information_sampling
dual_history,M2,task_specific,interpolation_test,0.8301080821614242,0.24586015617389634,0.9144575092124353,0.7372667730831981,0.2462436428036471,0.8789313162442722,7,with_information_sampling
dual_history,M3,random_effects,interpolation_test,0.8313841136560861,0.2440135391802706,0.9150531881485054,0.7356022041509421,0.2443399124640211,0.8799546689125474,7,with_information_sampling
latent_context,M4,ontology_conditioned,interpolation_test,0.8300285775755573,0.24597521173478754,0.9148566749660104,0.7355152892738376,0.2464241958729644,0.8787070660791573,7,with_information_sampling
outcome_history,M4,ontology_conditioned,interpolation_test,0.8283318811889948,0.2484305965693756,0.9140480338333461,0.7349457062106418,0.24869051093886266,0.877771414408877,7,with_information_sampling
latent_context,M2,task_specific,interpolation_test,0.8285142957091789,0.24816661425054945,0.9139158938981177,0.7348061045127495,0.24861765339753625,0.8769013153041861,7,with_information_sampling
outcome_history,M2,task_specific,interpolation_test,0.8273478431782986,0.24985465335835536,0.9133862365847065,0.7340989648439905,0.2501498394379654,0.8756882665332094,7,with_information_sampling
latent_context,M3,random_effects,interpolation_test,0.8302079134935774,0.245715684634423,0.9147026263184107,0.733677818078163,0.24612343306647597,0.8778741484738319,7,with_information_sampling
outcome_history,M3,random_effects,interpolation_test,0.8284215284683498,0.24830086294588607,0.9138951322510254,0.7326757031511553,0.24851614123054183,0.8767671512184625,7,with_information_sampling
dual_history,M2,task_specific,structural_test,0.8225545373710135,0.20949292619500975,0.9119776615008466,0.6859016342059869,0.210173674455324,0.8594795131494576,7,with_information_sampling
latent_context,M2,task_specific,structural_test,0.819853508424441,0.21268177334484067,0.9087561694012635,0.6843785729466632,0.21332346221809154,0.8519793590660132,7,with_information_sampling
outcome_history,M2,task_specific,structural_test,0.8196074221124827,0.21297230397225084,0.9098222591546002,0.683693977218603,0.21372943087468346,0.8550149714240394,7,with_information_sampling
dual_history,M4,ontology_conditioned,structural_test,0.8210435363183382,0.21127682096086542,0.9117582693262719,0.680682414891008,0.2119636694834404,0.8599895715223459,7,with_information_sampling
outcome_history,M4,ontology_conditioned,structural_test,0.8185793847084083,0.21418600964173742,0.9097426725529013,0.6794607158932529,0.21495650387533186,0.8556373808060309,7,with_information_sampling
latent_context,M4,ontology_conditioned,structural_test,0.8185293202380309,0.21424511598484908,0.9088793915822769,0.679355663066535,0.21493318093475342,0.852443604664173,7,with_information_sampling
latent_context,M3,random_effects,structural_test,0.8175793413689931,0.21536666539022478,0.909058088469049,0.6769375394032894,0.21602338783856942,0.8522527224794061,7,with_information_sampling
dual_history,M3,random_effects,structural_test,0.8198018449360345,0.21274276749596402,0.9119603504593896,0.6764819795801974,0.2133877044718373,0.8597517367181335,7,with_information_sampling
outcome_history,M3,random_effects,structural_test,0.8175122050767932,0.21544592680439947,0.9098980779263403,0.6761064028599036,0.21618382227034982,0.8553533379603151,7,with_information_sampling
dual_history,M3,random_effects,interpolation_test,0.8129924446390934,0.26230476444870415,0.9049614414735029,0.7978527459178486,0.26435099999042644,0.9049035224395495,6,without_information_sampling
dual_history,M4,ontology_conditioned,interpolation_test,0.8128601879709376,0.2624902732861433,0.9051874587419527,0.7977517891252321,0.26457433883134074,0.904980247569705,6,without_information_sampling
latent_context,M3,random_effects,interpolation_test,0.8121540275828455,0.2634807639318504,0.9062566126107525,0.7972847172567986,0.2657031919361223,0.9041534917565103,6,without_information_sampling
latent_context,M4,ontology_conditioned,interpolation_test,0.8116133367404041,0.2642391599431369,0.905280035337537,0.7966797470098772,0.2664108178581381,0.9040926597761264,6,without_information_sampling
dual_history,M2,task_specific,interpolation_test,0.8108149700030421,0.2653589831427036,0.9043218138503719,0.7955916903597157,0.26756441248868795,0.9046677213022138,6,without_information_sampling
