factor,level,count
factor_continuation_value,low,6681
factor_continuation_value,medium,6662
factor_continuation_value,high,6657
factor_disengagement_value,high,6676
factor_disengagement_value,low,6669
factor_disengagement_value,medium,6655
factor_continuation_cost,low,6675
factor_continuation_cost,high,6665
factor_continuation_cost,medium,6660
factor_progress_evidence,__missing__,6191
factor_progress_evidence,positive,4607
factor_progress_evidence,neutral,4603
factor_progress_evidence,negative,4599
factor_success_evidence,high,6674
factor_success_evidence,low,6672
factor_success_evidence,medium,6654
factor_uncertainty,low,10022
factor_uncertainty,high,9978
factor_prior_investment,low,10004
factor_prior_investment,high,9996
factor_controllability,__missing__,7620
factor_controllability,low,6198
factor_controllability,high,6182
factor_environmental_stability,stable,10002
factor_environmental_stability,changing,9998
factor_goal_continuity,new,10003
factor_goal_continuity,same,9997
factor_available_continuation_value,True,20000
factor_available_disengagement_value,True,20000
factor_available_continuation_cost,True,20000
factor_available_progress_evidence,True,13809
factor_available_progress_evidence,False,6191
factor_available_success_evidence,True,20000
factor_available_uncertainty,True,20000
factor_available_prior_investment,True,20000
factor_available_controllability,True,12380
factor_available_controllability,False,7620
factor_available_environmental_stability,True,20000
factor_available_goal_continuity,True,20000
context_phase_order,__missing__,10000
context_phase_order,"[""A1"", ""B"", ""A2""]",10000
context_a_history_valence,__missing__,10000
context_a_history_valence,positive,3335
context_a_history_valence,negative,3333
context_a_history_valence,mixed,3332
context_b_history_valence,__missing__,10000
context_b_history_valence,positive,3335
context_b_history_valence,negative,3333
context_b_history_valence,mixed,3332
context_a_history_actions,__missing__,10000
context_a_history_actions,"[""continue"", ""disengage"", ""continue""]",3334
context_a_history_actions,"[""disengage"", ""continue"", ""disengage""]",3333
context_a_history_actions,"[""continue"", ""continue"", ""continue""]",3333
context_a_history_outcomes,__missing__,10000
context_a_history_outcomes,"[1, 1, 1]",3335
context_a_history_outcomes,"[-1, -1, -1]",3333
context_a_history_outcomes,"[1, -1, 0]",3332
context_b_history_actions,__missing__,10000
context_b_history_actions,"[""continue"", ""disengage"", ""continue""]",3334
context_b_history_actions,"[""disengage"", ""continue"", ""disengage""]",3333
context_b_history_actions,"[""continue"", ""continue"", ""continue""]",3333
context_b_history_outcomes,__missing__,10000
context_b_history_outcomes,"[1, 1, 1]",3335
context_b_history_outcomes,"[-1, -1, -1]",3333
context_b_history_outcomes,"[1, -1, 0]",3332
context_context_return,__missing__,10000
context_context_return,A,3348
context_context_return,B,3348
context_context_return,novel_C,3304
context_cue_reliability,__missing__,10000
context_cue_reliability,low,3340
context_cue_reliability,medium,3330
context_cue_reliability,high,3330
context_cue_probability,__missing__,10000
context_cue_probability,0.6,3340
context_cue_probability,0.8,3330
context_cue_probability,0.95,3330
context_change_point,__missing__,10000
context_change_point,same_environment,5022
context_change_point,change_point,4978
context_cue_rule,__missing__,10000
context_cue_rule,The blue circuit uses a high-volatility generator and the amber circuit a low-volatility generator.,1668
context_cue_rule,Wet-season loam replenishes after harvest while dry-season gravel depletes.,1668
context_cue_rule,Memory faults respond to allocation diagnostics while protocol faults respond to packet-trace diagnostics.,1666
context_cue_rule,Circuit families are distinguished by audited reward-frequency bands.,1666
context_cue_rule,Soil signatures identify independently tracked renewal processes.,1666
context_cue_rule,Subsystem signatures identify independently reproduced causal failures.,1666
context_a_environment_rate,__missing__,10000
context_a_environment_rate,0.1,14
context_a_environment_rate,0.137,14
context_a_environment_rate,0.174,14
context_a_environment_rate,0.211,14
context_a_environment_rate,0.248,14
context_a_environment_rate,0.285,14
context_a_environment_rate,0.322,14
context_a_environment_rate,0.359,14
context_a_environment_rate,0.396,14
context_a_environment_rate,0.433,14
context_a_environment_rate,0.47,14
context_a_environment_rate,0.507,14
context_a_environment_rate,0.544,14
context_a_environment_rate,0.581,14
context_a_environment_rate,0.618,14
context_a_environment_rate,0.655,14
context_a_environment_rate,0.692,14
context_a_environment_rate,0.729,14
context_a_environment_rate,0.766,14
context_a_environment_rate,0.803,14
context_a_environment_rate,0.84,14
context_a_environment_rate,0.877,14
context_a_environment_rate,0.113,14
context_a_environment_rate,0.15,14
context_a_environment_rate,0.187,14
context_a_environment_rate,0.224,14
context_a_environment_rate,0.261,14
context_a_environment_rate,0.298,14
context_a_environment_rate,0.335,14
context_a_environment_rate,0.372,14
context_a_environment_rate,0.409,14
context_a_environment_rate,0.446,14
context_a_environment_rate,0.483,14
context_a_environment_rate,0.52,14
context_a_environment_rate,0.557,14
context_a_environment_rate,0.594,14
context_a_environment_rate,0.631,14
context_a_environment_rate,0.668,14
context_a_environment_rate,0.705,14
context_a_environment_rate,0.742,14
context_a_environment_rate,0.779,14
context_a_environment_rate,0.816,14
context_a_environment_rate,0.853,14
context_a_environment_rate,0.89,14
context_a_environment_rate,0.126,14
context_a_environment_rate,0.163,14
context_a_environment_rate,0.2,14
context_a_environment_rate,0.237,14
context_a_environment_rate,0.274,14
context_a_environment_rate,0.311,14
context_a_environment_rate,0.348,14
context_a_environment_rate,0.385,14
context_a_environment_rate,0.422,14
context_a_environment_rate,0.459,14
context_a_environment_rate,0.496,14
context_a_environment_rate,0.533,14
context_a_environment_rate,0.57,14
context_a_environment_rate,0.607,14
context_a_environment_rate,0.644,14
context_a_environment_rate,0.681,14
context_a_environment_rate,0.718,14
context_a_environment_rate,0.755,14
context_a_environment_rate,0.792,14
context_a_environment_rate,0.829,14
context_a_environment_rate,0.866,14
context_a_environment_rate,0.102,14
context_a_environment_rate,0.139,14
context_a_environment_rate,0.176,14
context_a_environment_rate,0.213,14
context_a_environment_rate,0.25,14
context_a_environment_rate,0.287,14
context_a_environment_rate,0.324,14
context_a_environment_rate,0.361,14
context_a_environment_rate,0.398,14
context_a_environment_rate,0.435,14
context_a_environment_rate,0.472,14
context_a_environment_rate,0.509,14
context_a_environment_rate,0.546,14
context_a_environment_rate,0.583,14
context_a_environment_rate,0.62,14
context_a_environment_rate,0.657,14
context_a_environment_rate,0.694,14
context_a_environment_rate,0.731,14
context_a_environment_rate,0.768,14
context_a_environment_rate,0.805,14
context_a_environment_rate,0.842,14
context_a_environment_rate,0.879,14
context_a_environment_rate,0.115,14
context_a_environment_rate,0.152,14
context_a_environment_rate,0.189,14
context_a_environment_rate,0.226,14
context_a_environment_rate,0.263,14
context_a_environment_rate,0.3,14
context_a_environment_rate,0.337,14
context_a_environment_rate,0.374,14
context_a_environment_rate,0.411,14
context_a_environment_rate,0.448,14
context_a_environment_rate,0.485,14
context_a_environment_rate,0.522,14
context_a_environment_rate,0.559,14
context_a_environment_rate,0.596,14
context_a_environment_rate,0.633,14
context_a_environment_rate,0.67,14
context_a_environment_rate,0.707,14
context_a_environment_rate,0.744,14
context_a_environment_rate,0.781,14
context_a_environment_rate,0.818,14
context_a_environment_rate,0.855,14
context_a_environment_rate,0.892,14
context_a_environment_rate,0.128,14
context_a_environment_rate,0.165,14
context_a_environment_rate,0.202,14
context_a_environment_rate,0.239,14
context_a_environment_rate,0.276,14
context_a_environment_rate,0.313,14
context_a_environment_rate,0.35,14
context_a_environment_rate,0.387,14
context_a_environment_rate,0.424,14
context_a_environment_rate,0.461,14
context_a_environment_rate,0.498,14
context_a_environment_rate,0.535,14
context_a_environment_rate,0.572,14
context_a_environment_rate,0.609,14
context_a_environment_rate,0.646,14
context_a_environment_rate,0.683,14
context_a_environment_rate,0.72,14
context_a_environment_rate,0.757,14
context_a_environment_rate,0.794,14
context_a_environment_rate,0.831,14
context_a_environment_rate,0.868,14
context_a_environment_rate,0.104,14
context_a_environment_rate,0.141,14
context_a_environment_rate,0.178,14
context_a_environment_rate,0.215,14
context_a_environment_rate,0.252,14
context_a_environment_rate,0.289,14
context_a_environment_rate,0.326,14
context_a_environment_rate,0.363,14
context_a_environment_rate,0.4,14
context_a_environment_rate,0.437,14
context_a_environment_rate,0.474,14
context_a_environment_rate,0.511,14
context_a_environment_rate,0.548,14
context_a_environment_rate,0.585,14
context_a_environment_rate,0.622,14
context_a_environment_rate,0.659,14
context_a_environment_rate,0.696,14
context_a_environment_rate,0.733,14
context_a_environment_rate,0.77,14
context_a_environment_rate,0.807,14
context_a_environment_rate,0.844,14
context_a_environment_rate,0.881,14
context_a_environment_rate,0.117,14
context_a_environment_rate,0.154,14
context_a_environment_rate,0.191,14
context_a_environment_rate,0.228,14
context_a_environment_rate,0.265,14
context_a_environment_rate,0.302,14
context_a_environment_rate,0.339,14
context_a_environment_rate,0.376,14
context_a_environment_rate,0.413,14
context_a_environment_rate,0.45,14
context_a_environment_rate,0.487,14
context_a_environment_rate,0.524,14
context_a_environment_rate,0.561,14
context_a_environment_rate,0.598,14
context_a_environment_rate,0.635,14
context_a_environment_rate,0.672,14
context_a_environment_rate,0.709,14
context_a_environment_rate,0.746,14
context_a_environment_rate,0.783,14
context_a_environment_rate,0.82,14
context_a_environment_rate,0.857,14
context_a_environment_rate,0.894,14
context_a_environment_rate,0.13,14
context_a_environment_rate,0.167,14
context_a_environment_rate,0.204,14
context_a_environment_rate,0.241,14
context_a_environment_rate,0.278,14
context_a_environment_rate,0.315,14
context_a_environment_rate,0.352,14
