critical_contrast_id,task_family,context_return,cue_reliability,cue_probability,change_point,reinstatement_slope
critical-bandit-00000000,bandit,A,low,0.6,same_environment,-0.03125000000000003
critical-bandit-00000171,bandit,A,medium,0.8,same_environment,0.03125
critical-bandit-00000219,bandit,novel_C,low,0.6,same_environment,
critical-bandit-00000813,bandit,A,low,0.6,same_environment,-0.0625
critical-bandit-00000828,bandit,A,high,0.95,same_environment,-0.09375
critical-bandit-00001152,bandit,A,high,0.95,same_environment,0.03125
critical-bandit-00001692,bandit,novel_C,high,0.95,same_environment,
critical-bandit-00002181,bandit,novel_C,high,0.95,same_environment,
critical-bandit-00002187,bandit,A,low,0.6,change_point,0.0625
critical-bandit-00002745,bandit,novel_C,high,0.95,change_point,
critical-bandit-00004059,bandit,A,medium,0.8,same_environment,-0.03125
critical-bandit-00004278,bandit,novel_C,medium,0.8,same_environment,
critical-bandit-00004434,bandit,novel_C,low,0.6,same_environment,
critical-bandit-00004464,bandit,A,medium,0.8,change_point,-0.03125
critical-bandit-00004881,bandit,A,high,0.95,same_environment,-0.0625
critical-debugging-00000188,debugging,A,high,0.95,same_environment,-0.125
critical-debugging-00000647,debugging,novel_C,high,0.95,change_point,
critical-debugging-00001619,debugging,novel_C,high,0.95,change_point,
critical-debugging-00001661,debugging,B,medium,0.8,same_environment,0.18750000000000006
critical-debugging-00001916,debugging,B,high,0.95,change_point,-0.06250000000000003
critical-debugging-00002105,debugging,novel_C,high,0.95,change_point,
critical-debugging-00002915,debugging,novel_C,high,0.95,change_point,
critical-debugging-00003071,debugging,novel_C,high,0.95,change_point,
critical-debugging-00003098,debugging,A,high,0.95,same_environment,-0.15624999999999994
critical-debugging-00003158,debugging,novel_C,high,0.95,same_environment,
critical-debugging-00003590,debugging,A,high,0.95,same_environment,0.3124999999999999
critical-debugging-00003878,debugging,novel_C,medium,0.8,change_point,
critical-debugging-00003899,debugging,A,medium,0.8,same_environment,-0.09375000000000006
critical-debugging-00004031,debugging,novel_C,low,0.6,change_point,
critical-debugging-00004070,debugging,A,high,0.95,same_environment,-0.21875000000000006
critical-foraging-00000670,foraging,A,high,0.95,same_environment,0.5
critical-foraging-00001177,foraging,B,medium,0.8,same_environment,0.12499999999999989
critical-foraging-00001759,foraging,novel_C,low,0.6,change_point,
critical-foraging-00001963,foraging,A,high,0.95,same_environment,0.40625
critical-foraging-00002287,foraging,A,high,0.95,same_environment,0.21875
critical-foraging-00002440,foraging,A,medium,0.8,same_environment,0.06250000000000001
critical-foraging-00002449,foraging,A,high,0.95,same_environment,0.21875
critical-foraging-00002536,foraging,A,high,0.95,change_point,0.0
critical-foraging-00002602,foraging,A,medium,0.8,same_environment,0.15625
critical-foraging-00003745,foraging,A,high,0.95,same_environment,0.15625
critical-foraging-00003748,foraging,A,high,0.95,same_environment,0.18749999999999978
critical-foraging-00003859,foraging,B,high,0.95,change_point,0.1875
critical-foraging-00004261,foraging,B,high,0.95,same_environment,0.125
critical-foraging-00004393,foraging,A,high,0.95,same_environment,0.21875
critical-foraging-00004876,foraging,A,medium,0.8,same_environment,-0.1250000000000001
