index,task_family,context_return,cue_reliability,change_point,mean_reinstatement,median_reinstatement,count
0,bandit,A,high,same_environment,-0.041666666666666664,-0.0625,3
1,bandit,A,low,change_point,0.0625,0.0625,1
2,bandit,A,low,same_environment,-0.046875000000000014,-0.046875000000000014,2
3,bandit,A,medium,change_point,-0.03125,-0.03125,1
4,bandit,A,medium,same_environment,0.0,0.0,2
5,bandit,novel_C,high,change_point,,,0
6,bandit,novel_C,high,same_environment,,,0
7,bandit,novel_C,low,same_environment,,,0
8,bandit,novel_C,medium,same_environment,,,0
9,debugging,A,high,same_environment,-0.04687500000000003,-0.14062499999999997,4
10,debugging,A,medium,same_environment,-0.09375000000000006,-0.09375000000000006,1
11,debugging,B,high,change_point,-0.06250000000000003,-0.06250000000000003,1
12,debugging,B,medium,same_environment,0.18750000000000006,0.18750000000000006,1
13,debugging,novel_C,high,change_point,,,0
14,debugging,novel_C,high,same_environment,,,0
15,debugging,novel_C,low,change_point,,,0
16,debugging,novel_C,medium,change_point,,,0
17,foraging,A,high,change_point,0.0,0.0,1
18,foraging,A,high,same_environment,0.27232142857142855,0.21875,7
19,foraging,A,medium,same_environment,0.031249999999999962,0.06250000000000001,3
20,foraging,B,high,change_point,0.1875,0.1875,1
21,foraging,B,high,same_environment,0.125,0.125,1
22,foraging,B,medium,same_environment,0.12499999999999989,0.12499999999999989,1
23,foraging,novel_C,low,change_point,,,0
