scope,group,rows,mean_delta_error_dh_minus_lc,median_delta_error_dh_minus_lc,ci_low,ci_high,probability_latent_context_better,probability_dual_history_better
overall,all,300,0.059630210465477874,0.0008900153266464097,-0.013599691893454464,0.1327712308191418,0.9415,0.0585
task,bandit,60,0.1716117024251839,0.09998687872797354,-0.022039895674778022,0.35773806994572105,0.9595,0.0405
task,debugging,60,0.09576798296990614,0.0003825305042906485,-0.09964947374493993,0.2911558830138229,0.8465,0.1535
task,effort,30,-0.003347610432218326,-0.01609193814636218,-0.06511323792391277,0.058899631393263756,0.4805,0.5195
task,foraging,60,0.0725856254089659,-0.002593588920937675,-0.15764612954495602,0.31553259260479133,0.714,0.286
task,information_sampling,30,-0.06481674545378634,0.00022173394062533673,-0.12804360248957275,-0.008549745509043217,0.0115,0.9885
task,solvability,30,-0.023148907590822457,-0.02669160373862129,-0.12223286159794357,0.07698414285642015,0.345,0.655
task,waiting,30,0.007684746523494116,0.0012739416123337273,-0.016609650401698928,0.0339126975475439,0.7155,0.2845
subset,contextual_history,90,0.20550250827851252,0.09101690545039545,-0.04142036194165745,0.43837408882437,0.95,0.05
subset,high_disagreement,82,0.20813044054014615,0.26397405553093767,-0.06083623777149644,0.46635167146832457,0.9315,0.0685
subset,random_reference,60,0.016665727512985864,-0.00024675278309803806,-0.03812339327685715,0.0646760099351181,0.7475,0.2525
