architecture,variant,task_family,parameter,mu,ontology_effect,random_effect,estimate
dual_history,M4,bandit,intercept,-0.30434946537309265,0.23604045662974943,0.020800361544116013,-0.04750864719922721
dual_history,M4,bandit,factor_continuation_value,0.24894742416017268,0.06953569035947721,0.018922423331666917,0.33740553785131683
dual_history,M4,bandit,factor_continuation_value__available,0.0,0.0,0.0,0.0
dual_history,M4,bandit,factor_disengagement_value,-0.3973288792744673,-0.027454789106940797,-0.04667850156984374,-0.4714621699512519
dual_history,M4,bandit,factor_disengagement_value__available,0.0,0.0,0.0,0.0
dual_history,M4,bandit,factor_continuation_cost,-0.124996552358197,0.00818102838544938,0.0047890639056335765,-0.11202646006711403
dual_history,M4,bandit,factor_continuation_cost__available,0.0,0.0,0.0,0.0
dual_history,M4,bandit,factor_progress_evidence,0.2666982533502767,0.008276358726710977,-0.0011182230510836208,0.27385638902590403
dual_history,M4,bandit,factor_progress_evidence__available,-0.25914657981545863,-0.10622740583220859,-0.03321990113076809,-0.3985938867784353
dual_history,M4,bandit,factor_success_evidence,0.47809642947969594,0.20593231469172696,0.09558764769403723,0.7796163918654602
dual_history,M4,bandit,factor_success_evidence__available,0.0,0.0,0.0,0.0
dual_history,M4,bandit,factor_uncertainty,0.005741038458874586,-0.015307753290650594,-0.007480400274454953,-0.01704711510623096
dual_history,M4,bandit,factor_uncertainty__available,0.0,0.0,0.0,0.0
dual_history,M4,bandit,factor_prior_investment,-0.10037070425180204,-0.00741234096786704,-0.009349603479994206,-0.11713264869966329
dual_history,M4,bandit,factor_prior_investment__available,0.0,0.0,0.0,0.0
dual_history,M4,bandit,factor_controllability,0.07238079240253856,-0.019995635922647505,-0.0016559506652781175,0.05072920581461293
dual_history,M4,bandit,factor_controllability__available,0.3654894165825401,0.027101557007499083,-0.02415682043742303,0.36843415315261613
dual_history,M4,bandit,factor_environmental_stability,0.09495188617173676,0.031308829494674575,0.007298347625790001,0.13355906329220135
dual_history,M4,bandit,factor_environmental_stability__available,0.0,0.0,0.0,0.0
dual_history,M4,bandit,factor_goal_continuity,0.04487840428077821,0.04287314753675597,0.007784516095652045,0.09553606791318624
dual_history,M4,bandit,factor_goal_continuity__available,0.0,0.0,0.0,0.0
dual_history,M4,bandit,history_action_1,0.06601896073562774,0.04540442473752837,0.010990841155357815,0.12241422662851392
dual_history,M4,bandit,history_action_1__available,-0.031599771220159445,-0.0047478577763804646,0.00045619306030604496,-0.03589143593623387
dual_history,M4,bandit,history_action_kernel,-0.04015717717064263,-0.022983013485621113,-0.0031903642999499297,-0.06633055495621366
dual_history,M4,bandit,history_action_kernel__available,-0.031599771220163546,-0.004747857776380777,0.00045619306030614205,-0.035891435936238184
dual_history,M4,bandit,history_outcome_1,0.07641459896941702,0.08905079870877095,0.024105683805039683,0.18957108148322765
dual_history,M4,bandit,history_outcome_1__available,-0.03159977122016339,-0.0047478577763806935,0.00045619306030614146,-0.03589143593623795
