architecture,variant,task_family,parameter,mu,ontology_effect,random_effect,estimate
latent_context,M4,bandit,intercept,-0.30265501361045516,0.23472245583331647,0.020692608171075877,-0.047239949606062814
latent_context,M4,bandit,factor_continuation_value,0.2505304437230494,0.0681070255845168,0.01815671349414443,0.33679418280171064
latent_context,M4,bandit,factor_continuation_value__available,0.0,0.0,0.0,0.0
latent_context,M4,bandit,factor_disengagement_value,-0.39647824673040744,-0.029861473395177307,-0.04747869667038472,-0.4738184167959695
latent_context,M4,bandit,factor_disengagement_value__available,0.0,0.0,0.0,0.0
latent_context,M4,bandit,factor_continuation_cost,-0.12345517688615779,0.00812223067279088,0.004535066128686073,-0.11079788008468083
latent_context,M4,bandit,factor_continuation_cost__available,0.0,0.0,0.0,0.0
latent_context,M4,bandit,factor_progress_evidence,0.264403550388891,0.00801628652539899,-0.0011124302524675746,0.2713074066618224
latent_context,M4,bandit,factor_progress_evidence__available,-0.25774323163337265,-0.10573131268923579,-0.03304781006440395,-0.3965223543870124
latent_context,M4,bandit,factor_success_evidence,0.4768168317223308,0.20444320500203333,0.09547809789801076,0.776738134622375
latent_context,M4,bandit,factor_success_evidence__available,0.0,0.0,0.0,0.0
latent_context,M4,bandit,factor_uncertainty,0.005536812956658799,-0.012660626435204932,-0.007112181044155051,-0.014235994522701183
latent_context,M4,bandit,factor_uncertainty__available,0.0,0.0,0.0,0.0
latent_context,M4,bandit,factor_prior_investment,-0.10032205938871279,-0.007765928554830676,-0.009378051089575788,-0.11746603903311925
latent_context,M4,bandit,factor_prior_investment__available,0.0,0.0,0.0,0.0
latent_context,M4,bandit,factor_controllability,0.07322226694642749,-0.01866838971387894,-0.0016473722437256111,0.05290650498882294
latent_context,M4,bandit,factor_controllability__available,0.36352818294854045,0.02687155092564024,-0.024031679397042628,0.36636805447713805
latent_context,M4,bandit,factor_environmental_stability,0.09339684835611495,0.02633096272141537,0.005848029709922959,0.1255758407874533
latent_context,M4,bandit,factor_environmental_stability__available,0.0,0.0,0.0,0.0
latent_context,M4,bandit,factor_goal_continuity,0.046426862193744665,0.040075804925524164,0.00610318497953529,0.0926058520988041
latent_context,M4,bandit,factor_goal_continuity__available,0.0,0.0,0.0,0.0
latent_context,M4,bandit,context_relevant_outcome_kernel,0.2847642993998405,0.10753599264040965,0.03660358872954192,0.428903880769792
latent_context,M4,bandit,context_relevant_outcome_kernel__available,-0.04150223358166063,-0.007043627404412764,0.0008422714846695792,-0.04770358950140381
latent_context,M4,bandit,context_relevant_outcome_kernel*factor_goal_continuity,-0.009017417624704035,0.011614753105811022,0.0080075139295716,0.010604849410678586
latent_context,M4,bandit,context_relevant_outcome_kernel*factor_goal_continuity__available,-0.041502233581662974,-0.007043627404412452,0.0008422714846695797,-0.047703589501405845
latent_context,M4,bandit,context_relevant_outcome_kernel*factor_environmental_stability,-0.011825248619434483,0.03375832511065717,0.006169069963475471,0.02810214645469816
latent_context,M4,bandit,context_relevant_outcome_kernel*factor_environmental_stability__available,-0.04150223358166242,-0.007043627404412476,0.0008422714846695649,-0.04770358950140533
latent_context,M4,bandit,response_mapping,-0.0011243036666085493,-0.044178801565156904,0.014458241783057145,-0.030844863448708307
latent_context,M4,bandit,response_mapping__available,0.0,0.0,0.0,0.0
latent_context,M4,debugging,intercept,-0.30265501361045516,-0.16766455036709849,-0.10724209383633065,-0.5775616578138842
