architecture,variant,task_family,parameter,mu,ontology_effect,random_effect,estimate
outcome_history,M4,bandit,intercept,-0.3054673265560472,0.23415903628757356,0.020664272948582585,-0.050644017319891044
outcome_history,M4,bandit,factor_continuation_value,0.25077108063637066,0.06951811041151582,0.018540640211037338,0.3388298312589238
outcome_history,M4,bandit,factor_continuation_value__available,0.0,0.0,0.0,0.0
outcome_history,M4,bandit,factor_disengagement_value,-0.39620485314450876,-0.027711809759185774,-0.04702727050916163,-0.4709439334128562
outcome_history,M4,bandit,factor_disengagement_value__available,0.0,0.0,0.0,0.0
outcome_history,M4,bandit,factor_continuation_cost,-0.12405976877358366,0.008280997939814468,0.004822207295215271,-0.11095656353855393
outcome_history,M4,bandit,factor_continuation_cost__available,0.0,0.0,0.0,0.0
outcome_history,M4,bandit,factor_progress_evidence,0.2659700507614868,0.008126667346309745,-0.001110906956880597,0.2729858111509159
outcome_history,M4,bandit,factor_progress_evidence__available,-0.258547107000946,-0.106101270926923,-0.0330025563659128,-0.39765093429378184
outcome_history,M4,bandit,factor_success_evidence,0.47707705302609454,0.20714741203585396,0.09611094257993778,0.7803354076418862
outcome_history,M4,bandit,factor_success_evidence__available,0.0,0.0,0.0,0.0
outcome_history,M4,bandit,factor_uncertainty,0.005284210642846763,-0.01467473524661035,-0.007427583711279417,-0.016818108315043004
outcome_history,M4,bandit,factor_uncertainty__available,0.0,0.0,0.0,0.0
outcome_history,M4,bandit,factor_prior_investment,-0.10046396771943845,-0.007916798324130874,-0.009600639814924239,-0.11798140585849357
outcome_history,M4,bandit,factor_prior_investment__available,0.0,0.0,0.0,0.0
outcome_history,M4,bandit,factor_controllability,0.07342941117137047,-0.018706597317317115,-0.0016451164305063494,0.05307769742354701
outcome_history,M4,bandit,factor_controllability__available,0.36464597816780797,0.026583289301384108,-0.023998771849719082,0.36723049561947296
outcome_history,M4,bandit,factor_environmental_stability,0.09370553251750496,0.03132208303820906,0.007366723105824965,0.13239433866153896
outcome_history,M4,bandit,factor_environmental_stability__available,0.0,0.0,0.0,0.0
outcome_history,M4,bandit,factor_goal_continuity,0.046113962790695996,0.04289123027378329,0.007458060925461997,0.0964632539899413
outcome_history,M4,bandit,factor_goal_continuity__available,0.0,0.0,0.0,0.0
outcome_history,M4,bandit,history_outcome_1,0.09104847894913208,0.11295195246448234,0.029860342219723696,0.2338607736333381
outcome_history,M4,bandit,history_outcome_1__available,-0.06315181008756202,-0.009525751543296664,0.001349549523286967,-0.07132801210757171
outcome_history,M4,bandit,history_outcome_kernel,0.20188165506072508,0.0073201832156299,0.011411943669425897,0.2206137819457809
outcome_history,M4,bandit,history_outcome_kernel__available,-0.06315181008756685,-0.00952575154329709,0.0013495495232871203,-0.07132801210757682
outcome_history,M4,bandit,response_mapping,-0.0011243036666085285,-0.044178801565156904,0.014458241783057149,-0.03084486344870828
outcome_history,M4,bandit,response_mapping__available,0.0,0.0,0.0,0.0
