architecture,variant,task_family,parameter,mu,ontology_effect,random_effect,estimate
dual_history,M3,bandit,intercept,-0.6801156277389799,0.0,-0.16235036815003656,-0.8424659958890165
dual_history,M3,bandit,factor_continuation_value,0.25654775979254085,0.0,0.09421776313154635,0.3507655229240872
dual_history,M3,bandit,factor_continuation_value__available,0.0,0.0,0.0,0.0
dual_history,M3,bandit,factor_disengagement_value,-0.42944895811729067,0.0,-0.14393571499112587,-0.5733846731084166
dual_history,M3,bandit,factor_disengagement_value__available,0.0,0.0,0.0,0.0
dual_history,M3,bandit,factor_continuation_cost,-0.22495094388973966,0.0,0.13062505308316313,-0.09432589080657652
dual_history,M3,bandit,factor_continuation_cost__available,0.0,0.0,0.0,0.0
dual_history,M3,bandit,factor_progress_evidence,0.4632396387298361,0.0,0.00016825914220688128,0.46340789787204295
dual_history,M3,bandit,factor_progress_evidence__available,0.13781962548867158,0.0,0.25669847116046507,0.3945180966491366
dual_history,M3,bandit,factor_success_evidence,0.6343934519397972,0.0,0.5332880692950904,1.1676815212348877
dual_history,M3,bandit,factor_success_evidence__available,0.0,0.0,0.0,0.0
dual_history,M3,bandit,factor_uncertainty,0.04421523257138569,0.0,-0.010856493858452767,0.03335873871293292
dual_history,M3,bandit,factor_uncertainty__available,0.0,0.0,0.0,0.0
dual_history,M3,bandit,factor_prior_investment,-0.15918773367427966,0.0,0.09865418254807293,-0.06053355112620673
dual_history,M3,bandit,factor_prior_investment__available,0.0,0.0,0.0,0.0
dual_history,M3,bandit,factor_controllability,0.12105983463937396,0.0,0.0,0.12105983463937396
dual_history,M3,bandit,factor_controllability__available,-0.007373201982744428,0.0,0.18746605750900716,0.18009285552626272
dual_history,M3,bandit,factor_environmental_stability,0.11975512255366313,0.0,0.04541814693594777,0.16517326948961092
dual_history,M3,bandit,factor_environmental_stability__available,0.0,0.0,0.0,0.0
dual_history,M3,bandit,factor_goal_continuity,-0.011537308008213853,0.0,-0.0461406337519482,-0.057677941760162055
dual_history,M3,bandit,factor_goal_continuity__available,0.0,0.0,0.0,0.0
dual_history,M3,bandit,history_action_1,-0.05098261071742456,0.0,0.0228316712805828,-0.02815093943684176
dual_history,M3,bandit,history_action_1__available,-0.002158012657082544,0.0,-0.003953850006607368,-0.006111862663689913
dual_history,M3,bandit,history_action_kernel,0.10872669407168199,0.0,-0.019666359435196002,0.089060334636486
dual_history,M3,bandit,history_action_kernel__available,-0.0021580126570712086,0.0,-0.0039538500066074655,-0.006111862663678674
dual_history,M3,bandit,history_outcome_1,0.019418410801663746,0.0,0.01755270897280671,0.03697111977447046
dual_history,M3,bandit,history_outcome_1__available,-0.00215801265707121,0.0,-0.00395385000660739,-0.0061118626636786
dual_history,M3,bandit,history_outcome_kernel,0.132967383495238,0.0,0.09818415387047977,0.23115153736571778
dual_history,M3,bandit,history_outcome_kernel__available,-0.0021580126570712077,0.0,-0.00395385000660739,-0.006111862663678597
dual_history,M3,bandit,response_mapping,0.1823940020682498,0.0,0.5629143543878714,0.7453083564561211
dual_history,M3,bandit,response_mapping__available,0.0,0.0,0.0,0.0
dual_history,M3,debugging,intercept,-0.6801156277389799,0.0,-0.3050917575512172,-0.9852073852901971
dual_history,M3,debugging,factor_continuation_value,0.25654775979254085,0.0,0.15304620059724744,0.4095939603897883
dual_history,M3,debugging,factor_continuation_value__available,0.0,0.0,0.0,0.0
dual_history,M3,debugging,factor_disengagement_value,-0.42944895811729067,0.0,-0.007377734783144033,-0.4368266929004347
dual_history,M3,debugging,factor_disengagement_value__available,0.0,0.0,0.0,0.0
dual_history,M3,debugging,factor_continuation_cost,-0.22495094388973966,0.0,-0.10727345550638098,-0.33222439939612064
dual_history,M3,debugging,factor_continuation_cost__available,0.0,0.0,0.0,0.0
dual_history,M3,debugging,factor_progress_evidence,0.4632396387298361,0.0,-0.013973109089081288,0.4492665296407548
dual_history,M3,debugging,factor_progress_evidence__available,0.13781962548867158,0.0,-0.19295696984109356,-0.055137344352421985
dual_history,M3,debugging,factor_success_evidence,0.6343934519397972,0.0,0.03944100783051932,0.6738344597703165
dual_history,M3,debugging,factor_success_evidence__available,0.0,0.0,0.0,0.0
dual_history,M3,debugging,factor_uncertainty,0.04421523257138569,0.0,0.05134944012199433,0.09556467269338001
dual_history,M3,debugging,factor_uncertainty__available,0.0,0.0,0.0,0.0
dual_history,M3,debugging,factor_prior_investment,-0.15918773367427966,0.0,-0.07793487641890841,-0.23712261009318808
dual_history,M3,debugging,factor_prior_investment__available,0.0,0.0,0.0,0.0
dual_history,M3,debugging,factor_controllability,0.12105983463937396,0.0,0.004793038476656281,0.12585287311603024
dual_history,M3,debugging,factor_controllability__available,-0.007373201982744428,0.0,-0.2642172125245391,-0.27159041450728355
dual_history,M3,debugging,factor_environmental_stability,0.11975512255366313,0.0,0.055507177075669406,0.17526229962933254
dual_history,M3,debugging,factor_environmental_stability__available,0.0,0.0,0.0,0.0
dual_history,M3,debugging,factor_goal_continuity,-0.011537308008213853,0.0,0.0584501743756874,0.04691286636747355
dual_history,M3,debugging,factor_goal_continuity__available,0.0,0.0,0.0,0.0
dual_history,M3,debugging,history_action_1,-0.05098261071742456,0.0,-0.029359230933076935,-0.0803418416505015
dual_history,M3,debugging,history_action_1__available,-0.002158012657082544,0.0,-0.005454679848865381,-0.007612692505947925
dual_history,M3,debugging,history_action_kernel,0.10872669407168199,0.0,0.10516917138549078,0.21389586545717276
dual_history,M3,debugging,history_action_kernel__available,-0.0021580126570712086,0.0,-0.005454679848865693,-0.007612692505936901
dual_history,M3,debugging,history_outcome_1,0.019418410801663746,0.0,0.09222958912008904,0.11164799992175278
dual_history,M3,debugging,history_outcome_1__available,-0.00215801265707121,0.0,-0.005454679848865695,-0.007612692505936905
dual_history,M3,debugging,history_outcome_kernel,0.132967383495238,0.0,-0.11316342369238384,0.019803959802854168
dual_history,M3,debugging,history_outcome_kernel__available,-0.0021580126570712077,0.0,-0.005454679848865692,-0.007612692505936899
dual_history,M3,debugging,response_mapping,0.1823940020682498,0.0,-0.0787935664042077,0.10360043566404209
dual_history,M3,debugging,response_mapping__available,0.0,0.0,0.0,0.0
dual_history,M3,effort,intercept,-0.6801156277389799,0.0,-0.24123854926423682,-0.9213541770032168
dual_history,M3,effort,factor_continuation_value,0.25654775979254085,0.0,0.062158294093435325,0.31870605388597617
dual_history,M3,effort,factor_continuation_value__available,0.0,0.0,0.0,0.0
dual_history,M3,effort,factor_disengagement_value,-0.42944895811729067,0.0,-0.06333323987630138,-0.492782197993592
dual_history,M3,effort,factor_disengagement_value__available,0.0,0.0,0.0,0.0
dual_history,M3,effort,factor_continuation_cost,-0.22495094388973966,0.0,-0.13137944918063185,-0.3563303930703715
dual_history,M3,effort,factor_continuation_cost__available,0.0,0.0,0.0,0.0
dual_history,M3,effort,factor_progress_evidence,0.4632396387298361,0.0,0.1333882441894603,0.5966278829192964
dual_history,M3,effort,factor_progress_evidence__available,0.13781962548867158,0.0,-0.15257265502184658,-0.014753029533175005
dual_history,M3,effort,factor_success_evidence,0.6343934519397972,0.0,0.21266170853867666,0.847055160478474
dual_history,M3,effort,factor_success_evidence__available,0.0,0.0,0.0,0.0
dual_history,M3,effort,factor_uncertainty,0.04421523257138569,0.0,0.009623450612041461,0.05383868318342715
dual_history,M3,effort,factor_uncertainty__available,0.0,0.0,0.0,0.0
dual_history,M3,effort,factor_prior_investment,-0.15918773367427966,0.0,-0.04117459141256391,-0.20036232508684357
dual_history,M3,effort,factor_prior_investment__available,0.0,0.0,0.0,0.0
dual_history,M3,effort,factor_controllability,0.12105983463937396,0.0,-0.013605384058398727,0.10745445058097523
dual_history,M3,effort,factor_controllability__available,-0.007373201982744428,0.0,-0.2089187120349158,-0.21629191401766024
dual_history,M3,effort,factor_environmental_stability,0.11975512255366313,0.0,0.057849309341152136,0.17760443189481528
dual_history,M3,effort,factor_environmental_stability__available,0.0,0.0,0.0,0.0
dual_history,M3,effort,factor_goal_continuity,-0.011537308008213853,0.0,0.01321118395189515,0.001673875943681298
dual_history,M3,effort,factor_goal_continuity__available,0.0,0.0,0.0,0.0
