architecture,variant,task_family,parameter,mu,ontology_effect,random_effect,estimate
immediate_state,M3,bandit,intercept,-0.6777677349453824,0.0,-0.1583150662489557,-0.8360828011943382
immediate_state,M3,bandit,factor_continuation_value,0.25550266489519,0.0,0.10469313254875677,0.3601957974439468
immediate_state,M3,bandit,factor_continuation_value__available,0.0,0.0,0.0,0.0
immediate_state,M3,bandit,factor_disengagement_value,-0.4374235664811178,0.0,-0.17466117893646485,-0.6120847454175826
immediate_state,M3,bandit,factor_disengagement_value__available,0.0,0.0,0.0,0.0
immediate_state,M3,bandit,factor_continuation_cost,-0.21976769416704867,0.0,0.1238681042189871,-0.09589958994806157
immediate_state,M3,bandit,factor_continuation_cost__available,0.0,0.0,0.0,0.0
immediate_state,M3,bandit,factor_progress_evidence,0.46384899948250585,0.0,0.00016407697468758502,0.4640130764571934
immediate_state,M3,bandit,factor_progress_evidence__available,0.13263809040860078,0.0,0.25031809863350674,0.3829561890421075
immediate_state,M3,bandit,factor_success_evidence,0.6490618345753922,0.0,0.5616864641973006,1.210748298772693
immediate_state,M3,bandit,factor_success_evidence__available,0.0,0.0,0.0,0.0
immediate_state,M3,bandit,factor_uncertainty,0.04389108674494015,0.0,-0.03357040119458616,0.010320685550353988
immediate_state,M3,bandit,factor_uncertainty__available,0.0,0.0,0.0,0.0
immediate_state,M3,bandit,factor_prior_investment,-0.16067576706234885,0.0,0.06999589614682396,-0.09067987091552489
immediate_state,M3,bandit,factor_prior_investment__available,0.0,0.0,0.0,0.0
immediate_state,M3,bandit,factor_controllability,0.1251054193418648,0.0,0.0,0.1251054193418648
immediate_state,M3,bandit,factor_controllability__available,-0.006604874652266491,0.0,0.18280649223124695,0.17620161757898045
immediate_state,M3,bandit,factor_environmental_stability,0.11934675881559062,0.0,0.039716366083678345,0.15906312489926897
immediate_state,M3,bandit,factor_environmental_stability__available,0.0,0.0,0.0,0.0
immediate_state,M3,bandit,factor_goal_continuity,-0.005771509626502602,0.0,-0.029680432089574254,-0.03545194171607686
immediate_state,M3,bandit,factor_goal_continuity__available,0.0,0.0,0.0,0.0
immediate_state,M3,bandit,response_mapping,0.1823940020682498,0.0,0.5629143543878714,0.7453083564561211
immediate_state,M3,bandit,response_mapping__available,0.0,0.0,0.0,0.0
immediate_state,M3,debugging,intercept,-0.6777677349453824,0.0,-0.30003219919896623,-0.9777999341443486
immediate_state,M3,debugging,factor_continuation_value,0.25550266489519,0.0,0.13225402025675337,0.3877566851519434
immediate_state,M3,debugging,factor_continuation_value__available,0.0,0.0,0.0,0.0
immediate_state,M3,debugging,factor_disengagement_value,-0.4374235664811178,0.0,-0.012564059882800042,-0.4499876263639178
immediate_state,M3,debugging,factor_disengagement_value__available,0.0,0.0,0.0,0.0
immediate_state,M3,debugging,factor_continuation_cost,-0.21976769416704867,0.0,-0.10133507325955984,-0.3211027674266085
immediate_state,M3,debugging,factor_continuation_cost__available,0.0,0.0,0.0,0.0
immediate_state,M3,debugging,factor_progress_evidence,0.46384899948250585,0.0,-0.03482116256652155,0.4290278369159843
immediate_state,M3,debugging,factor_progress_evidence__available,0.13263809040860078,0.0,-0.1897570241715632,-0.057118933762962426
immediate_state,M3,debugging,factor_success_evidence,0.6490618345753922,0.0,0.03903718836190435,0.6880990229372966
immediate_state,M3,debugging,factor_success_evidence__available,0.0,0.0,0.0,0.0
immediate_state,M3,debugging,factor_uncertainty,0.04389108674494015,0.0,0.06766272957378405,0.1115538163187242
immediate_state,M3,debugging,factor_uncertainty__available,0.0,0.0,0.0,0.0
immediate_state,M3,debugging,factor_prior_investment,-0.16067576706234885,0.0,-0.08900022369636114,-0.24967599075871
immediate_state,M3,debugging,factor_prior_investment__available,0.0,0.0,0.0,0.0
immediate_state,M3,debugging,factor_controllability,0.1251054193418648,0.0,0.004084326358670509,0.12918974570053532
immediate_state,M3,debugging,factor_controllability__available,-0.006604874652266491,0.0,-0.25983550645955805,-0.26644038111182455
immediate_state,M3,debugging,factor_environmental_stability,0.11934675881559062,0.0,0.054763953520489274,0.1741107123360799
immediate_state,M3,debugging,factor_environmental_stability__available,0.0,0.0,0.0,0.0
immediate_state,M3,debugging,factor_goal_continuity,-0.005771509626502602,0.0,0.052504442019127726,0.046732932392625125
immediate_state,M3,debugging,factor_goal_continuity__available,0.0,0.0,0.0,0.0
immediate_state,M3,debugging,response_mapping,0.1823940020682498,0.0,-0.0787935664042077,0.10360043566404209
immediate_state,M3,debugging,response_mapping__available,0.0,0.0,0.0,0.0
immediate_state,M3,effort,intercept,-0.6777677349453824,0.0,-0.24768795990194312,-0.9254556948473256
immediate_state,M3,effort,factor_continuation_value,0.25550266489519,0.0,0.06419693208437371,0.31969959697956374
immediate_state,M3,effort,factor_continuation_value__available,0.0,0.0,0.0,0.0
immediate_state,M3,effort,factor_disengagement_value,-0.4374235664811178,0.0,-0.058722476170255805,-0.49614604265137363
immediate_state,M3,effort,factor_disengagement_value__available,0.0,0.0,0.0,0.0
immediate_state,M3,effort,factor_continuation_cost,-0.21976769416704867,0.0,-0.14004688612233848,-0.3598145802893872
immediate_state,M3,effort,factor_continuation_cost__available,0.0,0.0,0.0,0.0
immediate_state,M3,effort,factor_progress_evidence,0.46384899948250585,0.0,0.13249674612921772,0.5963457456117236
immediate_state,M3,effort,factor_progress_evidence__available,0.13263809040860078,0.0,-0.1566516204580337,-0.024013530049432935
immediate_state,M3,effort,factor_success_evidence,0.6490618345753922,0.0,0.20193964928028021,0.8510014838556724
immediate_state,M3,effort,factor_success_evidence__available,0.0,0.0,0.0,0.0
immediate_state,M3,effort,factor_uncertainty,0.04389108674494015,0.0,0.0036209494066332623,0.04751203615157341
immediate_state,M3,effort,factor_uncertainty__available,0.0,0.0,0.0,0.0
immediate_state,M3,effort,factor_prior_investment,-0.16067576706234885,0.0,-0.049742307034786784,-0.21041807409713564
immediate_state,M3,effort,factor_prior_investment__available,0.0,0.0,0.0,0.0
immediate_state,M3,effort,factor_controllability,0.1251054193418648,0.0,-0.0032402838354503535,0.12186513550641445
immediate_state,M3,effort,factor_controllability__available,-0.006604874652266491,0.0,-0.2145040654866288,-0.2211089401388953
immediate_state,M3,effort,factor_environmental_stability,0.11934675881559062,0.0,0.05206266876166495,0.17140942757725558
immediate_state,M3,effort,factor_environmental_stability__available,0.0,0.0,0.0,0.0
immediate_state,M3,effort,factor_goal_continuity,-0.005771509626502602,0.0,0.028453444415322753,0.022681934788820152
immediate_state,M3,effort,factor_goal_continuity__available,0.0,0.0,0.0,0.0
immediate_state,M3,effort,response_mapping,0.1823940020682498,0.0,0.09199851280371307,0.27439251487196287
immediate_state,M3,effort,response_mapping__available,0.0,0.0,0.0,0.0
immediate_state,M3,foraging,intercept,-0.6777677349453824,0.0,-0.07950436619860907,-0.7572721011439916
immediate_state,M3,foraging,factor_continuation_value,0.25550266489519,0.0,0.04616609846882178,0.3016687633640118
immediate_state,M3,foraging,factor_continuation_value__available,0.0,0.0,0.0,0.0
immediate_state,M3,foraging,factor_disengagement_value,-0.4374235664811178,0.0,-0.10723588295885689,-0.5446594494399747
immediate_state,M3,foraging,factor_disengagement_value__available,0.0,0.0,0.0,0.0
immediate_state,M3,foraging,factor_continuation_cost,-0.21976769416704867,0.0,0.15280304258639965,-0.06696465158064902
immediate_state,M3,foraging,factor_continuation_cost__available,0.0,0.0,0.0,0.0
immediate_state,M3,foraging,factor_progress_evidence,0.46384899948250585,0.0,0.08345018145301676,0.5472991809355227
immediate_state,M3,foraging,factor_progress_evidence__available,0.13263809040860078,0.0,-0.05028297622310431,0.08235511418549646
immediate_state,M3,foraging,factor_success_evidence,0.6490618345753922,0.0,-0.015774235097766865,0.6332875994776254
immediate_state,M3,foraging,factor_success_evidence__available,0.0,0.0,0.0,0.0
immediate_state,M3,foraging,factor_uncertainty,0.04389108674494015,0.0,-0.027150139342787847,0.0167409474021523
immediate_state,M3,foraging,factor_uncertainty__available,0.0,0.0,0.0,0.0
immediate_state,M3,foraging,factor_prior_investment,-0.16067576706234885,0.0,-0.031020195561217632,-0.19169596262356647
immediate_state,M3,foraging,factor_prior_investment__available,0.0,0.0,0.0,0.0
immediate_state,M3,foraging,factor_controllability,0.1251054193418648,0.0,-0.036247637913352136,0.08885778142851267
immediate_state,M3,foraging,factor_controllability__available,-0.006604874652266491,0.0,-0.06885280083973372,-0.0754576754920002
immediate_state,M3,foraging,factor_environmental_stability,0.11934675881559062,0.0,-0.00783409461747845,0.11151266419811218
immediate_state,M3,foraging,factor_environmental_stability__available,0.0,0.0,0.0,0.0
immediate_state,M3,foraging,factor_goal_continuity,-0.005771509626502602,0.0,0.004134515543739044,-0.0016369940827635574
immediate_state,M3,foraging,factor_goal_continuity__available,0.0,0.0,0.0,0.0
immediate_state,M3,foraging,response_mapping,0.1823940020682498,0.0,-0.5252663386814354,-0.34287233661318556
immediate_state,M3,foraging,response_mapping__available,0.0,0.0,0.0,0.0
immediate_state,M3,information_sampling,intercept,-0.6777677349453824,0.0,-0.008408903850235551,-0.686176638795618
immediate_state,M3,information_sampling,factor_continuation_value,0.25550266489519,0.0,-0.14561361171399084,0.10988905318119918
immediate_state,M3,information_sampling,factor_continuation_value__available,0.0,0.0,0.0,0.0
immediate_state,M3,information_sampling,factor_disengagement_value,-0.4374235664811178,0.0,0.4485914595605432,0.011167893079425395
immediate_state,M3,information_sampling,factor_disengagement_value__available,0.0,0.0,0.0,0.0
immediate_state,M3,information_sampling,factor_continuation_cost,-0.21976769416704867,0.0,-0.06341483609101027,-0.28318253025805895
immediate_state,M3,information_sampling,factor_continuation_cost__available,0.0,0.0,0.0,0.0
immediate_state,M3,information_sampling,factor_progress_evidence,0.46384899948250585,0.0,-0.35934602803137755,0.1045029714511283
immediate_state,M3,information_sampling,factor_progress_evidence__available,0.13263809040860078,0.0,-0.005318257758376752,0.12731983265022404
immediate_state,M3,information_sampling,factor_success_evidence,0.6490618345753922,0.0,-0.5981492309105984,0.05091260366479389
immediate_state,M3,information_sampling,factor_success_evidence__available,0.0,0.0,0.0,0.0
immediate_state,M3,information_sampling,factor_uncertainty,0.04389108674494015,0.0,-0.012300202753073596,0.03159088399186655
immediate_state,M3,information_sampling,factor_uncertainty__available,0.0,0.0,0.0,0.0
immediate_state,M3,information_sampling,factor_prior_investment,-0.16067576706234885,0.0,0.0646561106822173,-0.09601965638013155
immediate_state,M3,information_sampling,factor_prior_investment__available,0.0,0.0,0.0,0.0
immediate_state,M3,information_sampling,factor_controllability,0.1251054193418648,0.0,0.0,0.1251054193418648
immediate_state,M3,information_sampling,factor_controllability__available,-0.006604874652266491,0.0,0.009709765803106615,0.0031048911508401236
immediate_state,M3,information_sampling,factor_environmental_stability,0.11934675881559062,0.0,-0.11279021896971841,0.006556539845872206
immediate_state,M3,information_sampling,factor_environmental_stability__available,0.0,0.0,0.0,0.0
immediate_state,M3,information_sampling,factor_goal_continuity,-0.005771509626502602,0.0,0.003602422164534396,-0.0021690874619682055
immediate_state,M3,information_sampling,factor_goal_continuity__available,0.0,0.0,0.0,0.0
immediate_state,M3,information_sampling,response_mapping,0.1823940020682498,0.0,-0.231330695117079,-0.048936693048829194
immediate_state,M3,information_sampling,response_mapping__available,0.0,0.0,0.0,0.0
immediate_state,M3,solvability,intercept,-0.6777677349453824,0.0,0.5295834218447971,-0.14818431310058533
immediate_state,M3,solvability,factor_continuation_value,0.25550266489519,0.0,-0.09028975675533031,0.16521290813985973
immediate_state,M3,solvability,factor_continuation_value__available,0.0,0.0,0.0,0.0
immediate_state,M3,solvability,factor_disengagement_value,-0.4374235664811178,0.0,0.11575503189359292,-0.32166853458752487
immediate_state,M3,solvability,factor_disengagement_value__available,0.0,0.0,0.0,0.0
