phase,model,task,r2,n
train,immediate_state,all,0.8319571081948722,2800
train,immediate_state,bandit,0.8401064938692266,400
train,immediate_state,debugging,0.7338354202870928,400
train,immediate_state,effort,0.7757396293802485,400
train,immediate_state,foraging,0.7871607617223471,400
train,immediate_state,information_sampling,0.6088301667377012,400
train,immediate_state,solvability,0.8184786134866694,400
train,immediate_state,waiting,0.7984824919475448,400
train,choice_perseveration,all,0.8361690847889307,2800
train,choice_perseveration,bandit,0.840928096663984,400
train,choice_perseveration,debugging,0.7421395919333419,400
train,choice_perseveration,effort,0.7766509799392827,400
train,choice_perseveration,foraging,0.7993593847906788,400
train,choice_perseveration,information_sampling,0.6097140389287571,400
train,choice_perseveration,solvability,0.8250327752654056,400
train,choice_perseveration,waiting,0.8052233663596143,400
train,outcome_history,all,0.8440755290063614,2800
train,outcome_history,bandit,0.858458789327193,400
train,outcome_history,debugging,0.7397610188540402,400
train,outcome_history,effort,0.7899736756375296,400
train,outcome_history,foraging,0.8030677307297625,400
train,outcome_history,information_sampling,0.617590700963226,400
train,outcome_history,solvability,0.8398564090064906,400
train,outcome_history,waiting,0.8059864214937436,400
train,dual_history,all,0.8479827688030195,2800
train,dual_history,bandit,0.8597469484868363,400
train,dual_history,debugging,0.7500125013845718,400
train,dual_history,effort,0.7912387371919716,400
train,dual_history,foraging,0.813208921034746,400
train,dual_history,information_sampling,0.6189196190766205,400
train,dual_history,solvability,0.8457919598329069,400
train,dual_history,waiting,0.8084518125263964,400
selection,immediate_state,all,0.8006772534546611,980
selection,immediate_state,bandit,0.7724008278909593,140
selection,immediate_state,debugging,0.7017884192529087,140
selection,immediate_state,effort,0.7149769893790137,140
selection,immediate_state,foraging,0.7619215478664609,140
selection,immediate_state,information_sampling,0.5918895608831887,140
selection,immediate_state,solvability,0.7995554787110541,140
selection,immediate_state,waiting,0.7821008810560821,140
selection,choice_perseveration,all,0.8026587604182726,980
selection,choice_perseveration,bandit,0.7723520343820971,140
selection,choice_perseveration,debugging,0.709276343823839,140
selection,choice_perseveration,effort,0.715373125090419,140
selection,choice_perseveration,foraging,0.7746802973822722,140
selection,choice_perseveration,information_sampling,0.5975597059243052,140
selection,choice_perseveration,solvability,0.787403409385909,140
selection,choice_perseveration,waiting,0.7923436634191748,140
selection,outcome_history,all,0.8165372299476574,980
selection,outcome_history,bandit,0.8138646498074487,140
selection,outcome_history,debugging,0.719285089739785,140
selection,outcome_history,effort,0.7398782309682073,140
selection,outcome_history,foraging,0.7595805603052102,140
selection,outcome_history,information_sampling,0.597661715856095,140
selection,outcome_history,solvability,0.808176905417026,140
selection,outcome_history,waiting,0.7901024370300356,140
selection,dual_history,all,0.8193832040065923,980
selection,dual_history,bandit,0.8149626888506352,140
selection,dual_history,debugging,0.7240804015236397,140
selection,dual_history,effort,0.7403169686670686,140
selection,dual_history,foraging,0.7779911000619889,140
selection,dual_history,information_sampling,0.5950284675172914,140
selection,dual_history,solvability,0.8037034391612132,140
selection,dual_history,waiting,0.795257770210012,140
test,immediate_state,all,0.8212009717823576,980
test,immediate_state,bandit,0.8098302771325563,140
test,immediate_state,debugging,0.7929380873933293,140
test,immediate_state,effort,0.7605505051412249,140
test,immediate_state,foraging,0.7205642906842121,140
test,immediate_state,information_sampling,0.5578974314094486,140
test,immediate_state,solvability,0.7848929515809036,140
test,immediate_state,waiting,0.8333895518271816,140
test,choice_perseveration,all,0.8227437988067473,980
test,choice_perseveration,bandit,0.8123196856252421,140
test,choice_perseveration,debugging,0.7968084025263377,140
test,choice_perseveration,effort,0.7589999682122793,140
test,choice_perseveration,foraging,0.7444183958415895,140
test,choice_perseveration,information_sampling,0.5563515930303946,140
test,choice_perseveration,solvability,0.7674888006315028,140
test,choice_perseveration,waiting,0.8448833413918633,140
test,outcome_history,all,0.8334516703078353,980
test,outcome_history,bandit,0.8320006014488781,140
test,outcome_history,debugging,0.8011992061029034,140
test,outcome_history,effort,0.7714038029629781,140
test,outcome_history,foraging,0.7474229422686787,140
test,outcome_history,information_sampling,0.558903872537157,140
test,outcome_history,solvability,0.8013619913822682,140
test,outcome_history,waiting,0.8430508487122126,140
test,dual_history,all,0.8353870156626626,980
test,dual_history,bandit,0.8355651094795945,140
test,dual_history,debugging,0.8045694065732872,140
test,dual_history,effort,0.7696663395894525,140
test,dual_history,foraging,0.7678446670641912,140
test,dual_history,information_sampling,0.5578292809787537,140
test,dual_history,solvability,0.7945104529632757,140
test,dual_history,waiting,0.845733123349788,140
