architecture,variant,task_family,parameter,mu,ontology_effect,random_effect,estimate
outcome_history,M3,bandit,intercept,-0.6808595490696931,0.0,-0.16239126553124728,-0.8432508146009404
outcome_history,M3,bandit,factor_continuation_value,0.25537611066696053,0.0,0.09235031927242171,0.34772642993938224
outcome_history,M3,bandit,factor_continuation_value__available,0.0,0.0,0.0,0.0
outcome_history,M3,bandit,factor_disengagement_value,-0.4269641465082611,0.0,-0.15368607939285023,-0.5806502259011113
outcome_history,M3,bandit,factor_disengagement_value__available,0.0,0.0,0.0,0.0
outcome_history,M3,bandit,factor_continuation_cost,-0.21897406424508858,0.0,0.11988564210074712,-0.09908842214434146
outcome_history,M3,bandit,factor_continuation_cost__available,0.0,0.0,0.0,0.0
outcome_history,M3,bandit,factor_progress_evidence,0.463312652726285,0.0,0.00016830152805644898,0.4634809542543415
outcome_history,M3,bandit,factor_progress_evidence__available,0.13832655183094852,0.0,0.2567631355979068,0.3950896874288553
outcome_history,M3,bandit,factor_success_evidence,0.634814752657636,0.0,0.5318776002336462,1.1666923528912823
outcome_history,M3,bandit,factor_success_evidence__available,0.0,0.0,0.0,0.0
outcome_history,M3,bandit,factor_uncertainty,0.04385623781262269,0.0,-0.011684268094052062,0.03217196971857063
outcome_history,M3,bandit,factor_uncertainty__available,0.0,0.0,0.0,0.0
outcome_history,M3,bandit,factor_prior_investment,-0.15950375389375945,0.0,0.09742580376004444,-0.06207795013371502
outcome_history,M3,bandit,factor_prior_investment__available,0.0,0.0,0.0,0.0
outcome_history,M3,bandit,factor_controllability,0.12625967480559688,0.0,0.0,0.12625967480559688
outcome_history,M3,bandit,factor_controllability__available,-0.008352103465496098,0.0,0.18751328173710313,0.17916117827160705
outcome_history,M3,bandit,factor_environmental_stability,0.12038378403323373,0.0,0.04821957384095428,0.168603357874188
outcome_history,M3,bandit,factor_environmental_stability__available,0.0,0.0,0.0,0.0
outcome_history,M3,bandit,factor_goal_continuity,-0.010806604122464685,0.0,-0.04108589221223905,-0.05189249633470373
outcome_history,M3,bandit,factor_goal_continuity__available,0.0,0.0,0.0,0.0
outcome_history,M3,bandit,history_outcome_1,0.008096201334081246,0.0,0.015924566485977305,0.02402076782005855
outcome_history,M3,bandit,history_outcome_1__available,0.0062758201040226695,0.0,-0.008775971460835133,-0.002500151356812463
outcome_history,M3,bandit,history_outcome_kernel,0.13839342457508322,0.0,0.09995810462274546,0.23835152919782868
outcome_history,M3,bandit,history_outcome_kernel__available,0.006275820104024981,0.0,-0.008775971460835077,-0.002500151356810096
outcome_history,M3,bandit,response_mapping,0.1823940020682498,0.0,0.5629143543878714,0.7453083564561211
outcome_history,M3,bandit,response_mapping__available,0.0,0.0,0.0,0.0
outcome_history,M3,debugging,intercept,-0.6808595490696931,0.0,-0.3016094750018008,-0.982469024071494
outcome_history,M3,debugging,factor_continuation_value,0.25537611066696053,0.0,0.1422466570434634,0.39762276771042393
outcome_history,M3,debugging,factor_continuation_value__available,0.0,0.0,0.0,0.0
outcome_history,M3,debugging,factor_disengagement_value,-0.4269641465082611,0.0,-0.012794676535759155,-0.43975882304402025
outcome_history,M3,debugging,factor_disengagement_value__available,0.0,0.0,0.0,0.0
outcome_history,M3,debugging,factor_continuation_cost,-0.21897406424508858,0.0,-0.10745888267614634,-0.3264329469212349
outcome_history,M3,debugging,factor_continuation_cost__available,0.0,0.0,0.0,0.0
outcome_history,M3,debugging,factor_progress_evidence,0.463312652726285,0.0,-0.024718950626810916,0.4385937020994741
outcome_history,M3,debugging,factor_progress_evidence__available,0.13832655183094852,0.0,-0.19075458097863668,-0.052428029147688154
outcome_history,M3,debugging,factor_success_evidence,0.634814752657636,0.0,0.0361751364671856,0.6709898891248216
outcome_history,M3,debugging,factor_success_evidence__available,0.0,0.0,0.0,0.0
outcome_history,M3,debugging,factor_uncertainty,0.04385623781262269,0.0,0.06302571136957659,0.10688194918219929
outcome_history,M3,debugging,factor_uncertainty__available,0.0,0.0,0.0,0.0
outcome_history,M3,debugging,factor_prior_investment,-0.15950375389375945,0.0,-0.08784161575252596,-0.2473453696462854
outcome_history,M3,debugging,factor_prior_investment__available,0.0,0.0,0.0,0.0
outcome_history,M3,debugging,factor_controllability,0.12625967480559688,0.0,0.007731224678954726,0.13399089948455162
outcome_history,M3,debugging,factor_controllability__available,-0.008352103465496098,0.0,-0.26120146737363387,-0.26955357083912995
outcome_history,M3,debugging,factor_environmental_stability,0.12038378403323373,0.0,0.05072640155627943,0.17111018558951316
outcome_history,M3,debugging,factor_environmental_stability__available,0.0,0.0,0.0,0.0
