split,method,endpoint,n,recovery,low,high
mech_pair_test,output,predicted_counterfactual_effect,64,-0.5084546075549417,-1.3029519914479029,0.14266080512011
mech_pair_test,output,natural_effect,64,0.5901084010840109,0.5323947137066609,0.6259101709774925
mech_pair_test,pca,predicted_counterfactual_effect,64,-0.48036304928544404,-0.8563856069742438,0.11208155595913599
mech_pair_test,pca,natural_effect,64,0.5677506775067751,0.5217830437577063,0.6080629651339119
mech_pair_test,random_000,predicted_counterfactual_effect,64,-0.08061029229123173,,
mech_pair_test,random_000,natural_effect,64,0.01287262872628725,,
mech_pair_test,random_001,predicted_counterfactual_effect,64,-0.06796530316819305,,
mech_pair_test,random_001,natural_effect,64,0.008130081300813052,,
mech_pair_test,random_002,predicted_counterfactual_effect,64,-0.10256874143035155,,
mech_pair_test,random_002,natural_effect,64,0.04539295392953935,,
mech_pair_test,random_003,predicted_counterfactual_effect,64,-0.13626963958390337,,
mech_pair_test,random_003,natural_effect,64,-0.005420054200542035,,
mech_pair_test,random_004,predicted_counterfactual_effect,64,-0.1039208395693576,,
mech_pair_test,random_004,natural_effect,64,0.0006775067750677266,,
mech_pair_test,random_005,predicted_counterfactual_effect,64,-0.18527988024985764,,
mech_pair_test,random_005,natural_effect,64,-0.030487804878048808,,
mech_pair_test,random_006,predicted_counterfactual_effect,64,-0.10514178981767941,,
mech_pair_test,random_006,natural_effect,64,0.0582655826558266,,
mech_pair_test,random_007,predicted_counterfactual_effect,64,-0.09758326475318957,,
mech_pair_test,random_007,natural_effect,64,-0.025067750677506773,,
mech_pair_test,random_008,predicted_counterfactual_effect,64,-0.158709726040968,,
mech_pair_test,random_008,natural_effect,64,0.02168021680216803,,
mech_pair_test,random_009,predicted_counterfactual_effect,64,-0.1455742265601765,,
mech_pair_test,random_009,natural_effect,64,0.022357723577235755,,
mech_pair_test,random_010,predicted_counterfactual_effect,64,-0.32363132107006387,,
mech_pair_test,random_010,natural_effect,64,-0.09010840108401075,,
mech_pair_test,random_011,predicted_counterfactual_effect,64,-0.17756769127039673,,
mech_pair_test,random_011,natural_effect,64,0.018292682926829285,,
mech_pair_test,random_012,predicted_counterfactual_effect,64,-0.23136999016807613,,
mech_pair_test,random_012,natural_effect,64,-0.03861788617886175,,
mech_pair_test,random_013,predicted_counterfactual_effect,64,-0.10087955295408513,,
mech_pair_test,random_013,natural_effect,64,0.026422764227642226,,
mech_pair_test,random_014,predicted_counterfactual_effect,64,-0.09883453006193021,,
mech_pair_test,random_014,natural_effect,64,0.01897018970189701,,
mech_pair_test,random_015,predicted_counterfactual_effect,64,-0.25468533933734205,,
mech_pair_test,random_015,natural_effect,64,-0.01693766937669383,,
mech_pair_test,random_016,predicted_counterfactual_effect,64,0.01924661846743414,,
mech_pair_test,random_016,natural_effect,64,0.09620596205962062,,
mech_pair_test,random_017,predicted_counterfactual_effect,64,-0.103979210488649,,
mech_pair_test,random_017,natural_effect,64,-0.027100271002709952,,
mech_pair_test,random_018,predicted_counterfactual_effect,64,-0.09176611354173536,,
mech_pair_test,random_018,natural_effect,64,0.008807588075880779,,
mech_pair_test,random_019,predicted_counterfactual_effect,64,-0.15094977224663708,,
mech_pair_test,random_019,natural_effect,64,0.010162601626016232,,
mech_pair_test,random_020,predicted_counterfactual_effect,64,-0.05351188414756192,,
mech_pair_test,random_020,natural_effect,64,0.027100271002710064,,
mech_pair_test,random_021,predicted_counterfactual_effect,64,-0.15184673660629122,,
mech_pair_test,random_021,natural_effect,64,-0.015582655826558156,,
mech_pair_test,random_022,predicted_counterfactual_effect,64,-0.06973275709492466,,
mech_pair_test,random_022,natural_effect,64,0.0006775067750677266,,
mech_pair_test,random_023,predicted_counterfactual_effect,64,0.004143079391352833,,
mech_pair_test,random_023,natural_effect,64,0.09146341463414631,,
mech_pair_test,random_024,predicted_counterfactual_effect,64,-0.115162611855814,,
mech_pair_test,random_024,natural_effect,64,-0.015582655826558156,,
mech_pair_test,random_025,predicted_counterfactual_effect,64,-0.19084483587918566,,
mech_pair_test,random_025,natural_effect,64,0.03861788617886175,,
mech_pair_test,random_026,predicted_counterfactual_effect,64,-0.3170799664183088,,
mech_pair_test,random_026,natural_effect,64,-0.02981029810298108,,
mech_pair_test,random_027,predicted_counterfactual_effect,64,-0.1754551706071401,,
mech_pair_test,random_027,natural_effect,64,0.004065040650406471,,
mech_pair_test,random_028,predicted_counterfactual_effect,64,-0.061100020772766994,,
mech_pair_test,random_028,natural_effect,64,0.015582655826558267,,
mech_pair_test,random_029,predicted_counterfactual_effect,64,-0.16131695278869107,,
mech_pair_test,random_029,natural_effect,64,0.007452574525745215,,
mech_pair_test,random_030,predicted_counterfactual_effect,64,-0.0852452153106793,,
mech_pair_test,random_030,natural_effect,64,0.004742547425474308,,
mech_pair_test,random_031,predicted_counterfactual_effect,64,-0.1279446619916882,,
mech_pair_test,random_031,natural_effect,64,0.018292682926829285,,
mech_pair_test,random_032,predicted_counterfactual_effect,64,-0.16265720269071315,,
mech_pair_test,random_032,natural_effect,64,-0.01287262872628725,,
mech_pair_test,random_033,predicted_counterfactual_effect,64,-0.317588746520566,,
mech_pair_test,random_033,natural_effect,64,-0.07791327913279122,,
mech_pair_test,random_034,predicted_counterfactual_effect,64,-0.19233004977375967,,
mech_pair_test,random_034,natural_effect,64,0.015582655826558267,,
mech_pair_test,random_035,predicted_counterfactual_effect,64,-0.19272611226320158,,
mech_pair_test,random_035,natural_effect,64,-0.01693766937669383,,
mech_pair_test,random_036,predicted_counterfactual_effect,64,-0.12053828827642277,,
mech_pair_test,random_036,natural_effect,64,0.027100271002710064,,
mech_pair_test,random_037,predicted_counterfactual_effect,64,-0.1932605065108619,,
mech_pair_test,random_037,natural_effect,64,-0.027100271002709952,,
mech_pair_test,random_038,predicted_counterfactual_effect,64,-0.010238649094037822,,
mech_pair_test,random_038,natural_effect,64,0.012195121951219523,,
mech_pair_test,random_039,predicted_counterfactual_effect,64,-0.2825547654780334,,
mech_pair_test,random_039,natural_effect,64,0.011517615176151796,,
mech_pair_test,random_040,predicted_counterfactual_effect,64,-0.0997321553367807,,
mech_pair_test,random_040,natural_effect,64,0.06571815718157181,,
mech_pair_test,random_041,predicted_counterfactual_effect,64,-0.2345167440942546,,
mech_pair_test,random_041,natural_effect,64,-0.01693766937669383,,
mech_pair_test,random_042,predicted_counterfactual_effect,64,-0.21343943449550462,,
mech_pair_test,random_042,natural_effect,64,-0.0399728997289972,,
mech_pair_test,random_043,predicted_counterfactual_effect,64,-0.15406334943296618,,
mech_pair_test,random_043,natural_effect,64,0.022357723577235755,,
mech_pair_test,random_044,predicted_counterfactual_effect,64,-0.13446032955624965,,
mech_pair_test,random_044,natural_effect,64,0.006775067750677488,,
mech_pair_test,random_045,predicted_counterfactual_effect,64,-0.16644559259177272,,
mech_pair_test,random_045,natural_effect,64,-0.03794037940379402,,
mech_pair_test,random_046,predicted_counterfactual_effect,64,-0.05219218051381347,,
mech_pair_test,random_046,natural_effect,64,0.014227642276422814,,
mech_pair_test,random_047,predicted_counterfactual_effect,64,-0.07491583659758971,,
mech_pair_test,random_047,natural_effect,64,0.07520325203252032,,
mech_pair_test,random_048,predicted_counterfactual_effect,64,0.0194754115543756,,
mech_pair_test,random_048,natural_effect,64,0.027100271002710064,,
mech_pair_test,random_049,predicted_counterfactual_effect,64,-0.15428217829423763,,
mech_pair_test,random_049,natural_effect,64,-0.021680216802167918,,
mech_pair_test,random_050,predicted_counterfactual_effect,64,-0.15254043331581557,,
mech_pair_test,random_050,natural_effect,64,0.029132791327913243,,
mech_pair_test,random_051,predicted_counterfactual_effect,64,0.013600378499676102,,
mech_pair_test,random_051,natural_effect,64,0.048102981029810254,,
mech_pair_test,random_052,predicted_counterfactual_effect,64,-0.17646267689074624,,
mech_pair_test,random_052,natural_effect,64,-0.0013550135501354532,,
mech_pair_test,random_053,predicted_counterfactual_effect,64,-0.1393049519963776,,
mech_pair_test,random_053,natural_effect,64,-0.011517615176151796,,
mech_pair_test,random_054,predicted_counterfactual_effect,64,-0.017921186568877312,,
mech_pair_test,random_054,natural_effect,64,0.006775067750677488,,
mech_pair_test,random_055,predicted_counterfactual_effect,64,-0.14994978887467258,,
mech_pair_test,random_055,natural_effect,64,-0.008130081300812941,,
mech_pair_test,random_056,predicted_counterfactual_effect,64,-0.11932640314670362,,
mech_pair_test,random_056,natural_effect,64,0.01693766937669372,,
mech_pair_test,random_057,predicted_counterfactual_effect,64,-0.1083301992086938,,
mech_pair_test,random_057,natural_effect,64,0.021002710027100302,,
mech_pair_test,random_058,predicted_counterfactual_effect,64,-0.05419716714286915,,
mech_pair_test,random_058,natural_effect,64,0.10027100271002709,,
mech_pair_test,random_059,predicted_counterfactual_effect,64,0.06922900937220611,,
mech_pair_test,random_059,natural_effect,64,0.03455284552845528,,
mech_pair_test,random_060,predicted_counterfactual_effect,64,-0.04501501080746495,,
mech_pair_test,random_060,natural_effect,64,0.02981029810298108,,
mech_pair_test,random_061,predicted_counterfactual_effect,64,-0.11890143554938959,,
mech_pair_test,random_061,natural_effect,64,-0.024390243902439046,,
mech_pair_test,random_062,predicted_counterfactual_effect,64,-0.1215453855754689,,
mech_pair_test,random_062,natural_effect,64,0.015582655826558267,,
mech_pair_test,random_063,predicted_counterfactual_effect,64,-0.12618516119331535,,
mech_pair_test,random_063,natural_effect,64,-0.0013550135501354532,,
mech_pair_test,random_064,predicted_counterfactual_effect,64,-0.3027076870738197,,
mech_pair_test,random_064,natural_effect,64,-0.05826558265582649,,
mech_pair_test,random_065,predicted_counterfactual_effect,64,-0.1702297023227517,,
mech_pair_test,random_065,natural_effect,64,0.01287262872628725,,
mech_pair_test,random_066,predicted_counterfactual_effect,64,-0.1138061056169759,,
mech_pair_test,random_066,natural_effect,64,0.014227642276422814,,
mech_pair_test,random_067,predicted_counterfactual_effect,64,-0.208628127358774,,
mech_pair_test,random_067,natural_effect,64,-0.042005420054200604,,
mech_pair_test,random_068,predicted_counterfactual_effect,64,-0.25465517449084807,,
mech_pair_test,random_068,natural_effect,64,-0.044037940379403784,,
mech_pair_test,random_069,predicted_counterfactual_effect,64,-0.009056325366349816,,
mech_pair_test,random_069,natural_effect,64,-0.01287262872628725,,
mech_pair_test,random_070,predicted_counterfactual_effect,64,-0.2350814853597245,,
mech_pair_test,random_070,natural_effect,64,-0.028455284552845628,,
mech_pair_test,random_071,predicted_counterfactual_effect,64,-0.18528211804387884,,
mech_pair_test,random_071,natural_effect,64,-0.023035230352303593,,
mech_pair_test,random_072,predicted_counterfactual_effect,64,-0.08240353178200888,,
mech_pair_test,random_072,natural_effect,64,-0.004742547425474308,,
mech_pair_test,random_073,predicted_counterfactual_effect,64,-0.21427949960907156,,
mech_pair_test,random_073,natural_effect,64,0.02168021680216803,,
mech_pair_test,random_074,predicted_counterfactual_effect,64,-0.0482874924412422,,
mech_pair_test,random_074,natural_effect,64,0.01897018970189701,,
mech_pair_test,random_075,predicted_counterfactual_effect,64,-0.14515124936587576,,
mech_pair_test,random_075,natural_effect,64,0.016260162601625994,,
mech_pair_test,random_076,predicted_counterfactual_effect,64,-0.059097397486375325,,
mech_pair_test,random_076,natural_effect,64,0.04065040650406504,,
mech_pair_test,random_077,predicted_counterfactual_effect,64,-0.12073588041873395,,
mech_pair_test,random_077,natural_effect,64,0.013550135501354976,,
mech_pair_test,random_078,predicted_counterfactual_effect,64,-0.10566532896020853,,
mech_pair_test,random_078,natural_effect,64,-0.011517615176151796,,
mech_pair_test,random_079,predicted_counterfactual_effect,64,-0.15656167225923268,,
mech_pair_test,random_079,natural_effect,64,0.015582655826558267,,
mech_pair_test,random_080,predicted_counterfactual_effect,64,0.03845447436441185,,
mech_pair_test,random_080,natural_effect,64,0.04742547425474253,,
mech_pair_test,random_081,predicted_counterfactual_effect,64,-0.36086941021849017,,
mech_pair_test,random_081,natural_effect,64,-0.0772357723577235,,
mech_pair_test,random_082,predicted_counterfactual_effect,64,-0.014102815189827256,,
mech_pair_test,random_082,natural_effect,64,0.0467479674796748,,
mech_pair_test,random_083,predicted_counterfactual_effect,64,0.015500168489782196,,
mech_pair_test,random_083,natural_effect,64,0.06504065040650409,,
mech_pair_test,random_084,predicted_counterfactual_effect,64,-0.22112262331013244,,
mech_pair_test,random_084,natural_effect,64,-0.020325203252032464,,
mech_pair_test,random_085,predicted_counterfactual_effect,64,-0.1496275280531807,,
mech_pair_test,random_085,natural_effect,64,-0.007452574525745215,,
mech_pair_test,random_086,predicted_counterfactual_effect,64,-0.011104848827844682,,
mech_pair_test,random_086,natural_effect,64,0.0677506775067751,,
mech_pair_test,random_087,predicted_counterfactual_effect,64,-0.09770055787633725,,
mech_pair_test,random_087,natural_effect,64,-0.015582655826558156,,
mech_pair_test,random_088,predicted_counterfactual_effect,64,-0.16894410218729394,,
mech_pair_test,random_088,natural_effect,64,-0.026422764227642226,,
mech_pair_test,random_089,predicted_counterfactual_effect,64,-0.08714920492472822,,
mech_pair_test,random_089,natural_effect,64,-0.003387533875338855,,
mech_pair_test,random_090,predicted_counterfactual_effect,64,-0.04639591231263207,,
mech_pair_test,random_090,natural_effect,64,0.02371273712737132,,
mech_pair_test,random_091,predicted_counterfactual_effect,64,0.06454259807026097,,
mech_pair_test,random_091,natural_effect,64,0.04200542005420049,,
mech_pair_test,random_092,predicted_counterfactual_effect,64,-0.02854143799226283,,
mech_pair_test,random_092,natural_effect,64,0.01490514905149054,,
mech_pair_test,random_093,predicted_counterfactual_effect,64,-0.08862152198062767,,
mech_pair_test,random_093,natural_effect,64,0.011517615176151796,,
mech_pair_test,random_094,predicted_counterfactual_effect,64,0.08943864538223989,,
mech_pair_test,random_094,natural_effect,64,0.0724932249322493,,
mech_pair_test,random_095,predicted_counterfactual_effect,64,0.09458261655510514,,
mech_pair_test,random_095,natural_effect,64,0.020325203252032575,,
mech_pair_test,random_096,predicted_counterfactual_effect,64,0.06182228346614238,,
mech_pair_test,random_096,natural_effect,64,0.04268292682926833,,
