pair_id,contrast_id,target_variable,counterfactual_subtype,scientific_role,base_condition_id,source_condition_id,task_family,response_mapping,pair_split,base_variable,source_variable,variable_delta,source_base_semantically_matched,behavioral_validation_row,background,pattern,phase,predicted_effect,natural_effect
test:cf:outcome_history:fresh_contexts:bandit:bg0:pattern0:outcome_history:continue_x,fresh_contexts:bandit:bg0:pattern0:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:bandit:bg0:pattern0:outcome_history:member-1-m0,test:fresh_contexts:bandit:bg0:pattern0:outcome_history:member1-m0,bandit,continue_x,mech_pair_test,-2.19,-1.21,0.98,True,False,0,0,test,0.1682050980909943,0.625
test:cf:outcome_history:fresh_contexts:bandit:bg0:pattern0:outcome_history:continue_y,fresh_contexts:bandit:bg0:pattern0:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:bandit:bg0:pattern0:outcome_history:member-1-m1,test:fresh_contexts:bandit:bg0:pattern0:outcome_history:member1-m1,bandit,continue_y,mech_pair_test,-2.19,-1.21,0.98,True,False,0,0,test,0.1682050980909943,0.875
test:cf:outcome_history:fresh_contexts:bandit:bg0:pattern1:outcome_history:continue_x,fresh_contexts:bandit:bg0:pattern1:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:bandit:bg0:pattern1:outcome_history:member-1-m0,test:fresh_contexts:bandit:bg0:pattern1:outcome_history:member1-m0,bandit,continue_x,mech_pair_test,2.7731,0.6269,-2.1462,True,False,0,1,test,-0.3683691648192777,-1.125
test:cf:outcome_history:fresh_contexts:bandit:bg0:pattern1:outcome_history:continue_y,fresh_contexts:bandit:bg0:pattern1:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:bandit:bg0:pattern1:outcome_history:member-1-m1,test:fresh_contexts:bandit:bg0:pattern1:outcome_history:member1-m1,bandit,continue_y,mech_pair_test,2.7731,0.6269,-2.1462,True,False,0,1,test,-0.3683691648192776,-1.25
test:cf:outcome_history:fresh_contexts:bandit:bg1:pattern0:outcome_history:continue_x,fresh_contexts:bandit:bg1:pattern0:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:bandit:bg1:pattern0:outcome_history:member-1-m0,test:fresh_contexts:bandit:bg1:pattern0:outcome_history:member1-m0,bandit,continue_x,mech_pair_test,-2.19,-1.21,0.98,True,False,1,0,test,0.1682050980909943,0.0
test:cf:outcome_history:fresh_contexts:bandit:bg1:pattern0:outcome_history:continue_y,fresh_contexts:bandit:bg1:pattern0:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:bandit:bg1:pattern0:outcome_history:member-1-m1,test:fresh_contexts:bandit:bg1:pattern0:outcome_history:member1-m1,bandit,continue_y,mech_pair_test,-2.19,-1.21,0.98,True,False,1,0,test,0.1682050980909943,1.0
test:cf:outcome_history:fresh_contexts:bandit:bg1:pattern1:outcome_history:continue_x,fresh_contexts:bandit:bg1:pattern1:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:bandit:bg1:pattern1:outcome_history:member-1-m0,test:fresh_contexts:bandit:bg1:pattern1:outcome_history:member1-m0,bandit,continue_x,mech_pair_test,2.7731,0.6269,-2.1462,True,False,1,1,test,-0.3683691648192777,0.75
test:cf:outcome_history:fresh_contexts:bandit:bg1:pattern1:outcome_history:continue_y,fresh_contexts:bandit:bg1:pattern1:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:bandit:bg1:pattern1:outcome_history:member-1-m1,test:fresh_contexts:bandit:bg1:pattern1:outcome_history:member1-m1,bandit,continue_y,mech_pair_test,2.7731,0.6269,-2.1462,True,False,1,1,test,-0.3683691648192777,-0.875
test:cf:outcome_history:fresh_contexts:bandit:bg2:pattern0:outcome_history:continue_x,fresh_contexts:bandit:bg2:pattern0:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:bandit:bg2:pattern0:outcome_history:member-1-m0,test:fresh_contexts:bandit:bg2:pattern0:outcome_history:member1-m0,bandit,continue_x,mech_pair_test,-2.19,-1.21,0.98,True,False,2,0,test,0.1682050980909935,0.5
test:cf:outcome_history:fresh_contexts:bandit:bg2:pattern0:outcome_history:continue_y,fresh_contexts:bandit:bg2:pattern0:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:bandit:bg2:pattern0:outcome_history:member-1-m1,test:fresh_contexts:bandit:bg2:pattern0:outcome_history:member1-m1,bandit,continue_y,mech_pair_test,-2.19,-1.21,0.98,True,False,2,0,test,0.1682050980909943,0.75
test:cf:outcome_history:fresh_contexts:bandit:bg2:pattern1:outcome_history:continue_x,fresh_contexts:bandit:bg2:pattern1:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:bandit:bg2:pattern1:outcome_history:member-1-m0,test:fresh_contexts:bandit:bg2:pattern1:outcome_history:member1-m0,bandit,continue_x,mech_pair_test,2.7731,0.6269,-2.1462,True,False,2,1,test,-0.3683691648192777,0.375
test:cf:outcome_history:fresh_contexts:bandit:bg2:pattern1:outcome_history:continue_y,fresh_contexts:bandit:bg2:pattern1:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:bandit:bg2:pattern1:outcome_history:member-1-m1,test:fresh_contexts:bandit:bg2:pattern1:outcome_history:member1-m1,bandit,continue_y,mech_pair_test,2.7731,0.6269,-2.1462,True,False,2,1,test,-0.3683691648192777,-1.0
test:cf:outcome_history:fresh_contexts:bandit:bg3:pattern0:outcome_history:continue_x,fresh_contexts:bandit:bg3:pattern0:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:bandit:bg3:pattern0:outcome_history:member-1-m0,test:fresh_contexts:bandit:bg3:pattern0:outcome_history:member1-m0,bandit,continue_x,mech_pair_test,-2.19,-1.21,0.98,True,False,3,0,test,0.1682050980909943,1.0
