pair_id,task_family,pair_split,background,pattern,wording,natural_effect,ablated_effect
cf:outcome_history:fresh_contexts:bandit:bg0:pattern0:outcome_history:continue_x,bandit,mech_pair_test,0,0,original,1.0,0.25
cf:outcome_history:fresh_contexts:bandit:bg0:pattern0:outcome_history:continue_y,bandit,mech_pair_test,0,0,original,1.0,0.25
cf:outcome_history:fresh_contexts:bandit:bg0:pattern1:outcome_history:continue_x,bandit,mech_pair_test,0,1,original,-1.25,-0.375
cf:outcome_history:fresh_contexts:bandit:bg0:pattern1:outcome_history:continue_y,bandit,mech_pair_test,0,1,original,-1.5,-0.5
cf:outcome_history:fresh_contexts:bandit:bg1:pattern0:outcome_history:continue_x,bandit,mech_pair_test,1,0,original,0.625,0.125
cf:outcome_history:fresh_contexts:bandit:bg1:pattern0:outcome_history:continue_y,bandit,mech_pair_test,1,0,original,0.75,0.0
cf:outcome_history:fresh_contexts:bandit:bg1:pattern1:outcome_history:continue_x,bandit,mech_pair_test,1,1,original,-0.125,-0.125
cf:outcome_history:fresh_contexts:bandit:bg1:pattern1:outcome_history:continue_y,bandit,mech_pair_test,1,1,original,-0.125,0.125
cf:outcome_history:fresh_contexts:bandit:bg2:pattern0:outcome_history:continue_x,bandit,mech_pair_test,2,0,original,0.875,0.0
cf:outcome_history:fresh_contexts:bandit:bg2:pattern0:outcome_history:continue_y,bandit,mech_pair_test,2,0,original,0.875,0.125
cf:outcome_history:fresh_contexts:bandit:bg2:pattern1:outcome_history:continue_x,bandit,mech_pair_test,2,1,original,-0.375,0.0
cf:outcome_history:fresh_contexts:bandit:bg2:pattern1:outcome_history:continue_y,bandit,mech_pair_test,2,1,original,-0.375,0.0
cf:outcome_history:fresh_contexts:bandit:bg3:pattern0:outcome_history:continue_x,bandit,mech_pair_test,3,0,original,0.625,0.0
cf:outcome_history:fresh_contexts:bandit:bg3:pattern0:outcome_history:continue_y,bandit,mech_pair_test,3,0,original,0.875,0.125
cf:outcome_history:fresh_contexts:bandit:bg3:pattern1:outcome_history:continue_x,bandit,mech_pair_test,3,1,original,-0.375,-0.125
cf:outcome_history:fresh_contexts:bandit:bg3:pattern1:outcome_history:continue_y,bandit,mech_pair_test,3,1,original,-0.375,0.125
cf:outcome_history:fresh_contexts:debugging:bg0:pattern0:outcome_history:continue_x,debugging,mech_pair_test,0,0,original,0.75,-0.125
cf:outcome_history:fresh_contexts:debugging:bg0:pattern0:outcome_history:continue_y,debugging,mech_pair_test,0,0,original,0.625,0.125
