pair_id,contrast_id,target_variable,counterfactual_subtype,scientific_role,base_condition_id,source_condition_id,task_family,response_mapping,pair_split,base_variable,source_variable,variable_delta,source_base_semantically_matched,behavioral_validation_row,background,pattern,natural_effect,original_prediction,global_prediction,task_prediction,wording
cf:outcome_history:fresh_contexts:bandit:bg0:pattern0:outcome_history:continue_x,fresh_contexts:bandit:bg0:pattern0:outcome_history,outcome_history,history_isolated,primary,fresh_contexts:bandit:bg0:pattern0:outcome_history:member-1-m0,fresh_contexts:bandit:bg0:pattern0:outcome_history:member1-m0,bandit,continue_x,mech_pair_test,-2.19,-1.21,0.98,True,False,0,0,1.0,0.1825389476737433,0.2297043256595818,0.2591554085966193,original
cf:outcome_history:fresh_contexts:bandit:bg0:pattern0:outcome_history:continue_y,fresh_contexts:bandit:bg0:pattern0:outcome_history,outcome_history,history_isolated,primary,fresh_contexts:bandit:bg0:pattern0:outcome_history:member-1-m1,fresh_contexts:bandit:bg0:pattern0:outcome_history:member1-m1,bandit,continue_y,mech_pair_test,-2.19,-1.21,0.98,True,False,0,0,1.0,0.1825389476737433,0.2297043256595818,0.2591554085966193,original
cf:outcome_history:fresh_contexts:bandit:bg0:pattern1:outcome_history:continue_x,fresh_contexts:bandit:bg0:pattern1:outcome_history,outcome_history,history_isolated,primary,fresh_contexts:bandit:bg0:pattern1:outcome_history:member-1-m0,fresh_contexts:bandit:bg0:pattern1:outcome_history:member1-m0,bandit,continue_x,mech_pair_test,2.7731,0.6269,-2.1462,True,False,0,1,-1.25,-0.3997602954054979,-0.5030524731944842,-0.5675503448265963,original
cf:outcome_history:fresh_contexts:bandit:bg0:pattern1:outcome_history:continue_y,fresh_contexts:bandit:bg0:pattern1:outcome_history,outcome_history,history_isolated,primary,fresh_contexts:bandit:bg0:pattern1:outcome_history:member-1-m1,fresh_contexts:bandit:bg0:pattern1:outcome_history:member1-m1,bandit,continue_y,mech_pair_test,2.7731,0.6269,-2.1462,True,False,0,1,-1.5,-0.3997602954054975,-0.5030524731944837,-0.5675503448265956,original
cf:outcome_history:fresh_contexts:bandit:bg1:pattern0:outcome_history:continue_x,fresh_contexts:bandit:bg1:pattern0:outcome_history,outcome_history,history_isolated,primary,fresh_contexts:bandit:bg1:pattern0:outcome_history:member-1-m0,fresh_contexts:bandit:bg1:pattern0:outcome_history:member1-m0,bandit,continue_x,mech_pair_test,-2.19,-1.21,0.98,True,False,1,0,0.625,0.1825389476737433,0.2297043256595818,0.2591554085966193,original
cf:outcome_history:fresh_contexts:bandit:bg1:pattern0:outcome_history:continue_y,fresh_contexts:bandit:bg1:pattern0:outcome_history,outcome_history,history_isolated,primary,fresh_contexts:bandit:bg1:pattern0:outcome_history:member-1-m1,fresh_contexts:bandit:bg1:pattern0:outcome_history:member1-m1,bandit,continue_y,mech_pair_test,-2.19,-1.21,0.98,True,False,1,0,0.75,0.1825389476737433,0.2297043256595818,0.2591554085966193,original
cf:outcome_history:fresh_contexts:bandit:bg1:pattern1:outcome_history:continue_x,fresh_contexts:bandit:bg1:pattern1:outcome_history,outcome_history,history_isolated,primary,fresh_contexts:bandit:bg1:pattern1:outcome_history:member-1-m0,fresh_contexts:bandit:bg1:pattern1:outcome_history:member1-m0,bandit,continue_x,mech_pair_test,2.7731,0.6269,-2.1462,True,False,1,1,-0.125,-0.3997602954054979,-0.5030524731944842,-0.5675503448265963,original
cf:outcome_history:fresh_contexts:bandit:bg1:pattern1:outcome_history:continue_y,fresh_contexts:bandit:bg1:pattern1:outcome_history,outcome_history,history_isolated,primary,fresh_contexts:bandit:bg1:pattern1:outcome_history:member-1-m1,fresh_contexts:bandit:bg1:pattern1:outcome_history:member1-m1,bandit,continue_y,mech_pair_test,2.7731,0.6269,-2.1462,True,False,1,1,-0.125,-0.3997602954054978,-0.5030524731944841,-0.5675503448265962,original
cf:outcome_history:fresh_contexts:bandit:bg2:pattern0:outcome_history:continue_x,fresh_contexts:bandit:bg2:pattern0:outcome_history,outcome_history,history_isolated,primary,fresh_contexts:bandit:bg2:pattern0:outcome_history:member-1-m0,fresh_contexts:bandit:bg2:pattern0:outcome_history:member1-m0,bandit,continue_x,mech_pair_test,-2.19,-1.21,0.98,True,False,2,0,0.875,0.1825389476737434,0.2297043256595819,0.2591554085966194,original
cf:outcome_history:fresh_contexts:bandit:bg2:pattern0:outcome_history:continue_y,fresh_contexts:bandit:bg2:pattern0:outcome_history,outcome_history,history_isolated,primary,fresh_contexts:bandit:bg2:pattern0:outcome_history:member-1-m1,fresh_contexts:bandit:bg2:pattern0:outcome_history:member1-m1,bandit,continue_y,mech_pair_test,-2.19,-1.21,0.98,True,False,2,0,0.875,0.1825389476737434,0.2297043256595819,0.2591554085966194,original
