split,wording,method,n,natural_recovery
mech_pair_test,original,direct_DAS_75001,64,0.8249027237354085
mech_pair_test,original,frozen,64,0.8341439688715954
mech_pair_test,original,output_rank2,64,0.7023346303501945
mech_pair_test,original,pca_rank2,64,0.16634241245136183
mech_pair_test,original,ridge_persistence_rank2,64,0.1556420233463035
mech_pair_test,rephrased,direct_DAS_75001,64,0.777434312210201
mech_pair_test,rephrased,frozen,64,0.71973209685729
mech_pair_test,rephrased,output_rank2,64,0.5548686244204019
mech_pair_test,rephrased,pca_rank2,64,0.14064914992272026
mech_pair_test,rephrased,ridge_persistence_rank2,64,0.1581658938691396
mech_task_holdout,original,direct_DAS_75001,48,0.7677419354838709
mech_task_holdout,original,frozen,48,0.8580645161290322
mech_task_holdout,original,output_rank2,48,0.8064516129032258
mech_task_holdout,original,pca_rank2,48,0.1548387096774193
mech_task_holdout,original,ridge_persistence_rank2,48,0.1225806451612903
mech_task_holdout,rephrased,direct_DAS_75001,48,0.863481228668942
mech_task_holdout,rephrased,frozen,48,0.7935153583617748
mech_task_holdout,rephrased,output_rank2,48,0.6177474402730375
mech_task_holdout,rephrased,pca_rank2,48,0.21160409556313997
mech_task_holdout,rephrased,ridge_persistence_rank2,48,0.2167235494880546
