theory,method,split,n,global_cfr,correlation,slope,intercept,rmse,sign_accuracy,mean_cfr,median_cfr,fraction_behavioral_effect_recovered,examples,thresholded_cfr_threshold,thresholded_cfr_retained,thresholded_cfr_fraction_retained,thresholded_cfr_median,thresholded_cfr_q25,thresholded_cfr_q75
dual_history,frozen,mech_pair_test,128,0.26840568616493055,0.9152053740908125,1.362596312653732,0.23783256181945328,0.3084024508914409,0.9921875,-0.8730965187568405,0.5568178485847313,1.5472010686005033,128,0.1,128,1.0,0.5568178485847313,-2.035389505809858,0.9455741793410775
dual_history,frozen,mech_task_holdout,96,0.02581586625327359,0.8684535988600126,1.1346349162783935,0.16839494758845647,0.20831607380649075,0.7604166666666666,-7.364945228977178,3.112786748971086e-06,1.148512786027237,96,0.1,64,0.6666666666666666,0.599338579979279,-0.6554487970268806,0.9210295593351393
dual_history,random_000,mech_pair_test,128,0.01945403882205743,0.1954108199513139,0.037752975087445795,0.01226451831683068,0.35703980584871503,0.1953125,0.043991390493929035,1.1945519901024326e-07,0.0,128,0.1,128,1.0,1.1945519901024326e-07,5.350369569612212e-08,3.1753003781886946e-07
dual_history,random_000,mech_task_holdout,96,-0.15100630734134945,-0.06543103233619954,-0.022674731011371584,-0.0014136537814066856,0.2264337230873553,0.125,-0.7775685494975999,3.4448089980543273e-07,0.0,96,0.1,64,0.6666666666666666,1.0601738398285931e-07,8.27098856071018e-08,3.912524710047993e-07
dual_history,random_001,mech_pair_test,128,-0.03877544023503088,0.06587608275722502,0.013790448521045471,0.014321550677807108,0.3674882830121655,0.1953125,0.00659134302368786,9.888266372382049e-08,0.0,128,0.1,128,1.0,9.888266372382049e-08,5.284894419310682e-08,3.1753003781886946e-07
dual_history,random_001,mech_task_holdout,96,-0.09030259978948152,0.04207830673628975,0.014571854409577185,0.0035126474366425353,0.22038182718704916,0.14583333333333334,-1.4303656332452779,3.4448089980543273e-07,0.0,96,0.1,64,0.6666666666666666,1.0601738398285931e-07,8.533585188486015e-08,4.878193322621627e-07
dual_history,random_002,mech_pair_test,128,0.032807332684139046,0.19210719343674418,0.039396897345886965,0.004645877793840734,0.3546003482062778,0.2109375,0.019576445591895263,1.4002773429666604e-07,0.0,128,0.1,128,1.0,1.4002773429666604e-07,5.350369569612212e-08,3.505610851606278e-07
dual_history,random_002,mech_task_holdout,96,-0.07927538298793047,0.03704967230283519,0.01262127128584006,-0.0005152114683290909,0.2192645345393062,0.13541666666666666,-1.5176978284208973,3.4448089980543273e-07,0.0,96,0.1,64,0.6666666666666666,2.2524914189414602e-07,8.621117397744626e-08,4.878193322621627e-07
dual_history,random_003,mech_pair_test,128,0.05048639627301987,0.19907396980633488,0.042996571261089876,-0.0037186932808350105,0.3513445779076014,0.2421875,0.006395537314704495,1.7597946788683316e-07,0.0,128,0.1,128,1.0,1.7597946788683316e-07,5.350369569612212e-08,4.4965422718590276e-07
dual_history,random_003,mech_task_holdout,96,-0.02677756010164467,0.12506841333622837,0.045392550005209864,-0.001076256121335003,0.21386535650240804,0.21875,-1.5760311307992556,3.5906351725234487e-07,0.0,96,0.1,64,0.6666666666666666,3.4448089980543273e-07,8.621117397744626e-08,5.084697708435115e-07
