pair_id,task_family,pair_split,target_variable,natural_source_logit,natural_base_logit,natural_effect
cf:contextual_outcome_history:fresh_contexts:bandit:bg0:pattern0:contextual_history:continue_x,bandit,mech_pair_test,contextual_outcome_history,0.375,0.0,0.375
cf:contextual_outcome_history:fresh_contexts:bandit:bg0:pattern0:contextual_history:continue_y,bandit,mech_pair_test,contextual_outcome_history,1.25,0.75,0.5
cf:contextual_outcome_history:fresh_contexts:bandit:bg0:pattern1:contextual_history:continue_x,bandit,mech_pair_test,contextual_outcome_history,0.375,0.125,0.25
cf:contextual_outcome_history:fresh_contexts:bandit:bg0:pattern1:contextual_history:continue_y,bandit,mech_pair_test,contextual_outcome_history,1.125,1.0,0.125
cf:contextual_outcome_history:fresh_contexts:bandit:bg0:pattern2:contextual_history:continue_x,bandit,mech_pair_test,contextual_outcome_history,0.25,-0.125,0.375
cf:contextual_outcome_history:fresh_contexts:bandit:bg0:pattern2:contextual_history:continue_y,bandit,mech_pair_test,contextual_outcome_history,1.0,0.75,0.25
cf:contextual_outcome_history:fresh_contexts:bandit:bg0:pattern3:contextual_history:continue_x,bandit,mech_pair_test,contextual_outcome_history,0.375,0.125,0.25
cf:contextual_outcome_history:fresh_contexts:bandit:bg0:pattern3:contextual_history:continue_y,bandit,mech_pair_test,contextual_outcome_history,1.125,1.0,0.125
cf:contextual_outcome_history:fresh_contexts:bandit:bg1:pattern0:contextual_history:continue_x,bandit,mech_pair_test,contextual_outcome_history,-0.125,-0.5,0.375
cf:contextual_outcome_history:fresh_contexts:bandit:bg1:pattern0:contextual_history:continue_y,bandit,mech_pair_test,contextual_outcome_history,0.625,0.375,0.25
cf:contextual_outcome_history:fresh_contexts:bandit:bg1:pattern1:contextual_history:continue_x,bandit,mech_pair_test,contextual_outcome_history,-0.125,-0.25,0.125
cf:contextual_outcome_history:fresh_contexts:bandit:bg1:pattern1:contextual_history:continue_y,bandit,mech_pair_test,contextual_outcome_history,0.5,0.5,0.0
cf:contextual_outcome_history:fresh_contexts:bandit:bg1:pattern2:contextual_history:continue_x,bandit,mech_pair_test,contextual_outcome_history,-0.125,-0.625,0.5
cf:contextual_outcome_history:fresh_contexts:bandit:bg1:pattern2:contextual_history:continue_y,bandit,mech_pair_test,contextual_outcome_history,0.625,0.25,0.375
cf:contextual_outcome_history:fresh_contexts:bandit:bg1:pattern3:contextual_history:continue_x,bandit,mech_pair_test,contextual_outcome_history,0.0,-0.25,0.25
cf:contextual_outcome_history:fresh_contexts:bandit:bg1:pattern3:contextual_history:continue_y,bandit,mech_pair_test,contextual_outcome_history,0.75,0.5,0.25
cf:contextual_outcome_history:fresh_contexts:bandit:bg2:pattern0:contextual_history:continue_x,bandit,mech_pair_test,contextual_outcome_history,0.25,-0.125,0.375
cf:contextual_outcome_history:fresh_contexts:bandit:bg2:pattern0:contextual_history:continue_y,bandit,mech_pair_test,contextual_outcome_history,1.25,0.75,0.5
cf:contextual_outcome_history:fresh_contexts:bandit:bg2:pattern1:contextual_history:continue_x,bandit,mech_pair_test,contextual_outcome_history,0.375,0.125,0.25
cf:contextual_outcome_history:fresh_contexts:bandit:bg2:pattern1:contextual_history:continue_y,bandit,mech_pair_test,contextual_outcome_history,1.25,1.0,0.25
cf:contextual_outcome_history:fresh_contexts:bandit:bg2:pattern2:contextual_history:continue_x,bandit,mech_pair_test,contextual_outcome_history,0.375,-0.125,0.5
cf:contextual_outcome_history:fresh_contexts:bandit:bg2:pattern2:contextual_history:continue_y,bandit,mech_pair_test,contextual_outcome_history,1.0,0.5,0.5
cf:contextual_outcome_history:fresh_contexts:bandit:bg2:pattern3:contextual_history:continue_x,bandit,mech_pair_test,contextual_outcome_history,0.5,0.25,0.25
cf:contextual_outcome_history:fresh_contexts:bandit:bg2:pattern3:contextual_history:continue_y,bandit,mech_pair_test,contextual_outcome_history,1.375,1.125,0.25
cf:contextual_outcome_history:fresh_contexts:bandit:bg3:pattern0:contextual_history:continue_x,bandit,mech_pair_test,contextual_outcome_history,1.625,0.75,0.875
cf:contextual_outcome_history:fresh_contexts:bandit:bg3:pattern0:contextual_history:continue_y,bandit,mech_pair_test,contextual_outcome_history,2.375,1.75,0.625
cf:contextual_outcome_history:fresh_contexts:bandit:bg3:pattern1:contextual_history:continue_x,bandit,mech_pair_test,contextual_outcome_history,1.25,0.875,0.375
cf:contextual_outcome_history:fresh_contexts:bandit:bg3:pattern1:contextual_history:continue_y,bandit,mech_pair_test,contextual_outcome_history,2.125,1.875,0.25
cf:contextual_outcome_history:fresh_contexts:bandit:bg3:pattern2:contextual_history:continue_x,bandit,mech_pair_test,contextual_outcome_history,1.375,0.625,0.75
cf:contextual_outcome_history:fresh_contexts:bandit:bg3:pattern2:contextual_history:continue_y,bandit,mech_pair_test,contextual_outcome_history,2.125,1.375,0.75
cf:contextual_outcome_history:fresh_contexts:bandit:bg3:pattern3:contextual_history:continue_x,bandit,mech_pair_test,contextual_outcome_history,1.625,0.875,0.75
cf:contextual_outcome_history:fresh_contexts:bandit:bg3:pattern3:contextual_history:continue_y,bandit,mech_pair_test,contextual_outcome_history,2.375,1.75,0.625
cf:contextual_outcome_history:fresh_contexts:debugging:bg0:pattern0:contextual_history:continue_x,debugging,mech_pair_test,contextual_outcome_history,0.375,-0.375,0.75
cf:contextual_outcome_history:fresh_contexts:debugging:bg0:pattern0:contextual_history:continue_y,debugging,mech_pair_test,contextual_outcome_history,0.875,0.375,0.5
cf:contextual_outcome_history:fresh_contexts:debugging:bg0:pattern1:contextual_history:continue_x,debugging,mech_pair_test,contextual_outcome_history,0.375,-0.125,0.5
cf:contextual_outcome_history:fresh_contexts:debugging:bg0:pattern1:contextual_history:continue_y,debugging,mech_pair_test,contextual_outcome_history,0.75,0.5,0.25
cf:contextual_outcome_history:fresh_contexts:debugging:bg0:pattern2:contextual_history:continue_x,debugging,mech_pair_test,contextual_outcome_history,0.25,-0.375,0.625
