theory,split,endpoint,total_pairs,retained_pairs,frozen_recovery,random_max,p_plus_one
dual_history,mech_pair_test,cognitive,128,127,0.26633582638425113,0.04275750592872907,0.047619047619047616
dual_history,mech_pair_test,natural,128,127,0.8946166394779772,0.06199021207177813,0.047619047619047616
dual_history,mech_task_holdout,cognitive,96,79,0.09702238868429469,0.005670592183887213,0.047619047619047616
dual_history,mech_task_holdout,natural,96,79,0.8865248226950355,0.07978723404255317,0.047619047619047616
latent_context,mech_pair_test,cognitive,96,96,-3.7505021024752647,0.04337597347033573,1.0
latent_context,mech_pair_test,natural,96,96,0.40272217774219377,0.09447558046437154,0.047619047619047616
latent_context,mech_task_holdout,cognitive,96,55,0.054241621805072526,-0.015162846132818819,0.047619047619047616
latent_context,mech_task_holdout,natural,96,55,0.8366935483870968,0.048387096774193505,0.047619047619047616
outcome_history,mech_pair_test,cognitive,128,124,0.011984242540291512,0.007939110260065108,0.047619047619047616
outcome_history,mech_pair_test,natural,128,124,0.8973520758417783,0.06015037593984962,0.047619047619047616
outcome_history,mech_task_holdout,cognitive,96,77,0.05064381528342754,-0.02747606673839864,0.047619047619047616
outcome_history,mech_task_holdout,natural,96,77,0.8763636363636363,0.050909090909090904,0.047619047619047616
