pair_id,contrast_id,target_variable,counterfactual_subtype,scientific_role,base_condition_id,source_condition_id,task_family,response_mapping,pair_split,base_variable,source_variable,variable_delta,source_base_semantically_matched,behavioral_validation_row,background,pattern
cf:contextual_outcome_history:fresh_contexts:bandit:bg0:pattern0:contextual_history:continue_x,fresh_contexts:bandit:bg0:pattern0:contextual_history,contextual_outcome_history,context_isolated,primary,fresh_contexts:bandit:bg0:pattern0:contextual_history:member-1-m0,fresh_contexts:bandit:bg0:pattern0:contextual_history:member1-m0,bandit,continue_x,mech_pair_test,-2.19,-1.2590000000000001,0.9309999999999998,True,False,0,0
cf:contextual_outcome_history:fresh_contexts:bandit:bg0:pattern0:contextual_history:continue_y,fresh_contexts:bandit:bg0:pattern0:contextual_history,contextual_outcome_history,context_isolated,primary,fresh_contexts:bandit:bg0:pattern0:contextual_history:member-1-m1,fresh_contexts:bandit:bg0:pattern0:contextual_history:member1-m1,bandit,continue_y,mech_pair_test,-2.19,-1.2590000000000001,0.9309999999999998,True,False,0,0
cf:contextual_outcome_history:fresh_contexts:bandit:bg0:pattern1:contextual_history:continue_x,fresh_contexts:bandit:bg0:pattern1:contextual_history,contextual_outcome_history,context_isolated,primary,fresh_contexts:bandit:bg0:pattern1:contextual_history:member-1-m0,fresh_contexts:bandit:bg0:pattern1:contextual_history:member1-m0,bandit,continue_x,mech_pair_test,2.19,-0.07099999999999979,-2.2609999999999997,True,False,0,1
cf:contextual_outcome_history:fresh_contexts:bandit:bg0:pattern1:contextual_history:continue_y,fresh_contexts:bandit:bg0:pattern1:contextual_history,contextual_outcome_history,context_isolated,primary,fresh_contexts:bandit:bg0:pattern1:contextual_history:member-1-m1,fresh_contexts:bandit:bg0:pattern1:contextual_history:member1-m1,bandit,continue_y,mech_pair_test,2.19,-0.07099999999999979,-2.2609999999999997,True,False,0,1
cf:contextual_outcome_history:fresh_contexts:bandit:bg0:pattern2:contextual_history:continue_x,fresh_contexts:bandit:bg0:pattern2:contextual_history,contextual_outcome_history,context_isolated,primary,fresh_contexts:bandit:bg0:pattern2:contextual_history:member-1-m0,fresh_contexts:bandit:bg0:pattern2:contextual_history:member1-m0,bandit,continue_x,mech_pair_test,-2.7731,-1.66521,1.1078899999999998,True,False,0,2
cf:contextual_outcome_history:fresh_contexts:bandit:bg0:pattern2:contextual_history:continue_y,fresh_contexts:bandit:bg0:pattern2:contextual_history,contextual_outcome_history,context_isolated,primary,fresh_contexts:bandit:bg0:pattern2:contextual_history:member-1-m1,fresh_contexts:bandit:bg0:pattern2:contextual_history:member1-m1,bandit,continue_y,mech_pair_test,-2.7731,-1.66521,1.1078899999999998,True,False,0,2
cf:contextual_outcome_history:fresh_contexts:bandit:bg0:pattern3:contextual_history:continue_x,fresh_contexts:bandit:bg0:pattern3:contextual_history,contextual_outcome_history,context_isolated,primary,fresh_contexts:bandit:bg0:pattern3:contextual_history:member-1-m0,fresh_contexts:bandit:bg0:pattern3:contextual_history:member1-m0,bandit,continue_x,mech_pair_test,2.7731,0.73421,-2.03889,True,False,0,3
cf:contextual_outcome_history:fresh_contexts:bandit:bg0:pattern3:contextual_history:continue_y,fresh_contexts:bandit:bg0:pattern3:contextual_history,contextual_outcome_history,context_isolated,primary,fresh_contexts:bandit:bg0:pattern3:contextual_history:member-1-m1,fresh_contexts:bandit:bg0:pattern3:contextual_history:member1-m1,bandit,continue_y,mech_pair_test,2.7731,0.73421,-2.03889,True,False,0,3
cf:contextual_outcome_history:fresh_contexts:bandit:bg1:pattern0:contextual_history:continue_x,fresh_contexts:bandit:bg1:pattern0:contextual_history,contextual_outcome_history,context_isolated,primary,fresh_contexts:bandit:bg1:pattern0:contextual_history:member-1-m0,fresh_contexts:bandit:bg1:pattern0:contextual_history:member1-m0,bandit,continue_x,mech_pair_test,-2.19,-1.2590000000000001,0.9309999999999998,True,False,1,0
cf:contextual_outcome_history:fresh_contexts:bandit:bg1:pattern0:contextual_history:continue_y,fresh_contexts:bandit:bg1:pattern0:contextual_history,contextual_outcome_history,context_isolated,primary,fresh_contexts:bandit:bg1:pattern0:contextual_history:member-1-m1,fresh_contexts:bandit:bg1:pattern0:contextual_history:member1-m1,bandit,continue_y,mech_pair_test,-2.19,-1.2590000000000001,0.9309999999999998,True,False,1,0
