intervention_type,pair_index,base_persistence_logit,intervened_persistence_logit,predicted_counterfactual_effect,intervention_norm
cognitive_DAS_75001,0,-1.75,-0.375,1.3094168410480993,3.4556081295013428
cognitive_DAS_75001,1,-1.0,0.125,1.3094168410480995,3.4365265369415283
cognitive_DAS_75001,3,-2.125,-2.625,0.013290635703760323,0.7283676862716675
cognitive_DAS_75001,4,-2.25,-2.25,0.013290635703760323,0.3017769157886505
cognitive_DAS_75001,5,-2.75,-1.5,1.3094168410480993,2.71923565864563
cognitive_DAS_75001,6,-2.375,-1.0,1.3094168410481,2.7886273860931396
cognitive_DAS_75001,9,-0.5,0.5,0.8883198576271205,2.326911211013794
cognitive_DAS_75001,10,-0.625,0.375,0.8883198576271207,2.096147298812866
cognitive_DAS_75001,11,0.25,1.25,0.9804759762237005,2.1743452548980713
cognitive_DAS_75001,12,-0.375,1.0,1.3094168410480997,3.3528223037719727
cognitive_DAS_75001,13,-0.375,0.875,1.3094168410480997,3.3110673427581787
cognitive_DAS_75001,14,-1.125,0.125,0.8883198576271205,2.466676950454712
cognitive_DAS_75001,15,-1.375,-0.375,0.8708011878799057,2.3084983825683594
cognitive_DAS_75001,16,-1.25,-0.5,0.9804759762236996,1.6716933250427246
cognitive_DAS_75001,17,-1.0,-0.25,0.9804759762236998,1.8820452690124512
cognitive_DAS_75001,19,-1.125,0.25,1.5157280863495735,2.8834023475646973
cognitive_DAS_75001,20,-0.75,0.75,1.515728086349574,2.9939887523651123
cognitive_DAS_75001,21,-1.75,-1.125,0.9804759762237003,1.7011436223983765
cognitive_DAS_75001,24,-1.5,-0.75,0.8708011878799056,2.0002031326293945
cognitive_DAS_75001,25,-0.75,-0.125,0.8708011878799056,2.1080315113067627
cognitive_DAS_75001,26,-2.0,-1.5,0.7135848250407804,1.4927502870559692
cognitive_DAS_75001,27,-2.375,-2.25,0.013290635703760767,0.24311323463916779
cognitive_DAS_75001,28,-1.375,-0.5,0.8883198576271203,2.064131021499634
cognitive_DAS_75001,29,-1.25,-0.375,0.8883198576271201,1.819445013999939
cognitive_DAS_75001,30,-0.625,0.375,0.9804759762236999,2.579906702041626
cognitive_DAS_75001,31,-1.25,-1.0,0.013290635703761655,0.4724036455154419
cognitive_DAS_75001,32,-0.75,-0.125,0.7135848250407786,1.7156355381011963
cognitive_DAS_75001,33,-1.875,-1.25,0.013290635703760323,1.3139909505844116
cognitive_DAS_75001,34,-0.5,0.125,0.8708011878799052,2.0349600315093994
cognitive_DAS_75001,35,-0.25,0.875,1.3094168410480995,2.67653751373291
cognitive_DAS_75001,36,-0.25,1.0,1.3094168410480995,3.087225914001465
cognitive_DAS_75001,37,-1.75,-0.875,0.8883198576271212,1.7465226650238037
cognitive_DAS_75001,38,-1.5,-0.625,0.8708011878799056,2.2046515941619873
cognitive_DAS_75001,39,-1.375,0.25,1.515728086349574,3.466139316558838
cognitive_DAS_75001,40,-1.25,0.25,1.515728086349574,3.2872848510742188
cognitive_DAS_75001,41,-0.875,-0.125,0.7135848250407786,1.8711223602294922
cognitive_DAS_75001,42,-1.125,-0.375,0.7135848250407784,1.6758067607879639
cognitive_DAS_75001,50,-1.75,-0.5,1.3094168410480997,2.8520541191101074
cognitive_DAS_75001,51,-1.75,-0.625,1.3094168410480997,2.8477365970611572
cognitive_DAS_75001,52,-2.0,-1.0,0.8708011878799056,1.9129517078399658
cognitive_DAS_75001,53,-1.25,-0.625,0.8708011878799058,1.8115135431289673
cognitive_DAS_75001,54,-1.5,-1.0,0.7135848250407786,1.7359782457351685
cognitive_DAS_75001,55,-3.375,-2.375,0.8883198576271205,1.5283318758010864
cognitive_DAS_75001,56,-0.875,0.625,1.5157280863495735,3.0499765872955322
