method,max_absolute_delta,median_relative_delta
direct_DAS_75001,0.030574887990951538,0.002662020189218731
mean_difference_rank2,0.024673759937286377,0.00268645929457388
pca_rank2,0.026378870010375977,0.003992444342178577
random_000,0.031403541564941406,0.004224988059050753
random_001,0.024760037660598755,0.004981138063682441
random_002,0.025393128395080566,0.004010536209934844
random_003,0.024945497512817383,0.0037176302350641318
random_004,0.022711992263793945,0.004643385055950406
random_005,0.026845693588256836,0.005322450538368175
random_006,0.025503873825073242,0.0044456818763935835
random_007,0.02391958236694336,0.0036573768958981286
random_008,0.023494243621826172,0.00408753047623467
random_009,0.023409128189086914,0.003135845113313951
random_010,0.026788949966430664,0.005108474169504881
random_011,0.019897937774658203,0.0033392827616802517
random_012,0.026343584060668945,0.003947991792401049
random_013,0.028989344835281372,0.004813114747491768
random_014,0.024970531463623047,0.0031091881796549026
random_015,0.023707985877990723,0.004414429160906168
random_016,0.0240018367767334,0.004125887085776089
random_017,0.02404928207397461,0.003978911699227367
random_018,0.025215059518814087,0.004402944202795946
random_019,0.0301666259765625,0.005041523990631448
ridge_history_rank2,0.021201133728027344,0.0034649905059245655
ridge_persistence_rank2,0.022416114807128906,0.003125927560472235
