pair_index,pair_id,contrast_id,target_variable,counterfactual_subtype,scientific_role,base_condition_id,source_condition_id,task_family,response_mapping,pair_split,base_variable,source_variable,variable_delta,source_base_semantically_matched,behavioral_validation_row,predicted_effect_magnitude,theory_disagreement,selection_score,selected_for_neural,evaluation_set
0,cf:outcome_history:mech-outcome_history-000000:continue_x,mech-outcome_history-000000,outcome_history,history_isolated,primary,mech-outcome_history-000000-minus-m0,mech-outcome_history-000000-plus-m0,bandit,continue_x,mech_pair_test,-2.19,2.19,4.38,True,False,1.3094168410480993,0.00793407339237584,1.3173509144404751,True,original_pairs
1,cf:outcome_history:mech-outcome_history-000000:continue_y,mech-outcome_history-000000,outcome_history,history_isolated,primary,mech-outcome_history-000000-minus-m1,mech-outcome_history-000000-plus-m1,bandit,continue_y,mech_pair_test,-2.19,2.19,4.38,True,False,1.3094168410480995,0.007934073392376062,1.3173509144404756,True,original_pairs
2,cf:outcome_history:mech-outcome_history-000015:continue_x,mech-outcome_history-000015,outcome_history,history_isolated,primary,mech-outcome_history-000015-minus-m0,mech-outcome_history-000015-plus-m0,debugging,continue_x,mech_pair_train,-2.19,2.19,4.38,True,False,0.8899279749312132,0.0016081173040927155,0.8915360922353059,True,original_pairs
3,cf:outcome_history:mech-outcome_history-000030:continue_x,mech-outcome_history-000030,outcome_history,history_isolated,primary,mech-outcome_history-000030-minus-m0,mech-outcome_history-000030-plus-m0,information_sampling,continue_x,mech_task_holdout,-2.19,2.19,4.38,True,False,0.025278424920654796,0.011987789216894473,0.03726621413754927,True,original_pairs
4,cf:outcome_history:mech-outcome_history-000030:continue_y,mech-outcome_history-000030,outcome_history,history_isolated,primary,mech-outcome_history-000030-minus-m1,mech-outcome_history-000030-plus-m1,information_sampling,continue_y,mech_task_holdout,-2.19,2.19,4.38,True,False,0.025278424920654796,0.011987789216894473,0.03726621413754927,True,original_pairs
5,cf:outcome_history:mech-outcome_history-000035:continue_x,mech-outcome_history-000035,outcome_history,history_isolated,primary,mech-outcome_history-000035-minus-m0,mech-outcome_history-000035-plus-m0,bandit,continue_x,mech_pair_validation,-2.19,2.19,4.38,True,False,1.3094168410480993,0.007934073392376284,1.3173509144404756,True,original_pairs
6,cf:outcome_history:mech-outcome_history-000035:continue_y,mech-outcome_history-000035,outcome_history,history_isolated,primary,mech-outcome_history-000035-minus-m1,mech-outcome_history-000035-plus-m1,bandit,continue_y,mech_pair_validation,-2.19,2.19,4.38,True,False,1.3094168410481,0.007934073392376506,1.3173509144404765,True,original_pairs
7,cf:outcome_history:mech-outcome_history-000045:continue_x,mech-outcome_history-000045,outcome_history,history_isolated,primary,mech-outcome_history-000045-minus-m0,mech-outcome_history-000045-plus-m0,solvability,continue_x,mech_pair_train,-2.19,2.19,4.38,True,False,1.515728086349574,0.007497898119257718,1.5232259844688316,True,original_pairs
8,cf:outcome_history:mech-outcome_history-000045:continue_y,mech-outcome_history-000045,outcome_history,history_isolated,primary,mech-outcome_history-000045-minus-m1,mech-outcome_history-000045-plus-m1,solvability,continue_y,mech_pair_train,-2.19,2.19,4.38,True,False,1.5157280863495741,0.007497898119257496,1.5232259844688316,True,original_pairs
9,cf:outcome_history:mech-outcome_history-000050:continue_x,mech-outcome_history-000050,outcome_history,history_isolated,primary,mech-outcome_history-000050-minus-m0,mech-outcome_history-000050-plus-m0,debugging,continue_x,mech_pair_validation,-2.19,2.19,4.38,True,False,0.8899279749312136,0.0016081173040930485,0.8915360922353066,True,original_pairs
10,cf:outcome_history:mech-outcome_history-000050:continue_y,mech-outcome_history-000050,outcome_history,history_isolated,primary,mech-outcome_history-000050-minus-m1,mech-outcome_history-000050-plus-m1,debugging,continue_y,mech_pair_validation,-2.19,2.19,4.38,True,False,0.8899279749312132,0.0016081173040924934,0.8915360922353057,True,original_pairs
11,cf:outcome_history:mech-outcome_history-000060:continue_x,mech-outcome_history-000060,outcome_history,history_isolated,primary,mech-outcome_history-000060-minus-m0,mech-outcome_history-000060-plus-m0,effort,continue_x,mech_task_holdout,-2.19,2.19,4.38,True,False,0.9976307213156863,0.01715474509198578,1.014785466407672,True,original_pairs
12,cf:outcome_history:mech-outcome_history-000070:continue_x,mech-outcome_history-000070,outcome_history,history_isolated,primary,mech-outcome_history-000070-minus-m0,mech-outcome_history-000070-plus-m0,bandit,continue_x,mech_pair_test,-2.19,2.19,4.38,True,False,1.3094168410480997,0.007934073392376506,1.3173509144404763,True,original_pairs
13,cf:outcome_history:mech-outcome_history-000070:continue_y,mech-outcome_history-000070,outcome_history,history_isolated,primary,mech-outcome_history-000070-minus-m1,mech-outcome_history-000070-plus-m1,bandit,continue_y,mech_pair_test,-2.19,2.19,4.38,True,False,1.3094168410480997,0.007934073392376284,1.317350914440476,True,original_pairs
14,cf:outcome_history:mech-outcome_history-000085:continue_x,mech-outcome_history-000085,outcome_history,history_isolated,primary,mech-outcome_history-000085-minus-m0,mech-outcome_history-000085-plus-m0,debugging,continue_x,mech_pair_test,-2.19,2.19,4.38,True,False,0.8899279749312125,0.0016081173040919383,0.8915360922353044,True,original_pairs
