left,right,min_angle,max_angle
cognitive_DAS_75001,cognitive_DAS_75002,23.573673248291016,85.61661529541016
cognitive_DAS_75001,cognitive_DAS_75003,21.00080108642578,27.783729553222656
cognitive_DAS_75001,cognitive_DAS_75004,23.111602783203125,43.82770919799805
cognitive_DAS_75001,cognitive_DAS_75005,22.6927433013916,30.505922317504883
cognitive_DAS_75002,cognitive_DAS_75003,18.863235473632812,85.0169677734375
cognitive_DAS_75002,cognitive_DAS_75004,13.00124454498291,87.95062255859375
cognitive_DAS_75002,cognitive_DAS_75005,21.398563385009766,79.02543640136719
cognitive_DAS_75003,cognitive_DAS_75004,18.994455337524414,42.22300720214844
cognitive_DAS_75003,cognitive_DAS_75005,19.754776000976562,31.60398292541504
cognitive_DAS_75004,cognitive_DAS_75005,22.408615112304688,48.8175163269043
cognitive_DAS_75001,frozen_DAS,25.975637435913086,32.43688201904297
cognitive_DAS_75002,frozen_DAS,20.182289123535156,89.83330535888672
cognitive_DAS_75003,frozen_DAS,20.350095748901367,31.31356430053711
cognitive_DAS_75004,frozen_DAS,21.535091400146484,39.618255615234375
cognitive_DAS_75005,frozen_DAS,22.73484230041504,39.47676467895508
