architecture,variant,task_family,parameter,mu,ontology_effect,random_effect,estimate
dual_history,M3,bandit,intercept,0.418853819920863,0.0,-0.30912062435343673,0.10973319556742628
dual_history,M3,bandit,factor_continuation_value,1.6875223371591193,0.0,1.357053869831439,3.044576206990558
dual_history,M3,bandit,factor_continuation_value__available,0.0,0.0,0.0,0.0
dual_history,M3,bandit,factor_disengagement_value,-1.3961179356741518,0.0,-0.888908601400251,-2.285026537074403
dual_history,M3,bandit,factor_disengagement_value__available,0.0,0.0,0.0,0.0
dual_history,M3,bandit,factor_continuation_cost,-1.2980898776645753,0.0,0.1811020439889266,-1.1169878336756487
dual_history,M3,bandit,factor_continuation_cost__available,0.0,0.0,0.0,0.0
dual_history,M3,bandit,factor_progress_evidence,1.1759195927197372,0.0,0.0044608194872636075,1.1803804122070007
dual_history,M3,bandit,factor_progress_evidence__available,-0.11058213133162538,0.0,0.4798017218106051,0.36921959047897973
dual_history,M3,bandit,factor_success_evidence,2.2025475959681264,0.0,2.49765532878539,4.700202924753516
dual_history,M3,bandit,factor_success_evidence__available,0.0,0.0,0.0,0.0
dual_history,M3,bandit,factor_uncertainty,0.31877342881761633,0.0,0.26094172790739173,0.5797151567250081
dual_history,M3,bandit,factor_uncertainty__available,0.0,0.0,0.0,0.0
dual_history,M3,bandit,factor_prior_investment,-0.3698507613973851,0.0,-0.32188848172530893,-0.6917392431226941
dual_history,M3,bandit,factor_prior_investment__available,0.0,0.0,0.0,0.0
dual_history,M3,bandit,factor_controllability,0.2982206337299244,0.0,0.003771791621442532,0.30199242535136694
dual_history,M3,bandit,factor_controllability__available,-0.8403441467185466,0.0,0.3651408395780186,-0.47520330714052805
dual_history,M3,bandit,factor_environmental_stability,0.09174382949782674,0.0,-0.056777290908616634,0.0349665385892101
dual_history,M3,bandit,factor_environmental_stability__available,0.0,0.0,0.0,0.0
dual_history,M3,bandit,factor_goal_continuity,0.1654678459214812,0.0,0.14967893083535672,0.3151467767568379
dual_history,M3,bandit,factor_goal_continuity__available,0.0,0.0,0.0,0.0
dual_history,M3,bandit,history_action_1,0.5171928587086194,0.0,-0.3344232610583867,0.1827695976502327
dual_history,M3,bandit,history_action_1__available,-0.030201809621011655,0.0,0.1006705455960989,0.07046873597508725
dual_history,M3,bandit,history_action_kernel,-0.36002396946289833,0.0,-0.0950233464400545,-0.45504731590295283
dual_history,M3,bandit,history_action_kernel__available,-0.03020180962085573,0.0,0.10067054559609799,0.07046873597524225
dual_history,M3,bandit,history_outcome_1,-0.31517725321275547,0.0,0.1766008115738836,-0.13857644163887187
dual_history,M3,bandit,history_outcome_1__available,-0.030201809620855773,0.0,0.10067054559610177,0.070468735975246
dual_history,M3,bandit,history_outcome_kernel,0.9461362326103473,0.0,0.4665761466606982,1.4127123792710454
dual_history,M3,bandit,history_outcome_kernel__available,-0.03020180962085575,0.0,0.10067054559610182,0.07046873597524607
dual_history,M3,bandit,response_mapping,0.025714067070993055,0.0,-0.027445573502172443,-0.001731506431179388
dual_history,M3,bandit,response_mapping__available,0.0,0.0,0.0,0.0
dual_history,M3,debugging,intercept,0.418853819920863,0.0,-0.26285948175362495,0.15599433816723807
dual_history,M3,debugging,factor_continuation_value,1.6875223371591193,0.0,-0.017595620765686503,1.6699267163934328
dual_history,M3,debugging,factor_continuation_value__available,0.0,0.0,0.0,0.0
dual_history,M3,debugging,factor_disengagement_value,-1.3961179356741518,0.0,-0.1937317749908587,-1.5898497106650105
dual_history,M3,debugging,factor_disengagement_value__available,0.0,0.0,0.0,0.0
dual_history,M3,debugging,factor_continuation_cost,-1.2980898776645753,0.0,0.22796171294720524,-1.07012816471737
dual_history,M3,debugging,factor_continuation_cost__available,0.0,0.0,0.0,0.0
dual_history,M3,debugging,factor_progress_evidence,1.1759195927197372,0.0,0.20433858566933544,1.3802581783890726
dual_history,M3,debugging,factor_progress_evidence__available,-0.11058213133162538,0.0,-0.16935180392869398,-0.27993393526031934
dual_history,M3,debugging,factor_success_evidence,2.2025475959681264,0.0,-0.3060633945482357,1.8964842014198906
dual_history,M3,debugging,factor_success_evidence__available,0.0,0.0,0.0,0.0
dual_history,M3,debugging,factor_uncertainty,0.31877342881761633,0.0,-0.1911109562006539,0.12766247261696242
dual_history,M3,debugging,factor_uncertainty__available,0.0,0.0,0.0,0.0
dual_history,M3,debugging,factor_prior_investment,-0.3698507613973851,0.0,0.3210346829016249,-0.048816078495760196
dual_history,M3,debugging,factor_prior_investment__available,0.0,0.0,0.0,0.0
dual_history,M3,debugging,factor_controllability,0.2982206337299244,0.0,0.08014512467403673,0.37836575840396114
dual_history,M3,debugging,factor_controllability__available,-0.8403441467185466,0.0,-0.22253135861426918,-1.0628755053328158
