phase,model,task,r2,mse,n
train,immediate_state,bandit,0.7352410900585007,14.800739143986899,654
train,immediate_state,debugging,0.6927839812607024,6.297284917273552,652
train,immediate_state,effort,0.7769748489270233,4.236950973318817,480
train,immediate_state,foraging,0.6434230055239109,7.824462527003824,640
train,immediate_state,information_sampling,0.6860971996499561,2.6591884972863067,480
train,immediate_state,solvability,0.7399369077779292,11.544360640188602,480
train,immediate_state,waiting,0.7225841723861586,5.286398490154579,480
train,immediate_state,task_macro,0.7138630293691689,7.521340741316083,3866
selection,immediate_state,bandit,0.7504796889477611,13.52828635670382,222
selection,immediate_state,debugging,0.5980413924920316,7.161097625277021,210
selection,immediate_state,effort,0.5853209258415291,6.158126182774848,160
selection,immediate_state,foraging,0.6235223352284657,8.326753614784275,212
selection,immediate_state,information_sampling,0.6644215213856534,2.8064427212820733,160
selection,immediate_state,solvability,0.7353952833536498,10.936380618302763,160
selection,immediate_state,waiting,0.7810698732711299,4.296493309363832,160
selection,immediate_state,task_macro,0.67689300293146,7.6019400612126615,1284
test,immediate_state,bandit,0.7134503052545574,17.032986904039472,204
test,immediate_state,debugging,0.6399606880099861,6.473585218054424,218
test,immediate_state,effort,0.7762358350715739,3.98558872907653,160
test,immediate_state,foraging,0.6222079561858186,8.202050211066062,228
test,immediate_state,information_sampling,0.6993991277593447,2.4025752219377337,160
test,immediate_state,solvability,0.7524139604583342,10.047001797558092,160
test,immediate_state,waiting,0.7852145910276538,3.9238333775218037,160
test,immediate_state,task_macro,0.7126974948238954,7.438231637036302,1290
train,outcome_history,bandit,0.7647440899854437,13.151441652996953,654
train,outcome_history,debugging,0.7355115220099046,5.42145982515662,652
train,outcome_history,effort,0.7927653983535117,3.936967839399059,480
train,outcome_history,foraging,0.6904628845979504,6.792254120989301,640
train,outcome_history,information_sampling,0.7132509237967184,2.429159103381457,480
train,outcome_history,solvability,0.7775486135487124,9.874753884379462,480
train,outcome_history,waiting,0.7330307627466229,5.0873296771606284,480
train,outcome_history,task_macro,0.7439020278626949,6.6704808719233535,3866
selection,outcome_history,bandit,0.786575217988299,11.571288743972874,222
selection,outcome_history,debugging,0.6216603702433721,6.740313488981989,210
selection,outcome_history,effort,0.5991137164936127,5.953298520755738,160
selection,outcome_history,foraging,0.6828380858610898,7.014836103572623,212
selection,outcome_history,information_sampling,0.6809155000162532,2.668503582681871,160
selection,outcome_history,solvability,0.757608877657885,10.018270294002054,160
selection,outcome_history,waiting,0.7954163952395219,4.014943499062147,160
selection,outcome_history,task_macro,0.7034468805000049,6.854493461861327,1284
test,outcome_history,bandit,0.7387173670621521,15.531071038260457,204
test,outcome_history,debugging,0.6756681992846775,5.8315563910252095,218
test,outcome_history,effort,0.80686826873495,3.4399773154170297,160
test,outcome_history,foraging,0.6769064163731944,7.014519863959232,228
test,outcome_history,information_sampling,0.7007617921367335,2.391684023770116,160
test,outcome_history,solvability,0.7807194151960928,8.898370981549984,160
test,outcome_history,waiting,0.8048318167707593,3.5654537021357164,160
test,outcome_history,task_macro,0.7406390393655086,6.667519045159677,1290
train,dual_history,bandit,0.7662382639975742,13.067913284511997,654
train,dual_history,debugging,0.7362992457496101,5.405313138387544,652
train,dual_history,effort,0.7972592026555314,3.851596174276337,480
train,dual_history,foraging,0.7004786744938781,6.5724750159626995,640
train,dual_history,information_sampling,0.7168205911112675,2.398919111092752,480
train,dual_history,solvability,0.7837041008685074,9.60150801573794,480
train,dual_history,waiting,0.7481021899101131,4.800130599563463,480
train,dual_history,task_macro,0.7498431812552117,6.528265048504677,3866
selection,dual_history,bandit,0.7865868428500952,11.570658476807154,222
selection,dual_history,debugging,0.6279579654663971,6.6281186177833,210
selection,dual_history,effort,0.6042773474907052,5.876616833101465,160
selection,dual_history,foraging,0.6897578197067991,6.861788727314406,212
selection,dual_history,information_sampling,0.6938787138903756,2.560092228736666,160
selection,dual_history,solvability,0.7620755866361181,9.833656693321473,160
selection,dual_history,waiting,0.7954056930005191,4.015153529992825,160
selection,dual_history,task_macro,0.7085628527201441,6.763726443865326,1284
test,dual_history,bandit,0.735546256804987,15.719567066949443,204
test,dual_history,debugging,0.679357315663988,5.765225275323463,218
test,dual_history,effort,0.8139799325976831,3.313307491652547,160
test,dual_history,foraging,0.6818888927966796,6.906347861742638,228
test,dual_history,information_sampling,0.7169546903017279,2.2622610596496724,160
test,dual_history,solvability,0.7963848792315988,8.262668962099797,160
test,dual_history,waiting,0.7990604560983587,3.670888506801604,160
test,dual_history,task_macro,0.7461674890707176,6.557180889174165,1290
train,latent_context,bandit,0.7696542346378887,12.87695128673831,654
train,latent_context,debugging,0.7435219477547403,5.257262875300629,652
train,latent_context,effort,0.799061190748692,3.817362657704354,480
train,latent_context,foraging,0.7046089132162003,6.481844104235283,640
train,latent_context,information_sampling,0.7148112547814196,2.415940953680817,480
train,latent_context,solvability,0.7758903345841422,9.948365907698367,480
train,latent_context,waiting,0.7338072046920145,5.072533904464037,480
train,latent_context,task_macro,0.748765011487871,6.5528945271174,3866
selection,latent_context,bandit,0.7979191460320846,10.956253012657012,222
selection,latent_context,debugging,0.6278401850646456,6.630216935718364,210
selection,latent_context,effort,0.6131665763451879,5.744608742110724,160
selection,latent_context,foraging,0.6818869291993309,7.035873333434144,212
selection,latent_context,information_sampling,0.6735368989793533,2.7302108210565046,160
selection,latent_context,solvability,0.7632709374150801,9.784251636386731,160
selection,latent_context,waiting,0.7978472303417086,3.967238475962946,160
selection,latent_context,task_macro,0.70792398619677,6.692664708189489,1284
test,latent_context,bandit,0.7438884769276526,15.223691731167955,204
test,latent_context,debugging,0.6703577339571434,5.927039713819329,218
test,latent_context,effort,0.8018875845602387,3.5286910677560988,160
test,latent_context,foraging,0.6624430230607706,7.328527213010883,228
test,latent_context,information_sampling,0.709519643548139,2.321686233538789,160
test,latent_context,solvability,0.7805311249790066,8.906011768377184,160
test,latent_context,waiting,0.8030738997045601,3.597568423951647,160
test,latent_context,task_macro,0.7388144981053586,6.690459450231699,1290
