architecture,variant,task_family,parameter,mu,ontology_effect,random_effect,estimate
latent_context,M3,bandit,intercept,0.40345712910827114,0.0,-0.3102586872064973,0.09319844190177384
latent_context,M3,bandit,factor_continuation_value,1.681146119220954,0.0,1.361412844044838,3.042558963265792
latent_context,M3,bandit,factor_continuation_value__available,0.0,0.0,0.0,0.0
latent_context,M3,bandit,factor_disengagement_value,-1.3975861187181324,0.0,-0.8530613855945843,-2.2506475043127168
latent_context,M3,bandit,factor_disengagement_value__available,0.0,0.0,0.0,0.0
latent_context,M3,bandit,factor_continuation_cost,-1.3021349265195212,0.0,0.1819839885828153,-1.1201509379367058
latent_context,M3,bandit,factor_continuation_cost__available,0.0,0.0,0.0,0.0
latent_context,M3,bandit,factor_progress_evidence,1.1922630501490492,0.0,0.004477242503241688,1.196740292652291
latent_context,M3,bandit,factor_progress_evidence__available,-0.10003642105793892,0.0,0.4815681666008217,0.38153174554288277
latent_context,M3,bandit,factor_success_evidence,2.1951952611589793,0.0,2.4896265628483483,4.684821824007328
latent_context,M3,bandit,factor_success_evidence__available,0.0,0.0,0.0,0.0
latent_context,M3,bandit,factor_uncertainty,0.32127935502510463,0.0,0.22865338038122318,0.5499327354063278
latent_context,M3,bandit,factor_uncertainty__available,0.0,0.0,0.0,0.0
latent_context,M3,bandit,factor_prior_investment,-0.36417524231052106,0.0,-0.2992345930445286,-0.6634098353550497
latent_context,M3,bandit,factor_prior_investment__available,0.0,0.0,0.0,0.0
latent_context,M3,bandit,factor_controllability,0.2908613113974964,0.0,0.0037856779027052733,0.29464698930020167
latent_context,M3,bandit,factor_controllability__available,-0.8296003989818481,0.0,0.36648514724593834,-0.4631152517359098
latent_context,M3,bandit,factor_environmental_stability,0.08030883520138948,0.0,-0.0343494435569427,0.04595939164444678
latent_context,M3,bandit,factor_environmental_stability__available,0.0,0.0,0.0,0.0
latent_context,M3,bandit,factor_goal_continuity,0.17520869358784363,0.0,0.18547135047172822,0.3606800440595719
latent_context,M3,bandit,factor_goal_continuity__available,0.0,0.0,0.0,0.0
latent_context,M3,bandit,context_relevant_outcome_kernel,0.7514880591518369,0.0,0.7056094464058121,1.4570975055576492
latent_context,M3,bandit,context_relevant_outcome_kernel__available,-0.05636139204598461,0.0,0.11000528297999967,0.053643890934015066
latent_context,M3,bandit,context_relevant_outcome_kernel*factor_goal_continuity,0.020013857404938877,0.0,0.10209080918692429,0.12210466659186317
latent_context,M3,bandit,context_relevant_outcome_kernel*factor_goal_continuity__available,-0.05636139204591956,0.0,0.11000528297999945,0.05364389093407989
latent_context,M3,bandit,context_relevant_outcome_kernel*factor_environmental_stability,0.015785336166582394,0.0,0.06691962551981344,0.08270496168639584
latent_context,M3,bandit,context_relevant_outcome_kernel*factor_environmental_stability__available,-0.056361392045919556,0.0,0.1100052829799995,0.05364389093407994
latent_context,M3,bandit,response_mapping,0.025714067070993055,0.0,-0.027445573502172443,-0.001731506431179388
latent_context,M3,bandit,response_mapping__available,0.0,0.0,0.0,0.0
latent_context,M3,debugging,intercept,0.40345712910827114,0.0,-0.2495738464433167,0.15388328266495443
latent_context,M3,debugging,factor_continuation_value,1.681146119220954,0.0,0.002876803789765517,1.6840229230107195
latent_context,M3,debugging,factor_continuation_value__available,0.0,0.0,0.0,0.0
latent_context,M3,debugging,factor_disengagement_value,-1.3975861187181324,0.0,-0.16015428851359023,-1.5577404072317227
latent_context,M3,debugging,factor_disengagement_value__available,0.0,0.0,0.0,0.0
latent_context,M3,debugging,factor_continuation_cost,-1.3021349265195212,0.0,0.22591748999696185,-1.0762174365225594
latent_context,M3,debugging,factor_continuation_cost__available,0.0,0.0,0.0,0.0
latent_context,M3,debugging,factor_progress_evidence,1.1922630501490492,0.0,0.2011085587540699,1.3933716089031192
latent_context,M3,debugging,factor_progress_evidence__available,-0.10003642105793892,0.0,-0.16079230175234088,-0.2608287228102798
latent_context,M3,debugging,factor_success_evidence,2.1951952611589793,0.0,-0.31459827473593605,1.8805969864230434
latent_context,M3,debugging,factor_success_evidence__available,0.0,0.0,0.0,0.0
latent_context,M3,debugging,factor_uncertainty,0.32127935502510463,0.0,-0.1682809048717323,0.15299845015337232
latent_context,M3,debugging,factor_uncertainty__available,0.0,0.0,0.0,0.0
latent_context,M3,debugging,factor_prior_investment,-0.36417524231052106,0.0,0.2898484341524825,-0.07432680815803855
latent_context,M3,debugging,factor_prior_investment__available,0.0,0.0,0.0,0.0
latent_context,M3,debugging,factor_controllability,0.2908613113974964,0.0,0.0840195577021599,0.3748808690996563
latent_context,M3,debugging,factor_controllability__available,-0.8296003989818481,0.0,-0.2112840166658735,-1.0408844156477217
latent_context,M3,debugging,factor_environmental_stability,0.08030883520138948,0.0,0.018387182351749656,0.09869601755313914
latent_context,M3,debugging,factor_environmental_stability__available,0.0,0.0,0.0,0.0
latent_context,M3,debugging,factor_goal_continuity,0.17520869358784363,0.0,-0.022198976574696473,0.15300971701314717
latent_context,M3,debugging,factor_goal_continuity__available,0.0,0.0,0.0,0.0
latent_context,M3,debugging,context_relevant_outcome_kernel,0.7514880591518369,0.0,0.23339696822042819,0.9848850273722651
latent_context,M3,debugging,context_relevant_outcome_kernel__available,-0.05636139204598461,0.0,-0.061879552116946186,-0.1182409441629308
latent_context,M3,debugging,context_relevant_outcome_kernel*factor_goal_continuity,0.020013857404938877,0.0,0.11273151789053075,0.13274537529546962
latent_context,M3,debugging,context_relevant_outcome_kernel*factor_goal_continuity__available,-0.05636139204591956,0.0,-0.06187955211694587,-0.11824094416286543
latent_context,M3,debugging,context_relevant_outcome_kernel*factor_environmental_stability,0.015785336166582394,0.0,-0.010738380606282273,0.005046955560300121
latent_context,M3,debugging,context_relevant_outcome_kernel*factor_environmental_stability__available,-0.056361392045919556,0.0,-0.061879552116945916,-0.11824094416286547
latent_context,M3,debugging,response_mapping,0.025714067070993055,0.0,-0.7666379767840343,-0.7409239097130412
latent_context,M3,debugging,response_mapping__available,0.0,0.0,0.0,0.0
latent_context,M3,effort,intercept,0.40345712910827114,0.0,-0.24163859439374338,0.16181853471452776
latent_context,M3,effort,factor_continuation_value,1.681146119220954,0.0,0.3042387602305695,1.9853848794515234
latent_context,M3,effort,factor_continuation_value__available,0.0,0.0,0.0,0.0
latent_context,M3,effort,factor_disengagement_value,-1.3975861187181324,0.0,0.2831469931058637,-1.1144391256122688
latent_context,M3,effort,factor_disengagement_value__available,0.0,0.0,0.0,0.0
latent_context,M3,effort,factor_continuation_cost,-1.3021349265195212,0.0,-0.4000740358615593,-1.7022089623810805
latent_context,M3,effort,factor_continuation_cost__available,0.0,0.0,0.0,0.0
latent_context,M3,effort,factor_progress_evidence,1.1922630501490492,0.0,-0.28085079915111655,0.9114122509979327
latent_context,M3,effort,factor_progress_evidence__available,-0.10003642105793892,0.0,-0.15567987727285537,-0.2557162983307943
latent_context,M3,effort,factor_success_evidence,2.1951952611589793,0.0,-0.24627766648305963,1.9489175946759196
latent_context,M3,effort,factor_success_evidence__available,0.0,0.0,0.0,0.0
latent_context,M3,effort,factor_uncertainty,0.32127935502510463,0.0,0.23446351665588983,0.5557428716809945
