architecture,variant,task_family,parameter,mu,ontology_effect,random_effect,estimate
dual_history,M3,bandit,intercept,-0.6452897517495119,0.0,-0.14988355480487262,-0.7951733065543845
dual_history,M3,bandit,factor_continuation_value,0.2419185011277735,0.0,0.007314013876121666,0.24923251500389515
dual_history,M3,bandit,factor_continuation_value__available,0.0,0.0,0.0,0.0
dual_history,M3,bandit,factor_disengagement_value,-0.40113563930427815,0.0,-0.14382293649905192,-0.5449585758033301
dual_history,M3,bandit,factor_disengagement_value__available,0.0,0.0,0.0,0.0
dual_history,M3,bandit,factor_continuation_cost,-0.22114937505170512,0.0,0.10888389510561379,-0.11226547994609133
dual_history,M3,bandit,factor_continuation_cost__available,0.0,0.0,0.0,0.0
dual_history,M3,bandit,factor_progress_evidence,0.4531940597351496,0.0,0.0021629209745960614,0.4553569807097457
dual_history,M3,bandit,factor_progress_evidence__available,0.1036301558848513,0.0,0.23264182976137704,0.33627198564622834
dual_history,M3,bandit,factor_success_evidence,0.5772571536848334,0.0,0.4518715898024087,1.029128743487242
dual_history,M3,bandit,factor_success_evidence__available,0.0,0.0,0.0,0.0
dual_history,M3,bandit,factor_uncertainty,0.015228971641552248,0.0,-0.03652920325772968,-0.02130023161617743
dual_history,M3,bandit,factor_uncertainty__available,0.0,0.0,0.0,0.0
dual_history,M3,bandit,factor_prior_investment,-0.1752742333973589,0.0,0.04756811213818201,-0.12770612125917688
dual_history,M3,bandit,factor_prior_investment__available,0.0,0.0,0.0,0.0
dual_history,M3,bandit,factor_controllability,0.12308948242750567,0.0,0.001828831503519432,0.12491831393102511
dual_history,M3,bandit,factor_controllability__available,0.010615260586633323,0.0,0.17704611963316938,0.1876613802198027
dual_history,M3,bandit,factor_environmental_stability,0.12104598078642394,0.0,0.028965939041533252,0.1500119198279572
dual_history,M3,bandit,factor_environmental_stability__available,0.0,0.0,0.0,0.0
dual_history,M3,bandit,factor_goal_continuity,-0.006876959719718571,0.0,0.013361924691298195,0.006484964971579623
dual_history,M3,bandit,factor_goal_continuity__available,0.0,0.0,0.0,0.0
dual_history,M3,bandit,history_action_1,0.0337343164139277,0.0,0.10013932118980116,0.13387363760372886
dual_history,M3,bandit,history_action_1__available,0.0069481220581005775,0.0,0.01745643047052768,0.02440455252862826
dual_history,M3,bandit,history_action_kernel,0.018803648835870296,0.0,-0.038568899438088916,-0.01976525060221862
dual_history,M3,bandit,history_action_kernel__available,0.006948122058094657,0.0,0.01745643047052735,0.02440455252862201
dual_history,M3,bandit,history_outcome_1,0.030255761595238913,0.0,-0.08287613900023107,-0.052620377404992154
dual_history,M3,bandit,history_outcome_1__available,0.006948122058094654,0.0,0.017456430470527938,0.024404552528622593
dual_history,M3,bandit,history_outcome_kernel,0.09024737501531979,0.0,0.18562690659956552,0.2758742816148853
dual_history,M3,bandit,history_outcome_kernel__available,0.006948122058094654,0.0,0.017456430470527938,0.024404552528622593
dual_history,M3,bandit,response_mapping,-0.22040952481915527,0.0,-0.5286507154533018,-0.7490602402724571
dual_history,M3,bandit,response_mapping__available,0.0,0.0,0.0,0.0
dual_history,M3,debugging,intercept,-0.6452897517495119,0.0,-0.2743152478886359,-0.9196049996381478
dual_history,M3,debugging,factor_continuation_value,0.2419185011277735,0.0,0.0412880840762686,0.28320658520404207
dual_history,M3,debugging,factor_continuation_value__available,0.0,0.0,0.0,0.0
dual_history,M3,debugging,factor_disengagement_value,-0.40113563930427815,0.0,0.0325291086518242,-0.36860653065245397
dual_history,M3,debugging,factor_disengagement_value__available,0.0,0.0,0.0,0.0
dual_history,M3,debugging,factor_continuation_cost,-0.22114937505170512,0.0,-0.14608534490531355,-0.3672347199570187
dual_history,M3,debugging,factor_continuation_cost__available,0.0,0.0,0.0,0.0
dual_history,M3,debugging,factor_progress_evidence,0.4531940597351496,0.0,-0.03449761282966878,0.4186964469054808
dual_history,M3,debugging,factor_progress_evidence__available,0.1036301558848513,0.0,-0.17673238098643437,-0.07310222510158307
dual_history,M3,debugging,factor_success_evidence,0.5772571536848334,0.0,-0.03476961585289938,0.542487537831934
dual_history,M3,debugging,factor_success_evidence__available,0.0,0.0,0.0,0.0
dual_history,M3,debugging,factor_uncertainty,0.015228971641552248,0.0,-0.008026175946576227,0.007202795694976021
dual_history,M3,debugging,factor_uncertainty__available,0.0,0.0,0.0,0.0
dual_history,M3,debugging,factor_prior_investment,-0.1752742333973589,0.0,-0.09102649805193319,-0.2663007314492921
dual_history,M3,debugging,factor_prior_investment__available,0.0,0.0,0.0,0.0
dual_history,M3,debugging,factor_controllability,0.12308948242750567,0.0,0.019854176572130296,0.14294365899963596
dual_history,M3,debugging,factor_controllability__available,0.010615260586633323,0.0,-0.23222957145810613,-0.22161431087147282
dual_history,M3,debugging,factor_environmental_stability,0.12104598078642394,0.0,0.038614800264345106,0.15966078105076903
dual_history,M3,debugging,factor_environmental_stability__available,0.0,0.0,0.0,0.0
dual_history,M3,debugging,factor_goal_continuity,-0.006876959719718571,0.0,0.049775486864396,0.04289852714467743
dual_history,M3,debugging,factor_goal_continuity__available,0.0,0.0,0.0,0.0
dual_history,M3,debugging,history_action_1,0.0337343164139277,0.0,-0.0582780308084144,-0.0245437143944867
dual_history,M3,debugging,history_action_1__available,0.0069481220581005775,0.0,0.01042370424294625,0.017371826301046826
dual_history,M3,debugging,history_action_kernel,0.018803648835870296,0.0,0.03854167144717251,0.0573453202830428
dual_history,M3,debugging,history_action_kernel__available,0.006948122058094657,0.0,0.010423704242945798,0.017371826301040456
dual_history,M3,debugging,history_outcome_1,0.030255761595238913,0.0,0.12798352777607924,0.15823928937131815
dual_history,M3,debugging,history_outcome_1__available,0.006948122058094654,0.0,0.010423704242945798,0.017371826301040453
dual_history,M3,debugging,history_outcome_kernel,0.09024737501531979,0.0,-0.15061541262127714,-0.06036803760595735
dual_history,M3,debugging,history_outcome_kernel__available,0.006948122058094654,0.0,0.0104237042429458,0.017371826301040453
dual_history,M3,debugging,response_mapping,-0.22040952481915527,0.0,0.10435519844830674,-0.11605432637084853
dual_history,M3,debugging,response_mapping__available,0.0,0.0,0.0,0.0
dual_history,M3,effort,intercept,-0.6452897517495119,0.0,-0.2617226933486912,-0.9070124450982031
dual_history,M3,effort,factor_continuation_value,0.2419185011277735,0.0,0.08232572966883245,0.3242442307966059
dual_history,M3,effort,factor_continuation_value__available,0.0,0.0,0.0,0.0
dual_history,M3,effort,factor_disengagement_value,-0.40113563930427815,0.0,-0.030884602145986356,-0.4320202414502645
dual_history,M3,effort,factor_disengagement_value__available,0.0,0.0,0.0,0.0
dual_history,M3,effort,factor_continuation_cost,-0.22114937505170512,0.0,-0.12773967763536126,-0.3488890526870664
dual_history,M3,effort,factor_continuation_cost__available,0.0,0.0,0.0,0.0
dual_history,M3,effort,factor_progress_evidence,0.4531940597351496,0.0,0.18052019964494329,0.6337142593800928
dual_history,M3,effort,factor_progress_evidence__available,0.1036301558848513,0.0,-0.1686194081797989,-0.06498925229494759
dual_history,M3,effort,factor_success_evidence,0.5772571536848334,0.0,0.276061501428948,0.8533186551137815
dual_history,M3,effort,factor_success_evidence__available,0.0,0.0,0.0,0.0
dual_history,M3,effort,factor_uncertainty,0.015228971641552248,0.0,-0.00757485149626053,0.007654120145291718
dual_history,M3,effort,factor_uncertainty__available,0.0,0.0,0.0,0.0
dual_history,M3,effort,factor_prior_investment,-0.1752742333973589,0.0,-0.03397305350985728,-0.20924728690721617
dual_history,M3,effort,factor_prior_investment__available,0.0,0.0,0.0,0.0
dual_history,M3,effort,factor_controllability,0.12308948242750567,0.0,0.011035484919328216,0.13412496734683388
dual_history,M3,effort,factor_controllability__available,0.010615260586633323,0.0,-0.2215689772444649,-0.21095371665783158
dual_history,M3,effort,factor_environmental_stability,0.12104598078642394,0.0,0.044866763970225286,0.16591274475664922
dual_history,M3,effort,factor_environmental_stability__available,0.0,0.0,0.0,0.0
dual_history,M3,effort,factor_goal_continuity,-0.006876959719718571,0.0,0.01720626130331095,0.010329301583592378
dual_history,M3,effort,factor_goal_continuity__available,0.0,0.0,0.0,0.0
dual_history,M3,effort,history_action_1,0.0337343164139277,0.0,0.09417299187886188,0.12790730829278957
dual_history,M3,effort,history_action_1__available,0.0069481220581005775,0.0,0.005569980544410288,0.012518102602510866
dual_history,M3,effort,history_action_kernel,0.018803648835870296,0.0,-0.04788848940197889,-0.02908484056610859
dual_history,M3,effort,history_action_kernel__available,0.006948122058094657,0.0,0.00556998054441003,0.012518102602504686
dual_history,M3,effort,history_outcome_1,0.030255761595238913,0.0,-0.11082843647298614,-0.08057267487774722
dual_history,M3,effort,history_outcome_1__available,0.006948122058094654,0.0,0.005569980544409739,0.012518102602504393
dual_history,M3,effort,history_outcome_kernel,0.09024737501531979,0.0,0.15715538424405234,0.24740275925937213
dual_history,M3,effort,history_outcome_kernel__available,0.006948122058094654,0.0,0.005569980544409722,0.012518102602504376
dual_history,M3,effort,response_mapping,-0.22040952481915527,0.0,-0.11560625637769727,-0.33601578119685255
dual_history,M3,effort,response_mapping__available,0.0,0.0,0.0,0.0
dual_history,M3,foraging,intercept,-0.6452897517495119,0.0,-0.08652270721986587,-0.7318124589693777
dual_history,M3,foraging,factor_continuation_value,0.2419185011277735,0.0,0.10046213946709988,0.3423806405948734
dual_history,M3,foraging,factor_continuation_value__available,0.0,0.0,0.0,0.0
dual_history,M3,foraging,factor_disengagement_value,-0.40113563930427815,0.0,-0.08098471634553343,-0.4821203556498116
dual_history,M3,foraging,factor_disengagement_value__available,0.0,0.0,0.0,0.0
dual_history,M3,foraging,factor_continuation_cost,-0.22114937505170512,0.0,0.10802821624949115,-0.11312115880221398
dual_history,M3,foraging,factor_continuation_cost__available,0.0,0.0,0.0,0.0
dual_history,M3,foraging,factor_progress_evidence,0.4531940597351496,0.0,0.05419779699832994,0.5073918567334795
dual_history,M3,foraging,factor_progress_evidence__available,0.1036301558848513,0.0,-0.05574376260188177,0.047886393282969536
dual_history,M3,foraging,factor_success_evidence,0.5772571536848334,0.0,-0.06896261418640676,0.5082945394984266
dual_history,M3,foraging,factor_success_evidence__available,0.0,0.0,0.0,0.0
dual_history,M3,foraging,factor_uncertainty,0.015228971641552248,0.0,-0.019595972773449207,-0.004367001131896959
dual_history,M3,foraging,factor_uncertainty__available,0.0,0.0,0.0,0.0
dual_history,M3,foraging,factor_prior_investment,-0.1752742333973589,0.0,-0.03475803388089123,-0.21003226727825014
dual_history,M3,foraging,factor_prior_investment__available,0.0,0.0,0.0,0.0
dual_history,M3,foraging,factor_controllability,0.12308948242750567,0.0,-0.04177244875106341,0.08131703367644226
dual_history,M3,foraging,factor_controllability__available,0.010615260586633323,0.0,-0.07324832058647691,-0.06263305999984359
dual_history,M3,foraging,factor_environmental_stability,0.12104598078642394,0.0,0.023032372330207267,0.1440783531166312
dual_history,M3,foraging,factor_environmental_stability__available,0.0,0.0,0.0,0.0
dual_history,M3,foraging,factor_goal_continuity,-0.006876959719718571,0.0,-0.012025229383345194,-0.018902189103063766
dual_history,M3,foraging,factor_goal_continuity__available,0.0,0.0,0.0,0.0
dual_history,M3,foraging,history_action_1,0.0337343164139277,0.0,-0.06123571358092149,-0.02750139716699379
dual_history,M3,foraging,history_action_1__available,0.0069481220581005775,0.0,-0.0071255015143803155,-0.00017737945627973803
dual_history,M3,foraging,history_action_kernel,0.018803648835870296,0.0,0.06996519704304878,0.08876884587891908
dual_history,M3,foraging,history_action_kernel__available,0.006948122058094657,0.0,-0.007125501514380596,-0.0001773794562859388
dual_history,M3,foraging,history_outcome_1,0.030255761595238913,0.0,0.08920630930800777,0.11946207090324668
dual_history,M3,foraging,history_outcome_1__available,0.006948122058094654,0.0,-0.007125501514380598,-0.000177379456285944
dual_history,M3,foraging,history_outcome_kernel,0.09024737501531979,0.0,-0.10091990195150956,-0.010672526936189766
dual_history,M3,foraging,history_outcome_kernel__available,0.006948122058094654,0.0,-0.007125501514380595,-0.00017737945628594053
dual_history,M3,foraging,response_mapping,-0.22040952481915527,0.0,0.3941181613109617,0.17370863649180646
dual_history,M3,foraging,response_mapping__available,0.0,0.0,0.0,0.0
